pdb_file,bsa
complex.0_0_23_corrected_H_0001,891.4750386724245
complex.0_0_26_corrected_H_0001,919.160569349242
complex.0_0_28_corrected_H_0001,912.2410407360858
complex.0_0_33_corrected_H_0001,722.5547362649068
complex.0_0_43_corrected_H_0001,717.4234655890177
complex.0_10_27_corrected_H_0001,2151.335211183052
complex.0_10_28_corrected_H_0001,2409.179400880279
complex.0_10_30_corrected_H_0001,2351.59328981042
complex.0_10_43_corrected_H_0001,1914.2406491550628
complex.0_10_47_corrected_H_0001,1974.9464364132782
complex.0_11_16_corrected_H_0001,2252.0525937815364
complex.0_11_32_corrected_H_0001,2189.9886836196274
complex.0_11_34_corrected_H_0001,2353.5687433859057
complex.0_11_8_corrected_H_0001,1818.3740492696434
complex.0_12_16_corrected_H_0001,2003.6629767692648
complex.0_12_1_corrected_H_0001,1913.1793039250333
complex.0_12_22_corrected_H_0001,2055.3252316107155
complex.0_12_9_corrected_H_0001,2419.159274054986
complex.0_13_26_corrected_H_0001,2500.4202528361857
complex.0_13_34_corrected_H_0001,2467.019256745016
complex.0_13_37_corrected_H_0001,2495.4854211146794
complex.0_13_42_corrected_H_0001,2161.1019483579694
complex.0_13_6_corrected_H_0001,2369.9783024492153
complex.0_14_24_corrected_H_0001,2516.9755430833866
complex.0_14_28_corrected_H_0001,2474.4722241630498
complex.0_14_44_corrected_H_0001,2012.0779257088798
complex.0_15_0_corrected_H_0001,2499.380628904162
complex.0_15_10_corrected_H_0001,2498.9007613654976
complex.0_15_12_corrected_H_0001,2376.3037018381256
complex.0_15_18_corrected_H_0001,2456.6876422956793
complex.0_15_19_corrected_H_0001,2513.889894375636
complex.0_16_39_corrected_H_0001,2574.2977415869827
complex.0_16_48_corrected_H_0001,2306.922487724445
complex.0_17_15_corrected_H_0001,2386.9348130608014
complex.0_17_31_corrected_H_0001,2516.806911650314
complex.0_17_3_corrected_H_0001,2458.812200870514
complex.0_17_43_corrected_H_0001,2296.71424092706
complex.0_18_14_corrected_H_0001,2424.674702195356
complex.0_18_15_corrected_H_0001,2305.6572167337454
complex.0_18_23_corrected_H_0001,2450.751204399563
complex.0_18_7_corrected_H_0001,2501.45419400653
complex.0_19_4_corrected_H_0001,2323.34115883308
complex.0_1_20_corrected_H_0001,556.9578183146841
complex.0_1_2_corrected_H_0001,602.8454340437966
complex.0_1_31_corrected_H_0001,879.022736305009
complex.0_1_41_corrected_H_0001,1498.2924128630675
complex.0_1_5_corrected_H_0001,2087.8753391049777
complex.0_2_22_corrected_H_0001,1124.3390118118696
complex.0_2_24_corrected_H_0001,1418.904087099836
complex.0_2_34_corrected_H_0001,470.4289608330473
complex.0_2_40_corrected_H_0001,477.6917282152335
complex.0_3_26_corrected_H_0001,1605.082923324646
complex.0_3_31_corrected_H_0001,1174.0133537150705
complex.0_3_37_corrected_H_0001,1664.2167564981646
complex.0_3_39_corrected_H_0001,1223.930765686233
complex.0_3_41_corrected_H_0001,1045.9210739045502
complex.0_3_44_corrected_H_0001,1271.7819129318996
complex.0_4_16_corrected_H_0001,1150.6011538698276
complex.0_4_26_corrected_H_0001,1035.205259338456
complex.0_4_39_corrected_H_0001,1713.8245980786396
complex.0_5_0_corrected_H_0001,1709.359995351373
complex.0_5_14_corrected_H_0001,1528.600162497025
complex.0_5_1_corrected_H_0001,1183.4020160180917
complex.0_5_32_corrected_H_0001,1556.7701037635125
complex.0_5_43_corrected_H_0001,1387.6214208996062
complex.0_5_48_corrected_H_0001,1249.3949958830708
complex.0_6_20_corrected_H_0001,1571.1445082892278
complex.0_6_21_corrected_H_0001,1918.9038242287043
complex.0_6_23_corrected_H_0001,1450.5229375021663
complex.0_6_25_corrected_H_0001,1946.1007919423519
complex.0_7_10_corrected_H_0001,1660.3436482164143
complex.0_7_20_corrected_H_0001,2139.7578605731414
complex.0_7_33_corrected_H_0001,1924.7644306131224
complex.0_7_40_corrected_H_0001,1440.7652479361168
complex.0_7_45_corrected_H_0001,2188.922899763451
complex.0_7_48_corrected_H_0001,1649.1644108134442
complex.0_8_11_corrected_H_0001,2227.8237387472673
complex.0_8_1_corrected_H_0001,1834.180127076037
complex.0_8_30_corrected_H_0001,1838.0022712273676
complex.0_8_3_corrected_H_0001,2306.1556691991846
complex.0_8_8_corrected_H_0001,2023.9396823873303
complex.0_8_9_corrected_H_0001,1670.6822283388992
complex.0_9_20_corrected_H_0001,2010.8503773556495
complex.0_9_3_corrected_H_0001,1847.687315474992
complex.0_9_40_corrected_H_0001,1705.8951098448888
complex.0_9_41_corrected_H_0001,2084.343745560489
complex.0_9_42_corrected_H_0001,2148.0134544187076
complex.1_0_0_corrected_H_0001,970.3594772236902
complex.1_0_11_corrected_H_0001,854.9334760116835
complex.1_0_13_corrected_H_0001,994.8168289965615
complex.1_0_16_corrected_H_0001,1377.1076544707794
complex.1_0_17_corrected_H_0001,719.8236113371258
complex.1_0_36_corrected_H_0001,1398.5167116749835
complex.1_0_3_corrected_H_0001,940.1446531695019
complex.1_0_40_corrected_H_0001,1244.2907245854385
complex.1_0_42_corrected_H_0001,670.6466329777377
complex.1_0_46_corrected_H_0001,1377.6522408542114
complex.1_10_10_corrected_H_0001,2451.32336774169
complex.1_10_1_corrected_H_0001,2271.1071506347926
complex.1_10_2_corrected_H_0001,2314.6379599247266
complex.1_10_3_corrected_H_0001,2050.4309098200156
complex.1_10_5_corrected_H_0001,2298.6286839473014
complex.1_10_7_corrected_H_0001,2086.86724671127
complex.1_10_8_corrected_H_0001,1866.8584396466158
complex.1_11_0_corrected_H_0001,2175.2371774423555
complex.1_11_17_corrected_H_0001,2626.5869589182767
complex.1_11_21_corrected_H_0001,2378.802281364662
complex.1_11_2_corrected_H_0001,1933.248599497063
complex.1_11_42_corrected_H_0001,2017.8169756236239
complex.1_11_43_corrected_H_0001,2044.565797467294
complex.1_11_5_corrected_H_0001,2247.767576196682
complex.1_11_7_corrected_H_0001,1892.3106270899134
complex.1_11_9_corrected_H_0001,2208.25323033703
complex.1_12_28_corrected_H_0001,2242.283975921526
complex.1_12_29_corrected_H_0001,2083.584007346828
complex.1_12_33_corrected_H_0001,2099.2740669872637
complex.1_12_43_corrected_H_0001,2421.0427000600794
complex.1_12_44_corrected_H_0001,2094.3320378697827
complex.1_12_45_corrected_H_0001,1940.7035382440463
complex.1_12_4_corrected_H_0001,2521.8290639338884
complex.1_13_12_corrected_H_0001,2482.7194327672405
complex.1_13_18_corrected_H_0001,2187.503657395795
complex.1_13_29_corrected_H_0001,2357.498837264946
complex.1_13_3_corrected_H_0001,2485.461142363063
complex.1_13_47_corrected_H_0001,2080.97843328425
complex.1_14_15_corrected_H_0001,2553.5216382883627
complex.1_14_19_corrected_H_0001,2133.7989136190663
complex.1_14_30_corrected_H_0001,2487.118491357114
complex.1_14_31_corrected_H_0001,2571.4409956149575
complex.1_14_35_corrected_H_0001,2589.0674360281064
complex.1_14_40_corrected_H_0001,2317.6997267918996
complex.1_14_41_corrected_H_0001,2500.5104484972417
