pdb_file,bsa
complex.0_0_15_corrected_H_0001,697.1552622917079
complex.0_0_19_corrected_H_0001,1002.4599687458103
complex.0_0_23_corrected_H_0001,758.2322370952443
complex.0_0_48_corrected_H_0001,1264.3760218267453
complex.0_0_5_corrected_H_0001,796.4501676470463
complex.0_0_6_corrected_H_0001,1077.1002442056179
complex.0_10_32_corrected_H_0001,2330.6213736189547
complex.0_10_35_corrected_H_0001,2336.339565928447
complex.0_10_36_corrected_H_0001,2447.6565205534625
complex.0_10_43_corrected_H_0001,2128.75303527046
complex.0_10_6_corrected_H_0001,2238.3053896902475
complex.0_11_16_corrected_H_0001,2223.4943454013337
complex.0_11_18_corrected_H_0001,2366.9971627279538
complex.0_11_19_corrected_H_0001,2647.0113221195497
complex.0_11_2_corrected_H_0001,2210.2299380163604
complex.0_11_31_corrected_H_0001,2205.0820819521014
complex.0_11_38_corrected_H_0001,2400.6438461326816
complex.0_12_10_corrected_H_0001,2581.62308877298
complex.0_12_18_corrected_H_0001,2608.336944123359
complex.0_12_42_corrected_H_0001,2480.6977435546232
complex.0_13_21_corrected_H_0001,2735.249345146147
complex.0_13_22_corrected_H_0001,2753.3808234216376
complex.0_13_30_corrected_H_0001,2405.854516665322
complex.0_13_34_corrected_H_0001,2590.3506604855684
complex.0_13_41_corrected_H_0001,2598.8627902005064
complex.0_13_44_corrected_H_0001,2675.6504266041284
complex.0_13_49_corrected_H_0001,2813.916736152649
complex.0_13_7_corrected_H_0001,2911.0356220157773
complex.0_14_10_corrected_H_0001,2618.1078150265657
complex.0_14_15_corrected_H_0001,2686.3350477064578
complex.0_14_1_corrected_H_0001,2833.793275847829
complex.0_14_23_corrected_H_0001,2638.677225915253
complex.0_14_31_corrected_H_0001,2726.763687644532
complex.0_14_40_corrected_H_0001,3073.9542419150857
complex.0_15_30_corrected_H_0001,2730.115243372882
complex.0_15_36_corrected_H_0001,2691.8081903576185
complex.0_15_41_corrected_H_0001,2890.8125965682902
complex.0_15_43_corrected_H_0001,3004.925603354228
complex.0_15_6_corrected_H_0001,2904.1912978355886
complex.0_16_14_corrected_H_0001,2704.514838808511
complex.0_16_1_corrected_H_0001,2878.9483085220018
complex.0_16_25_corrected_H_0001,2853.6477355469797
complex.0_16_30_corrected_H_0001,2997.194648759987
complex.0_16_6_corrected_H_0001,2908.8905943153823
complex.0_17_13_corrected_H_0001,2842.245233454334
complex.0_17_17_corrected_H_0001,2733.2869741296618
complex.0_17_21_corrected_H_0001,2863.39223656829
complex.0_17_29_corrected_H_0001,2950.895257233886
complex.0_17_45_corrected_H_0001,2951.526489005324
complex.0_17_4_corrected_H_0001,2925.79847131064
complex.0_18_14_corrected_H_0001,2903.598157252809
complex.0_18_31_corrected_H_0001,2795.189569503971
complex.0_18_32_corrected_H_0001,2833.757307686523
complex.0_18_4_corrected_H_0001,2785.471221148944
complex.0_19_2_corrected_H_0001,2848.115065864353
complex.0_1_0_corrected_H_0001,1389.0369233375714
complex.0_1_36_corrected_H_0001,1319.6195308696224
complex.0_1_44_corrected_H_0001,1140.7076127658038
complex.0_1_46_corrected_H_0001,1481.4271640041134
complex.0_2_22_corrected_H_0001,1902.5078288071163
complex.0_2_23_corrected_H_0001,1629.154232015364
complex.0_2_34_corrected_H_0001,1260.0861964329451
complex.0_2_37_corrected_H_0001,1556.1429826689982
complex.0_3_11_corrected_H_0001,1525.661574252681
complex.0_3_1_corrected_H_0001,1441.9804761748364
complex.0_3_23_corrected_H_0001,1447.1213861926335
complex.0_3_30_corrected_H_0001,1414.7567186676224
complex.0_3_33_corrected_H_0001,1023.3591078067984
complex.0_3_4_corrected_H_0001,1536.0612952742304
complex.0_3_8_corrected_H_0001,1546.0055042578806
complex.0_4_0_corrected_H_0001,1896.6995977334082
complex.0_4_2_corrected_H_0001,1689.9113946137186
complex.0_4_48_corrected_H_0001,1568.8452721226495
complex.0_5_17_corrected_H_0001,1790.8449471289478
complex.0_5_19_corrected_H_0001,1817.0938845291457
complex.0_5_21_corrected_H_0001,1485.5677685170394
complex.0_5_40_corrected_H_0001,1917.958172856006
complex.0_6_18_corrected_H_0001,1947.3687719655045
complex.0_6_22_corrected_H_0001,2463.7699428111537
complex.0_6_23_corrected_H_0001,1918.5043766525941
complex.0_6_31_corrected_H_0001,1580.6566955130384
complex.0_6_32_corrected_H_0001,1966.5762617817945
complex.0_6_39_corrected_H_0001,1658.4369952689594
complex.0_6_49_corrected_H_0001,1713.602699807423
complex.0_6_9_corrected_H_0001,2150.3213024921242
complex.0_7_12_corrected_H_0001,2469.418038382919
complex.0_7_14_corrected_H_0001,1568.3979745053366
complex.0_7_16_corrected_H_0001,1824.1152287880632
complex.0_7_19_corrected_H_0001,2325.8220932751174
complex.0_7_20_corrected_H_0001,1812.2975912185157
complex.0_7_23_corrected_H_0001,2022.4231458542454
complex.0_7_41_corrected_H_0001,1585.1871232571611
complex.0_7_43_corrected_H_0001,1926.1825878691197
complex.0_7_46_corrected_H_0001,1623.3354072379516
complex.0_7_49_corrected_H_0001,1359.6481809582256
complex.0_7_5_corrected_H_0001,1823.9233632324922
complex.0_8_11_corrected_H_0001,2174.102879054435
complex.0_8_18_corrected_H_0001,2511.580548395794
complex.0_8_41_corrected_H_0001,2356.1293267449564
complex.0_8_6_corrected_H_0001,2209.920616506097
complex.0_9_11_corrected_H_0001,2134.656595844024
complex.0_9_18_corrected_H_0001,2293.692024064052
complex.0_9_27_corrected_H_0001,2350.0334841355307
complex.0_9_29_corrected_H_0001,2360.448313623263
complex.0_9_39_corrected_H_0001,2329.3553413659374
complex.0_9_46_corrected_H_0001,2039.9209844664565
complex.0_9_48_corrected_H_0001,2178.8161487836187
complex.1_0_13_corrected_H_0001,1081.2497379630859
complex.1_0_1_corrected_H_0001,1382.2841120972298
complex.1_0_28_corrected_H_0001,1430.3346917940526
complex.1_0_2_corrected_H_0001,1058.9787413640097
complex.1_0_34_corrected_H_0001,883.3947096782722
complex.1_0_46_corrected_H_0001,1150.6235868796412
complex.1_0_49_corrected_H_0001,828.1678265874834
complex.1_10_20_corrected_H_0001,2227.032659497945
complex.1_10_33_corrected_H_0001,2190.583377188739
complex.1_11_11_corrected_H_0001,2051.939402455082
complex.1_11_12_corrected_H_0001,2158.8165267206987
complex.1_11_39_corrected_H_0001,2326.2666210374173
complex.1_11_44_corrected_H_0001,2300.9401108035217
complex.1_11_45_corrected_H_0001,2255.098863605137
complex.1_11_4_corrected_H_0001,2236.771603936557
complex.1_12_15_corrected_H_0001,2476.657009329285
complex.1_12_24_corrected_H_0001,2826.5197418672287
complex.1_12_26_corrected_H_0001,2270.518217124245
complex.1_12_48_corrected_H_0001,2373.742259640365
complex.1_13_12_corrected_H_0001,2520.9963270557037
complex.1_13_19_corrected_H_0001,2601.78292370081
complex.1_13_20_corrected_H_0001,2726.525724388699
complex.1_13_24_corrected_H_0001,2562.5403008468857
complex.1_13_25_corrected_H_0001,2450.080352097886
complex.1_13_29_corrected_H_0001,2512.426982640747
complex.1_14_18_corrected_H_0001,2741.258578467914
complex.1_14_29_corrected_H_0001,2684.8802542163994
complex.1_15_1_corrected_H_0001,2848.2610720538087
complex.1_15_47_corrected_H_0001,2830.0105847356936
complex.1_15_49_corrected_H_0001,2772.9578606241685
