pdb_file,bsa
sampled_2d5r_model_1,1003.4596595303519
sampled_2d5r_model_10,951.621404533249
sampled_2d5r_model_100,1266.7808922341464
sampled_2d5r_model_101,1120.426834073016
sampled_2d5r_model_102,1040.2705100113235
sampled_2d5r_model_103,1042.2458782727917
sampled_2d5r_model_104,685.541923306122
sampled_2d5r_model_105,1146.9261880930862
sampled_2d5r_model_106,930.4800346723569
sampled_2d5r_model_107,1034.549965205897
sampled_2d5r_model_108,1543.494105051981
sampled_2d5r_model_109,993.9249055207947
sampled_2d5r_model_11,1071.3093353450095
sampled_2d5r_model_110,1298.0775568308345
sampled_2d5r_model_111,1054.3136732542225
sampled_2d5r_model_112,998.8330503553552
sampled_2d5r_model_113,1096.966459319432
sampled_2d5r_model_114,1159.2539089926067
sampled_2d5r_model_115,1287.5499486911867
sampled_2d5r_model_116,1020.0862724904036
sampled_2d5r_model_117,1303.1222110042545
sampled_2d5r_model_118,1196.168627972078
sampled_2d5r_model_119,1488.4891129294228
sampled_2d5r_model_12,2046.8040070985808
sampled_2d5r_model_120,1089.920591116952
sampled_2d5r_model_121,1240.8544345024748
sampled_2d5r_model_122,957.3106730184008
sampled_2d5r_model_123,1051.001277724874
sampled_2d5r_model_124,1374.067963454847
sampled_2d5r_model_125,1086.2409572748002
sampled_2d5r_model_126,1076.9947030718977
sampled_2d5r_model_127,1214.6902150365495
sampled_2d5r_model_128,961.6945447328508
sampled_2d5r_model_129,1530.3497011325017
sampled_2d5r_model_13,1730.4156462208084
sampled_2d5r_model_130,1086.4589531069942
sampled_2d5r_model_131,1234.2959316297092
sampled_2d5r_model_132,1169.4468192097374
sampled_2d5r_model_133,1079.119299666876
sampled_2d5r_model_134,1589.2431646619225
sampled_2d5r_model_135,1134.457300951719
sampled_2d5r_model_136,1456.6060263489562
sampled_2d5r_model_137,870.4379787515245
sampled_2d5r_model_138,2327.6965262985905
sampled_2d5r_model_139,1143.3554393362501
sampled_2d5r_model_14,685.191557907845
sampled_2d5r_model_140,894.705307903605
sampled_2d5r_model_141,1388.4937495752092
sampled_2d5r_model_142,1455.8940615037973
sampled_2d5r_model_143,1446.4610871125042
sampled_2d5r_model_144,1464.2839121013094
sampled_2d5r_model_145,1082.1538403905688
sampled_2d5r_model_146,1122.477915090436
sampled_2d5r_model_147,1662.147679159305
sampled_2d5r_model_148,1105.6684346135808
sampled_2d5r_model_149,1127.0844733529484
sampled_2d5r_model_15,976.8700796651465
sampled_2d5r_model_150,952.8430209738981
sampled_2d5r_model_151,834.6864537766814
sampled_2d5r_model_152,1136.058687592129
sampled_2d5r_model_153,1102.2593834878244
sampled_2d5r_model_154,1020.0909385102314
sampled_2d5r_model_155,1065.226970531945
sampled_2d5r_model_156,1114.1295471108715
sampled_2d5r_model_157,1981.9139533039306
sampled_2d5r_model_158,1861.236985347954
sampled_2d5r_model_159,1690.8832361030509
sampled_2d5r_model_16,1266.731543038739
sampled_2d5r_model_160,944.4240071031709
sampled_2d5r_model_161,1960.5348764039627
sampled_2d5r_model_162,1348.980059963411
sampled_2d5r_model_163,1206.2776294472424
sampled_2d5r_model_164,1225.9189970518491
sampled_2d5r_model_165,1865.440429597329
sampled_2d5r_model_166,1388.4949511833474
sampled_2d5r_model_167,1286.513644773302
sampled_2d5r_model_168,1144.721143556024
sampled_2d5r_model_169,967.8166003522529
sampled_2d5r_model_17,1110.2243813289533
sampled_2d5r_model_170,1079.2980379971705
sampled_2d5r_model_171,1129.7361382723793
sampled_2d5r_model_172,1113.808314112728
sampled_2d5r_model_173,1439.8990007401408
sampled_2d5r_model_174,1153.5794559332971
sampled_2d5r_model_175,1025.4137868549697
sampled_2d5r_model_176,1238.7853902213647
sampled_2d5r_model_177,855.0680758261951
sampled_2d5r_model_178,1317.2943860450468
sampled_2d5r_model_179,1902.899040183409
sampled_2d5r_model_18,756.3090221872662
sampled_2d5r_model_180,1749.306485784069
sampled_2d5r_model_181,1112.46380590419
sampled_2d5r_model_182,999.718939299557
sampled_2d5r_model_183,984.5252933565971
sampled_2d5r_model_184,1952.8932047162598
sampled_2d5r_model_185,937.6696020753989
sampled_2d5r_model_186,1365.696338874135
sampled_2d5r_model_187,961.0465289290914
sampled_2d5r_model_188,1365.849728389312
sampled_2d5r_model_189,1545.2905192288526
sampled_2d5r_model_19,1239.887065256975
sampled_2d5r_model_190,1087.240163393537
sampled_2d5r_model_191,878.1136228144751
sampled_2d5r_model_192,1154.3734232417628
sampled_2d5r_model_193,983.3701941960317
sampled_2d5r_model_194,1109.5132654886984
sampled_2d5r_model_195,1086.851099452335
