pdb_file,patch_alignment_score,chain_patch_consistency_score,avg_patch_score
complex.0_0_20_corrected_H_0001,"(0.014119601328903655, 0.014143094841930116, 0.014143094841930116)"
complex.0_0_40_corrected_H_0001,"(0.009136212624584718, 0.009151414309484194, 0.009151414309484194)"
complex.0_10_0_corrected_H_0001,"(0.015780730897009966, 0.015806988352745424, 0.015806988352745424)"
complex.0_10_32_corrected_H_0001,"(0.023255813953488372, 0.02329450915141431, 0.02329450915141431)"
complex.0_10_49_corrected_H_0001,"(0.01744186046511628, 0.01747088186356073, 0.01747088186356073)"
complex.0_10_5_corrected_H_0001,"(0.020764119601328904, 0.020798668885191347, 0.020798668885191347)"
complex.0_11_15_corrected_H_0001,"(0.019933554817275746, 0.019966722129783693, 0.019966722129783693)"
complex.0_11_16_corrected_H_0001,"(0.015780730897009966, 0.015806988352745424, 0.015806988352745424)"
complex.0_11_25_corrected_H_0001,"(0.020764119601328904, 0.020798668885191347, 0.020798668885191347)"
complex.0_11_27_corrected_H_0001,"(0.02159468438538206, 0.021630615640599003, 0.021630615640599003)"
complex.0_11_30_corrected_H_0001,"(0.02159468438538206, 0.021630615640599003, 0.021630615640599003)"
complex.0_11_34_corrected_H_0001,"(0.020764119601328904, 0.020798668885191347, 0.020798668885191347)"
complex.0_11_4_corrected_H_0001,"(0.020764119601328904, 0.020798668885191347, 0.020798668885191347)"
complex.0_12_18_corrected_H_0001,"(0.023255813953488372, 0.022462562396006656, 0.02273987798114254)"
complex.0_12_23_corrected_H_0001,"(0.015780730897009966, 0.015806988352745424, 0.015806988352745424)"
complex.0_12_36_corrected_H_0001,"(0.01910299003322259, 0.01913477537437604, 0.01913477537437604)"
complex.0_12_45_corrected_H_0001,"(0.019933554817275746, 0.019966722129783693, 0.019966722129783693)"
complex.0_12_49_corrected_H_0001,"(0.020764119601328904, 0.020798668885191347, 0.020798668885191347)"
complex.0_12_4_corrected_H_0001,"(0.01910299003322259, 0.01913477537437604, 0.01913477537437604)"
complex.0_12_6_corrected_H_0001,"(0.020764119601328904, 0.020798668885191347, 0.020798668885191347)"
complex.0_13_18_corrected_H_0001,"(0.020764119601328904, 0.020798668885191347, 0.020798668885191347)"
complex.0_13_20_corrected_H_0001,"(0.02159468438538206, 0.021630615640599003, 0.021630615640599003)"
complex.0_13_23_corrected_H_0001,"(0.019933554817275746, 0.019966722129783693, 0.019966722129783693)"
complex.0_13_29_corrected_H_0001,"(0.020764119601328904, 0.020798668885191347, 0.020798668885191347)"
complex.0_13_47_corrected_H_0001,"(0.02159468438538206, 0.021630615640599003, 0.021630615640599003)"
complex.0_14_14_corrected_H_0001,"(0.018272425249169437, 0.018302828618968387, 0.018302828618968387)"
complex.0_14_23_corrected_H_0001,"(0.022425249169435217, 0.022462562396006656, 0.022462562396006656)"
complex.0_14_31_corrected_H_0001,"(0.020764119601328904, 0.020798668885191347, 0.020798668885191347)"
complex.0_14_48_corrected_H_0001,"(0.01910299003322259, 0.01913477537437604, 0.01913477537437604)"
complex.0_14_6_corrected_H_0001,"(0.02159468438538206, 0.021630615640599003, 0.021630615640599003)"
complex.0_15_19_corrected_H_0001,"(0.022425249169435217, 0.022462562396006656, 0.022462562396006656)"
complex.0_15_35_corrected_H_0001,"(0.020764119601328904, 0.020798668885191347, 0.020798668885191347)"
complex.0_15_37_corrected_H_0001,"(0.020764119601328904, 0.020798668885191347, 0.020798668885191347)"
complex.0_16_13_corrected_H_0001,"(0.022425249169435217, 0.022462562396006656, 0.022462562396006656)"
complex.0_16_15_corrected_H_0001,"(0.019933554817275746, 0.019966722129783693, 0.019966722129783693)"
complex.0_16_1_corrected_H_0001,"(0.02159468438538206, 0.021630615640599003, 0.021630615640599003)"
complex.0_16_25_corrected_H_0001,"(0.02159468438538206, 0.021630615640599003, 0.021630615640599003)"
complex.0_16_27_corrected_H_0001,"(0.02159468438538206, 0.021630615640599003, 0.021630615640599003)"
complex.0_16_33_corrected_H_0001,"(0.022425249169435217, 0.022462562396006656, 0.022462562396006656)"
complex.0_16_36_corrected_H_0001,"(0.022425249169435217, 0.022462562396006656, 0.022462562396006656)"
complex.0_16_4_corrected_H_0001,"(0.022425249169435217, 0.022462562396006656, 0.022462562396006656)"
complex.0_17_0_corrected_H_0001,"(0.02408637873754153, 0.024126455906821963, 0.024126455906821963)"
complex.0_17_23_corrected_H_0001,"(0.020764119601328904, 0.020798668885191347, 0.020798668885191347)"
complex.0_17_45_corrected_H_0001,"(0.023255813953488372, 0.02329450915141431, 0.02329450915141431)"
complex.0_17_8_corrected_H_0001,"(0.02159468438538206, 0.021630615640599003, 0.021630615640599003)"
complex.0_18_10_corrected_H_0001,"(0.02408637873754153, 0.024126455906821963, 0.024126455906821963)"
complex.0_1_15_corrected_H_0001,"(0.014119601328903655, 0.013311148086522463, 0.013588463671658346)"
complex.0_1_36_corrected_H_0001,"(0.012458471760797342, 0.012479201331114808, 0.012479201331114808)"
complex.0_1_43_corrected_H_0001,"(0.01744186046511628, 0.016638935108153077, 0.01691625069328896)"
complex.0_1_47_corrected_H_0001,"(0.014119601328903655, 0.014154870940882597, 0.014154870940882597)"
complex.0_1_5_corrected_H_0001,"(0.009136212624584718, 0.008319467554076539, 0.008596783139212423)"
complex.0_2_20_corrected_H_0001,"(0.014950166112956811, 0.014975041597337771, 0.014975041597337771)"
complex.0_2_23_corrected_H_0001,"(0.013289036544850499, 0.013311148086522463, 0.013311148086522463)"
complex.0_2_28_corrected_H_0001,"(0.013289036544850499, 0.013311148086522463, 0.013311148086522463)"
complex.0_2_31_corrected_H_0001,"(0.015780730897009966, 0.015806988352745424, 0.015806988352745424)"
complex.0_2_38_corrected_H_0001,"(0.01079734219269103, 0.010815307820299502, 0.010815307820299502)"
complex.0_2_49_corrected_H_0001,"(0.01079734219269103, 0.009983361064891847, 0.010260676650027731)"
complex.0_2_9_corrected_H_0001,"(0.014950166112956811, 0.014975041597337771, 0.014975041597337771)"
complex.0_3_10_corrected_H_0001,"(0.01079734219269103, 0.009983361064891847, 0.010260676650027731)"
complex.0_3_22_corrected_H_0001,"(0.01910299003322259, 0.01913477537437604, 0.01913477537437604)"
complex.0_3_35_corrected_H_0001,"(0.011627906976744186, 0.011647254575707155, 0.011647254575707155)"
complex.0_3_44_corrected_H_0001,"(0.009136212624584718, 0.009151414309484194, 0.009151414309484194)"
complex.0_3_47_corrected_H_0001,"(0.012458471760797342, 0.012479201331114808, 0.012479201331114808)"
complex.0_3_49_corrected_H_0001,"(0.013289036544850499, 0.012479201331114808, 0.012756516916250692)"
complex.0_3_4_corrected_H_0001,"(0.011627906976744186, 0.010815307820299502, 0.011092623405435384)"
complex.0_3_7_corrected_H_0001,"(0.018272425249169437, 0.018302828618968387, 0.018302828618968387)"
complex.0_3_9_corrected_H_0001,"(0.011627906976744186, 0.011647254575707155, 0.011647254575707155)"
complex.0_4_12_corrected_H_0001,"(0.014119601328903655, 0.014143094841930116, 0.014143094841930116)"
complex.0_4_16_corrected_H_0001,"(0.012458471760797342, 0.011647254575707155, 0.01192457016084304)"
complex.0_4_19_corrected_H_0001,"(0.009966777408637873, 0.009983361064891847, 0.009983361064891847)"
complex.0_4_36_corrected_H_0001,"(0.009966777408637873, 0.009983361064891847, 0.009983361064891847)"
complex.0_4_37_corrected_H_0001,"(0.015780730897009966, 0.014975041597337771, 0.015252357182473654)"
complex.0_5_10_corrected_H_0001,"(0.009966777408637873, 0.009151414309484194, 0.009428729894620076)"
complex.0_5_17_corrected_H_0001,"(0.014119601328903655, 0.013311148086522463, 0.013033832501386577)"
complex.0_5_28_corrected_H_0001,"(0.014119601328903655, 0.014154870940882597, 0.014154870940882597)"
complex.0_5_31_corrected_H_0001,"(0.012458471760797342, 0.011647254575707155, 0.01192457016084304)"
complex.0_5_39_corrected_H_0001,"(0.014119601328903655, 0.013311148086522463, 0.013588463671658346)"
complex.0_6_20_corrected_H_0001,"(0.014119601328903655, 0.013311148086522463, 0.013588463671658346)"
complex.0_6_24_corrected_H_0001,"(0.012458471760797342, 0.012479201331114808, 0.012479201331114808)"
complex.0_6_49_corrected_H_0001,"(0.014119601328903655, 0.012489592006661115, 0.0131834582292534)"
complex.0_7_22_corrected_H_0001,"(0.015780730897009966, 0.014975041597337771, 0.015252357182473654)"
complex.0_7_38_corrected_H_0001,"(0.016611295681063124, 0.016638935108153077, 0.016638935108153077)"
complex.0_7_41_corrected_H_0001,"(0.014119601328903655, 0.014143094841930116, 0.014143094841930116)"
complex.0_7_42_corrected_H_0001,"(0.01744186046511628, 0.016638935108153077, 0.01691625069328896)"
complex.0_7_8_corrected_H_0001,"(0.01910299003322259, 0.01913477537437604, 0.01913477537437604)"
complex.0_7_9_corrected_H_0001,"(0.012458471760797342, 0.011647254575707155, 0.01192457016084304)"
complex.0_8_15_corrected_H_0001,"(0.012458471760797342, 0.012479201331114808, 0.012479201331114808)"
complex.0_8_1_corrected_H_0001,"(0.019933554817275746, 0.019966722129783693, 0.019966722129783693)"
complex.0_8_36_corrected_H_0001,"(0.016611295681063124, 0.016638935108153077, 0.016638935108153077)"
complex.0_9_0_corrected_H_0001,"(0.019933554817275746, 0.019966722129783693, 0.019966722129783693)"
complex.0_9_13_corrected_H_0001,"(0.020764119601328904, 0.020798668885191347, 0.020798668885191347)"
complex.0_9_20_corrected_H_0001,"(0.01744186046511628, 0.017485428809325562, 0.017485428809325562)"
complex.0_9_28_corrected_H_0001,"(0.018272425249169437, 0.01747088186356073, 0.017748197448696615)"
complex.0_9_29_corrected_H_0001,"(0.01744186046511628, 0.01747088186356073, 0.01747088186356073)"
complex.0_9_44_corrected_H_0001,"(0.01910299003322259, 0.01913477537437604, 0.01913477537437604)"
complex.1_0_35_corrected_H_0001,"(0.005813953488372093, 0.005823627287853577, 0.005823627287853577)"
complex.1_0_3_corrected_H_0001,"(0.015780730897009966, 0.014975041597337771, 0.014697726012201883)"
complex.1_0_48_corrected_H_0001,"(0.006644518272425249, 0.0066555740432612314, 0.0066555740432612314)"
complex.1_10_28_corrected_H_0001,"(0.014119601328903655, 0.014143094841930116, 0.014143094841930116)"
complex.1_10_39_corrected_H_0001,"(0.019933554817275746, 0.019966722129783693, 0.019966722129783693)"
complex.1_11_10_corrected_H_0001,"(0.020764119601328904, 0.020798668885191347, 0.020798668885191347)"
complex.1_11_22_corrected_H_0001,"(0.015780730897009966, 0.015806988352745424, 0.015806988352745424)"
complex.1_11_23_corrected_H_0001,"(0.02159468438538206, 0.021630615640599003, 0.021630615640599003)"
complex.1_11_37_corrected_H_0001,"(0.019933554817275746, 0.019966722129783693, 0.019966722129783693)"
complex.1_11_6_corrected_H_0001,"(0.015780730897009966, 0.015806988352745424, 0.015806988352745424)"
complex.1_12_27_corrected_H_0001,"(0.023255813953488372, 0.02329450915141431, 0.02329450915141431)"
complex.1_12_38_corrected_H_0001,"(0.018272425249169437, 0.018302828618968387, 0.018302828618968387)"
complex.1_12_8_corrected_H_0001,"(0.020764119601328904, 0.020798668885191347, 0.020798668885191347)"
complex.1_13_10_corrected_H_0001,"(0.020764119601328904, 0.020798668885191347, 0.020798668885191347)"
complex.1_13_26_corrected_H_0001,"(0.019933554817275746, 0.019966722129783693, 0.019966722129783693)"
complex.1_13_37_corrected_H_0001,"(0.02159468438538206, 0.021630615640599003, 0.021630615640599003)"
complex.1_13_43_corrected_H_0001,"(0.019933554817275746, 0.019966722129783693, 0.019966722129783693)"
complex.1_13_45_corrected_H_0001,"(0.019933554817275746, 0.019966722129783693, 0.019966722129783693)"
complex.1_13_46_corrected_H_0001,"(0.01910299003322259, 0.01913477537437604, 0.01913477537437604)"
complex.1_13_9_corrected_H_0001,"(0.020764119601328904, 0.020798668885191347, 0.020798668885191347)"
complex.1_14_0_corrected_H_0001,"(0.020764119601328904, 0.020798668885191347, 0.020798668885191347)"
complex.1_14_15_corrected_H_0001,"(0.020764119601328904, 0.020798668885191347, 0.020798668885191347)"
complex.1_14_22_corrected_H_0001,"(0.02159468438538206, 0.021630615640599003, 0.021630615640599003)"
complex.1_14_26_corrected_H_0001,"(0.020764119601328904, 0.020798668885191347, 0.020798668885191347)"
complex.1_14_40_corrected_H_0001,"(0.02159468438538206, 0.021630615640599003, 0.021630615640599003)"
complex.1_15_14_corrected_H_0001,"(0.022425249169435217, 0.022462562396006656, 0.022462562396006656)"
complex.1_15_18_corrected_H_0001,"(0.02159468438538206, 0.021630615640599003, 0.021630615640599003)"
complex.1_15_24_corrected_H_0001,"(0.01910299003322259, 0.01913477537437604, 0.01913477537437604)"
complex.1_15_39_corrected_H_0001,"(0.023255813953488372, 0.02329450915141431, 0.02329450915141431)"
complex.1_15_46_corrected_H_0001,"(0.022425249169435217, 0.022462562396006656, 0.022462562396006656)"
complex.1_15_6_corrected_H_0001,"(0.020764119601328904, 0.020798668885191347, 0.020798668885191347)"
complex.1_16_0_corrected_H_0001,"(0.022425249169435217, 0.022462562396006656, 0.022462562396006656)"
complex.1_16_10_corrected_H_0001,"(0.022425249169435217, 0.022462562396006656, 0.022462562396006656)"
complex.1_16_37_corrected_H_0001,"(0.020764119601328904, 0.020798668885191347, 0.020798668885191347)"
complex.1_16_43_corrected_H_0001,"(0.02159468438538206, 0.021630615640599003, 0.021630615640599003)"
complex.1_16_9_corrected_H_0001,"(0.022425249169435217, 0.022462562396006656, 0.022462562396006656)"
complex.1_17_18_corrected_H_0001,"(0.01910299003322259, 0.01913477537437604, 0.01913477537437604)"
