pdb_file,patch_alignment_score,chain_patch_consistency_score,avg_patch_score
sampled_1spp_model_1,"(0.0035629453681710215, 0.003605769230769231, 0.003605769230769231)"
sampled_1spp_model_10,"(0.00831353919239905, 0.00842358604091456, 0.00842358604091456)"
sampled_1spp_model_100,"(0.011876484560570071, 0.01201923076923077, 0.01201923076923077)"
sampled_1spp_model_101,"(0.013064133016627079, 0.009626955475330927, 0.010295494050006685)"
sampled_1spp_model_102,"(0.017814726840855107, 0.013237063778580024, 0.013103356063644872)"
sampled_1spp_model_103,"(0.004750593824228029, 0.0048134777376654635, 0.0048134777376654635)"
sampled_1spp_model_104,"(0.00831353919239905, 0.006016847172081829, 0.006551678031822436)"
sampled_1spp_model_105,"(0.010688836104513063, 0.007211538461538462, 0.007879273504273504)"
sampled_1spp_model_106,"(0.00831353919239905, 0.004807692307692308, 0.005208333333333333)"
sampled_1spp_model_107,"(0.013064133016627079, 0.007202881152460984, 0.007402961184473789)"
sampled_1spp_model_108,"(0.017814726840855107, 0.012048192771084338, 0.0121285140562249)"
sampled_1spp_model_109,"(0.013064133016627079, 0.007202881152460984, 0.0071528611444577825)"
sampled_1spp_model_11,"(0.014251781472684086, 0.00842358604091456, 0.008289878325979409)"
sampled_1spp_model_110,"(0.007125890736342043, 0.007220216606498195, 0.007220216606498195)"
sampled_1spp_model_111,"(0.011876484560570071, 0.007211538461538462, 0.006677350427350427)"
sampled_1spp_model_112,"(0.015439429928741092, 0.013205282112845138, 0.013505402160864346)"
sampled_1spp_model_113,"(0.010688836104513063, 0.010817307692307692, 0.010817307692307692)"
sampled_1spp_model_114,"(0.00831353919239905, 0.004801920768307323, 0.005316412279197394)"
sampled_1spp_model_115,"(0.023752969121140142, 0.010830324909747292, 0.011398582698221686)"
sampled_1spp_model_116,"(0.0023752969121140144, 0.0024067388688327317, 0.0024067388688327317)"
sampled_1spp_model_117,"(0.011876484560570071, 0.00842358604091456, 0.008824709185720016)"
sampled_1spp_model_118,"(0.00831353919239905, 0.006002400960384154, 0.006552621048419367)"
sampled_1spp_model_119,"(0.009501187648456057, 0.0048134777376654635, 0.00529482551143201)"
sampled_1spp_model_12,"(0.0059382422802850355, 0.0036101083032490976, 0.003850782190132371)"
sampled_1spp_model_120,"(0.010688836104513063, 0.008413461538461538, 0.008146367521367522)"
sampled_1spp_model_121,"(0.014251781472684086, 0.010804321728691477, 0.010704281712685075)"
sampled_1spp_model_122,"(0.009501187648456057, 0.003605769230769231, 0.003205128205128205)"
sampled_1spp_model_123,"(0.020190023752969122, 0.014405762304921969, 0.014472455648926238)"
sampled_1spp_model_124,"(0.017814726840855107, 0.01201923076923077, 0.012152777777777778)"
sampled_1spp_model_125,"(0.009501187648456057, 0.0048134777376654635, 0.0048134777376654635)"
sampled_1spp_model_126,"(0.014251781472684086, 0.010817307692307692, 0.010683760683760684)"
sampled_1spp_model_127,"(0.0166270783847981, 0.009615384615384616, 0.009615384615384614)"
sampled_1spp_model_128,"(0.013064133016627079, 0.008413461538461538, 0.007962740384615384)"
sampled_1spp_model_129,"(0.010688836104513063, 0.0048134777376654635, 0.004332129963898917)"
sampled_1spp_model_13,"(0.010688836104513063, 0.010804321728691477, 0.010804321728691477)"
sampled_1spp_model_130,"(0.007125890736342043, 0.007220216606498195, 0.007220216606498195)"
sampled_1spp_model_131,"(0.011876484560570071, 0.009626955475330927, 0.010148415563578018)"
sampled_1spp_model_132,"(0.010688836104513063, 0.0048134777376654635, 0.004947185452600615)"
sampled_1spp_model_133,"(0.0059382422802850355, 0.006016847172081829, 0.006016847172081829)"
sampled_1spp_model_134,"(0.00831353919239905, 0.006009615384615385, 0.006276709401709402)"
sampled_1spp_model_135,"(0.009501187648456057, 0.004807692307692308, 0.005809294871794871)"
sampled_1spp_model_136,"(0.0035629453681710215, 0.0036101083032490976, 0.0036101083032490976)"
sampled_1spp_model_137,"(0.011876484560570071, 0.0048134777376654635, 0.0047332531087043725)"
sampled_1spp_model_138,"(0.004750593824228029, 0.004807692307692308, 0.004807692307692308)"
sampled_1spp_model_139,"(0.00831353919239905, 0.002403846153846154, 0.002253605769230769)"
sampled_1spp_model_14,"(0.011876484560570071, 0.007211538461538462, 0.006677350427350427)"
sampled_1spp_model_140,"(0.0166270783847981, 0.012004801920768308, 0.01147125516873416)"
