pdb_file,patch_alignment_score,chain_patch_consistency_score,avg_patch_score
complex.0_0_18_corrected_H_0001,"(0.0036991368680641184, 0.003709810387469085, 0.003709810387469085)"
complex.0_0_34_corrected_H_0001,"(0.0032881216605014385, 0.0033016921172100704, 0.0033016921172100704)"
complex.0_0_40_corrected_H_0001,"(0.004110152075626798, 0.004122011541632316, 0.004122011541632316)"
complex.0_0_6_corrected_H_0001,"(0.004110152075626798, 0.004125412541254125, 0.004125412541254125)"
complex.0_0_8_corrected_H_0001,"(0.005343197698314837, 0.0053608247422680414, 0.0053608247422680414)"
complex.0_10_33_corrected_H_0001,"(0.006987258528565557, 0.007007419620774938, 0.007007419620774938)"
complex.0_10_3_corrected_H_0001,"(0.005754212905877518, 0.0057684384013185, 0.0057684384013185)"
complex.0_10_7_corrected_H_0001,"(0.006165228113440197, 0.006183017312448475, 0.006183017312448475)"
complex.0_10_8_corrected_H_0001,"(0.006165228113440197, 0.006183017312448475, 0.006183017312448475)"
complex.0_11_2_corrected_H_0001,"(0.005754212905877518, 0.0057684384013185, 0.0057684384013185)"
complex.0_11_6_corrected_H_0001,"(0.004932182490752158, 0.00494641384995878, 0.00494641384995878)"
complex.0_12_16_corrected_H_0001,"(0.006165228113440197, 0.006183017312448475, 0.006183017312448475)"
complex.0_12_22_corrected_H_0001,"(0.006576243321002877, 0.006595218466611707, 0.006595218466611707)"
complex.0_12_23_corrected_H_0001,"(0.004521167283189478, 0.004534212695795548, 0.004534212695795548)"
complex.0_12_8_corrected_H_0001,"(0.006576243321002877, 0.006597938144329897, 0.006597938144329897)"
complex.0_13_0_corrected_H_0001,"(0.006576243321002877, 0.006592501030078286, 0.006592501030078286)"
complex.0_13_16_corrected_H_0001,"(0.005754212905877518, 0.005770816158285243, 0.005770816158285243)"
complex.0_13_20_corrected_H_0001,"(0.007398273736128237, 0.00741962077493817, 0.00741962077493817)"
complex.0_13_26_corrected_H_0001,"(0.007398273736128237, 0.00741962077493817, 0.00741962077493817)"
complex.0_13_29_corrected_H_0001,"(0.006576243321002877, 0.006603384234420141, 0.006603384234420141)"
complex.0_13_35_corrected_H_0001,"(0.004932182490752158, 0.00494641384995878, 0.00494641384995878)"
complex.0_13_3_corrected_H_0001,"(0.007809288943690916, 0.007831821929101401, 0.007831821929101401)"
complex.0_13_6_corrected_H_0001,"(0.005343197698314837, 0.0053586150041220115, 0.0053586150041220115)"
complex.0_14_10_corrected_H_0001,"(0.006987258528565557, 0.006595218466611707, 0.0068013190436933225)"
complex.0_14_12_corrected_H_0001,"(0.006576243321002877, 0.006595218466611707, 0.006595218466611707)"
complex.0_14_14_corrected_H_0001,"(0.006165228113440197, 0.006183017312448475, 0.006183017312448475)"
complex.0_14_39_corrected_H_0001,"(0.005754212905877518, 0.005770816158285243, 0.005770816158285243)"
complex.0_15_15_corrected_H_0001,"(0.006987258528565557, 0.007007419620774938, 0.007007419620774938)"
complex.0_15_3_corrected_H_0001,"(0.006165228113440197, 0.006180469715698393, 0.006180469715698393)"
complex.0_16_22_corrected_H_0001,"(0.006576243321002877, 0.006183017312448475, 0.006389117889530091)"
complex.0_16_24_corrected_H_0001,"(0.005343197698314837, 0.0053586150041220115, 0.0053586150041220115)"
complex.0_16_25_corrected_H_0001,"(0.006987258528565557, 0.007007419620774938, 0.007007419620774938)"
complex.0_16_30_corrected_H_0001,"(0.006576243321002877, 0.006595218466611707, 0.006595218466611707)"
complex.0_16_46_corrected_H_0001,"(0.006165228113440197, 0.006183017312448475, 0.006183017312448475)"
complex.0_17_27_corrected_H_0001,"(0.006165228113440197, 0.006183017312448475, 0.006183017312448475)"
complex.0_17_6_corrected_H_0001,"(0.006576243321002877, 0.006183017312448475, 0.006389117889530091)"
complex.0_18_12_corrected_H_0001,"(0.006165228113440197, 0.006183017312448475, 0.006183017312448475)"
complex.0_18_19_corrected_H_0001,"(0.007398273736128237, 0.00741962077493817, 0.00741962077493817)"
complex.0_18_2_corrected_H_0001,"(0.006576243321002877, 0.006595218466611707, 0.006595218466611707)"
complex.0_18_7_corrected_H_0001,"(0.006165228113440197, 0.006183017312448475, 0.006183017312448475)"
complex.0_1_17_corrected_H_0001,"(0.005343197698314837, 0.005365249690466364, 0.005365249690466364)"
complex.0_1_26_corrected_H_0001,"(0.006987258528565557, 0.007007419620774938, 0.007007419620774938)"
complex.0_1_3_corrected_H_0001,"(0.005754212905877518, 0.0057684384013185, 0.0057684384013185)"
complex.0_1_6_corrected_H_0001,"(0.006165228113440197, 0.006183017312448475, 0.006183017312448475)"
complex.0_1_9_corrected_H_0001,"(0.004932182490752158, 0.00494641384995878, 0.00494641384995878)"
complex.0_2_49_corrected_H_0001,"(0.004521167283189478, 0.004534212695795548, 0.004534212695795548)"
complex.0_3_24_corrected_H_0001,"(0.002466091245376079, 0.00247320692497939, 0.00247320692497939)"
complex.0_3_32_corrected_H_0001,"(0.005754212905877518, 0.005770816158285243, 0.005770816158285243)"
complex.0_3_37_corrected_H_0001,"(0.006987258528565557, 0.007007419620774938, 0.007007419620774938)"
complex.0_3_42_corrected_H_0001,"(0.006165228113440197, 0.005770816158285243, 0.005976916735366859)"
complex.0_3_48_corrected_H_0001,"(0.004932182490752158, 0.00494641384995878, 0.00494641384995878)"
complex.0_4_40_corrected_H_0001,"(0.006987258528565557, 0.007007419620774938, 0.007007419620774938)"
complex.0_5_23_corrected_H_0001,"(0.004932182490752158, 0.00494641384995878, 0.00494641384995878)"
complex.0_5_27_corrected_H_0001,"(0.006987258528565557, 0.007007419620774938, 0.007007419620774938)"
complex.0_5_4_corrected_H_0001,"(0.008631319358816275, 0.008656224237427864, 0.008656224237427864)"
complex.0_5_6_corrected_H_0001,"(0.006165228113440197, 0.006183017312448475, 0.006183017312448475)"
complex.0_5_8_corrected_H_0001,"(0.005754212905877518, 0.0057684384013185, 0.0057684384013185)"
complex.0_6_24_corrected_H_0001,"(0.004521167283189478, 0.004532344458178822, 0.004532344458178822)"
complex.0_6_29_corrected_H_0001,"(0.006576243321002877, 0.006592501030078286, 0.006592501030078286)"
complex.0_6_43_corrected_H_0001,"(0.005754212905877518, 0.005770816158285243, 0.005770816158285243)"
complex.0_6_47_corrected_H_0001,"(0.006165228113440197, 0.006183017312448475, 0.006183017312448475)"
complex.0_6_49_corrected_H_0001,"(0.004521167283189478, 0.004532344458178822, 0.004532344458178822)"
complex.0_6_5_corrected_H_0001,"(0.004521167283189478, 0.004532344458178822, 0.004532344458178822)"
complex.0_7_14_corrected_H_0001,"(0.004932182490752158, 0.00494641384995878, 0.00494641384995878)"
complex.0_7_19_corrected_H_0001,"(0.005754212905877518, 0.0057684384013185, 0.0057684384013185)"
complex.0_7_30_corrected_H_0001,"(0.004110152075626798, 0.004120313143798929, 0.004120313143798929)"
complex.0_7_41_corrected_H_0001,"(0.006165228113440197, 0.006183017312448475, 0.006183017312448475)"
complex.0_7_42_corrected_H_0001,"(0.005754212905877518, 0.0057684384013185, 0.0057684384013185)"
complex.0_7_45_corrected_H_0001,"(0.006165228113440197, 0.006180469715698393, 0.006180469715698393)"
complex.0_7_9_corrected_H_0001,"(0.006165228113440197, 0.006183017312448475, 0.006183017312448475)"
complex.0_8_10_corrected_H_0001,"(0.005754212905877518, 0.005770816158285243, 0.005770816158285243)"
complex.0_8_27_corrected_H_0001,"(0.006165228113440197, 0.006183017312448475, 0.006183017312448475)"
complex.0_8_41_corrected_H_0001,"(0.005754212905877518, 0.005770816158285243, 0.005770816158285243)"
complex.0_8_8_corrected_H_0001,"(0.006576243321002877, 0.006595218466611707, 0.006595218466611707)"
complex.0_9_23_corrected_H_0001,"(0.004521167283189478, 0.004534212695795548, 0.004534212695795548)"
complex.0_9_27_corrected_H_0001,"(0.006165228113440197, 0.006183017312448475, 0.006183017312448475)"
complex.0_9_29_corrected_H_0001,"(0.006165228113440197, 0.006180469715698393, 0.006180469715698393)"
complex.1_0_10_corrected_H_0001,"(0.0032881216605014385, 0.0032976092333058533, 0.0032976092333058533)"
complex.1_0_12_corrected_H_0001,"(0.0016440608302507192, 0.0016501650165016502, 0.0016501650165016502)"
complex.1_0_19_corrected_H_0001,"(0.005754212905877518, 0.005770816158285243, 0.005770816158285243)"
complex.1_0_24_corrected_H_0001,"(0.0032881216605014385, 0.00288659793814433, 0.003092783505154639)"
complex.1_0_32_corrected_H_0001,"(0.004521167283189478, 0.004539826661163846, 0.004539826661163846)"
complex.1_0_43_corrected_H_0001,"(0.005343197698314837, 0.0053608247422680414, 0.0053608247422680414)"
complex.1_10_23_corrected_H_0001,"(0.006165228113440197, 0.006183017312448475, 0.006183017312448475)"
complex.1_10_34_corrected_H_0001,"(0.006165228113440197, 0.006183017312448475, 0.006183017312448475)"
complex.1_10_38_corrected_H_0001,"(0.004521167283189478, 0.004534212695795548, 0.004534212695795548)"
complex.1_10_6_corrected_H_0001,"(0.005343197698314837, 0.005356407086938607, 0.005356407086938607)"
complex.1_11_20_corrected_H_0001,"(0.005754212905877518, 0.005770816158285243, 0.005770816158285243)"
complex.1_11_22_corrected_H_0001,"(0.007398273736128237, 0.00741962077493817, 0.00741962077493817)"
complex.1_11_24_corrected_H_0001,"(0.005754212905877518, 0.005770816158285243, 0.005770816158285243)"
complex.1_12_0_corrected_H_0001,"(0.004521167283189478, 0.004534212695795548, 0.004534212695795548)"
complex.1_13_13_corrected_H_0001,"(0.007809288943690916, 0.007831821929101401, 0.007831821929101401)"
complex.1_13_24_corrected_H_0001,"(0.006987258528565557, 0.007007419620774938, 0.007007419620774938)"
complex.1_13_32_corrected_H_0001,"(0.005754212905877518, 0.005770816158285243, 0.005770816158285243)"
complex.1_14_16_corrected_H_0001,"(0.006576243321002877, 0.006595218466611707, 0.006595218466611707)"
complex.1_14_28_corrected_H_0001,"(0.006576243321002877, 0.006592501030078286, 0.006592501030078286)"
complex.1_14_35_corrected_H_0001,"(0.005754212905877518, 0.005770816158285243, 0.005770816158285243)"
complex.1_14_38_corrected_H_0001,"(0.005754212905877518, 0.005775577557755775, 0.005775577557755775)"
complex.1_14_6_corrected_H_0001,"(0.006576243321002877, 0.006595218466611707, 0.006595218466611707)"
complex.1_15_22_corrected_H_0001,"(0.005754212905877518, 0.005770816158285243, 0.005770816158285243)"
complex.1_15_27_corrected_H_0001,"(0.006576243321002877, 0.006595218466611707, 0.006595218466611707)"
complex.1_15_33_corrected_H_0001,"(0.006165228113440197, 0.006183017312448475, 0.006183017312448475)"
complex.1_15_9_corrected_H_0001,"(0.007398273736128237, 0.00741962077493817, 0.00741962077493817)"
complex.1_16_10_corrected_H_0001,"(0.006165228113440197, 0.006183017312448475, 0.006183017312448475)"
complex.1_16_11_corrected_H_0001,"(0.006165228113440197, 0.005770816158285243, 0.005976916735366859)"
complex.1_16_13_corrected_H_0001,"(0.007809288943690916, 0.007831821929101401, 0.007831821929101401)"
complex.1_16_21_corrected_H_0001,"(0.006987258528565557, 0.007007419620774938, 0.007007419620774938)"
complex.1_16_42_corrected_H_0001,"(0.006987258528565557, 0.007007419620774938, 0.007007419620774938)"
complex.1_16_44_corrected_H_0001,"(0.006576243321002877, 0.006595218466611707, 0.006595218466611707)"
complex.1_16_7_corrected_H_0001,"(0.006987258528565557, 0.007007419620774938, 0.007007419620774938)"
complex.1_17_0_corrected_H_0001,"(0.006576243321002877, 0.006183017312448475, 0.006389117889530091)"
complex.1_17_2_corrected_H_0001,"(0.006576243321002877, 0.006595218466611707, 0.006595218466611707)"
complex.1_17_31_corrected_H_0001,"(0.006576243321002877, 0.006595218466611707, 0.006595218466611707)"
complex.1_17_4_corrected_H_0001,"(0.006576243321002877, 0.006595218466611707, 0.006595218466611707)"
complex.1_17_8_corrected_H_0001,"(0.006165228113440197, 0.005770816158285243, 0.005976916735366859)"
complex.1_18_11_corrected_H_0001,"(0.006576243321002877, 0.006595218466611707, 0.006595218466611707)"
complex.1_18_8_corrected_H_0001,"(0.006987258528565557, 0.007007419620774938, 0.007007419620774938)"
complex.1_1_16_corrected_H_0001,"(0.006576243321002877, 0.006595218466611707, 0.006595218466611707)"
