pdb_file,score,weighted_avg,avg,standard_dev
sampled_2dvw_model_1_2dvw,6877294.966666667,1375458.9933333334,3011954.0,0.0
sampled_2dvw_model_10_2dvw,6865389.666666667,1373077.933333333,3006740.0,0.0
sampled_2dvw_model_100_2dvw,6877294.966666667,1375458.9933333334,3011954.0,0.0
sampled_2dvw_model_101_2dvw,6278525.0,1569631.25,3013692.0,0.0
sampled_2dvw_model_102_2dvw,7379287.3,1229881.2166666666,3011954.0,0.0
sampled_2dvw_model_103_2dvw,7375029.2,1229171.5333333334,3010216.0,0.0
sampled_2dvw_model_104_2dvw,6877294.966666667,1375458.9933333334,3011954.0,0.0
sampled_2dvw_model_105_2dvw,6873326.533333333,1374665.3066666666,3010216.0,0.0
sampled_2dvw_model_106_2dvw,6877294.966666667,1375458.9933333334,3011954.0,0.0
sampled_2dvw_model_107_2dvw,7379287.3,1229881.2166666666,3011954.0,0.0
sampled_2dvw_model_108_2dvw,6278525.0,1569631.25,3013692.0,0.0
sampled_2dvw_model_109_2dvw,6877294.966666667,1375458.9933333334,3011954.0,0.0
sampled_2dvw_model_11_2dvw,6877294.966666667,1375458.9933333334,3011954.0,0.0
sampled_2dvw_model_110_2dvw,6274904.166666667,1568726.0416666667,3011954.0,0.0
sampled_2dvw_model_111_2dvw,6877294.966666667,1375458.9933333334,3011954.0,0.0
sampled_2dvw_model_112_2dvw,6274904.166666667,1568726.0416666667,3011954.0,0.0
sampled_2dvw_model_113_2dvw,6274904.166666667,1568726.0416666667,3011954.0,0.0
sampled_2dvw_model_114_2dvw,6877294.966666667,1375458.9933333334,3011954.0,0.0
sampled_2dvw_model_115_2dvw,6873326.533333333,1374665.3066666666,3010216.0,0.0
sampled_2dvw_model_116_2dvw,6278525.0,1569631.25,3013692.0,0.0
sampled_2dvw_model_117_2dvw,6278525.0,1569631.25,3013692.0,0.0
sampled_2dvw_model_118_2dvw,6881263.4,1376252.6800000002,3013692.0,0.0
sampled_2dvw_model_119_2dvw,6873326.533333333,1374665.3066666666,3010216.0,0.0
sampled_2dvw_model_12_2dvw,6877294.966666667,1375458.9933333334,3011954.0,0.0
sampled_2dvw_model_120_2dvw,6873326.533333333,1374665.3066666666,3010216.0,0.0
sampled_2dvw_model_121_2dvw,6873326.533333333,1374665.3066666666,3010216.0,0.0
sampled_2dvw_model_122_2dvw,6877294.966666667,1375458.9933333334,3011954.0,0.0
sampled_2dvw_model_123_2dvw,6877294.966666667,1375458.9933333334,3011954.0,0.0
sampled_2dvw_model_124_2dvw,6877294.966666667,1375458.9933333334,3011954.0,0.0
sampled_2dvw_model_125_2dvw,6865389.666666667,1373077.933333333,3006740.0,0.0
sampled_2dvw_model_126_2dvw,6877294.966666667,1375458.9933333334,3011954.0,0.0
sampled_2dvw_model_127_2dvw,6877294.966666667,1375458.9933333334,3011954.0,0.0
sampled_2dvw_model_128_2dvw,6877294.966666667,1375458.9933333334,3011954.0,0.0
sampled_2dvw_model_129_2dvw,6877294.966666667,1375458.9933333334,3011954.0,0.0
sampled_2dvw_model_13_2dvw,6877294.966666667,1375458.9933333334,3011954.0,0.0
sampled_2dvw_model_130_2dvw,6274904.166666667,1568726.0416666667,3011954.0,0.0
sampled_2dvw_model_131_2dvw,6877294.966666667,1375458.9933333334,3011954.0,0.0
sampled_2dvw_model_132_2dvw,6274904.166666667,1568726.0416666667,3011954.0,0.0
sampled_2dvw_model_133_2dvw,6873326.533333333,1374665.3066666666,3010216.0,0.0
sampled_2dvw_model_134_2dvw,6877294.966666667,1375458.9933333334,3011954.0,0.0
sampled_2dvw_model_135_2dvw,6873326.533333333,1374665.3066666666,3010216.0,0.0
sampled_2dvw_model_136_2dvw,6873326.533333333,1374665.3066666666,3010216.0,0.0
sampled_2dvw_model_137_2dvw,6877294.966666667,1375458.9933333334,3011954.0,0.0
sampled_2dvw_model_138_2dvw,6877294.966666667,1375458.9933333334,3011954.0,0.0
sampled_2dvw_model_139_2dvw,6873326.533333333,1374665.3066666666,3010216.0,0.0
sampled_2dvw_model_14_2dvw,6877294.966666667,1375458.9933333334,3011954.0,0.0
sampled_2dvw_model_140_2dvw,6873326.533333333,1374665.3066666666,3010216.0,0.0
sampled_2dvw_model_141_2dvw,6877294.966666667,1375458.9933333334,3011954.0,0.0
sampled_2dvw_model_142_2dvw,6877294.966666667,1375458.9933333334,3011954.0,0.0
sampled_2dvw_model_143_2dvw,6877294.966666667,1375458.9933333334,3011954.0,0.0
sampled_2dvw_model_144_2dvw,6278525.0,1569631.25,3013692.0,0.0
sampled_2dvw_model_145_2dvw,6873326.533333333,1374665.3066666666,3010216.0,0.0
sampled_2dvw_model_146_2dvw,7366513.0,1227752.1666666667,3006740.0,0.0
sampled_2dvw_model_147_2dvw,6877294.966666667,1375458.9933333334,3011954.0,0.0
sampled_2dvw_model_148_2dvw,7366513.0,1227752.1666666667,3006740.0,0.0
sampled_2dvw_model_149_2dvw,6877294.966666667,1375458.9933333334,3011954.0,0.0
sampled_2dvw_model_15_2dvw,6877294.966666667,1375458.9933333334,3011954.0,0.0
sampled_2dvw_model_150_2dvw,6877294.966666667,1375458.9933333334,3011954.0,0.0
sampled_2dvw_model_151_2dvw,6274904.166666667,1568726.0416666667,3011954.0,0.0
sampled_2dvw_model_152_2dvw,6877294.966666667,1375458.9933333334,3011954.0,0.0
sampled_2dvw_model_153_2dvw,6274904.166666667,1568726.0416666667,3011954.0,0.0
sampled_2dvw_model_154_2dvw,6877294.966666667,1375458.9933333334,3011954.0,0.0
sampled_2dvw_model_155_2dvw,6877294.966666667,1375458.9933333334,3011954.0,0.0
sampled_2dvw_model_156_2dvw,6865389.666666667,1373077.933333333,3006740.0,0.0
sampled_2dvw_model_157_2dvw,6274904.166666667,1568726.0416666667,3011954.0,0.0
sampled_2dvw_model_158_2dvw,6869358.1,1373871.62,3008478.0,0.0
sampled_2dvw_model_159_2dvw,6873326.533333333,1374665.3066666666,3010216.0,0.0
sampled_2dvw_model_16_2dvw,6873326.533333333,1374665.3066666666,3010216.0,0.0
sampled_2dvw_model_160_2dvw,6861421.233333333,1372284.2466666666,3005002.0,0.0
sampled_2dvw_model_161_2dvw,6873326.533333333,1374665.3066666666,3010216.0,0.0
sampled_2dvw_model_162_2dvw,6877294.966666667,1375458.9933333334,3011954.0,0.0
sampled_2dvw_model_163_2dvw,6877294.966666667,1375458.9933333334,3011954.0,0.0
sampled_2dvw_model_164_2dvw,6877294.966666667,1375458.9933333334,3011954.0,0.0
sampled_2dvw_model_165_2dvw,6278525.0,1569631.25,3013692.0,0.0
sampled_2dvw_model_166_2dvw,6873326.533333333,1374665.3066666666,3010216.0,0.0
sampled_2dvw_model_167_2dvw,6877294.966666667,1375458.9933333334,3011954.0,0.0
sampled_2dvw_model_168_2dvw,6274904.166666667,1568726.0416666667,3011954.0,0.0
sampled_2dvw_model_169_2dvw,6877294.966666667,1375458.9933333334,3011954.0,0.0
sampled_2dvw_model_17_2dvw,6877294.966666667,1375458.9933333334,3011954.0,0.0
sampled_2dvw_model_170_2dvw,6877294.966666667,1375458.9933333334,3011954.0,0.0
sampled_2dvw_model_171_2dvw,6873326.533333333,1374665.3066666666,3010216.0,0.0
sampled_2dvw_model_172_2dvw,6877294.966666667,1375458.9933333334,3011954.0,0.0
sampled_2dvw_model_173_2dvw,6877294.966666667,1375458.9933333334,3011954.0,0.0
sampled_2dvw_model_174_2dvw,6877294.966666667,1375458.9933333334,3011954.0,0.0
sampled_2dvw_model_175_2dvw,6278525.0,1569631.25,3013692.0,0.0
sampled_2dvw_model_176_2dvw,6877294.966666667,1375458.9933333334,3011954.0,0.0
sampled_2dvw_model_177_2dvw,6873326.533333333,1374665.3066666666,3010216.0,0.0
sampled_2dvw_model_178_2dvw,6877294.966666667,1375458.9933333334,3011954.0,0.0
sampled_2dvw_model_179_2dvw,6873326.533333333,1374665.3066666666,3010216.0,0.0
sampled_2dvw_model_18_2dvw,6877294.966666667,1375458.9933333334,3011954.0,0.0
sampled_2dvw_model_180_2dvw,6873326.533333333,1374665.3066666666,3010216.0,0.0
sampled_2dvw_model_181_2dvw,6877294.966666667,1375458.9933333334,3011954.0,0.0
sampled_2dvw_model_182_2dvw,7375029.2,1229171.5333333334,3010216.0,0.0
sampled_2dvw_model_183_2dvw,6873326.533333333,1374665.3066666666,3010216.0,0.0
sampled_2dvw_model_184_2dvw,6274904.166666667,1568726.0416666667,3011954.0,0.0
sampled_2dvw_model_185_2dvw,6873326.533333333,1374665.3066666666,3010216.0,0.0
sampled_2dvw_model_186_2dvw,6873326.533333333,1374665.3066666666,3010216.0,0.0
sampled_2dvw_model_187_2dvw,6877294.966666667,1375458.9933333334,3011954.0,0.0
sampled_2dvw_model_188_2dvw,6873326.533333333,1374665.3066666666,3010216.0,0.0
sampled_2dvw_model_189_2dvw,6278525.0,1569631.25,3013692.0,0.0
sampled_2dvw_model_19_2dvw,6877294.966666667,1375458.9933333334,3011954.0,0.0
sampled_2dvw_model_190_2dvw,6873326.533333333,1374665.3066666666,3010216.0,0.0
sampled_2dvw_model_191_2dvw,6877294.966666667,1375458.9933333334,3011954.0,0.0
sampled_2dvw_model_192_2dvw,6877294.966666667,1375458.9933333334,3011954.0,0.0
sampled_2dvw_model_193_2dvw,6873326.533333333,1374665.3066666666,3010216.0,0.0
sampled_2dvw_model_194_2dvw,6881263.4,1376252.6800000002,3013692.0,0.0
sampled_2dvw_model_195_2dvw,6877294.966666667,1375458.9933333334,3011954.0,0.0
sampled_2dvw_model_196_2dvw,6278525.0,1569631.25,3013692.0,0.0
sampled_2dvw_model_197_2dvw,6877294.966666667,1375458.9933333334,3011954.0,0.0
sampled_2dvw_model_198_2dvw,6877294.966666667,1375458.9933333334,3011954.0,0.0
sampled_2dvw_model_199_2dvw,6873326.533333333,1374665.3066666666,3010216.0,0.0
sampled_2dvw_model_2_2dvw,6873326.533333333,1374665.3066666666,3010216.0,0.0
sampled_2dvw_model_20_2dvw,6873326.533333333,1374665.3066666666,3010216.0,0.0
sampled_2dvw_model_200_2dvw,6873326.533333333,1374665.3066666666,3010216.0,0.0
sampled_2dvw_model_201_2dvw,6877294.966666667,1375458.9933333334,3011954.0,0.0
sampled_2dvw_model_202_2dvw,6873326.533333333,1374665.3066666666,3010216.0,0.0
sampled_2dvw_model_203_2dvw,6877294.966666667,1375458.9933333334,3011954.0,0.0
sampled_2dvw_model_204_2dvw,6873326.533333333,1374665.3066666666,3010216.0,0.0
sampled_2dvw_model_205_2dvw,6274904.166666667,1568726.0416666667,3011954.0,0.0
sampled_2dvw_model_206_2dvw,6873326.533333333,1374665.3066666666,3010216.0,0.0
sampled_2dvw_model_207_2dvw,6861421.233333333,1372284.2466666666,3005002.0,0.0
sampled_2dvw_model_208_2dvw,6873326.533333333,1374665.3066666666,3010216.0,0.0
sampled_2dvw_model_209_2dvw,6274904.166666667,1568726.0416666667,3011954.0,0.0
sampled_2dvw_model_21_2dvw,6877294.966666667,1375458.9933333334,3011954.0,0.0
sampled_2dvw_model_210_2dvw,6278525.0,1569631.25,3013692.0,0.0
sampled_2dvw_model_211_2dvw,6274904.166666667,1568726.0416666667,3011954.0,0.0
sampled_2dvw_model_212_2dvw,6877294.966666667,1375458.9933333334,3011954.0,0.0
sampled_2dvw_model_213_2dvw,6873326.533333333,1374665.3066666666,3010216.0,0.0
sampled_2dvw_model_214_2dvw,6877294.966666667,1375458.9933333334,3011954.0,0.0
sampled_2dvw_model_215_2dvw,6274904.166666667,1568726.0416666667,3011954.0,0.0
sampled_2dvw_model_216_2dvw,6877294.966666667,1375458.9933333334,3011954.0,0.0
sampled_2dvw_model_217_2dvw,6873326.533333333,1374665.3066666666,3010216.0,0.0
sampled_2dvw_model_218_2dvw,6274904.166666667,1568726.0416666667,3011954.0,0.0
sampled_2dvw_model_219_2dvw,6881263.4,1376252.6800000002,3013692.0,0.0
