pdb_file,patch_alignment_score,chain_patch_consistency_score,avg_patch_score
complex.0_0_37_corrected_H_0001,0.5767844268204758,0.5822416302765648,0.5822416302765648
complex.0_0_43_corrected_H_0001,0.7209805335255948,0.5809731299927379,0.6535947712418301
complex.0_0_4_corrected_H_0001,0.3604902667627974,0.36310820624546114,0.36310820624546114
complex.0_10_11_corrected_H_0001,1.658255227108868,1.5261627906976742,1.5988372093023258
complex.0_10_16_corrected_H_0001,1.658255227108868,1.597676107480029,1.6339869281045754
complex.0_10_17_corrected_H_0001,1.4419610670511895,1.2336719883889695,1.320754716981132
complex.0_10_37_corrected_H_0001,1.802451333813987,1.4534883720930232,1.4950166112956809
complex.0_10_3_corrected_H_0001,1.8745493871665464,1.5953589557650472,1.6171138506163887
complex.0_10_41_corrected_H_0001,2.235039653929344,1.9593613933236573,1.9714562167392355
complex.0_10_48_corrected_H_0001,1.225666906993511,1.2345679012345678,1.2345679012345678
complex.0_11_1_corrected_H_0001,1.9466474405191059,1.890909090909091,1.927272727272727
complex.0_11_20_corrected_H_0001,2.1629416005767843,2.1075581395348837,2.1438953488372094
complex.0_12_13_corrected_H_0001,2.0187454938716654,1.9607843137254901,1.9970951343500365
complex.0_12_18_corrected_H_0001,1.8745493871665464,1.8181818181818181,1.8545454545454545
complex.0_12_19_corrected_H_0001,1.802451333813987,1.670297748729121,1.7429193899782136
complex.0_12_20_corrected_H_0001,1.5861571737563085,1.380813953488372,1.489825581395349
complex.0_12_21_corrected_H_0001,1.9466474405191059,1.8168604651162792,1.88953488372093
complex.0_12_28_corrected_H_0001,2.1629416005767843,1.8168604651162792,1.8583887043189367
complex.0_13_14_corrected_H_0001,1.802451333813987,1.6,1.6848484848484848
complex.0_13_21_corrected_H_0001,2.0908435472242246,2.037845705967977,2.074235807860262
complex.0_13_33_corrected_H_0001,1.8745493871665464,1.8142235123367199,1.8505079825834543
complex.0_13_37_corrected_H_0001,2.235039653929344,1.888162672476398,1.9365770999757927
complex.0_13_49_corrected_H_0001,1.658255227108868,1.597676107480029,1.6339869281045754
complex.0_13_7_corrected_H_0001,1.802451333813987,1.6727272727272726,1.7454545454545456
complex.0_13_9_corrected_H_0001,2.0187454938716654,1.9607843137254901,1.9970951343500365
complex.0_14_15_corrected_H_0001,2.1629416005767843,1.9636363636363636,2.050909090909091
complex.0_14_27_corrected_H_0001,1.8745493871665464,1.6727272727272726,1.7545454545454544
complex.0_14_36_corrected_H_0001,2.1629416005767843,2.0348837209302326,2.1075581395348837
complex.0_14_43_corrected_H_0001,1.9466474405191059,1.815541031227306,1.8639554587267004
complex.0_15_19_corrected_H_0001,2.0187454938716654,1.9636363636363636,2.0
complex.0_15_27_corrected_H_0001,2.1629416005767843,2.033405954974582,2.1060275962236745
complex.0_15_29_corrected_H_0001,1.8745493871665464,1.8234865061998542,1.8599562363238513
complex.0_15_31_corrected_H_0001,2.3071377072819033,2.1802325581395348,2.225654069767442
complex.0_15_3_corrected_H_0001,2.0187454938716654,1.88953488372093,1.9622093023255813
complex.0_16_20_corrected_H_0001,2.235039653929344,2.1075581395348837,2.1542774086378738
complex.0_16_24_corrected_H_0001,2.1629416005767843,2.037845705967977,2.1106259097525473
complex.0_16_2_corrected_H_0001,2.235039653929344,2.033405954974582,2.1205519244734927
complex.0_17_16_corrected_H_0001,2.3071377072819033,2.181818181818182,2.226262626262626
