pdb_file,patch_alignment_score,chain_patch_consistency_score,avg_patch_score
complex.0_0_15_corrected_H_0001_6yxj,0.4069175991861647,0.3083247687564234,0.342583076396026
complex.0_0_19_corrected_H_0001_6yxj,0.6103763987792472,0.6160164271047228,0.6160164271047228
complex.0_0_28_corrected_H_0001_6yxj,0.508646998982706,0.5133470225872689,0.5133470225872689
complex.0_0_39_corrected_H_0001_6yxj,0.9155645981688708,0.8221993833504625,0.8564576909900651
complex.0_0_4_corrected_H_0001_6yxj,1.119023397761953,0.7216494845360825,0.8934707903780068
complex.0_0_8_corrected_H_0001_6yxj,0.6103763987792472,0.6153846153846154,0.6153846153846154
complex.0_10_15_corrected_H_0001_6yxj,1.3224821973550356,1.2345679012345678,1.2688614540466392
complex.0_10_19_corrected_H_0001_6yxj,1.017293997965412,1.0309278350515465,1.0309278350515465
complex.0_10_27_corrected_H_0001_6yxj,1.119023397761953,0.9268795056642636,1.0127016821146586
complex.0_10_28_corrected_H_0001_6yxj,1.2207527975584944,1.2332990750256936,1.2332990750256936
complex.0_10_32_corrected_H_0001_6yxj,1.3224821973550356,1.235839340885685,1.287332646755922
complex.0_10_39_corrected_H_0001_6yxj,1.2207527975584944,1.2320328542094456,1.2320328542094456
complex.0_10_49_corrected_H_0001_6yxj,1.3224821973550356,1.2332990750256936,1.2675573826652964
complex.0_10_7_corrected_H_0001_6yxj,1.119023397761953,1.132852729145211,1.132852729145211
complex.0_10_8_corrected_H_0001_6yxj,1.4242115971515767,1.2371134020618555,1.3402061855670102
complex.0_11_10_corrected_H_0001_6yxj,1.3224821973550356,1.134020618556701,1.2371134020618555
complex.0_11_13_corrected_H_0001_6yxj,0.9155645981688708,0.8247422680412372,0.8762886597938144
complex.0_11_30_corrected_H_0001_6yxj,1.4242115971515767,1.3360739979445015,1.3874614594039054
complex.0_11_43_corrected_H_0001_6yxj,1.3224821973550356,1.235839340885685,1.287332646755922
complex.0_11_49_corrected_H_0001_6yxj,1.2207527975584944,1.1305241521068858,1.18191161356629
complex.0_12_15_corrected_H_0001_6yxj,1.4242115971515767,1.2332990750256936,1.3360739979445015
complex.0_12_21_corrected_H_0001_6yxj,1.3224821973550356,1.3360739979445015,1.3360739979445015
complex.0_12_22_corrected_H_0001_6yxj,1.4242115971515767,1.3388259526261586,1.3731548232063164
complex.0_12_46_corrected_H_0001_6yxj,1.3224821973550356,1.0373443983402488,1.1134163208852006
complex.0_13_19_corrected_H_0001_6yxj,1.525940996948118,1.1375387797311272,1.1651154774215788
complex.0_13_1_corrected_H_0001_6yxj,1.017293997965412,1.02880658436214,1.02880658436214
complex.0_13_21_corrected_H_0001_6yxj,1.525940996948118,1.3415892672858616,1.4447884416924663
complex.0_13_27_corrected_H_0001_6yxj,1.017293997965412,0.9278350515463918,0.979381443298969
complex.0_13_30_corrected_H_0001_6yxj,1.4242115971515767,1.3388259526261586,1.3903192584963957
complex.0_13_3_corrected_H_0001_6yxj,1.119023397761953,1.026694045174538,1.0780287474332648
complex.0_13_41_corrected_H_0001_6yxj,1.525940996948118,1.132852729145211,1.218674905595606
complex.0_13_43_corrected_H_0001_6yxj,1.3224821973550356,1.2320328542094456,1.266255989048597
complex.0_14_16_corrected_H_0001_6yxj,1.3224821973550356,1.2345679012345678,1.286008230452675
complex.0_14_24_corrected_H_0001_6yxj,1.4242115971515767,1.3388259526261586,1.3903192584963957
complex.0_14_25_corrected_H_0001_6yxj,1.2207527975584944,1.131687242798354,1.183127572016461
complex.0_14_31_corrected_H_0001_6yxj,1.3224821973550356,1.235839340885685,1.287332646755922
complex.0_14_48_corrected_H_0001_6yxj,1.525940996948118,1.3415892672858616,1.4447884416924663
complex.0_14_8_corrected_H_0001_6yxj,1.3224821973550356,1.235839340885685,1.270168211465843
complex.0_15_12_corrected_H_0001_6yxj,1.119023397761953,1.027749229188078,1.062007536827681
complex.0_15_17_corrected_H_0001_6yxj,1.3224821973550356,1.2371134020618555,1.2886597938144329
complex.0_15_33_corrected_H_0001_6yxj,1.4242115971515767,1.337448559670782,1.3888888888888888
complex.0_15_3_corrected_H_0001_6yxj,1.525940996948118,1.4447884416924663,1.4963880288957687
complex.0_15_44_corrected_H_0001_6yxj,1.4242115971515767,1.235839340885685,1.3216615173360795
complex.0_15_49_corrected_H_0001_6yxj,1.4242115971515767,1.3388259526261586,1.3731548232063164
complex.0_16_11_corrected_H_0001_6yxj,1.119023397761953,1.1305241521068858,1.1305241521068858
complex.0_16_14_corrected_H_0001_6yxj,1.119023397761953,1.027749229188078,1.079136690647482
complex.0_16_21_corrected_H_0001_6yxj,1.119023397761953,1.1293634496919918,1.1293634496919918
complex.0_16_33_corrected_H_0001_6yxj,1.2207527975584944,1.1351909184726523,1.186790505675955
complex.0_17_13_corrected_H_0001_6yxj,1.2207527975584944,1.131687242798354,1.183127572016461
complex.0_17_20_corrected_H_0001_6yxj,1.4242115971515767,1.3360739979445015,1.370332305584104
complex.0_17_26_corrected_H_0001_6yxj,1.2207527975584944,1.1305241521068858,1.18191161356629
complex.0_17_5_corrected_H_0001_6yxj,1.2207527975584944,1.2371134020618555,1.2371134020618555
complex.0_18_11_corrected_H_0001_6yxj,1.4242115971515767,1.3360739979445015,1.3874614594039054
complex.0_18_16_corrected_H_0001_6yxj,1.525940996948118,1.5416238437821173,1.5416238437821173
complex.0_18_20_corrected_H_0001_6yxj,1.2207527975584944,1.1305241521068858,1.18191161356629
complex.0_18_28_corrected_H_0001_6yxj,1.017293997965412,1.026694045174538,1.026694045174538
complex.0_18_2_corrected_H_0001_6yxj,1.2207527975584944,1.1305241521068858,1.18191161356629
complex.0_18_32_corrected_H_0001_6yxj,1.2207527975584944,1.2332990750256936,1.2332990750256936
complex.0_1_13_corrected_H_0001_6yxj,1.2207527975584944,1.1293634496919918,1.1806981519507187
complex.0_1_22_corrected_H_0001_6yxj,0.9155645981688708,0.7209062821833162,0.806728458633711
complex.0_1_2_corrected_H_0001_6yxj,0.6103763987792472,0.513874614594039,0.5481329222336416
complex.0_1_43_corrected_H_0001_6yxj,1.3224821973550356,1.1305241521068858,1.2332990750256936
complex.0_1_46_corrected_H_0001_6yxj,0.6103763987792472,0.5159958720330238,0.5503955968352254
complex.0_1_9_corrected_H_0001_6yxj,1.017293997965412,0.9240246406570842,0.9582477754962356
complex.0_2_1_corrected_H_0001_6yxj,0.8138351983723295,0.8213552361396305,0.8213552361396305
complex.0_2_28_corrected_H_0001_6yxj,1.017293997965412,1.0298661174047374,1.0298661174047374
complex.0_2_2_corrected_H_0001_6yxj,0.7121057985757884,0.7209062821833162,0.7209062821833162
complex.0_2_33_corrected_H_0001_6yxj,0.4069175991861647,0.411522633744856,0.411522633744856
complex.0_2_35_corrected_H_0001_6yxj,1.2207527975584944,1.0309278350515465,1.1168384879725084
