model,fnat,lrmsd,irmsd,dockQ
complex.1001_3_corrected_H_0001_T41,0.035,28.35,11.324,0.045
complex.10219_0_corrected_H_0001_T41,0.053,20.981,13.416,0.069
complex.10249_5_corrected_H_0001_T41,0.0,52.041,12.445,0.013
complex.10249_9_corrected_H_0001_T41,0.0,54.826,13.717,0.012
complex.10283_4_corrected_H_0001_T41,0.053,18.141,11.754,0.083
complex.10351_8_corrected_H_0001_T41,0.07,18.386,4.243,0.119
complex.10472_5_corrected_H_0001_T41,0.14,9.385,4.149,0.236
complex.10481_8_corrected_H_0001_T41,0.0,22.789,12.352,0.046
complex.10505_0_corrected_H_0001_T41,0.0,27.124,12.584,0.034
complex.10515_4_corrected_H_0001_T41,0.018,32.106,13.147,0.032
complex.10694_1_corrected_H_0001_T41,0.158,21.453,7.602,0.11
complex.10772_9_corrected_H_0001_T41,0.018,34.359,9.103,0.034
complex.10882_1_corrected_H_0001_T41,0.0,27.675,8.711,0.038
complex.10925_5_corrected_H_0001_T41,0.0,45.298,11.438,0.017
complex.10934_4_corrected_H_0001_T41,0.0,30.295,9.294,0.033
complex.11002_7_corrected_H_0001_T41,0.018,22.952,10.782,0.052
complex.11025_7_corrected_H_0001_T41,0.018,27.663,7.302,0.048
complex.11035_3_corrected_H_0001_T41,0.0,22.571,11.777,0.047
complex.11086_6_corrected_H_0001_T41,0.018,34.768,12.067,0.03
complex.11106_4_corrected_H_0001_T41,0.0,18.882,7.205,0.07
complex.11146_1_corrected_H_0001_T41,0.053,41.578,12.789,0.035
complex.11195_8_corrected_H_0001_T41,0.0,34.698,12.486,0.024
complex.11204_9_corrected_H_0001_T41,0.0,32.202,8.321,0.032
complex.11222_5_corrected_H_0001_T41,0.035,32.798,8.7,0.042
complex.11330_7_corrected_H_0001_T41,0.0,32.309,8.638,0.031
complex.11441_8_corrected_H_0001_T41,0.018,22.209,12.527,0.053
complex.11445_8_corrected_H_0001_T41,0.0,29.21,12.403,0.031
complex.11545_3_corrected_H_0001_T41,0.035,32.897,9.554,0.041
complex.1155_4_corrected_H_0001_T41,0.105,16.36,7.242,0.12
complex.11576_6_corrected_H_0001_T41,0.035,35.35,9.942,0.037
complex.11627_0_corrected_H_0001_T41,0.0,48.016,14.23,0.014
complex.11650_7_corrected_H_0001_T41,0.018,22.176,11.848,0.054
complex.11685_1_corrected_H_0001_T41,0.0,28.095,10.272,0.035
complex.11738_1_corrected_H_0001_T41,0.088,22.223,7.787,0.084
complex.11773_1_corrected_H_0001_T41,0.018,32.299,9.339,0.036
complex.11783_0_corrected_H_0001_T41,0.0,55.118,14.575,0.011
complex.11795_4_corrected_H_0001_T41,0.053,17.81,9.811,0.087
complex.11813_2_corrected_H_0001_T41,0.035,20.766,13.541,0.064
complex.11817_8_corrected_H_0001_T41,0.018,38.631,10.923,0.027
complex.11850_8_corrected_H_0001_T41,0.0,26.992,12.333,0.035
complex.11949_3_corrected_H_0001_T41,0.0,57.763,14.643,0.011
complex.12015_0_corrected_H_0001_T41,0.0,43.773,12.379,0.017
complex.12058_9_corrected_H_0001_T41,0.0,33.816,12.619,0.024
