pdb,spearman_correlation_contacts
1acb,0.541807215535126
1ay7,0.7614241619747952
1c3a,0.8345177784399552
1euv,0.7550045471046438
1f60,0.8330441026055089
1ggp,0.7205405142417428
1itb,0.8414571092515568
1j7d,0.6509690725359484
1kfu,0.8668572792895797
1mbv,0.49983806243276946
1n1j,0.8551976825001415
1pdk,0.8353554924751466
1qav,0.6007515319726765
1r8o,0.8523149762561418
1ry7,0.8288111350639421
1spp,0.6531487068096905
1tfo,0.7002733217350128
1ugh,0.7117247798923925
1ugq,0.8492879453442966
1vet,0.8039511016415307
1wmh,0.341973199765288
1wqj,0.46993707881264607
1wrd,0.4790983583229399
1xg2,0.638728574924245
2bkr,0.8018835963969466
2d5r,0.5812869669740011
2dvw,0.738667304818238
2fhz,0.8189664216513814
2g2u,0.6515780693936573
2grn,0.260161212392308
2h7z,0.3314917345840471
2hla,0.8111092985949172
2hsm,0.5492618355928132
2hth,0.3709509390875387
2oul,0.7630921614755157
2pe6,0.54780980037951
2wmp,0.7730753933037191
3dgp,0.8430301415198832
3fpn,0.6794505961002304
3gfk,0.7016428742251629
3hw2,0.3681368410855592
3k9p,-0.0084832858561307
3ona,0.2280115725452075
3qc8,0.7273740107748592
3qhy,0.661854349625405
3rcz,0.7014042153334799
3sgb,0.6808010816078435
3u82,0.49329513948406434
3vz9,0.767865897721302
3wdg,0.721558202359421
3whq,0.7829924239433377
3ygs,0.4094372406980773
4bi8,0.7191500496615265
4ct6,0.771349201990315
4dbg,0.4610159080272149
4dhi,0.37563550373364657
4g6t,0.8297928049235485
4gi3,0.8148515913755582
4h5s,0.6994802310468179
4hwi,0.2888283209054749
4je3,0.7038019145829313
4k12,0.5893891836700019
4qjf,0.8349334459319226
4qlp,0.7881270510632059
4u1c,0.6687351295605776
4uzz,0.8378474296616171
4yii,0.4712129769313118
5by8,0.85539416265472
5dmb,0.751403669002232
5k7m,0.8407306820032094
5maw,0.8597228658859494
5mu7,0.8519633491605727
5uq2,0.7071954774221095
5zrz,0.08645486924020458
6fud,0.7957860806239854
6kp3,0.3759847463233062
6wg4,0.6550457417038302
6xod,0.6844059503914536
6yxj,0.7199302090565504
6zbk,0.5904326367999118
7bxh,0.7387965700090704
7joe,0.6858396448104352
7jxv,0.4241234544703779
8enf,0.8150735808973695
