pdb_file,all_contacts
complex.0_0_11_corrected_H_0001_6xod,168
complex.0_0_13_corrected_H_0001_6xod,341
complex.0_0_48_corrected_H_0001_6xod,257
complex.0_0_6_corrected_H_0001_6xod,305
complex.0_10_18_corrected_H_0001_6xod,320
complex.0_10_21_corrected_H_0001_6xod,245
complex.0_10_3_corrected_H_0001_6xod,323
complex.0_10_8_corrected_H_0001_6xod,508
complex.0_11_18_corrected_H_0001_6xod,367
complex.0_11_2_corrected_H_0001_6xod,455
complex.0_11_45_corrected_H_0001_6xod,381
complex.0_11_46_corrected_H_0001_6xod,364
complex.0_11_49_corrected_H_0001_6xod,285
complex.0_11_4_corrected_H_0001_6xod,379
complex.0_12_0_corrected_H_0001_6xod,303
complex.0_12_17_corrected_H_0001_6xod,358
complex.0_12_28_corrected_H_0001_6xod,386
complex.0_12_2_corrected_H_0001_6xod,353
complex.0_12_47_corrected_H_0001_6xod,287
complex.0_13_21_corrected_H_0001_6xod,420
complex.0_13_46_corrected_H_0001_6xod,351
complex.0_13_47_corrected_H_0001_6xod,379
complex.0_13_4_corrected_H_0001_6xod,307
complex.0_14_13_corrected_H_0001_6xod,424
complex.0_14_7_corrected_H_0001_6xod,383
complex.0_15_15_corrected_H_0001_6xod,446
complex.0_15_16_corrected_H_0001_6xod,408
complex.0_15_18_corrected_H_0001_6xod,423
complex.0_15_22_corrected_H_0001_6xod,417
complex.0_15_26_corrected_H_0001_6xod,369
complex.0_15_28_corrected_H_0001_6xod,316
complex.0_15_33_corrected_H_0001_6xod,401
complex.0_15_35_corrected_H_0001_6xod,347
complex.0_15_36_corrected_H_0001_6xod,472
complex.0_15_42_corrected_H_0001_6xod,384
complex.0_16_22_corrected_H_0001_6xod,417
complex.0_16_49_corrected_H_0001_6xod,400
complex.0_16_4_corrected_H_0001_6xod,452
complex.0_17_14_corrected_H_0001_6xod,430
complex.0_17_29_corrected_H_0001_6xod,446
complex.0_17_30_corrected_H_0001_6xod,430
complex.0_17_47_corrected_H_0001_6xod,448
complex.0_17_7_corrected_H_0001_6xod,402
complex.0_18_24_corrected_H_0001_6xod,409
complex.0_18_31_corrected_H_0001_6xod,433
complex.0_18_40_corrected_H_0001_6xod,425
