pdb_file,all_contacts
complex.0_0_14_corrected_H_0001_4ct6,619
complex.0_0_32_corrected_H_0001_4ct6,356
complex.0_0_3_corrected_H_0001_4ct6,219
complex.0_0_9_corrected_H_0001_4ct6,444
complex.0_10_11_corrected_H_0001_4ct6,710
complex.0_10_12_corrected_H_0001_4ct6,645
complex.0_10_23_corrected_H_0001_4ct6,618
complex.0_10_35_corrected_H_0001_4ct6,562
complex.0_10_48_corrected_H_0001_4ct6,650
complex.0_11_11_corrected_H_0001_4ct6,688
complex.0_11_17_corrected_H_0001_4ct6,696
complex.0_11_19_corrected_H_0001_4ct6,722
complex.0_11_5_corrected_H_0001_4ct6,770
complex.0_11_9_corrected_H_0001_4ct6,717
complex.0_12_10_corrected_H_0001_4ct6,728
complex.0_12_13_corrected_H_0001_4ct6,741
complex.0_12_25_corrected_H_0001_4ct6,642
complex.0_12_5_corrected_H_0001_4ct6,660
complex.0_13_13_corrected_H_0001_4ct6,756
complex.0_13_16_corrected_H_0001_4ct6,697
complex.0_13_21_corrected_H_0001_4ct6,781
complex.0_13_24_corrected_H_0001_4ct6,691
complex.0_13_25_corrected_H_0001_4ct6,845
complex.0_13_3_corrected_H_0001_4ct6,735
complex.0_14_10_corrected_H_0001_4ct6,823
complex.0_14_24_corrected_H_0001_4ct6,873
complex.0_14_25_corrected_H_0001_4ct6,672
complex.0_14_26_corrected_H_0001_4ct6,777
complex.0_14_36_corrected_H_0001_4ct6,802
complex.0_15_23_corrected_H_0001_4ct6,832
complex.0_15_32_corrected_H_0001_4ct6,784
complex.0_15_42_corrected_H_0001_4ct6,780
complex.0_15_45_corrected_H_0001_4ct6,835
complex.0_15_7_corrected_H_0001_4ct6,724
complex.0_16_10_corrected_H_0001_4ct6,782
complex.0_16_12_corrected_H_0001_4ct6,832
complex.0_16_24_corrected_H_0001_4ct6,866
complex.0_16_38_corrected_H_0001_4ct6,796
complex.0_17_19_corrected_H_0001_4ct6,772
complex.0_17_27_corrected_H_0001_4ct6,773
complex.0_17_2_corrected_H_0001_4ct6,858
complex.0_17_32_corrected_H_0001_4ct6,804
complex.0_18_2_corrected_H_0001_4ct6,842
complex.0_1_24_corrected_H_0001_4ct6,350
complex.0_1_28_corrected_H_0001_4ct6,256
complex.0_1_32_corrected_H_0001_4ct6,343
complex.0_1_40_corrected_H_0001_4ct6,497
complex.0_2_11_corrected_H_0001_4ct6,410
complex.0_2_13_corrected_H_0001_4ct6,374
complex.0_2_21_corrected_H_0001_4ct6,479
complex.0_2_37_corrected_H_0001_4ct6,348
complex.0_2_44_corrected_H_0001_4ct6,245
complex.0_2_46_corrected_H_0001_4ct6,561
complex.0_2_47_corrected_H_0001_4ct6,604
complex.0_2_4_corrected_H_0001_4ct6,239
complex.0_3_10_corrected_H_0001_4ct6,460
complex.0_3_16_corrected_H_0001_4ct6,379
complex.0_3_18_corrected_H_0001_4ct6,364
complex.0_3_26_corrected_H_0001_4ct6,601
complex.0_3_43_corrected_H_0001_4ct6,394
complex.0_3_44_corrected_H_0001_4ct6,286
complex.0_4_11_corrected_H_0001_4ct6,469
complex.0_4_18_corrected_H_0001_4ct6,469
complex.0_4_28_corrected_H_0001_4ct6,310
complex.0_4_48_corrected_H_0001_4ct6,409
complex.0_5_12_corrected_H_0001_4ct6,448
complex.0_5_15_corrected_H_0001_4ct6,649
complex.0_5_25_corrected_H_0001_4ct6,453
complex.0_5_49_corrected_H_0001_4ct6,345
complex.0_5_5_corrected_H_0001_4ct6,443
complex.0_5_7_corrected_H_0001_4ct6,446
complex.0_5_9_corrected_H_0001_4ct6,645
complex.0_6_1_corrected_H_0001_4ct6,465
complex.0_6_21_corrected_H_0001_4ct6,494
complex.0_6_27_corrected_H_0001_4ct6,319
complex.0_6_31_corrected_H_0001_4ct6,456
complex.0_6_41_corrected_H_0001_4ct6,571
complex.0_6_49_corrected_H_0001_4ct6,383
complex.0_6_4_corrected_H_0001_4ct6,593
complex.0_7_17_corrected_H_0001_4ct6,403
complex.0_7_19_corrected_H_0001_4ct6,540
complex.0_7_21_corrected_H_0001_4ct6,482
complex.0_7_22_corrected_H_0001_4ct6,687
complex.0_7_47_corrected_H_0001_4ct6,697
complex.0_8_0_corrected_H_0001_4ct6,536
complex.0_8_28_corrected_H_0001_4ct6,557
complex.0_8_2_corrected_H_0001_4ct6,446
complex.0_8_47_corrected_H_0001_4ct6,421
complex.0_8_6_corrected_H_0001_4ct6,518
complex.0_9_26_corrected_H_0001_4ct6,746
complex.0_9_44_corrected_H_0001_4ct6,419
complex.0_9_6_corrected_H_0001_4ct6,670
complex.1_0_10_corrected_H_0001_4ct6,319
complex.1_0_21_corrected_H_0001_4ct6,283
complex.1_0_34_corrected_H_0001_4ct6,262
complex.1_0_38_corrected_H_0001_4ct6,325
complex.1_10_18_corrected_H_0001_4ct6,536
complex.1_10_20_corrected_H_0001_4ct6,743
complex.1_10_42_corrected_H_0001_4ct6,506
complex.1_10_49_corrected_H_0001_4ct6,647
complex.1_10_5_corrected_H_0001_4ct6,735
complex.1_11_0_corrected_H_0001_4ct6,798
complex.1_11_1_corrected_H_0001_4ct6,835
complex.1_11_20_corrected_H_0001_4ct6,704
complex.1_11_23_corrected_H_0001_4ct6,618
complex.1_12_12_corrected_H_0001_4ct6,725
complex.1_12_14_corrected_H_0001_4ct6,710
complex.1_12_1_corrected_H_0001_4ct6,711
complex.1_13_17_corrected_H_0001_4ct6,751
complex.1_13_18_corrected_H_0001_4ct6,742
complex.1_13_27_corrected_H_0001_4ct6,663
complex.1_13_43_corrected_H_0001_4ct6,787
complex.1_13_45_corrected_H_0001_4ct6,784
complex.1_13_47_corrected_H_0001_4ct6,792
complex.1_13_4_corrected_H_0001_4ct6,816
complex.1_13_7_corrected_H_0001_4ct6,719
complex.1_14_12_corrected_H_0001_4ct6,761
complex.1_14_19_corrected_H_0001_4ct6,825
complex.1_14_1_corrected_H_0001_4ct6,785
complex.1_14_23_corrected_H_0001_4ct6,825
complex.1_14_2_corrected_H_0001_4ct6,877
complex.1_14_33_corrected_H_0001_4ct6,764
complex.1_14_43_corrected_H_0001_4ct6,768
complex.1_14_45_corrected_H_0001_4ct6,731
complex.1_15_21_corrected_H_0001_4ct6,739
complex.1_15_47_corrected_H_0001_4ct6,753
complex.1_15_48_corrected_H_0001_4ct6,739
complex.1_16_0_corrected_H_0001_4ct6,778
complex.1_16_1_corrected_H_0001_4ct6,869
complex.1_16_23_corrected_H_0001_4ct6,778
complex.1_16_27_corrected_H_0001_4ct6,807
complex.1_16_28_corrected_H_0001_4ct6,765
complex.1_16_35_corrected_H_0001_4ct6,724
complex.1_16_4_corrected_H_0001_4ct6,769
complex.1_17_16_corrected_H_0001_4ct6,793
complex.1_17_20_corrected_H_0001_4ct6,850
complex.1_17_23_corrected_H_0001_4ct6,848
complex.1_17_31_corrected_H_0001_4ct6,709
complex.1_18_9_corrected_H_0001_4ct6,834
complex.1_1_11_corrected_H_0001_4ct6,379
complex.1_1_15_corrected_H_0001_4ct6,333
complex.1_1_21_corrected_H_0001_4ct6,250
complex.1_1_25_corrected_H_0001_4ct6,468
complex.1_1_2_corrected_H_0001_4ct6,307
complex.1_1_46_corrected_H_0001_4ct6,271
complex.1_2_1_corrected_H_0001_4ct6,323
complex.1_2_23_corrected_H_0001_4ct6,275
complex.1_3_0_corrected_H_0001_4ct6,328
complex.1_3_22_corrected_H_0001_4ct6,399
complex.1_3_24_corrected_H_0001_4ct6,348
complex.1_3_35_corrected_H_0001_4ct6,303
complex.1_3_40_corrected_H_0001_4ct6,575
complex.1_3_46_corrected_H_0001_4ct6,446
complex.1_3_8_corrected_H_0001_4ct6,419
complex.1_4_17_corrected_H_0001_4ct6,488
complex.1_4_2_corrected_H_0001_4ct6,442
complex.1_4_31_corrected_H_0001_4ct6,458
complex.1_4_34_corrected_H_0001_4ct6,503
complex.1_4_37_corrected_H_0001_4ct6,472
complex.1_4_41_corrected_H_0001_4ct6,437
complex.1_5_13_corrected_H_0001_4ct6,398
complex.1_5_31_corrected_H_0001_4ct6,462
complex.1_5_3_corrected_H_0001_4ct6,501
complex.1_5_8_corrected_H_0001_4ct6,386
complex.1_6_14_corrected_H_0001_4ct6,644
complex.1_6_18_corrected_H_0001_4ct6,543
complex.1_6_24_corrected_H_0001_4ct6,537
complex.1_6_40_corrected_H_0001_4ct6,502
complex.1_6_42_corrected_H_0001_4ct6,548
complex.1_6_43_corrected_H_0001_4ct6,573
complex.1_7_24_corrected_H_0001_4ct6,602
complex.1_8_12_corrected_H_0001_4ct6,479
complex.1_8_27_corrected_H_0001_4ct6,551
complex.1_8_38_corrected_H_0001_4ct6,649
complex.1_9_16_corrected_H_0001_4ct6,588
complex.1_9_22_corrected_H_0001_4ct6,625
complex.1_9_23_corrected_H_0001_4ct6,658
complex.1_9_32_corrected_H_0001_4ct6,765
complex.1_9_38_corrected_H_0001_4ct6,546
complex.1_9_41_corrected_H_0001_4ct6,681
complex.1_9_48_corrected_H_0001_4ct6,620
complex.2_0_0_corrected_H_0001_4ct6,271
complex.2_0_13_corrected_H_0001_4ct6,287
complex.2_0_1_corrected_H_0001_4ct6,289
complex.2_0_23_corrected_H_0001_4ct6,363
complex.2_0_25_corrected_H_0001_4ct6,321
complex.2_0_35_corrected_H_0001_4ct6,412
complex.2_0_39_corrected_H_0001_4ct6,304
complex.2_0_41_corrected_H_0001_4ct6,363
complex.2_0_49_corrected_H_0001_4ct6,223
complex.2_10_22_corrected_H_0001_4ct6,543
complex.2_10_30_corrected_H_0001_4ct6,448
complex.2_10_39_corrected_H_0001_4ct6,604
complex.2_10_41_corrected_H_0001_4ct6,473
complex.2_10_44_corrected_H_0001_4ct6,710
complex.2_10_6_corrected_H_0001_4ct6,661
complex.2_11_10_corrected_H_0001_4ct6,649
complex.2_11_35_corrected_H_0001_4ct6,477
complex.2_11_49_corrected_H_0001_4ct6,721
complex.2_12_11_corrected_H_0001_4ct6,719
complex.2_12_17_corrected_H_0001_4ct6,672
complex.2_12_29_corrected_H_0001_4ct6,706
complex.2_12_38_corrected_H_0001_4ct6,727
complex.2_12_40_corrected_H_0001_4ct6,723
complex.2_12_49_corrected_H_0001_4ct6,733
complex.2_12_6_corrected_H_0001_4ct6,653
complex.2_13_23_corrected_H_0001_4ct6,737
complex.2_13_31_corrected_H_0001_4ct6,791
complex.2_13_34_corrected_H_0001_4ct6,779
complex.2_13_46_corrected_H_0001_4ct6,715
complex.2_14_15_corrected_H_0001_4ct6,705
complex.2_14_22_corrected_H_0001_4ct6,745
complex.2_14_27_corrected_H_0001_4ct6,757
complex.2_14_35_corrected_H_0001_4ct6,734
complex.2_14_48_corrected_H_0001_4ct6,829
complex.2_14_6_corrected_H_0001_4ct6,762
complex.2_14_9_corrected_H_0001_4ct6,801
complex.2_15_0_corrected_H_0001_4ct6,858
complex.2_15_13_corrected_H_0001_4ct6,805
complex.2_15_26_corrected_H_0001_4ct6,780
complex.2_15_30_corrected_H_0001_4ct6,768
complex.2_15_36_corrected_H_0001_4ct6,824
complex.2_15_46_corrected_H_0001_4ct6,812
complex.2_16_13_corrected_H_0001_4ct6,767
complex.2_16_15_corrected_H_0001_4ct6,841
complex.2_16_22_corrected_H_0001_4ct6,810
complex.2_16_41_corrected_H_0001_4ct6,938
complex.2_16_48_corrected_H_0001_4ct6,765
complex.2_17_22_corrected_H_0001_4ct6,831
complex.2_17_26_corrected_H_0001_4ct6,851
complex.2_17_9_corrected_H_0001_4ct6,868
complex.2_18_7_corrected_H_0001_4ct6,890
complex.2_1_13_corrected_H_0001_4ct6,322
complex.2_1_22_corrected_H_0001_4ct6,472
complex.2_1_27_corrected_H_0001_4ct6,390
complex.2_1_29_corrected_H_0001_4ct6,484
complex.2_1_5_corrected_H_0001_4ct6,279
complex.2_2_34_corrected_H_0001_4ct6,409
complex.2_3_15_corrected_H_0001_4ct6,318
complex.2_3_20_corrected_H_0001_4ct6,677
complex.2_3_23_corrected_H_0001_4ct6,407
complex.2_3_30_corrected_H_0001_4ct6,422
complex.2_3_42_corrected_H_0001_4ct6,404
complex.2_4_0_corrected_H_0001_4ct6,489
complex.2_4_10_corrected_H_0001_4ct6,435
complex.2_4_13_corrected_H_0001_4ct6,549
complex.2_4_3_corrected_H_0001_4ct6,211
complex.2_5_16_corrected_H_0001_4ct6,438
complex.2_6_28_corrected_H_0001_4ct6,434
complex.2_6_32_corrected_H_0001_4ct6,490
complex.2_6_36_corrected_H_0001_4ct6,440
complex.2_6_38_corrected_H_0001_4ct6,465
complex.2_6_3_corrected_H_0001_4ct6,528
complex.2_6_44_corrected_H_0001_4ct6,546
complex.2_7_12_corrected_H_0001_4ct6,560
complex.2_7_14_corrected_H_0001_4ct6,475
complex.2_7_16_corrected_H_0001_4ct6,516
complex.2_7_25_corrected_H_0001_4ct6,732
complex.2_7_27_corrected_H_0001_4ct6,667
complex.2_7_29_corrected_H_0001_4ct6,431
complex.2_7_2_corrected_H_0001_4ct6,543
complex.2_7_33_corrected_H_0001_4ct6,685
complex.2_7_38_corrected_H_0001_4ct6,508
complex.2_7_41_corrected_H_0001_4ct6,626
complex.2_7_6_corrected_H_0001_4ct6,581
complex.2_8_11_corrected_H_0001_4ct6,684
complex.2_8_42_corrected_H_0001_4ct6,480
complex.2_9_17_corrected_H_0001_4ct6,406
complex.2_9_18_corrected_H_0001_4ct6,442
complex.2_9_21_corrected_H_0001_4ct6,645
complex.2_9_25_corrected_H_0001_4ct6,684
complex.2_9_34_corrected_H_0001_4ct6,532
complex.2_9_36_corrected_H_0001_4ct6,571
complex.3_0_2_corrected_H_0001_4ct6,297
complex.3_0_30_corrected_H_0001_4ct6,185
complex.3_0_43_corrected_H_0001_4ct6,262
complex.3_10_1_corrected_H_0001_4ct6,664
complex.3_10_21_corrected_H_0001_4ct6,514
complex.3_10_32_corrected_H_0001_4ct6,612
complex.3_10_47_corrected_H_0001_4ct6,533
complex.3_11_16_corrected_H_0001_4ct6,778
complex.3_11_26_corrected_H_0001_4ct6,712
complex.3_11_31_corrected_H_0001_4ct6,664
complex.3_11_45_corrected_H_0001_4ct6,666
complex.3_11_46_corrected_H_0001_4ct6,694
complex.3_12_2_corrected_H_0001_4ct6,734
complex.3_13_10_corrected_H_0001_4ct6,803
complex.3_13_11_corrected_H_0001_4ct6,694
complex.3_13_12_corrected_H_0001_4ct6,596
complex.3_13_29_corrected_H_0001_4ct6,730
complex.3_13_35_corrected_H_0001_4ct6,761
complex.3_13_39_corrected_H_0001_4ct6,661
complex.3_13_6_corrected_H_0001_4ct6,798
complex.3_13_9_corrected_H_0001_4ct6,878
complex.3_14_28_corrected_H_0001_4ct6,693
complex.3_14_38_corrected_H_0001_4ct6,867
complex.3_14_42_corrected_H_0001_4ct6,747
complex.3_15_29_corrected_H_0001_4ct6,702
complex.3_15_40_corrected_H_0001_4ct6,734
complex.3_15_5_corrected_H_0001_4ct6,824
complex.3_16_21_corrected_H_0001_4ct6,678
complex.3_16_33_corrected_H_0001_4ct6,798
complex.3_16_34_corrected_H_0001_4ct6,800
complex.3_16_39_corrected_H_0001_4ct6,744
complex.3_16_49_corrected_H_0001_4ct6,850
complex.3_16_8_corrected_H_0001_4ct6,817
complex.3_17_24_corrected_H_0001_4ct6,876
complex.3_17_33_corrected_H_0001_4ct6,807
complex.3_17_5_corrected_H_0001_4ct6,827
complex.3_18_1_corrected_H_0001_4ct6,920
complex.3_1_19_corrected_H_0001_4ct6,398
complex.3_1_1_corrected_H_0001_4ct6,216
complex.3_1_26_corrected_H_0001_4ct6,443
complex.3_1_30_corrected_H_0001_4ct6,355
complex.3_1_6_corrected_H_0001_4ct6,340
complex.3_2_20_corrected_H_0001_4ct6,191
complex.3_2_25_corrected_H_0001_4ct6,346
complex.3_2_2_corrected_H_0001_4ct6,203
complex.3_2_36_corrected_H_0001_4ct6,515
complex.3_2_38_corrected_H_0001_4ct6,237
complex.3_2_8_corrected_H_0001_4ct6,376
complex.3_3_11_corrected_H_0001_4ct6,326
complex.3_3_14_corrected_H_0001_4ct6,474
complex.3_3_28_corrected_H_0001_4ct6,282
complex.3_3_34_corrected_H_0001_4ct6,428
complex.3_3_37_corrected_H_0001_4ct6,354
complex.3_3_47_corrected_H_0001_4ct6,496
complex.3_4_12_corrected_H_0001_4ct6,386
complex.3_4_45_corrected_H_0001_4ct6,311
complex.3_4_6_corrected_H_0001_4ct6,443
complex.3_5_20_corrected_H_0001_4ct6,425
complex.3_5_24_corrected_H_0001_4ct6,501
complex.3_5_36_corrected_H_0001_4ct6,463
complex.3_5_48_corrected_H_0001_4ct6,405
complex.3_6_19_corrected_H_0001_4ct6,516
complex.3_6_37_corrected_H_0001_4ct6,457
complex.3_6_45_corrected_H_0001_4ct6,562
complex.3_6_6_corrected_H_0001_4ct6,336
complex.3_7_23_corrected_H_0001_4ct6,482
complex.3_7_32_corrected_H_0001_4ct6,487
complex.3_7_44_corrected_H_0001_4ct6,407
complex.3_7_46_corrected_H_0001_4ct6,577
complex.3_7_49_corrected_H_0001_4ct6,648
complex.3_7_4_corrected_H_0001_4ct6,518
complex.3_8_13_corrected_H_0001_4ct6,369
complex.3_8_20_corrected_H_0001_4ct6,493
complex.3_8_24_corrected_H_0001_4ct6,747
complex.3_8_25_corrected_H_0001_4ct6,608
complex.3_8_30_corrected_H_0001_4ct6,541
complex.3_8_36_corrected_H_0001_4ct6,384
complex.3_8_41_corrected_H_0001_4ct6,467
complex.3_9_11_corrected_H_0001_4ct6,505
complex.3_9_37_corrected_H_0001_4ct6,656
complex.3_9_40_corrected_H_0001_4ct6,500
complex.4_0_28_corrected_H_0001_4ct6,226
complex.4_0_33_corrected_H_0001_4ct6,346
complex.4_0_36_corrected_H_0001_4ct6,409
complex.4_0_44_corrected_H_0001_4ct6,410
complex.4_0_45_corrected_H_0001_4ct6,406
complex.4_0_46_corrected_H_0001_4ct6,188
complex.4_0_5_corrected_H_0001_4ct6,282
complex.4_10_31_corrected_H_0001_4ct6,706
complex.4_10_33_corrected_H_0001_4ct6,677
