pdb_file,all_contacts
complex.0_0_26_corrected_H_0001_3ygs,250
complex.0_0_43_corrected_H_0001_3ygs,233
complex.0_0_46_corrected_H_0001_3ygs,176
complex.0_0_4_corrected_H_0001_3ygs,225
complex.0_0_6_corrected_H_0001_3ygs,226
complex.0_10_25_corrected_H_0001_3ygs,266
complex.0_10_26_corrected_H_0001_3ygs,235
complex.0_10_2_corrected_H_0001_3ygs,323
complex.0_10_37_corrected_H_0001_3ygs,171
complex.0_10_47_corrected_H_0001_3ygs,205
complex.0_10_48_corrected_H_0001_3ygs,260
complex.0_11_10_corrected_H_0001_3ygs,228
complex.0_11_16_corrected_H_0001_3ygs,201
complex.0_11_17_corrected_H_0001_3ygs,169
complex.0_11_41_corrected_H_0001_3ygs,164
complex.0_12_12_corrected_H_0001_3ygs,233
complex.0_12_17_corrected_H_0001_3ygs,230
complex.0_12_23_corrected_H_0001_3ygs,282
complex.0_12_5_corrected_H_0001_3ygs,243
complex.0_13_11_corrected_H_0001_3ygs,275
complex.0_13_12_corrected_H_0001_3ygs,291
complex.0_13_21_corrected_H_0001_3ygs,114
complex.0_13_22_corrected_H_0001_3ygs,299
complex.0_13_32_corrected_H_0001_3ygs,394
complex.0_13_9_corrected_H_0001_3ygs,225
complex.0_14_10_corrected_H_0001_3ygs,288
complex.0_14_14_corrected_H_0001_3ygs,287
complex.0_14_40_corrected_H_0001_3ygs,247
complex.0_14_46_corrected_H_0001_3ygs,299
complex.0_14_48_corrected_H_0001_3ygs,349
complex.0_15_29_corrected_H_0001_3ygs,228
complex.0_15_34_corrected_H_0001_3ygs,238
complex.0_15_38_corrected_H_0001_3ygs,236
complex.0_15_3_corrected_H_0001_3ygs,267
complex.0_15_42_corrected_H_0001_3ygs,359
complex.0_15_44_corrected_H_0001_3ygs,257
complex.0_15_6_corrected_H_0001_3ygs,248
complex.0_16_30_corrected_H_0001_3ygs,331
complex.0_16_31_corrected_H_0001_3ygs,279
complex.0_16_32_corrected_H_0001_3ygs,279
complex.0_16_34_corrected_H_0001_3ygs,279
complex.0_16_37_corrected_H_0001_3ygs,269
complex.0_16_49_corrected_H_0001_3ygs,246
complex.0_17_21_corrected_H_0001_3ygs,284
complex.0_17_31_corrected_H_0001_3ygs,253
complex.0_17_45_corrected_H_0001_3ygs,388
complex.0_17_5_corrected_H_0001_3ygs,309
complex.0_18_14_corrected_H_0001_3ygs,270
complex.0_18_17_corrected_H_0001_3ygs,276
complex.0_18_28_corrected_H_0001_3ygs,273
complex.0_18_3_corrected_H_0001_3ygs,275
complex.0_19_3_corrected_H_0001_3ygs,314
complex.0_1_19_corrected_H_0001_3ygs,237
complex.0_2_0_corrected_H_0001_3ygs,136
complex.0_2_18_corrected_H_0001_3ygs,297
complex.0_2_1_corrected_H_0001_3ygs,243
complex.0_2_20_corrected_H_0001_3ygs,273
complex.0_2_24_corrected_H_0001_3ygs,151
complex.0_2_25_corrected_H_0001_3ygs,171
complex.0_2_28_corrected_H_0001_3ygs,325
complex.0_2_32_corrected_H_0001_3ygs,227
complex.0_2_36_corrected_H_0001_3ygs,157
complex.0_3_15_corrected_H_0001_3ygs,253
complex.0_3_1_corrected_H_0001_3ygs,149
complex.0_3_21_corrected_H_0001_3ygs,155
complex.0_3_36_corrected_H_0001_3ygs,195
complex.0_3_47_corrected_H_0001_3ygs,325
complex.0_3_4_corrected_H_0001_3ygs,210
complex.0_3_7_corrected_H_0001_3ygs,345
complex.0_4_27_corrected_H_0001_3ygs,181
complex.0_4_33_corrected_H_0001_3ygs,139
complex.0_4_7_corrected_H_0001_3ygs,128
complex.0_5_11_corrected_H_0001_3ygs,276
complex.0_5_12_corrected_H_0001_3ygs,143
complex.0_5_24_corrected_H_0001_3ygs,234
complex.0_5_35_corrected_H_0001_3ygs,162
complex.0_6_13_corrected_H_0001_3ygs,253
complex.0_6_21_corrected_H_0001_3ygs,273
complex.0_6_25_corrected_H_0001_3ygs,170
complex.0_6_37_corrected_H_0001_3ygs,177
complex.0_6_39_corrected_H_0001_3ygs,219
complex.0_6_40_corrected_H_0001_3ygs,182
complex.0_6_49_corrected_H_0001_3ygs,246
complex.0_7_24_corrected_H_0001_3ygs,143
complex.0_7_40_corrected_H_0001_3ygs,274
complex.0_7_4_corrected_H_0001_3ygs,261
complex.0_7_5_corrected_H_0001_3ygs,187
complex.0_8_11_corrected_H_0001_3ygs,225
complex.0_8_31_corrected_H_0001_3ygs,172
complex.0_9_12_corrected_H_0001_3ygs,97
complex.0_9_21_corrected_H_0001_3ygs,127
complex.0_9_33_corrected_H_0001_3ygs,253
complex.0_9_42_corrected_H_0001_3ygs,184
complex.0_9_6_corrected_H_0001_3ygs,219
complex.1_0_10_corrected_H_0001_3ygs,104
complex.1_0_1_corrected_H_0001_3ygs,256
complex.1_0_22_corrected_H_0001_3ygs,161
complex.1_0_27_corrected_H_0001_3ygs,166
complex.1_10_0_corrected_H_0001_3ygs,150
complex.1_10_13_corrected_H_0001_3ygs,191
complex.1_10_18_corrected_H_0001_3ygs,126
complex.1_10_1_corrected_H_0001_3ygs,236
complex.1_10_27_corrected_H_0001_3ygs,149
complex.1_10_28_corrected_H_0001_3ygs,212
complex.1_11_13_corrected_H_0001_3ygs,153
complex.1_11_15_corrected_H_0001_3ygs,254
complex.1_11_27_corrected_H_0001_3ygs,252
complex.1_11_38_corrected_H_0001_3ygs,207
complex.1_11_47_corrected_H_0001_3ygs,156
complex.1_12_18_corrected_H_0001_3ygs,196
complex.1_12_37_corrected_H_0001_3ygs,167
complex.1_12_41_corrected_H_0001_3ygs,239
complex.1_12_46_corrected_H_0001_3ygs,247
complex.1_13_13_corrected_H_0001_3ygs,204
complex.1_13_18_corrected_H_0001_3ygs,228
complex.1_13_29_corrected_H_0001_3ygs,184
complex.1_13_44_corrected_H_0001_3ygs,214
complex.1_13_48_corrected_H_0001_3ygs,268
complex.1_14_33_corrected_H_0001_3ygs,235
complex.1_14_7_corrected_H_0001_3ygs,245
complex.1_14_9_corrected_H_0001_3ygs,230
complex.1_15_17_corrected_H_0001_3ygs,321
complex.1_15_20_corrected_H_0001_3ygs,286
complex.1_15_45_corrected_H_0001_3ygs,310
complex.1_15_5_corrected_H_0001_3ygs,361
complex.1_16_19_corrected_H_0001_3ygs,234
complex.1_16_29_corrected_H_0001_3ygs,334
complex.1_16_4_corrected_H_0001_3ygs,276
complex.1_16_8_corrected_H_0001_3ygs,320
complex.1_17_1_corrected_H_0001_3ygs,336
complex.1_17_25_corrected_H_0001_3ygs,271
complex.1_17_34_corrected_H_0001_3ygs,276
complex.1_17_40_corrected_H_0001_3ygs,313
complex.1_17_47_corrected_H_0001_3ygs,288
complex.1_18_10_corrected_H_0001_3ygs,293
complex.1_18_11_corrected_H_0001_3ygs,282
complex.1_18_26_corrected_H_0001_3ygs,305
complex.1_18_34_corrected_H_0001_3ygs,349
complex.1_18_45_corrected_H_0001_3ygs,273
complex.1_19_0_corrected_H_0001_3ygs,306
complex.1_19_11_corrected_H_0001_3ygs,297
complex.1_19_1_corrected_H_0001_3ygs,351
complex.1_1_10_corrected_H_0001_3ygs,248
complex.1_1_26_corrected_H_0001_3ygs,353
complex.1_1_31_corrected_H_0001_3ygs,185
complex.1_1_38_corrected_H_0001_3ygs,152
complex.1_1_44_corrected_H_0001_3ygs,294
complex.1_1_49_corrected_H_0001_3ygs,196
complex.1_2_11_corrected_H_0001_3ygs,222
complex.1_2_13_corrected_H_0001_3ygs,273
complex.1_2_17_corrected_H_0001_3ygs,205
complex.1_2_33_corrected_H_0001_3ygs,189
complex.1_2_41_corrected_H_0001_3ygs,190
complex.1_3_0_corrected_H_0001_3ygs,148
complex.1_3_2_corrected_H_0001_3ygs,192
complex.1_3_38_corrected_H_0001_3ygs,121
complex.1_3_45_corrected_H_0001_3ygs,120
complex.1_3_9_corrected_H_0001_3ygs,171
complex.1_4_11_corrected_H_0001_3ygs,182
complex.1_4_13_corrected_H_0001_3ygs,172
complex.1_4_18_corrected_H_0001_3ygs,189
complex.1_4_26_corrected_H_0001_3ygs,194
complex.1_4_38_corrected_H_0001_3ygs,192
complex.1_4_41_corrected_H_0001_3ygs,215
complex.1_4_46_corrected_H_0001_3ygs,176
complex.1_4_5_corrected_H_0001_3ygs,146
complex.1_5_16_corrected_H_0001_3ygs,126
complex.1_5_1_corrected_H_0001_3ygs,230
complex.1_5_37_corrected_H_0001_3ygs,164
complex.1_5_40_corrected_H_0001_3ygs,176
complex.1_5_41_corrected_H_0001_3ygs,234
complex.1_5_45_corrected_H_0001_3ygs,241
complex.1_5_49_corrected_H_0001_3ygs,213
complex.1_6_10_corrected_H_0001_3ygs,251
complex.1_6_27_corrected_H_0001_3ygs,125
complex.1_6_30_corrected_H_0001_3ygs,101
complex.1_6_3_corrected_H_0001_3ygs,160
complex.1_7_14_corrected_H_0001_3ygs,211
complex.1_7_15_corrected_H_0001_3ygs,245
complex.1_7_17_corrected_H_0001_3ygs,196
complex.1_7_22_corrected_H_0001_3ygs,190
complex.1_7_45_corrected_H_0001_3ygs,179
complex.1_7_6_corrected_H_0001_3ygs,196
complex.1_8_13_corrected_H_0001_3ygs,183
complex.1_8_14_corrected_H_0001_3ygs,180
complex.1_8_16_corrected_H_0001_3ygs,154
complex.1_8_30_corrected_H_0001_3ygs,209
complex.1_8_41_corrected_H_0001_3ygs,233
complex.1_8_47_corrected_H_0001_3ygs,142
complex.1_9_13_corrected_H_0001_3ygs,213
complex.1_9_27_corrected_H_0001_3ygs,189
complex.1_9_9_corrected_H_0001_3ygs,180
complex.2_0_0_corrected_H_0001_3ygs,272
complex.2_0_12_corrected_H_0001_3ygs,169
complex.2_0_16_corrected_H_0001_3ygs,198
complex.2_0_23_corrected_H_0001_3ygs,176
complex.2_0_48_corrected_H_0001_3ygs,197
complex.2_0_49_corrected_H_0001_3ygs,190
complex.2_10_10_corrected_H_0001_3ygs,196
complex.2_10_22_corrected_H_0001_3ygs,197
complex.2_10_31_corrected_H_0001_3ygs,209
complex.2_10_34_corrected_H_0001_3ygs,235
complex.2_10_3_corrected_H_0001_3ygs,238
complex.2_10_43_corrected_H_0001_3ygs,256
complex.2_10_4_corrected_H_0001_3ygs,286
complex.2_10_9_corrected_H_0001_3ygs,196
complex.2_11_12_corrected_H_0001_3ygs,168
complex.2_11_35_corrected_H_0001_3ygs,200
complex.2_11_36_corrected_H_0001_3ygs,196
complex.2_11_3_corrected_H_0001_3ygs,124
complex.2_11_44_corrected_H_0001_3ygs,322
complex.2_11_46_corrected_H_0001_3ygs,263
complex.2_11_5_corrected_H_0001_3ygs,177
complex.2_12_11_corrected_H_0001_3ygs,281
complex.2_12_20_corrected_H_0001_3ygs,221
complex.2_12_47_corrected_H_0001_3ygs,286
complex.2_12_8_corrected_H_0001_3ygs,169
complex.2_13_25_corrected_H_0001_3ygs,221
complex.2_13_35_corrected_H_0001_3ygs,388
complex.2_13_43_corrected_H_0001_3ygs,210
complex.2_13_8_corrected_H_0001_3ygs,290
complex.2_14_12_corrected_H_0001_3ygs,305
complex.2_14_26_corrected_H_0001_3ygs,306
complex.2_15_10_corrected_H_0001_3ygs,270
complex.2_15_28_corrected_H_0001_3ygs,221
complex.2_15_37_corrected_H_0001_3ygs,327
complex.2_15_40_corrected_H_0001_3ygs,214
complex.2_15_7_corrected_H_0001_3ygs,226
complex.2_16_0_corrected_H_0001_3ygs,254
complex.2_16_13_corrected_H_0001_3ygs,324
complex.2_16_15_corrected_H_0001_3ygs,354
complex.2_16_16_corrected_H_0001_3ygs,349
complex.2_16_17_corrected_H_0001_3ygs,282
complex.2_16_40_corrected_H_0001_3ygs,304
complex.2_16_6_corrected_H_0001_3ygs,292
complex.2_17_11_corrected_H_0001_3ygs,323
complex.2_17_28_corrected_H_0001_3ygs,279
complex.2_17_36_corrected_H_0001_3ygs,253
complex.2_17_41_corrected_H_0001_3ygs,221
complex.2_18_18_corrected_H_0001_3ygs,306
complex.2_18_19_corrected_H_0001_3ygs,255
complex.2_18_25_corrected_H_0001_3ygs,358
complex.2_18_9_corrected_H_0001_3ygs,316
complex.2_19_5_corrected_H_0001_3ygs,273
complex.2_19_8_corrected_H_0001_3ygs,300
complex.2_1_14_corrected_H_0001_3ygs,175
complex.2_1_1_corrected_H_0001_3ygs,134
complex.2_1_22_corrected_H_0001_3ygs,154
complex.2_1_2_corrected_H_0001_3ygs,165
complex.2_1_43_corrected_H_0001_3ygs,70
complex.2_1_8_corrected_H_0001_3ygs,233
complex.2_2_21_corrected_H_0001_3ygs,231
complex.2_2_45_corrected_H_0001_3ygs,201
