pdb_file,score,weighted_avg,avg,standard_dev
complex.0_0_13_corrected_H_0001,"(8909343.299184151, 556833.9561990094, 2635332.0, 0.0)"
complex.0_0_39_corrected_H_0001,"(7506429.628571428, 834047.7365079365, 2653416.0, 0.0)"
complex.0_0_41_corrected_H_0001,"(8926017.054578755, 557876.0659111722, 2640264.0, 0.0)"
complex.0_0_5_corrected_H_0001,"(7216073.785714285, 902009.2232142857, 2655060.0, 0.0)"
complex.0_10_10_corrected_H_0001,"(7713988.542857142, 771398.8542857142, 2633688.0, 0.0)"
complex.0_10_17_corrected_H_0001,"(8558255.112254413, 611303.9365896009, 2632044.0, 0.0)"
complex.0_10_20_corrected_H_0001,"(8755545.386113886, 583703.0257409257, 2638620.0, 0.0)"
complex.0_10_31_corrected_H_0001,"(8914901.217649018, 557181.3261030636, 2636976.0, 0.0)"
complex.0_11_10_corrected_H_0001,"(8909343.299184151, 556833.9561990094, 2635332.0, 0.0)"
complex.0_11_22_corrected_H_0001,"(8213702.151515151, 684475.1792929292, 2646840.0, 0.0)"
complex.0_11_26_corrected_H_0001,"(8750090.217649018, 583339.3478432678, 2636976.0, 0.0)"
complex.0_11_37_corrected_H_0001,"(8914901.217649018, 557181.3261030636, 2636976.0, 0.0)"
complex.0_11_41_corrected_H_0001,"(8229007.186580087, 685750.5988816739, 2651772.0, 0.0)"
complex.0_11_42_corrected_H_0001,"(7733249.438095239, 773324.943809524, 2640264.0, 0.0)"
complex.0_11_48_corrected_H_0001,"(8223905.5082251085, 685325.4590187591, 2650128.0, 0.0)"
complex.0_11_9_corrected_H_0001,"(7718803.766666668, 771880.3766666667, 2635332.0, 0.0)"
complex.0_12_18_corrected_H_0001,"(8761000.554578755, 584066.7036385837, 2640264.0, 0.0)"
complex.0_12_25_corrected_H_0001,"(7497127.980952381, 833014.2201058201, 2650128.0, 0.0)"
complex.0_13_26_corrected_H_0001,"(8920459.136113886, 557528.6960071179, 2638620.0, 0.0)"
complex.0_13_3_corrected_H_0001,"(8563600.68071928, 611685.7629085201, 2633688.0, 0.0)"
complex.0_13_41_corrected_H_0001,"(7718803.766666668, 771880.3766666667, 2635332.0, 0.0)"
complex.0_13_8_corrected_H_0001,"(7733249.438095239, 773324.943809524, 2640264.0, 0.0)"
complex.0_14_19_corrected_H_0001,"(8563600.68071928, 611685.7629085201, 2633688.0, 0.0)"
complex.0_14_27_corrected_H_0001,"(8223905.5082251085, 685325.4590187591, 2650128.0, 0.0)"
complex.0_14_32_corrected_H_0001,"(7733249.438095239, 773324.943809524, 2640264.0, 0.0)"
complex.0_14_4_corrected_H_0001,"(8744635.049184151, 582975.6699456101, 2635332.0, 0.0)"
complex.0_15_10_corrected_H_0001,"(7738064.661904761, 773806.4661904761, 2641908.0, 0.0)"
complex.0_15_19_corrected_H_0001,"(7728434.214285715, 772843.4214285715, 2638620.0, 0.0)"
complex.0_15_22_corrected_H_0001,"(7742879.885714286, 774287.9885714286, 2643552.0, 0.0)"
complex.0_15_23_corrected_H_0001,"(8909343.299184151, 556833.9561990094, 2635332.0, 0.0)"
complex.0_15_5_corrected_H_0001,"(7723618.99047619, 772361.899047619, 2636976.0, 0.0)"
complex.0_15_7_corrected_H_0001,"(7709173.319047619, 770917.3319047618, 2632044.0, 0.0)"
complex.0_16_11_corrected_H_0001,"(8903785.38071928, 556486.586294955, 2633688.0, 0.0)"
complex.0_16_13_corrected_H_0001,"(8755545.386113886, 583703.0257409257, 2638620.0, 0.0)"
complex.0_16_17_corrected_H_0001,"(8931574.97304362, 558223.4358152263, 2641908.0, 0.0)"
complex.0_16_19_corrected_H_0001,"(8229007.186580087, 685750.5988816739, 2651772.0, 0.0)"
complex.0_16_22_corrected_H_0001,"(7978238.116450215, 725294.3742227468, 2641908.0, 0.0)"
complex.0_16_24_corrected_H_0001,"(7207137.471428572, 900892.1839285715, 2651772.0, 0.0)"
complex.0_17_36_corrected_H_0001,"(7216073.785714285, 902009.2232142857, 2655060.0, 0.0)"
complex.0_17_8_corrected_H_0001,"(7747695.1095238095, 774769.510952381, 2645196.0, 0.0)"
complex.0_18_5_corrected_H_0001,"(8914901.217649018, 557181.3261030636, 2636976.0, 0.0)"
complex.0_18_7_corrected_H_0001,"(8914901.217649018, 557181.3261030636, 2636976.0, 0.0)"
complex.0_1_18_corrected_H_0001,"(6879928.628571428, 982846.9469387755, 2653416.0, 0.0)"
complex.0_1_26_corrected_H_0001,"(8937132.891508494, 558570.8057192808, 2643552.0, 0.0)"
complex.0_1_40_corrected_H_0001,"(8926017.054578755, 557876.0659111722, 2640264.0, 0.0)"
complex.0_1_42_corrected_H_0001,"(7723618.99047619, 772361.899047619, 2636976.0, 0.0)"
complex.0_1_47_corrected_H_0001,"(8755545.386113886, 583703.0257409257, 2638620.0, 0.0)"
complex.0_1_6_corrected_H_0001,"(8739179.88071928, 582611.992047952, 2633688.0, 0.0)"
complex.0_2_27_corrected_H_0001,"(8931574.97304362, 558223.4358152263, 2641908.0, 0.0)"
complex.0_2_40_corrected_H_0001,"(8937132.891508494, 558570.8057192808, 2643552.0, 0.0)"
complex.0_2_44_corrected_H_0001,"(8931574.97304362, 558223.4358152263, 2641908.0, 0.0)"
complex.0_2_8_corrected_H_0001,"(8239210.543290043, 686600.8786075036, 2655060.0, 0.0)"
complex.0_3_21_corrected_H_0001,"(8892669.543789543, 555791.8464868465, 2630400.0, 0.0)"
complex.0_3_23_corrected_H_0001,"(8750090.217649018, 583339.3478432678, 2636976.0, 0.0)"
complex.0_3_48_corrected_H_0001,"(8920459.136113886, 557528.6960071179, 2638620.0, 0.0)"
complex.0_4_20_corrected_H_0001,"(8547563.975324675, 610540.2839517625, 2628756.0, 0.0)"
complex.0_4_23_corrected_H_0001,"(8380708.24918415, 644669.8653218577, 2635332.0, 0.0)"
complex.0_4_42_corrected_H_0001,"(8234108.864935065, 686175.7387445887, 2653416.0, 0.0)"
complex.0_4_4_corrected_H_0001,"(7766956.004761905, 776695.6004761906, 2651772.0, 0.0)"
complex.0_5_0_corrected_H_0001,"(8558255.112254413, 611303.9365896009, 2632044.0, 0.0)"
complex.0_6_10_corrected_H_0001,"(8739179.88071928, 582611.992047952, 2633688.0, 0.0)"
complex.0_6_14_corrected_H_0001,"(7220541.942857143, 902567.7428571428, 2656704.0, 0.0)"
complex.0_6_1_corrected_H_0001,"(8229007.186580087, 685750.5988816739, 2651772.0, 0.0)"
complex.0_6_25_corrected_H_0001,"(8542218.406859806, 610158.4576328433, 2627112.0, 0.0)"
complex.0_6_27_corrected_H_0001,"(7757325.557142857, 775732.5557142857, 2648484.0, 0.0)"
complex.0_6_28_corrected_H_0001,"(8766455.72304362, 584430.3815362414, 2641908.0, 0.0)"
complex.0_6_47_corrected_H_0001,"(8223905.5082251085, 685325.4590187591, 2650128.0, 0.0)"
complex.0_6_48_corrected_H_0001,"(8547563.975324675, 610540.2839517625, 2628756.0, 0.0)"
complex.0_6_49_corrected_H_0001,"(8914901.217649018, 557181.3261030636, 2636976.0, 0.0)"
complex.0_6_9_corrected_H_0001,"(8909343.299184151, 556833.9561990094, 2635332.0, 0.0)"
complex.0_7_12_corrected_H_0001,"(8370251.969397269, 643865.5361074823, 2632044.0, 0.0)"
complex.0_7_19_corrected_H_0001,"(8750090.217649018, 583339.3478432678, 2636976.0, 0.0)"
complex.0_7_1_corrected_H_0001,"(7963344.081385281, 723940.3710350256, 2636976.0, 0.0)"
complex.0_7_21_corrected_H_0001,"(7752510.333333333, 775251.0333333333, 2646840.0, 0.0)"
complex.0_7_28_corrected_H_0001,"(8909343.299184151, 556833.9561990094, 2635332.0, 0.0)"
complex.0_7_32_corrected_H_0001,"(8744635.049184151, 582975.6699456101, 2635332.0, 0.0)"
complex.0_7_8_corrected_H_0001,"(8218803.82987013, 684900.3191558442, 2648484.0, 0.0)"
complex.0_8_0_corrected_H_0001,"(8920459.136113886, 557528.6960071179, 2638620.0, 0.0)"
complex.0_8_38_corrected_H_0001,"(8898227.462254412, 556139.2163909008, 2632044.0, 0.0)"
complex.0_8_6_corrected_H_0001,"(7733249.438095239, 773324.943809524, 2640264.0, 0.0)"
complex.0_8_7_corrected_H_0001,"(7733249.438095239, 773324.943809524, 2640264.0, 0.0)"
complex.0_9_16_corrected_H_0001,"(7973273.438095239, 724843.0398268399, 2640264.0, 0.0)"
complex.0_9_22_corrected_H_0001,"(8739179.88071928, 582611.992047952, 2633688.0, 0.0)"
complex.0_9_35_corrected_H_0001,"(8229007.186580087, 685750.5988816739, 2651772.0, 0.0)"
complex.0_9_47_corrected_H_0001,"(8739179.88071928, 582611.992047952, 2633688.0, 0.0)"
complex.1_0_0_corrected_H_0001,"(8739179.88071928, 582611.992047952, 2633688.0, 0.0)"
complex.1_0_11_corrected_H_0001,"(7506429.628571428, 834047.7365079365, 2653416.0, 0.0)"
complex.1_0_30_corrected_H_0001,"(7733249.438095239, 773324.943809524, 2640264.0, 0.0)"
complex.1_0_31_corrected_H_0001,"(8920459.136113886, 557528.6960071179, 2638620.0, 0.0)"
complex.1_0_3_corrected_H_0001,"(7198201.157142857, 899775.1446428571, 2648484.0, 0.0)"
complex.1_0_47_corrected_H_0001,"(8448674.067798868, 649898.0052152976, 2656704.0, 0.0)"
complex.1_0_48_corrected_H_0001,"(8750090.217649018, 583339.3478432678, 2636976.0, 0.0)"
complex.1_10_14_corrected_H_0001,"(7193733.0, 899216.625, 2646840.0, 0.0)"
complex.1_10_1_corrected_H_0001,"(8375480.109290709, 644267.7007146699, 2633688.0, 0.0)"
complex.1_10_21_corrected_H_0001,"(7733249.438095239, 773324.943809524, 2640264.0, 0.0)"
complex.1_10_22_corrected_H_0001,"(8229007.186580087, 685750.5988816739, 2651772.0, 0.0)"
complex.1_10_24_corrected_H_0001,"(8903785.38071928, 556486.586294955, 2633688.0, 0.0)"
complex.1_10_2_corrected_H_0001,"(8920459.136113886, 557528.6960071179, 2638620.0, 0.0)"
complex.1_10_40_corrected_H_0001,"(8931574.97304362, 558223.4358152263, 2641908.0, 0.0)"
complex.1_10_45_corrected_H_0001,"(8223905.5082251085, 685325.4590187591, 2650128.0, 0.0)"
complex.1_10_5_corrected_H_0001,"(8937132.891508494, 558570.8057192808, 2643552.0, 0.0)"
complex.1_11_0_corrected_H_0001,"(8903785.38071928, 556486.586294955, 2633688.0, 0.0)"
complex.1_11_11_corrected_H_0001,"(8771910.891508494, 584794.0594338996, 2643552.0, 0.0)"
complex.1_11_17_corrected_H_0001,"(8937132.891508494, 558570.8057192808, 2643552.0, 0.0)"
complex.1_11_25_corrected_H_0001,"(8920459.136113886, 557528.6960071179, 2638620.0, 0.0)"
complex.1_11_38_corrected_H_0001,"(8750090.217649018, 583339.3478432678, 2636976.0, 0.0)"
complex.1_11_44_corrected_H_0001,"(7993132.151515151, 726648.3774104683, 2646840.0, 0.0)"
complex.1_11_5_corrected_H_0001,"(8744635.049184151, 582975.6699456101, 2635332.0, 0.0)"
complex.1_12_17_corrected_H_0001,"(7713988.542857142, 771398.8542857142, 2633688.0, 0.0)"
complex.1_12_19_corrected_H_0001,"(7978238.116450215, 725294.3742227468, 2641908.0, 0.0)"
complex.1_12_21_corrected_H_0001,"(8771910.891508494, 584794.0594338996, 2643552.0, 0.0)"
complex.1_12_28_corrected_H_0001,"(8733724.712254412, 582248.3141502942, 2632044.0, 0.0)"
complex.1_12_30_corrected_H_0001,"(8568946.24918415, 612067.5892274393, 2635332.0, 0.0)"
complex.1_13_13_corrected_H_0001,"(8574291.817649018, 612449.4155463584, 2636976.0, 0.0)"
complex.1_13_14_corrected_H_0001,"(8755545.386113886, 583703.0257409257, 2638620.0, 0.0)"
complex.1_13_18_corrected_H_0001,"(8909343.299184151, 556833.9561990094, 2635332.0, 0.0)"
complex.1_13_29_corrected_H_0001,"(8926017.054578755, 557876.0659111722, 2640264.0, 0.0)"
complex.1_13_43_corrected_H_0001,"(8391164.52897103, 645474.1945362331, 2638620.0, 0.0)"
complex.1_14_0_corrected_H_0001,"(8914901.217649018, 557181.3261030636, 2636976.0, 0.0)"
complex.1_14_10_corrected_H_0001,"(7738064.661904761, 773806.4661904761, 2641908.0, 0.0)"
complex.1_14_17_corrected_H_0001,"(8903785.38071928, 556486.586294955, 2633688.0, 0.0)"
complex.1_14_23_corrected_H_0001,"(8370251.969397269, 643865.5361074823, 2632044.0, 0.0)"
complex.1_14_28_corrected_H_0001,"(8375480.109290709, 644267.7007146699, 2633688.0, 0.0)"
complex.1_14_48_corrected_H_0001,"(7738064.661904761, 773806.4661904761, 2641908.0, 0.0)"
complex.1_14_7_corrected_H_0001,"(8733724.712254412, 582248.3141502942, 2632044.0, 0.0)"
complex.1_15_44_corrected_H_0001,"(7738064.661904761, 773806.4661904761, 2641908.0, 0.0)"
complex.1_15_46_corrected_H_0001,"(7733249.438095239, 773324.943809524, 2640264.0, 0.0)"
complex.1_16_20_corrected_H_0001,"(8208600.473160173, 684050.0394300144, 2645196.0, 0.0)"
complex.1_16_25_corrected_H_0001,"(8909343.299184151, 556833.9561990094, 2635332.0, 0.0)"
complex.1_16_31_corrected_H_0001,"(8234108.864935065, 686175.7387445887, 2653416.0, 0.0)"
complex.1_16_35_corrected_H_0001,"(8926017.054578755, 557876.0659111722, 2640264.0, 0.0)"
complex.1_16_9_corrected_H_0001,"(8563600.68071928, 611685.7629085201, 2633688.0, 0.0)"
complex.1_17_21_corrected_H_0001,"(8412077.088544788, 647082.8529649837, 2645196.0, 0.0)"
complex.1_17_39_corrected_H_0001,"(7189264.842857143, 898658.1053571429, 2645196.0, 0.0)"
complex.1_17_6_corrected_H_0001,"(8931574.97304362, 558223.4358152263, 2641908.0, 0.0)"
complex.1_18_20_corrected_H_0001,"(7742879.885714286, 774287.9885714286, 2643552.0, 0.0)"
complex.1_18_21_corrected_H_0001,"(8914901.217649018, 557181.3261030636, 2636976.0, 0.0)"
complex.1_18_22_corrected_H_0001,"(7211605.628571428, 901450.7035714285, 2653416.0, 0.0)"
complex.1_1_20_corrected_H_0001,"(8914901.217649018, 557181.3261030636, 2636976.0, 0.0)"
complex.1_1_30_corrected_H_0001,"(8892669.543789543, 555791.8464868465, 2630400.0, 0.0)"
complex.1_1_33_corrected_H_0001,"(8012990.864935065, 728453.7149940968, 2653416.0, 0.0)"
complex.1_1_36_corrected_H_0001,"(8903785.38071928, 556486.586294955, 2633688.0, 0.0)"
complex.1_1_39_corrected_H_0001,"(8750090.217649018, 583339.3478432678, 2636976.0, 0.0)"
complex.1_1_9_corrected_H_0001,"(8909343.299184151, 556833.9561990094, 2635332.0, 0.0)"
