pdb_file,all_contacts
relaxed_1ggp_model_1_corrected_H_0001_1ggp,165
relaxed_1ggp_model_10_corrected_H_0001_1ggp,570
relaxed_1ggp_model_100_corrected_H_0001_1ggp,319
relaxed_1ggp_model_101_corrected_H_0001_1ggp,336
relaxed_1ggp_model_102_corrected_H_0001_1ggp,262
relaxed_1ggp_model_103_corrected_H_0001_1ggp,339
relaxed_1ggp_model_104_corrected_H_0001_1ggp,292
relaxed_1ggp_model_105_corrected_H_0001_1ggp,348
relaxed_1ggp_model_106_corrected_H_0001_1ggp,350
relaxed_1ggp_model_107_corrected_H_0001_1ggp,429
relaxed_1ggp_model_108_corrected_H_0001_1ggp,297
relaxed_1ggp_model_109_corrected_H_0001_1ggp,353
relaxed_1ggp_model_11_corrected_H_0001_1ggp,247
relaxed_1ggp_model_110_corrected_H_0001_1ggp,396
relaxed_1ggp_model_111_corrected_H_0001_1ggp,393
relaxed_1ggp_model_112_corrected_H_0001_1ggp,340
relaxed_1ggp_model_113_corrected_H_0001_1ggp,272
relaxed_1ggp_model_114_corrected_H_0001_1ggp,363
relaxed_1ggp_model_115_corrected_H_0001_1ggp,364
relaxed_1ggp_model_116_corrected_H_0001_1ggp,330
relaxed_1ggp_model_117_corrected_H_0001_1ggp,432
relaxed_1ggp_model_118_corrected_H_0001_1ggp,211
relaxed_1ggp_model_119_corrected_H_0001_1ggp,231
relaxed_1ggp_model_12_corrected_H_0001_1ggp,301
relaxed_1ggp_model_120_corrected_H_0001_1ggp,325
relaxed_1ggp_model_121_corrected_H_0001_1ggp,368
relaxed_1ggp_model_122_corrected_H_0001_1ggp,343
relaxed_1ggp_model_123_corrected_H_0001_1ggp,593
relaxed_1ggp_model_124_corrected_H_0001_1ggp,282
relaxed_1ggp_model_125_corrected_H_0001_1ggp,403
relaxed_1ggp_model_126_corrected_H_0001_1ggp,328
relaxed_1ggp_model_127_corrected_H_0001_1ggp,358
relaxed_1ggp_model_128_corrected_H_0001_1ggp,171
relaxed_1ggp_model_129_corrected_H_0001_1ggp,334
relaxed_1ggp_model_13_corrected_H_0001_1ggp,212
relaxed_1ggp_model_130_corrected_H_0001_1ggp,210
relaxed_1ggp_model_131_corrected_H_0001_1ggp,366
relaxed_1ggp_model_132_corrected_H_0001_1ggp,353
relaxed_1ggp_model_133_corrected_H_0001_1ggp,332
relaxed_1ggp_model_134_corrected_H_0001_1ggp,441
relaxed_1ggp_model_135_corrected_H_0001_1ggp,450
relaxed_1ggp_model_136_corrected_H_0001_1ggp,259
relaxed_1ggp_model_137_corrected_H_0001_1ggp,237
relaxed_1ggp_model_138_corrected_H_0001_1ggp,374
relaxed_1ggp_model_139_corrected_H_0001_1ggp,339
relaxed_1ggp_model_14_corrected_H_0001_1ggp,422
relaxed_1ggp_model_140_corrected_H_0001_1ggp,279
relaxed_1ggp_model_141_corrected_H_0001_1ggp,273
relaxed_1ggp_model_142_corrected_H_0001_1ggp,426
relaxed_1ggp_model_143_corrected_H_0001_1ggp,388
relaxed_1ggp_model_144_corrected_H_0001_1ggp,180
relaxed_1ggp_model_145_corrected_H_0001_1ggp,308
relaxed_1ggp_model_146_corrected_H_0001_1ggp,381
relaxed_1ggp_model_147_corrected_H_0001_1ggp,362
relaxed_1ggp_model_148_corrected_H_0001_1ggp,303
relaxed_1ggp_model_149_corrected_H_0001_1ggp,424
relaxed_1ggp_model_15_corrected_H_0001_1ggp,265
relaxed_1ggp_model_150_corrected_H_0001_1ggp,271
relaxed_1ggp_model_151_corrected_H_0001_1ggp,305
relaxed_1ggp_model_152_corrected_H_0001_1ggp,533
relaxed_1ggp_model_153_corrected_H_0001_1ggp,525
relaxed_1ggp_model_154_corrected_H_0001_1ggp,563
relaxed_1ggp_model_155_corrected_H_0001_1ggp,359
relaxed_1ggp_model_156_corrected_H_0001_1ggp,287
relaxed_1ggp_model_157_corrected_H_0001_1ggp,408
relaxed_1ggp_model_158_corrected_H_0001_1ggp,317
relaxed_1ggp_model_159_corrected_H_0001_1ggp,519
relaxed_1ggp_model_16_corrected_H_0001_1ggp,311
relaxed_1ggp_model_160_corrected_H_0001_1ggp,301
relaxed_1ggp_model_161_corrected_H_0001_1ggp,267
relaxed_1ggp_model_162_corrected_H_0001_1ggp,570
relaxed_1ggp_model_163_corrected_H_0001_1ggp,497
relaxed_1ggp_model_164_corrected_H_0001_1ggp,375
relaxed_1ggp_model_165_corrected_H_0001_1ggp,450
relaxed_1ggp_model_166_corrected_H_0001_1ggp,256
relaxed_1ggp_model_167_corrected_H_0001_1ggp,175
relaxed_1ggp_model_168_corrected_H_0001_1ggp,301
relaxed_1ggp_model_169_corrected_H_0001_1ggp,515
relaxed_1ggp_model_17_corrected_H_0001_1ggp,295
relaxed_1ggp_model_170_corrected_H_0001_1ggp,283
relaxed_1ggp_model_171_corrected_H_0001_1ggp,359
relaxed_1ggp_model_172_corrected_H_0001_1ggp,436
relaxed_1ggp_model_173_corrected_H_0001_1ggp,346
relaxed_1ggp_model_174_corrected_H_0001_1ggp,350
relaxed_1ggp_model_175_corrected_H_0001_1ggp,268
relaxed_1ggp_model_176_corrected_H_0001_1ggp,281
relaxed_1ggp_model_177_corrected_H_0001_1ggp,367
relaxed_1ggp_model_178_corrected_H_0001_1ggp,305
relaxed_1ggp_model_179_corrected_H_0001_1ggp,0
relaxed_1ggp_model_18_corrected_H_0001_1ggp,269
relaxed_1ggp_model_180_corrected_H_0001_1ggp,260
relaxed_1ggp_model_181_corrected_H_0001_1ggp,370
relaxed_1ggp_model_182_corrected_H_0001_1ggp,463
relaxed_1ggp_model_183_corrected_H_0001_1ggp,286
relaxed_1ggp_model_184_corrected_H_0001_1ggp,371
relaxed_1ggp_model_185_corrected_H_0001_1ggp,282
relaxed_1ggp_model_186_corrected_H_0001_1ggp,395
relaxed_1ggp_model_187_corrected_H_0001_1ggp,496
relaxed_1ggp_model_188_corrected_H_0001_1ggp,408
relaxed_1ggp_model_189_corrected_H_0001_1ggp,608
relaxed_1ggp_model_19_corrected_H_0001_1ggp,301
relaxed_1ggp_model_190_corrected_H_0001_1ggp,525
relaxed_1ggp_model_191_corrected_H_0001_1ggp,385
relaxed_1ggp_model_192_corrected_H_0001_1ggp,247
relaxed_1ggp_model_193_corrected_H_0001_1ggp,411
relaxed_1ggp_model_194_corrected_H_0001_1ggp,219
relaxed_1ggp_model_195_corrected_H_0001_1ggp,244
relaxed_1ggp_model_196_corrected_H_0001_1ggp,397
relaxed_1ggp_model_197_corrected_H_0001_1ggp,451
relaxed_1ggp_model_198_corrected_H_0001_1ggp,359
relaxed_1ggp_model_199_corrected_H_0001_1ggp,287
relaxed_1ggp_model_2_corrected_H_0001_1ggp,227
relaxed_1ggp_model_20_corrected_H_0001_1ggp,148
relaxed_1ggp_model_200_corrected_H_0001_1ggp,325
relaxed_1ggp_model_201_corrected_H_0001_1ggp,250
relaxed_1ggp_model_202_corrected_H_0001_1ggp,325
relaxed_1ggp_model_203_corrected_H_0001_1ggp,302
relaxed_1ggp_model_204_corrected_H_0001_1ggp,393
relaxed_1ggp_model_205_corrected_H_0001_1ggp,352
relaxed_1ggp_model_206_corrected_H_0001_1ggp,415
relaxed_1ggp_model_207_corrected_H_0001_1ggp,383
relaxed_1ggp_model_208_corrected_H_0001_1ggp,518
relaxed_1ggp_model_209_corrected_H_0001_1ggp,360
relaxed_1ggp_model_21_corrected_H_0001_1ggp,190
relaxed_1ggp_model_210_corrected_H_0001_1ggp,325
relaxed_1ggp_model_211_corrected_H_0001_1ggp,308
relaxed_1ggp_model_212_corrected_H_0001_1ggp,368
relaxed_1ggp_model_213_corrected_H_0001_1ggp,343
relaxed_1ggp_model_214_corrected_H_0001_1ggp,244
relaxed_1ggp_model_215_corrected_H_0001_1ggp,361
relaxed_1ggp_model_216_corrected_H_0001_1ggp,246
relaxed_1ggp_model_217_corrected_H_0001_1ggp,401
relaxed_1ggp_model_218_corrected_H_0001_1ggp,494
relaxed_1ggp_model_219_corrected_H_0001_1ggp,295
relaxed_1ggp_model_22_corrected_H_0001_1ggp,294
relaxed_1ggp_model_220_corrected_H_0001_1ggp,339
relaxed_1ggp_model_221_corrected_H_0001_1ggp,403
relaxed_1ggp_model_222_corrected_H_0001_1ggp,447
relaxed_1ggp_model_223_corrected_H_0001_1ggp,373
relaxed_1ggp_model_224_corrected_H_0001_1ggp,235
relaxed_1ggp_model_225_corrected_H_0001_1ggp,352
relaxed_1ggp_model_226_corrected_H_0001_1ggp,346
relaxed_1ggp_model_227_corrected_H_0001_1ggp,324
relaxed_1ggp_model_228_corrected_H_0001_1ggp,489
relaxed_1ggp_model_229_corrected_H_0001_1ggp,360
relaxed_1ggp_model_23_corrected_H_0001_1ggp,242
relaxed_1ggp_model_230_corrected_H_0001_1ggp,351
relaxed_1ggp_model_231_corrected_H_0001_1ggp,318
relaxed_1ggp_model_232_corrected_H_0001_1ggp,385
relaxed_1ggp_model_233_corrected_H_0001_1ggp,317
relaxed_1ggp_model_234_corrected_H_0001_1ggp,421
relaxed_1ggp_model_235_corrected_H_0001_1ggp,233
relaxed_1ggp_model_236_corrected_H_0001_1ggp,457
relaxed_1ggp_model_237_corrected_H_0001_1ggp,329
relaxed_1ggp_model_238_corrected_H_0001_1ggp,283
relaxed_1ggp_model_239_corrected_H_0001_1ggp,488
relaxed_1ggp_model_24_corrected_H_0001_1ggp,223
relaxed_1ggp_model_240_corrected_H_0001_1ggp,396
relaxed_1ggp_model_241_corrected_H_0001_1ggp,377
relaxed_1ggp_model_242_corrected_H_0001_1ggp,263
relaxed_1ggp_model_243_corrected_H_0001_1ggp,533
relaxed_1ggp_model_244_corrected_H_0001_1ggp,403
relaxed_1ggp_model_245_corrected_H_0001_1ggp,320
relaxed_1ggp_model_246_corrected_H_0001_1ggp,544
relaxed_1ggp_model_247_corrected_H_0001_1ggp,245
relaxed_1ggp_model_248_corrected_H_0001_1ggp,466
relaxed_1ggp_model_249_corrected_H_0001_1ggp,296
relaxed_1ggp_model_25_corrected_H_0001_1ggp,279
relaxed_1ggp_model_250_corrected_H_0001_1ggp,577
relaxed_1ggp_model_251_corrected_H_0001_1ggp,290
relaxed_1ggp_model_252_corrected_H_0001_1ggp,315
relaxed_1ggp_model_253_corrected_H_0001_1ggp,449
relaxed_1ggp_model_254_corrected_H_0001_1ggp,289
relaxed_1ggp_model_255_corrected_H_0001_1ggp,323
relaxed_1ggp_model_256_corrected_H_0001_1ggp,428
relaxed_1ggp_model_257_corrected_H_0001_1ggp,439
relaxed_1ggp_model_258_corrected_H_0001_1ggp,372
relaxed_1ggp_model_259_corrected_H_0001_1ggp,428
