pdb_file,score,weighted_avg,avg,standard_dev
sampled_2hla_model_1_2hla,14685814.19978355,1223817.8499819625,4732458.0,0.0
sampled_2hla_model_10_2hla,13919054.652380953,1391905.4652380953,4752204.0,0.0
sampled_2hla_model_100_2hla,14679005.755555555,1223250.4796296295,4730264.0,0.0
sampled_2hla_model_101_2hla,14317945.143362196,1301631.3766692905,4741234.0,0.0
sampled_2hla_model_102_2hla,14726664.865151515,1227222.0720959597,4745622.0,0.0
sampled_2hla_model_103_2hla,14699431.088239536,1224952.590686628,4736846.0,0.0
sampled_2hla_model_104_2hla,13874071.557936506,1387407.1557936503,4736846.0,0.0
sampled_2hla_model_105_2hla,14706239.532467533,1225519.961038961,4739040.0,0.0
sampled_2hla_model_106_2hla,14298068.310678208,1299824.391879837,4734652.0,0.0
sampled_2hla_model_107_2hla,14337821.976046177,1303438.3614587432,4747816.0,0.0
sampled_2hla_model_108_2hla,13835514.61984127,1383551.461984127,4723682.0,0.0
sampled_2hla_model_109_2hla,14298068.310678208,1299824.391879837,4734652.0,0.0
sampled_2hla_model_11_2hla,15049849.43055278,1157680.725427137,4732458.0,0.0
sampled_2hla_model_110_2hla,14337821.976046177,1303438.3614587432,4747816.0,0.0
sampled_2hla_model_111_2hla,14284817.08888889,1298619.7353535353,4730264.0,0.0
sampled_2hla_model_112_2hla,14291442.69978355,1299222.0636166865,4732458.0,0.0
sampled_2hla_model_113_2hla,14278191.477994228,1298017.4070903845,4728070.0,0.0
sampled_2hla_model_114_2hla,13456247.765079366,1495138.640564374,4756592.0,0.0
sampled_2hla_model_115_2hla,15077758.284387838,1159827.560337526,4741234.0,0.0
sampled_2hla_model_116_2hla,14331196.365151515,1302836.0331955922,4745622.0,0.0
sampled_2hla_model_117_2hla,14304693.92157287,1300426.7201429885,4736846.0,0.0
sampled_2hla_model_118_2hla,13867645.4015873,1386764.54015873,4734652.0,0.0
sampled_2hla_model_119_2hla,13874071.557936506,1387407.1557936503,4736846.0,0.0
