pdb_file,bsa
complex.0_0_10_corrected_H_0001,2094.7439844553446
complex.0_0_25_corrected_H_0001,1526.6640682137986
complex.0_0_27_corrected_H_0001,1813.4855913020438
complex.0_0_42_corrected_H_0001,2699.7214424490303
complex.0_0_4_corrected_H_0001,1892.7695664548446
complex.0_0_7_corrected_H_0001,1427.4031957231145
complex.0_10_17_corrected_H_0001,3714.9082959715015
complex.0_10_18_corrected_H_0001,4381.297430568455
complex.0_10_29_corrected_H_0001,4238.042551258397
complex.0_10_2_corrected_H_0001,3949.7142817027307
complex.0_10_34_corrected_H_0001,4293.3972342652505
complex.0_11_0_corrected_H_0001,4149.861218783315
complex.0_11_11_corrected_H_0001,4232.348590857506
complex.0_11_26_corrected_H_0001,4345.885885843392
complex.0_11_3_corrected_H_0001,4216.806433404727
complex.0_11_40_corrected_H_0001,4071.667409704767
complex.0_11_5_corrected_H_0001,4315.973681491485
complex.0_12_28_corrected_H_0001,4528.484892792581
complex.0_12_29_corrected_H_0001,4510.09976013776
complex.0_12_39_corrected_H_0001,4435.931086082617
complex.0_12_42_corrected_H_0001,4344.377227039367
complex.0_12_47_corrected_H_0001,4316.676964333523
complex.0_13_14_corrected_H_0001,4426.992555612696
complex.0_13_19_corrected_H_0001,4303.422024346237
complex.0_13_23_corrected_H_0001,4387.1133012487135
complex.0_13_41_corrected_H_0001,4396.859540461959
complex.0_13_6_corrected_H_0001,4282.874155932712
complex.0_14_25_corrected_H_0001,4229.298194164683
complex.0_14_44_corrected_H_0001,4439.207524154577
complex.0_14_6_corrected_H_0001,4521.116290790349
complex.0_14_8_corrected_H_0001,4347.75479414698
complex.0_15_16_corrected_H_0001,4365.293585643594
complex.0_15_20_corrected_H_0001,4620.339064900625
complex.0_15_22_corrected_H_0001,4358.171542579963
complex.0_15_42_corrected_H_0001,4463.700912197735
complex.0_15_5_corrected_H_0001,4459.549268678924
complex.0_15_6_corrected_H_0001,4406.669514738076
complex.0_16_0_corrected_H_0001,4527.55671648128
complex.0_16_40_corrected_H_0001,4252.3857184483695
complex.0_17_11_corrected_H_0001,4488.391168099335
complex.0_17_1_corrected_H_0001,4379.096256496887
complex.0_17_23_corrected_H_0001,4464.336262036626
complex.0_17_24_corrected_H_0001,4638.526333951588
complex.0_17_29_corrected_H_0001,4572.506121668783
complex.0_17_30_corrected_H_0001,4437.868257417622
complex.0_17_41_corrected_H_0001,4595.6184755182985
complex.0_18_0_corrected_H_0001,4386.048615701495
complex.0_18_11_corrected_H_0001,4619.249887827102
complex.0_18_2_corrected_H_0001,4577.90651684375
complex.0_1_27_corrected_H_0001,2476.50551572318
complex.0_1_34_corrected_H_0001,1677.1458472756567
complex.0_1_43_corrected_H_0001,1621.999576164786
complex.0_2_19_corrected_H_0001,2287.5474160704034
complex.0_2_28_corrected_H_0001,2651.514297046164
complex.0_2_6_corrected_H_0001,2719.727790203824
complex.0_3_37_corrected_H_0001,3007.7348501557044
complex.0_3_40_corrected_H_0001,3485.2505132109563
complex.0_3_9_corrected_H_0001,3024.21166497824
complex.0_4_10_corrected_H_0001,3390.4815216702445
complex.0_4_28_corrected_H_0001,2658.3697818375713
complex.0_4_46_corrected_H_0001,3141.207271004192
complex.0_4_49_corrected_H_0001,3205.2319921639955
complex.0_4_4_corrected_H_0001,3265.802489306754
complex.0_5_18_corrected_H_0001,3204.420620816858
complex.0_5_20_corrected_H_0001,3781.3406362970436
complex.0_5_21_corrected_H_0001,3637.8332390073065
complex.0_5_24_corrected_H_0001,3139.044735778054
complex.0_5_4_corrected_H_0001,3224.6233578164083
complex.0_5_5_corrected_H_0001,3488.823043550714
complex.0_6_18_corrected_H_0001,3754.919401761139
complex.0_6_28_corrected_H_0001,3646.273787603168
complex.0_6_39_corrected_H_0001,3492.0878632236327
complex.0_6_45_corrected_H_0001,3188.6874800835576
complex.0_7_16_corrected_H_0001,3890.8923224498194
complex.0_7_23_corrected_H_0001,3575.958502445248
complex.0_8_10_corrected_H_0001,3938.970984907477
complex.0_8_14_corrected_H_0001,4295.525764457358
complex.0_8_34_corrected_H_0001,3742.1685110054696
complex.0_8_40_corrected_H_0001,4073.9343136336865
complex.0_8_42_corrected_H_0001,3980.2048943143436
complex.0_8_43_corrected_H_0001,3611.8775417406614
complex.0_8_44_corrected_H_0001,3538.4714790989074
complex.0_9_23_corrected_H_0001,4253.555380712012
complex.0_9_28_corrected_H_0001,4229.746305851093
complex.0_9_29_corrected_H_0001,4038.1107553079455
complex.0_9_30_corrected_H_0001,4321.924946371779
complex.0_9_34_corrected_H_0001,4456.925493983872
complex.0_9_38_corrected_H_0001,4304.379310946426
complex.0_9_3_corrected_H_0001,4350.5677352624025
complex.1_0_0_corrected_H_0001,2086.5558203350647
complex.1_0_28_corrected_H_0001,1839.6556929767394
complex.1_0_2_corrected_H_0001,2333.5178935068707
complex.1_0_40_corrected_H_0001,2504.536716705785
complex.1_0_43_corrected_H_0001,1875.2233310962947
complex.1_10_20_corrected_H_0001,4233.1907188223595
complex.1_10_30_corrected_H_0001,4147.121816253142
complex.1_10_38_corrected_H_0001,3838.937404727767
complex.1_10_48_corrected_H_0001,4236.98078140842
complex.1_10_9_corrected_H_0001,4283.212298291588
complex.1_11_37_corrected_H_0001,4362.7843602385165
complex.1_11_4_corrected_H_0001,4402.388273017057
complex.1_11_9_corrected_H_0001,4006.358369733829
complex.1_12_13_corrected_H_0001,4331.743764469829
complex.1_12_21_corrected_H_0001,4474.4269973132195
complex.1_12_31_corrected_H_0001,4308.803910099847
complex.1_12_40_corrected_H_0001,4343.646165499773
complex.1_12_45_corrected_H_0001,4189.6754111391565
complex.1_12_4_corrected_H_0001,4568.413291310797
complex.1_13_12_corrected_H_0001,4368.220808638258
complex.1_13_8_corrected_H_0001,4446.902130124832
complex.1_14_16_corrected_H_0001,4301.593513013726
complex.1_14_21_corrected_H_0001,4465.186650056969
complex.1_14_24_corrected_H_0001,4501.478909011235
complex.1_14_33_corrected_H_0001,4468.9261711937215
complex.1_14_45_corrected_H_0001,4237.504835555694
complex.1_14_47_corrected_H_0001,4574.932470988788
complex.1_14_7_corrected_H_0001,4487.156423690822
complex.1_15_32_corrected_H_0001,4411.2349156947
complex.1_15_33_corrected_H_0001,4406.227864580542
complex.1_15_40_corrected_H_0001,4587.492457533019
complex.1_15_48_corrected_H_0001,4605.896550910515
complex.1_16_16_corrected_H_0001,4454.798735345821
complex.1_16_32_corrected_H_0001,4553.795958217448
complex.1_16_46_corrected_H_0001,4564.066546467637
complex.1_17_16_corrected_H_0001,4430.874361455295
complex.1_17_21_corrected_H_0001,4530.437028406008
complex.1_17_27_corrected_H_0001,4546.667566305212
complex.1_17_28_corrected_H_0001,4561.537083861127
complex.1_17_6_corrected_H_0001,4638.620916086482
complex.1_17_9_corrected_H_0001,4487.220227240383
complex.1_18_14_corrected_H_0001,4467.658981915178
complex.1_18_27_corrected_H_0001,4595.455575737242
complex.1_19_1_corrected_H_0001,4565.704183295873
complex.1_1_17_corrected_H_0001,1787.3209147343841
complex.1_2_18_corrected_H_0001,2236.205850942264
complex.1_2_44_corrected_H_0001,3053.6024626804683
complex.1_2_47_corrected_H_0001,2743.6657129161576
complex.1_2_48_corrected_H_0001,2165.6345493250756
complex.1_3_13_corrected_H_0001,2857.1133539046223
complex.1_3_29_corrected_H_0001,3048.1970654068627
complex.1_3_31_corrected_H_0001,2990.9363947663005
complex.1_3_33_corrected_H_0001,2834.462521288371
complex.1_3_36_corrected_H_0001,3094.9530621408157
complex.1_3_44_corrected_H_0001,3272.925788364635
complex.1_3_4_corrected_H_0001,3254.363493354036
complex.1_3_8_corrected_H_0001,3188.732311216876
complex.1_4_18_corrected_H_0001,3129.140340571359
complex.1_4_30_corrected_H_0001,3278.58254160847
complex.1_4_33_corrected_H_0001,3385.3600859002745
complex.1_4_38_corrected_H_0001,2929.6192056389664
complex.1_4_3_corrected_H_0001,2926.1468060753705
complex.1_4_5_corrected_H_0001,2932.9235536453434
complex.1_5_28_corrected_H_0001,3678.3029600249083
complex.1_5_35_corrected_H_0001,3664.3717665187396
complex.1_5_42_corrected_H_0001,3242.089012397226
complex.1_5_47_corrected_H_0001,3525.2027655947786
complex.1_5_7_corrected_H_0001,3732.0705372988323
complex.1_6_12_corrected_H_0001,3377.694635110307
complex.1_6_27_corrected_H_0001,3591.830758306214
complex.1_6_30_corrected_H_0001,3427.9212019864754
complex.1_6_32_corrected_H_0001,2778.054279181626
complex.1_6_34_corrected_H_0001,3052.06083077923
complex.1_6_46_corrected_H_0001,3572.562490707358
complex.1_6_5_corrected_H_0001,3202.406430354791
complex.1_6_9_corrected_H_0001,3149.9876617925
complex.1_7_14_corrected_H_0001,3381.989965254903
complex.1_7_18_corrected_H_0001,3787.860342204989
complex.1_7_19_corrected_H_0001,3266.0352450459704
complex.1_7_22_corrected_H_0001,3932.4285273575406
complex.1_7_39_corrected_H_0001,3087.856628354877
complex.1_7_48_corrected_H_0001,3883.489613699643
complex.1_7_7_corrected_H_0001,4222.316628074252
complex.1_7_8_corrected_H_0001,3912.7106425823695
complex.1_7_9_corrected_H_0001,4074.815130958923
complex.1_8_21_corrected_H_0001,3790.047108796829
complex.1_8_2_corrected_H_0001,4133.431321969754
complex.1_8_38_corrected_H_0001,4035.218775998903
complex.1_8_45_corrected_H_0001,3659.9055042638174
complex.1_9_11_corrected_H_0001,3944.4420651737964
complex.1_9_17_corrected_H_0001,4191.7984334228295
complex.1_9_18_corrected_H_0001,4439.621193003162
complex.1_9_24_corrected_H_0001,4324.891618819813
complex.1_9_25_corrected_H_0001,4240.39336237775
complex.1_9_41_corrected_H_0001,4689.854224044471
complex.1_9_45_corrected_H_0001,4134.338718213379
complex.2_0_1_corrected_H_0001,2400.5422434399134
complex.2_0_26_corrected_H_0001,1073.218599354439
complex.2_0_9_corrected_H_0001,2291.0942857997834
complex.2_10_0_corrected_H_0001,4255.802418439531
complex.2_10_24_corrected_H_0001,4012.231394207296
complex.2_10_42_corrected_H_0001,4341.199465347068
complex.2_11_1_corrected_H_0001,4230.781754104391
complex.2_11_30_corrected_H_0001,4237.789863880829
complex.2_11_36_corrected_H_0001,4213.4303163343375
complex.2_11_39_corrected_H_0001,4197.928799941852
complex.2_11_41_corrected_H_0001,4383.357088299857
complex.2_11_43_corrected_H_0001,3952.5145174404006
complex.2_11_46_corrected_H_0001,4150.050807897356
complex.2_11_8_corrected_H_0001,4154.698416760326
complex.2_12_26_corrected_H_0001,4342.097753279093
complex.2_12_30_corrected_H_0001,4351.68254221719
complex.2_12_43_corrected_H_0001,4288.302536385934
complex.2_12_49_corrected_H_0001,4183.519149833352
complex.2_12_7_corrected_H_0001,4413.225399780757
complex.2_13_27_corrected_H_0001,4290.305340569725
complex.2_13_31_corrected_H_0001,4477.511287113077
complex.2_13_35_corrected_H_0001,4413.169356855267
complex.2_13_5_corrected_H_0001,4509.648909355088
complex.2_13_9_corrected_H_0001,4299.331697338663
complex.2_14_20_corrected_H_0001,4332.384497559302
complex.2_14_29_corrected_H_0001,4310.999768811604
complex.2_14_37_corrected_H_0001,4401.683608896072
complex.2_15_24_corrected_H_0001,4393.305565403367
complex.2_15_49_corrected_H_0001,4517.856504752364
complex.2_16_14_corrected_H_0001,4377.561006484952
complex.2_16_19_corrected_H_0001,4457.105435730968
complex.2_16_35_corrected_H_0001,4622.721649454104
complex.2_16_37_corrected_H_0001,4389.697562773739
complex.2_16_38_corrected_H_0001,4566.755419864425
complex.2_16_3_corrected_H_0001,4479.037350212149
complex.2_16_4_corrected_H_0001,4429.403467994749
complex.2_16_8_corrected_H_0001,4339.277646905488
complex.2_17_31_corrected_H_0001,4598.833143177715
complex.2_17_32_corrected_H_0001,4533.276413543914
complex.2_17_39_corrected_H_0001,4440.859171471191
complex.2_17_42_corrected_H_0001,4536.813023732628
complex.2_18_15_corrected_H_0001,4695.845146424164
complex.2_18_16_corrected_H_0001,4601.5752964746025
complex.2_18_19_corrected_H_0001,4544.26478764748
complex.2_1_21_corrected_H_0001,2618.0508183804504
complex.2_1_24_corrected_H_0001,2012.1419708273042
complex.2_1_2_corrected_H_0001,1866.3380256027885
complex.2_1_37_corrected_H_0001,2225.1699413258957
complex.2_1_41_corrected_H_0001,2094.998363842984
complex.2_1_42_corrected_H_0001,2820.4244443771895
complex.2_1_4_corrected_H_0001,2360.9420400704166
complex.2_2_11_corrected_H_0001,2835.6794650403917
complex.2_2_13_corrected_H_0001,1627.1378637990038
complex.2_2_21_corrected_H_0001,2548.910163859109
complex.2_2_22_corrected_H_0001,3216.4322615890833
complex.2_2_3_corrected_H_0001,2608.8617047013922
complex.2_2_41_corrected_H_0001,2224.4180220347152
complex.2_2_46_corrected_H_0001,2493.027986130708
complex.2_3_1_corrected_H_0001,2931.485020807042
complex.2_3_24_corrected_H_0001,2766.397766221269
complex.2_3_39_corrected_H_0001,3281.4749747248534
complex.2_3_48_corrected_H_0001,3154.472343528774
complex.2_4_11_corrected_H_0001,3066.2910915792327
complex.2_4_27_corrected_H_0001,3025.2276879269684
complex.2_4_34_corrected_H_0001,3188.5316585803994
complex.2_4_40_corrected_H_0001,3503.505738473741
complex.2_4_6_corrected_H_0001,3403.51480666319
complex.2_5_15_corrected_H_0001,3023.1621544282007
complex.2_5_19_corrected_H_0001,3170.4977845094763
complex.2_5_32_corrected_H_0001,2878.8582047724285
complex.2_5_38_corrected_H_0001,3279.87153730102
complex.2_5_41_corrected_H_0001,2914.795173808796
complex.2_5_46_corrected_H_0001,3277.153798351468
complex.2_5_48_corrected_H_0001,2977.73500803549
complex.2_6_40_corrected_H_0001,3158.4222296108856
complex.2_6_47_corrected_H_0001,3383.9148443723116
complex.2_6_49_corrected_H_0001,3493.0535111257777
complex.2_7_20_corrected_H_0001,3776.899929500998
complex.2_7_25_corrected_H_0001,4044.49179700049
complex.2_7_47_corrected_H_0001,3959.082090298196
complex.2_7_5_corrected_H_0001,3613.7912135237293
complex.2_8_23_corrected_H_0001,3855.7069154546425
complex.2_8_37_corrected_H_0001,4409.897827573577
complex.2_8_48_corrected_H_0001,4212.464279283349
complex.2_8_7_corrected_H_0001,4000.832976866235
complex.2_9_22_corrected_H_0001,4005.3772549762343
complex.2_9_48_corrected_H_0001,4116.273401314558
complex.3_0_16_corrected_H_0001,1742.2075095402342
complex.3_0_20_corrected_H_0001,948.8095401132687
complex.3_0_22_corrected_H_0001,2252.775939555413
complex.3_0_29_corrected_H_0001,1156.2328401818068
complex.3_0_32_corrected_H_0001,1177.1569880803872
complex.3_0_34_corrected_H_0001,1207.2648358034094
complex.3_0_38_corrected_H_0001,1645.4344095318866
complex.3_0_6_corrected_H_0001,2345.7893545132592
complex.3_10_13_corrected_H_0001,4314.162875366041
complex.3_10_43_corrected_H_0001,4254.337317539728
complex.3_11_48_corrected_H_0001,4088.662114122895
complex.3_11_7_corrected_H_0001,4158.313133414436
complex.3_12_16_corrected_H_0001,4345.078992684617
complex.3_12_19_corrected_H_0001,4410.043808708568
complex.3_12_22_corrected_H_0001,4616.545258991686
complex.3_12_25_corrected_H_0001,4539.725047736107
complex.3_12_32_corrected_H_0001,4475.991852408646
complex.3_12_5_corrected_H_0001,4279.216506385594
complex.3_12_9_corrected_H_0001,4136.649461315968
complex.3_13_25_corrected_H_0001,4259.638668167323
complex.3_13_2_corrected_H_0001,4377.9653790252505
complex.3_13_49_corrected_H_0001,4557.243552311191
complex.3_13_4_corrected_H_0001,4498.329733090857
complex.3_14_13_corrected_H_0001,4352.679365729124
complex.3_14_30_corrected_H_0001,4377.610169700602
complex.3_14_32_corrected_H_0001,4550.825427570744
complex.3_14_34_corrected_H_0001,4450.685101827286
complex.3_14_48_corrected_H_0001,4323.530036348364
complex.3_14_4_corrected_H_0001,4557.025426956448
complex.3_15_18_corrected_H_0001,4373.750940815764
complex.3_15_27_corrected_H_0001,4457.715579356283
complex.3_15_31_corrected_H_0001,4392.750961653675
complex.3_15_4_corrected_H_0001,4523.615806803711
complex.3_16_17_corrected_H_0001,4488.556750801947
complex.3_16_20_corrected_H_0001,4478.289546340056
complex.3_16_47_corrected_H_0001,4424.588715774777
complex.3_17_0_corrected_H_0001,4582.791150435121
complex.3_17_20_corrected_H_0001,4396.235560632658
complex.3_17_33_corrected_H_0001,4575.134352326137
complex.3_17_34_corrected_H_0001,4586.103845253083
complex.3_17_4_corrected_H_0001,4438.423607278512
complex.3_18_12_corrected_H_0001,4580.711050319049
complex.3_18_1_corrected_H_0001,4557.166445453955
complex.3_18_21_corrected_H_0001,4434.41020763989
complex.3_1_19_corrected_H_0001,2194.325032776418
complex.3_1_47_corrected_H_0001,2264.2266666875566
complex.3_2_23_corrected_H_0001,1538.5822262595266
complex.3_2_31_corrected_H_0001,2334.848440773145
complex.3_2_32_corrected_H_0001,2452.930668764724
