pdb_file,bsa
complex.0_0_12_corrected_H_0001,1219.3773809848826
complex.0_0_16_corrected_H_0001,1403.0137846328853
complex.0_0_33_corrected_H_0001,1079.0572007702904
complex.0_0_39_corrected_H_0001,1416.6917550515336
complex.0_0_41_corrected_H_0001,1110.7824932097901
complex.0_10_13_corrected_H_0001,2393.7260106645736
complex.0_10_23_corrected_H_0001,2293.11328165934
complex.0_10_31_corrected_H_0001,2297.798657679923
complex.0_10_37_corrected_H_0001,2289.1040644484365
complex.0_10_45_corrected_H_0001,2386.6939023435843
complex.0_11_16_corrected_H_0001,2614.427837822286
complex.0_11_20_corrected_H_0001,2060.4133539109225
complex.0_11_25_corrected_H_0001,2491.6854287324295
complex.0_11_2_corrected_H_0001,2620.9973436134114
complex.0_11_39_corrected_H_0001,2545.438924175982
complex.0_11_3_corrected_H_0001,2571.8847893205602
complex.0_11_9_corrected_H_0001,2502.351150589022
complex.0_12_35_corrected_H_0001,2573.3086437805505
complex.0_12_46_corrected_H_0001,2170.1240884210965
complex.0_12_6_corrected_H_0001,2351.2441765127533
complex.0_13_12_corrected_H_0001,2596.1240252909156
complex.0_13_20_corrected_H_0001,2613.4975119215087
complex.0_13_38_corrected_H_0001,2474.383222116172
complex.0_14_15_corrected_H_0001,2611.018567730129
complex.0_14_30_corrected_H_0001,2606.6039489639697
complex.0_14_38_corrected_H_0001,2541.761314508469
complex.0_14_46_corrected_H_0001,2677.673767388227
complex.0_14_5_corrected_H_0001,2572.482911980287
complex.0_14_9_corrected_H_0001,2475.4114199779233
complex.0_15_15_corrected_H_0001,2653.8113603300626
complex.0_15_16_corrected_H_0001,2567.662920344226
complex.0_15_19_corrected_H_0001,2450.858322843047
complex.0_15_39_corrected_H_0001,2579.04780465349
complex.0_15_40_corrected_H_0001,2494.386032583325
complex.0_15_49_corrected_H_0001,2620.513743901356
complex.0_16_11_corrected_H_0001,2620.293196866749
complex.0_16_12_corrected_H_0001,2518.365798208104
complex.0_16_19_corrected_H_0001,2433.708904076857
complex.0_16_21_corrected_H_0001,2473.5537708903666
complex.0_16_24_corrected_H_0001,2622.2167818704766
complex.0_17_28_corrected_H_0001,2692.8119704682867
complex.0_17_35_corrected_H_0001,2561.254583415097
complex.0_18_25_corrected_H_0001,2548.681098942314
complex.0_18_35_corrected_H_0001,2573.7962087008527
complex.0_18_39_corrected_H_0001,2563.250321191279
complex.0_18_40_corrected_H_0001,2566.5337550989516
complex.0_19_3_corrected_H_0001,2546.478972815332
complex.0_1_11_corrected_H_0001,1341.7475280733288
complex.0_1_14_corrected_H_0001,1377.4006747707845
complex.0_1_25_corrected_H_0001,1218.6459010533272
complex.0_1_29_corrected_H_0001,1186.391852631823
complex.0_1_31_corrected_H_0001,1640.5760741247432
complex.0_1_38_corrected_H_0001,1223.4358093099345
complex.0_1_40_corrected_H_0001,1326.1825847426917
complex.0_2_11_corrected_H_0001,1427.8519264370625
complex.0_2_26_corrected_H_0001,872.5342814198957
complex.0_2_31_corrected_H_0001,1429.605329773718
complex.0_2_38_corrected_H_0001,1538.7886723423017
complex.0_2_46_corrected_H_0001,1859.0967213752883
complex.0_2_48_corrected_H_0001,1551.0636860757422
complex.0_2_5_corrected_H_0001,840.0941765102816
complex.0_2_9_corrected_H_0001,1075.0991709762548
complex.0_3_31_corrected_H_0001,1324.1870296014858
complex.0_3_33_corrected_H_0001,1887.0590948450572
complex.0_3_47_corrected_H_0001,1245.6929403760132
complex.0_3_4_corrected_H_0001,1414.129554818799
complex.0_4_10_corrected_H_0001,2248.3165241927218
complex.0_4_18_corrected_H_0001,1624.9390580094605
complex.0_4_21_corrected_H_0001,1704.9540543039875
complex.0_4_22_corrected_H_0001,1593.2318918445853
complex.0_4_30_corrected_H_0001,1288.5223862076546
complex.0_4_40_corrected_H_0001,1701.8373013488144
complex.0_4_42_corrected_H_0001,1389.1268209817063
complex.0_4_49_corrected_H_0001,1734.7098413968288
complex.0_5_17_corrected_H_0001,1537.4018582414265
complex.0_5_18_corrected_H_0001,1476.394614513205
complex.0_5_20_corrected_H_0001,1984.3214954152754
complex.0_5_41_corrected_H_0001,1636.0943636913198
complex.0_5_7_corrected_H_0001,1608.0052220389098
complex.0_6_20_corrected_H_0001,1877.5368440012498
complex.0_6_24_corrected_H_0001,1800.3955426968369
complex.0_6_3_corrected_H_0001,1391.6250473065938
complex.0_6_5_corrected_H_0001,1878.8847183276357
complex.0_6_9_corrected_H_0001,1453.218853324448
complex.0_7_10_corrected_H_0001,1976.507266746552
complex.0_7_16_corrected_H_0001,1841.7222244327495
complex.0_7_2_corrected_H_0001,1585.9803124910486
complex.0_7_30_corrected_H_0001,2253.2385527058577
complex.0_7_5_corrected_H_0001,1807.1230814363516
complex.0_7_7_corrected_H_0001,2199.9981930390513
complex.0_8_11_corrected_H_0001,2030.9900093593424
complex.0_8_19_corrected_H_0001,1731.3595456404455
complex.0_8_24_corrected_H_0001,1681.622691805278
complex.0_8_30_corrected_H_0001,2147.8832318802215
complex.0_8_41_corrected_H_0001,2164.135571414772
complex.0_8_5_corrected_H_0001,1849.1292328068303
