pdb_file,hydrophobicity_contacts
complex.0_0_19_corrected_H_0001_5k7m,25
complex.0_0_1_corrected_H_0001_5k7m,22
complex.0_0_24_corrected_H_0001_5k7m,29
complex.0_0_27_corrected_H_0001_5k7m,10
complex.0_0_37_corrected_H_0001_5k7m,39
complex.0_0_44_corrected_H_0001_5k7m,8
complex.0_0_5_corrected_H_0001_5k7m,13
complex.0_10_0_corrected_H_0001_5k7m,66
complex.0_10_32_corrected_H_0001_5k7m,82
complex.0_10_35_corrected_H_0001_5k7m,73
complex.0_10_41_corrected_H_0001_5k7m,89
complex.0_10_5_corrected_H_0001_5k7m,73
complex.0_11_13_corrected_H_0001_5k7m,70
complex.0_11_15_corrected_H_0001_5k7m,80
complex.0_11_37_corrected_H_0001_5k7m,80
complex.0_11_40_corrected_H_0001_5k7m,78
complex.0_12_15_corrected_H_0001_5k7m,91
complex.0_12_18_corrected_H_0001_5k7m,96
complex.0_12_25_corrected_H_0001_5k7m,83
complex.0_12_32_corrected_H_0001_5k7m,99
complex.0_12_34_corrected_H_0001_5k7m,82
complex.0_12_3_corrected_H_0001_5k7m,92
complex.0_12_7_corrected_H_0001_5k7m,89
complex.0_13_18_corrected_H_0001_5k7m,93
complex.0_13_19_corrected_H_0001_5k7m,108
complex.0_14_11_corrected_H_0001_5k7m,98
complex.0_14_19_corrected_H_0001_5k7m,91
complex.0_15_20_corrected_H_0001_5k7m,80
complex.0_15_23_corrected_H_0001_5k7m,104
complex.0_15_25_corrected_H_0001_5k7m,105
complex.0_15_31_corrected_H_0001_5k7m,81
complex.0_15_42_corrected_H_0001_5k7m,109
complex.0_15_44_corrected_H_0001_5k7m,108
complex.0_15_48_corrected_H_0001_5k7m,106
complex.0_15_8_corrected_H_0001_5k7m,99
complex.0_16_10_corrected_H_0001_5k7m,106
complex.0_16_14_corrected_H_0001_5k7m,93
complex.0_16_22_corrected_H_0001_5k7m,99
complex.0_16_9_corrected_H_0001_5k7m,104
complex.0_17_18_corrected_H_0001_5k7m,97
complex.0_17_23_corrected_H_0001_5k7m,99
complex.0_18_2_corrected_H_0001_5k7m,102
complex.0_19_0_corrected_H_0001_5k7m,104
complex.0_1_17_corrected_H_0001_5k7m,17
complex.0_1_1_corrected_H_0001_5k7m,15
complex.0_1_34_corrected_H_0001_5k7m,28
complex.0_1_38_corrected_H_0001_5k7m,24
complex.0_1_3_corrected_H_0001_5k7m,17
complex.0_1_9_corrected_H_0001_5k7m,52
complex.0_2_13_corrected_H_0001_5k7m,39
complex.0_2_21_corrected_H_0001_5k7m,33
complex.0_2_25_corrected_H_0001_5k7m,31
complex.0_2_35_corrected_H_0001_5k7m,31
complex.0_2_37_corrected_H_0001_5k7m,22
complex.0_2_43_corrected_H_0001_5k7m,34
complex.0_2_9_corrected_H_0001_5k7m,27
complex.0_3_11_corrected_H_0001_5k7m,34
complex.0_3_12_corrected_H_0001_5k7m,46
complex.0_3_20_corrected_H_0001_5k7m,19
complex.0_3_26_corrected_H_0001_5k7m,34
complex.0_3_35_corrected_H_0001_5k7m,37
complex.0_3_47_corrected_H_0001_5k7m,54
complex.0_4_17_corrected_H_0001_5k7m,39
complex.0_4_31_corrected_H_0001_5k7m,48
complex.0_4_44_corrected_H_0001_5k7m,26
complex.0_5_34_corrected_H_0001_5k7m,73
complex.0_5_35_corrected_H_0001_5k7m,41
complex.0_5_8_corrected_H_0001_5k7m,67
complex.0_6_18_corrected_H_0001_5k7m,50
complex.0_6_37_corrected_H_0001_5k7m,59
complex.0_6_38_corrected_H_0001_5k7m,47
complex.0_6_41_corrected_H_0001_5k7m,36
complex.0_6_46_corrected_H_0001_5k7m,66
complex.0_6_6_corrected_H_0001_5k7m,73
complex.0_7_10_corrected_H_0001_5k7m,59
complex.0_7_11_corrected_H_0001_5k7m,49
complex.0_7_15_corrected_H_0001_5k7m,59
complex.0_7_19_corrected_H_0001_5k7m,63
complex.0_7_24_corrected_H_0001_5k7m,62
complex.0_7_32_corrected_H_0001_5k7m,63
complex.0_7_39_corrected_H_0001_5k7m,69
complex.0_7_49_corrected_H_0001_5k7m,82
complex.0_8_19_corrected_H_0001_5k7m,88
complex.0_8_23_corrected_H_0001_5k7m,65
complex.0_8_25_corrected_H_0001_5k7m,68
complex.0_8_30_corrected_H_0001_5k7m,68
complex.0_8_34_corrected_H_0001_5k7m,69
complex.0_9_0_corrected_H_0001_5k7m,71
complex.0_9_10_corrected_H_0001_5k7m,77
complex.0_9_14_corrected_H_0001_5k7m,75
complex.0_9_20_corrected_H_0001_5k7m,54
complex.0_9_43_corrected_H_0001_5k7m,71
complex.0_9_5_corrected_H_0001_5k7m,56
complex.1_0_17_corrected_H_0001_5k7m,17
complex.1_0_29_corrected_H_0001_5k7m,20
complex.1_0_31_corrected_H_0001_5k7m,22
complex.1_0_35_corrected_H_0001_5k7m,27
complex.1_0_49_corrected_H_0001_5k7m,29
complex.1_0_6_corrected_H_0001_5k7m,22
complex.1_10_14_corrected_H_0001_5k7m,63
