pdb_file,score,weighted_avg,avg,standard_dev
sampled_2wmp_model_1,"(7766640.978571428, 970830.1223214285, 2857634.0, 0.0)"
sampled_2wmp_model_10,"(7771269.489285715, 971408.6861607144, 2859337.0, 0.0)"
sampled_2wmp_model_100,"(8084155.867460317, 898239.5408289242, 2857634.0, 0.0)"
sampled_2wmp_model_101,"(7771269.489285715, 971408.6861607144, 2859337.0, 0.0)"
sampled_2wmp_model_102,"(8603989.920959596, 782180.9019054178, 2849119.0, 0.0)"
sampled_2wmp_model_103,"(8079338.13452381, 897704.2371693122, 2855931.0, 0.0)"
sampled_2wmp_model_104,"(8088973.600396826, 898774.8444885362, 2859337.0, 0.0)"
sampled_2wmp_model_105,"(7771269.489285715, 971408.6861607144, 2859337.0, 0.0)"
sampled_2wmp_model_106,"(7766640.978571428, 970830.1223214285, 2857634.0, 0.0)"
sampled_2wmp_model_107,"(8624561.3254329, 784051.0295848091, 2855931.0, 0.0)"
sampled_2wmp_model_108,"(7775898.0, 971987.25, 2861040.0, 0.0)"
sampled_2wmp_model_109,"(7762012.467857143, 970251.5584821429, 2855931.0, 0.0)"
sampled_2wmp_model_11,"(7785155.021428572, 973144.3776785715, 2864446.0, 0.0)"
sampled_2wmp_model_110,"(7771269.489285715, 971408.6861607144, 2859337.0, 0.0)"
sampled_2wmp_model_111,"(7762012.467857143, 970251.5584821429, 2855931.0, 0.0)"
sampled_2wmp_model_112,"(8364931.2345238095, 836493.123452381, 2855931.0, 0.0)"
sampled_2wmp_model_113,"(7775898.0, 971987.25, 2861040.0, 0.0)"
sampled_2wmp_model_114,"(7766640.978571428, 970830.1223214285, 2857634.0, 0.0)"
sampled_2wmp_model_115,"(8074520.401587301, 897168.9335097001, 2854228.0, 0.0)"
sampled_2wmp_model_116,"(7771269.489285715, 971408.6861607144, 2859337.0, 0.0)"
sampled_2wmp_model_117,"(7766640.978571428, 970830.1223214285, 2857634.0, 0.0)"
