pdb_file,all_contacts
sampled_2oul_model_1_2oul,299
sampled_2oul_model_10_2oul,280
sampled_2oul_model_100_2oul,369
sampled_2oul_model_101_2oul,358
sampled_2oul_model_102_2oul,426
sampled_2oul_model_103_2oul,511
sampled_2oul_model_104_2oul,298
sampled_2oul_model_105_2oul,236
sampled_2oul_model_106_2oul,292
sampled_2oul_model_107_2oul,307
sampled_2oul_model_108_2oul,356
sampled_2oul_model_109_2oul,436
sampled_2oul_model_11_2oul,271
sampled_2oul_model_110_2oul,246
sampled_2oul_model_111_2oul,313
sampled_2oul_model_112_2oul,273
sampled_2oul_model_113_2oul,368
sampled_2oul_model_114_2oul,389
sampled_2oul_model_115_2oul,341
sampled_2oul_model_116_2oul,238
sampled_2oul_model_117_2oul,335
sampled_2oul_model_118_2oul,332
sampled_2oul_model_119_2oul,259
sampled_2oul_model_12_2oul,148
sampled_2oul_model_120_2oul,237
sampled_2oul_model_121_2oul,382
sampled_2oul_model_122_2oul,512
sampled_2oul_model_123_2oul,230
sampled_2oul_model_124_2oul,388
sampled_2oul_model_125_2oul,333
sampled_2oul_model_126_2oul,274
sampled_2oul_model_127_2oul,226
sampled_2oul_model_128_2oul,280
sampled_2oul_model_129_2oul,339
sampled_2oul_model_13_2oul,282
sampled_2oul_model_130_2oul,361
sampled_2oul_model_131_2oul,484
sampled_2oul_model_132_2oul,330
sampled_2oul_model_133_2oul,260
sampled_2oul_model_134_2oul,345
sampled_2oul_model_135_2oul,250
sampled_2oul_model_136_2oul,296
sampled_2oul_model_137_2oul,653
sampled_2oul_model_138_2oul,416
sampled_2oul_model_139_2oul,268
sampled_2oul_model_14_2oul,138
sampled_2oul_model_140_2oul,271
sampled_2oul_model_141_2oul,283
sampled_2oul_model_142_2oul,305
sampled_2oul_model_143_2oul,300
sampled_2oul_model_144_2oul,223
sampled_2oul_model_145_2oul,201
sampled_2oul_model_146_2oul,237
sampled_2oul_model_147_2oul,306
sampled_2oul_model_148_2oul,314
sampled_2oul_model_149_2oul,374
sampled_2oul_model_15_2oul,289
sampled_2oul_model_150_2oul,239
sampled_2oul_model_151_2oul,274
sampled_2oul_model_152_2oul,292
sampled_2oul_model_153_2oul,382
sampled_2oul_model_154_2oul,292
sampled_2oul_model_155_2oul,583
sampled_2oul_model_156_2oul,260
sampled_2oul_model_157_2oul,332
sampled_2oul_model_158_2oul,235
sampled_2oul_model_159_2oul,369
sampled_2oul_model_16_2oul,168
sampled_2oul_model_160_2oul,353
sampled_2oul_model_161_2oul,238
sampled_2oul_model_162_2oul,345
sampled_2oul_model_163_2oul,316
sampled_2oul_model_164_2oul,379
sampled_2oul_model_165_2oul,333
sampled_2oul_model_166_2oul,389
sampled_2oul_model_167_2oul,254
sampled_2oul_model_168_2oul,439
sampled_2oul_model_169_2oul,428
sampled_2oul_model_17_2oul,215
sampled_2oul_model_170_2oul,306
sampled_2oul_model_171_2oul,531
sampled_2oul_model_172_2oul,438
sampled_2oul_model_173_2oul,371
sampled_2oul_model_174_2oul,421
sampled_2oul_model_175_2oul,416
sampled_2oul_model_176_2oul,574
sampled_2oul_model_177_2oul,267
sampled_2oul_model_178_2oul,381
sampled_2oul_model_179_2oul,403
sampled_2oul_model_18_2oul,360
sampled_2oul_model_180_2oul,295
sampled_2oul_model_181_2oul,409
sampled_2oul_model_182_2oul,338
sampled_2oul_model_183_2oul,349
sampled_2oul_model_184_2oul,402
sampled_2oul_model_185_2oul,284
sampled_2oul_model_186_2oul,398
sampled_2oul_model_187_2oul,387
sampled_2oul_model_188_2oul,287
sampled_2oul_model_189_2oul,259
sampled_2oul_model_19_2oul,297
sampled_2oul_model_190_2oul,440
sampled_2oul_model_191_2oul,477
sampled_2oul_model_192_2oul,350
sampled_2oul_model_193_2oul,471
sampled_2oul_model_194_2oul,309
sampled_2oul_model_195_2oul,362
sampled_2oul_model_196_2oul,225
sampled_2oul_model_197_2oul,424
sampled_2oul_model_198_2oul,290
sampled_2oul_model_199_2oul,273
sampled_2oul_model_2_2oul,300
sampled_2oul_model_20_2oul,212
sampled_2oul_model_200_2oul,208
sampled_2oul_model_201_2oul,257
sampled_2oul_model_202_2oul,247
