pdb_file,hydrophobicity_contacts
complex.0_0_10_corrected_H_0001_4uzz,26
complex.0_0_13_corrected_H_0001_4uzz,8
complex.0_0_31_corrected_H_0001_4uzz,9
complex.0_0_33_corrected_H_0001_4uzz,15
complex.0_0_37_corrected_H_0001_4uzz,18
complex.0_0_43_corrected_H_0001_4uzz,21
complex.0_0_45_corrected_H_0001_4uzz,30
complex.0_0_5_corrected_H_0001_4uzz,20
complex.0_0_7_corrected_H_0001_4uzz,22
complex.0_10_11_corrected_H_0001_4uzz,59
complex.0_10_17_corrected_H_0001_4uzz,73
complex.0_10_34_corrected_H_0001_4uzz,49
complex.0_10_49_corrected_H_0001_4uzz,60
complex.0_10_5_corrected_H_0001_4uzz,79
complex.0_10_6_corrected_H_0001_4uzz,66
complex.0_11_0_corrected_H_0001_4uzz,72
complex.0_11_26_corrected_H_0001_4uzz,68
complex.0_11_29_corrected_H_0001_4uzz,76
complex.0_11_2_corrected_H_0001_4uzz,56
complex.0_11_37_corrected_H_0001_4uzz,71
complex.0_12_13_corrected_H_0001_4uzz,77
complex.0_12_17_corrected_H_0001_4uzz,77
complex.0_12_24_corrected_H_0001_4uzz,82
complex.0_12_2_corrected_H_0001_4uzz,75
complex.0_12_31_corrected_H_0001_4uzz,67
complex.0_12_32_corrected_H_0001_4uzz,70
complex.0_13_10_corrected_H_0001_4uzz,77
complex.0_13_18_corrected_H_0001_4uzz,75
complex.0_13_25_corrected_H_0001_4uzz,74
complex.0_13_36_corrected_H_0001_4uzz,80
complex.0_13_44_corrected_H_0001_4uzz,77
complex.0_13_8_corrected_H_0001_4uzz,77
complex.0_14_45_corrected_H_0001_4uzz,68
complex.0_15_2_corrected_H_0001_4uzz,73
complex.0_15_33_corrected_H_0001_4uzz,82
complex.0_15_35_corrected_H_0001_4uzz,78
complex.0_15_3_corrected_H_0001_4uzz,81
complex.0_15_5_corrected_H_0001_4uzz,80
complex.0_16_16_corrected_H_0001_4uzz,70
complex.0_16_42_corrected_H_0001_4uzz,79
complex.0_16_5_corrected_H_0001_4uzz,82
complex.0_17_20_corrected_H_0001_4uzz,80
complex.0_17_27_corrected_H_0001_4uzz,75
complex.0_17_39_corrected_H_0001_4uzz,77
complex.0_17_42_corrected_H_0001_4uzz,80
complex.0_17_44_corrected_H_0001_4uzz,79
complex.0_18_12_corrected_H_0001_4uzz,82
complex.0_18_16_corrected_H_0001_4uzz,81
complex.0_18_4_corrected_H_0001_4uzz,83
complex.0_1_11_corrected_H_0001_4uzz,25
complex.0_1_20_corrected_H_0001_4uzz,17
complex.0_1_23_corrected_H_0001_4uzz,14
complex.0_1_30_corrected_H_0001_4uzz,13
complex.0_2_14_corrected_H_0001_4uzz,20
complex.0_2_32_corrected_H_0001_4uzz,23
complex.0_2_33_corrected_H_0001_4uzz,31
complex.0_2_46_corrected_H_0001_4uzz,15
complex.0_2_48_corrected_H_0001_4uzz,44
complex.0_3_11_corrected_H_0001_4uzz,31
complex.0_3_1_corrected_H_0001_4uzz,27
complex.0_3_25_corrected_H_0001_4uzz,40
complex.0_3_30_corrected_H_0001_4uzz,28
complex.0_3_34_corrected_H_0001_4uzz,27
complex.0_3_35_corrected_H_0001_4uzz,17
complex.0_3_40_corrected_H_0001_4uzz,35
complex.0_3_49_corrected_H_0001_4uzz,31
complex.0_3_9_corrected_H_0001_4uzz,37
complex.0_4_11_corrected_H_0001_4uzz,29
