pdb_file,hydrophobicity_contacts
sampled_1itb_model_1_1itb,14
sampled_1itb_model_10_1itb,18
sampled_1itb_model_100_1itb,28
sampled_1itb_model_101_1itb,30
sampled_1itb_model_102_1itb,13
sampled_1itb_model_103_1itb,38
sampled_1itb_model_104_1itb,20
sampled_1itb_model_105_1itb,30
sampled_1itb_model_106_1itb,26
sampled_1itb_model_107_1itb,33
sampled_1itb_model_108_1itb,34
sampled_1itb_model_109_1itb,44
sampled_1itb_model_11_1itb,19
sampled_1itb_model_110_1itb,36
sampled_1itb_model_111_1itb,31
sampled_1itb_model_112_1itb,32
sampled_1itb_model_113_1itb,32
sampled_1itb_model_114_1itb,29
sampled_1itb_model_115_1itb,19
sampled_1itb_model_116_1itb,16
sampled_1itb_model_117_1itb,29
sampled_1itb_model_118_1itb,24
sampled_1itb_model_119_1itb,28
sampled_1itb_model_12_1itb,6
sampled_1itb_model_120_1itb,30
sampled_1itb_model_121_1itb,28
sampled_1itb_model_122_1itb,31
sampled_1itb_model_123_1itb,22
sampled_1itb_model_124_1itb,22
sampled_1itb_model_125_1itb,44
sampled_1itb_model_126_1itb,29
sampled_1itb_model_127_1itb,32
sampled_1itb_model_128_1itb,33
sampled_1itb_model_129_1itb,37
sampled_1itb_model_13_1itb,15
sampled_1itb_model_130_1itb,34
sampled_1itb_model_131_1itb,34
sampled_1itb_model_132_1itb,30
sampled_1itb_model_133_1itb,20
sampled_1itb_model_134_1itb,36
sampled_1itb_model_135_1itb,29
sampled_1itb_model_136_1itb,22
sampled_1itb_model_137_1itb,29
sampled_1itb_model_138_1itb,43
sampled_1itb_model_139_1itb,23
sampled_1itb_model_14_1itb,10
sampled_1itb_model_140_1itb,14
sampled_1itb_model_141_1itb,38
sampled_1itb_model_142_1itb,33
sampled_1itb_model_143_1itb,28
sampled_1itb_model_144_1itb,36
sampled_1itb_model_145_1itb,36
sampled_1itb_model_146_1itb,29
sampled_1itb_model_147_1itb,35
sampled_1itb_model_148_1itb,38
sampled_1itb_model_149_1itb,26
sampled_1itb_model_15_1itb,20
sampled_1itb_model_150_1itb,35
sampled_1itb_model_151_1itb,27
sampled_1itb_model_152_1itb,26
sampled_1itb_model_153_1itb,31
sampled_1itb_model_154_1itb,38
sampled_1itb_model_155_1itb,35
sampled_1itb_model_156_1itb,30
sampled_1itb_model_157_1itb,34
sampled_1itb_model_158_1itb,29
sampled_1itb_model_159_1itb,22
sampled_1itb_model_16_1itb,25
sampled_1itb_model_160_1itb,32
sampled_1itb_model_161_1itb,25
sampled_1itb_model_162_1itb,36
sampled_1itb_model_163_1itb,36
sampled_1itb_model_164_1itb,18
sampled_1itb_model_165_1itb,31
sampled_1itb_model_166_1itb,29
sampled_1itb_model_167_1itb,30
sampled_1itb_model_168_1itb,26
sampled_1itb_model_169_1itb,39
sampled_1itb_model_17_1itb,25
sampled_1itb_model_170_1itb,24
sampled_1itb_model_171_1itb,29
sampled_1itb_model_172_1itb,42
sampled_1itb_model_173_1itb,29
sampled_1itb_model_174_1itb,40
sampled_1itb_model_175_1itb,24
sampled_1itb_model_176_1itb,35
sampled_1itb_model_177_1itb,31
sampled_1itb_model_178_1itb,33
sampled_1itb_model_179_1itb,31
sampled_1itb_model_18_1itb,37
sampled_1itb_model_180_1itb,28
sampled_1itb_model_181_1itb,41
sampled_1itb_model_182_1itb,20
sampled_1itb_model_183_1itb,45
sampled_1itb_model_184_1itb,22
sampled_1itb_model_185_1itb,26
sampled_1itb_model_186_1itb,33
sampled_1itb_model_187_1itb,29
sampled_1itb_model_188_1itb,22
sampled_1itb_model_189_1itb,27
sampled_1itb_model_19_1itb,18
sampled_1itb_model_190_1itb,31
sampled_1itb_model_191_1itb,25
sampled_1itb_model_192_1itb,35
sampled_1itb_model_193_1itb,33
sampled_1itb_model_194_1itb,26
sampled_1itb_model_195_1itb,27
sampled_1itb_model_196_1itb,30
sampled_1itb_model_197_1itb,25
sampled_1itb_model_198_1itb,33
sampled_1itb_model_199_1itb,37
sampled_1itb_model_2_1itb,11
sampled_1itb_model_20_1itb,30
sampled_1itb_model_200_1itb,27
sampled_1itb_model_201_1itb,35
sampled_1itb_model_202_1itb,33
sampled_1itb_model_203_1itb,50
sampled_1itb_model_204_1itb,39
sampled_1itb_model_205_1itb,20
sampled_1itb_model_206_1itb,35
sampled_1itb_model_207_1itb,24
sampled_1itb_model_208_1itb,39
sampled_1itb_model_209_1itb,37
sampled_1itb_model_21_1itb,19
sampled_1itb_model_210_1itb,22
sampled_1itb_model_211_1itb,39
sampled_1itb_model_212_1itb,26
sampled_1itb_model_213_1itb,35
sampled_1itb_model_214_1itb,29
sampled_1itb_model_215_1itb,28
sampled_1itb_model_216_1itb,36
sampled_1itb_model_217_1itb,23
sampled_1itb_model_218_1itb,28
sampled_1itb_model_219_1itb,39
sampled_1itb_model_22_1itb,19
sampled_1itb_model_220_1itb,25
sampled_1itb_model_221_1itb,24
sampled_1itb_model_222_1itb,28
sampled_1itb_model_223_1itb,22
sampled_1itb_model_224_1itb,53
sampled_1itb_model_225_1itb,34
sampled_1itb_model_226_1itb,37
sampled_1itb_model_227_1itb,31
sampled_1itb_model_228_1itb,40
sampled_1itb_model_229_1itb,35
sampled_1itb_model_23_1itb,16
sampled_1itb_model_230_1itb,30
sampled_1itb_model_231_1itb,15
sampled_1itb_model_232_1itb,31
sampled_1itb_model_233_1itb,32
sampled_1itb_model_234_1itb,27
sampled_1itb_model_235_1itb,29
sampled_1itb_model_236_1itb,33
sampled_1itb_model_237_1itb,30
sampled_1itb_model_238_1itb,32
sampled_1itb_model_239_1itb,20
sampled_1itb_model_24_1itb,15
sampled_1itb_model_240_1itb,32
sampled_1itb_model_241_1itb,31
sampled_1itb_model_242_1itb,28
sampled_1itb_model_243_1itb,32
sampled_1itb_model_244_1itb,39
sampled_1itb_model_245_1itb,36
sampled_1itb_model_246_1itb,37
sampled_1itb_model_247_1itb,30
sampled_1itb_model_248_1itb,26
sampled_1itb_model_249_1itb,32
sampled_1itb_model_25_1itb,13
sampled_1itb_model_250_1itb,34
sampled_1itb_model_251_1itb,47
sampled_1itb_model_252_1itb,31
sampled_1itb_model_253_1itb,40
sampled_1itb_model_254_1itb,43
sampled_1itb_model_255_1itb,29
sampled_1itb_model_256_1itb,38
sampled_1itb_model_257_1itb,26
sampled_1itb_model_258_1itb,28
sampled_1itb_model_259_1itb,37
sampled_1itb_model_26_1itb,40
sampled_1itb_model_260_1itb,40
sampled_1itb_model_261_1itb,36
sampled_1itb_model_262_1itb,35
sampled_1itb_model_263_1itb,52
sampled_1itb_model_264_1itb,44
sampled_1itb_model_265_1itb,28
sampled_1itb_model_266_1itb,44
sampled_1itb_model_267_1itb,34
sampled_1itb_model_268_1itb,33
