pdb_file,score,weighted_avg,avg,standard_dev
complex.0_0_24_corrected_H_0001,"(1372440.9999999998, 228740.16666666663, 560180.0, 0.0)"
complex.0_0_25_corrected_H_0001,"(1372440.9999999998, 228740.16666666663, 560180.0, 0.0)"
complex.0_0_26_corrected_H_0001,"(1372440.9999999998, 228740.16666666663, 560180.0, 0.0)"
complex.0_0_34_corrected_H_0001,"(1372440.9999999998, 228740.16666666663, 560180.0, 0.0)"
complex.0_0_36_corrected_H_0001,"(1372440.9999999998, 228740.16666666663, 560180.0, 0.0)"
complex.0_0_40_corrected_H_0001,"(1374295.65, 229049.275, 560937.0, 0.0)"
complex.0_0_47_corrected_H_0001,"(1372440.9999999998, 228740.16666666663, 560180.0, 0.0)"
complex.0_10_0_corrected_H_0001,"(1374295.65, 229049.275, 560937.0, 0.0)"
complex.0_10_16_corrected_H_0001,"(1372440.9999999998, 228740.16666666663, 560180.0, 0.0)"
complex.0_10_21_corrected_H_0001,"(1368731.7, 228121.94999999998, 558666.0, 0.0)"
complex.0_10_22_corrected_H_0001,"(1372440.9999999998, 228740.16666666663, 560180.0, 0.0)"
complex.0_10_36_corrected_H_0001,"(1370586.3500000003, 228431.05833333338, 559423.0, 0.0)"
complex.0_10_7_corrected_H_0001,"(1372440.9999999998, 228740.16666666663, 560180.0, 0.0)"
complex.0_11_19_corrected_H_0001,"(1372440.9999999998, 228740.16666666663, 560180.0, 0.0)"
complex.0_11_39_corrected_H_0001,"(1372440.9999999998, 228740.16666666663, 560180.0, 0.0)"
complex.0_11_4_corrected_H_0001,"(1372440.9999999998, 228740.16666666663, 560180.0, 0.0)"
complex.0_11_7_corrected_H_0001,"(1372440.9999999998, 228740.16666666663, 560180.0, 0.0)"
complex.0_12_11_corrected_H_0001,"(1374295.65, 229049.275, 560937.0, 0.0)"
complex.0_12_17_corrected_H_0001,"(1372440.9999999998, 228740.16666666663, 560180.0, 0.0)"
complex.0_12_22_corrected_H_0001,"(1372440.9999999998, 228740.16666666663, 560180.0, 0.0)"
complex.0_12_30_corrected_H_0001,"(1372440.9999999998, 228740.16666666663, 560180.0, 0.0)"
complex.0_12_33_corrected_H_0001,"(1368731.7, 228121.94999999998, 558666.0, 0.0)"
complex.0_12_36_corrected_H_0001,"(1370586.3500000003, 228431.05833333338, 559423.0, 0.0)"
complex.0_12_3_corrected_H_0001,"(1370586.3500000003, 228431.05833333338, 559423.0, 0.0)"
complex.0_13_26_corrected_H_0001,"(1374295.65, 229049.275, 560937.0, 0.0)"
complex.0_13_30_corrected_H_0001,"(1372440.9999999998, 228740.16666666663, 560180.0, 0.0)"
complex.0_13_31_corrected_H_0001,"(1372440.9999999998, 228740.16666666663, 560180.0, 0.0)"
complex.0_13_39_corrected_H_0001,"(1372440.9999999998, 228740.16666666663, 560180.0, 0.0)"
complex.0_13_47_corrected_H_0001,"(1372440.9999999998, 228740.16666666663, 560180.0, 0.0)"
complex.0_14_14_corrected_H_0001,"(1372440.9999999998, 228740.16666666663, 560180.0, 0.0)"
complex.0_14_22_corrected_H_0001,"(1372440.9999999998, 228740.16666666663, 560180.0, 0.0)"
complex.0_14_49_corrected_H_0001,"(1372440.9999999998, 228740.16666666663, 560180.0, 0.0)"
