pdb_file,all_contacts
complex.0_0_11_corrected_H_0001_4qjf,340
complex.0_0_24_corrected_H_0001_4qjf,270
complex.0_0_4_corrected_H_0001_4qjf,282
complex.0_0_5_corrected_H_0001_4qjf,177
complex.0_10_0_corrected_H_0001_4qjf,1008
complex.0_10_16_corrected_H_0001_4qjf,1146
complex.0_10_24_corrected_H_0001_4qjf,725
complex.0_10_2_corrected_H_0001_4qjf,862
complex.0_10_36_corrected_H_0001_4qjf,957
complex.0_10_3_corrected_H_0001_4qjf,1008
complex.0_10_47_corrected_H_0001_4qjf,934
complex.0_10_4_corrected_H_0001_4qjf,963
complex.0_11_13_corrected_H_0001_4qjf,894
complex.0_11_14_corrected_H_0001_4qjf,1175
complex.0_11_22_corrected_H_0001_4qjf,1057
complex.0_12_0_corrected_H_0001_4qjf,1010
complex.0_12_19_corrected_H_0001_4qjf,1132
complex.0_12_29_corrected_H_0001_4qjf,987
complex.0_12_32_corrected_H_0001_4qjf,1085
complex.0_12_41_corrected_H_0001_4qjf,1118
complex.0_12_43_corrected_H_0001_4qjf,988
complex.0_12_48_corrected_H_0001_4qjf,985
complex.0_13_0_corrected_H_0001_4qjf,1127
complex.0_13_16_corrected_H_0001_4qjf,1075
complex.0_13_1_corrected_H_0001_4qjf,1078
complex.0_13_45_corrected_H_0001_4qjf,982
complex.0_14_21_corrected_H_0001_4qjf,1176
complex.0_14_29_corrected_H_0001_4qjf,951
complex.0_14_33_corrected_H_0001_4qjf,1084
complex.0_14_37_corrected_H_0001_4qjf,1076
complex.0_14_47_corrected_H_0001_4qjf,1076
complex.0_14_49_corrected_H_0001_4qjf,1022
complex.0_15_10_corrected_H_0001_4qjf,1126
complex.0_15_30_corrected_H_0001_4qjf,1068
complex.0_15_33_corrected_H_0001_4qjf,1091
complex.0_15_38_corrected_H_0001_4qjf,1139
complex.0_15_5_corrected_H_0001_4qjf,1072
complex.0_15_6_corrected_H_0001_4qjf,1028
complex.0_16_12_corrected_H_0001_4qjf,1213
complex.0_16_22_corrected_H_0001_4qjf,1191
complex.0_17_0_corrected_H_0001_4qjf,1074
complex.0_17_12_corrected_H_0001_4qjf,1112
complex.0_17_14_corrected_H_0001_4qjf,1141
complex.0_17_31_corrected_H_0001_4qjf,1090
complex.0_17_36_corrected_H_0001_4qjf,1212
complex.0_17_4_corrected_H_0001_4qjf,1187
complex.0_1_26_corrected_H_0001_4qjf,248
complex.0_1_27_corrected_H_0001_4qjf,300
complex.0_2_13_corrected_H_0001_4qjf,450
complex.0_2_25_corrected_H_0001_4qjf,376
complex.0_2_28_corrected_H_0001_4qjf,380
complex.0_2_32_corrected_H_0001_4qjf,433
complex.0_2_43_corrected_H_0001_4qjf,199
complex.0_2_4_corrected_H_0001_4qjf,781
complex.0_2_5_corrected_H_0001_4qjf,279
complex.0_2_6_corrected_H_0001_4qjf,214
complex.0_3_31_corrected_H_0001_4qjf,363
complex.0_3_41_corrected_H_0001_4qjf,486
complex.0_4_20_corrected_H_0001_4qjf,556
complex.0_4_23_corrected_H_0001_4qjf,685
complex.0_4_43_corrected_H_0001_4qjf,588
complex.0_4_47_corrected_H_0001_4qjf,367
complex.0_5_5_corrected_H_0001_4qjf,515
complex.0_6_13_corrected_H_0001_4qjf,755
complex.0_6_4_corrected_H_0001_4qjf,487
complex.0_6_5_corrected_H_0001_4qjf,702
complex.0_7_11_corrected_H_0001_4qjf,659
complex.0_7_22_corrected_H_0001_4qjf,690
