pdb_file,all_contacts
complex.0_0_32_corrected_H_0001_1qav,275
complex.0_0_3_corrected_H_0001_1qav,283
complex.0_10_20_corrected_H_0001_1qav,384
complex.0_10_24_corrected_H_0001_1qav,319
complex.0_10_28_corrected_H_0001_1qav,435
complex.0_10_33_corrected_H_0001_1qav,313
complex.0_10_44_corrected_H_0001_1qav,343
complex.0_11_22_corrected_H_0001_1qav,445
complex.0_11_26_corrected_H_0001_1qav,373
complex.0_11_48_corrected_H_0001_1qav,380
complex.0_11_49_corrected_H_0001_1qav,488
complex.0_11_9_corrected_H_0001_1qav,410
complex.0_12_13_corrected_H_0001_1qav,490
complex.0_12_19_corrected_H_0001_1qav,385
complex.0_12_2_corrected_H_0001_1qav,209
complex.0_12_36_corrected_H_0001_1qav,474
complex.0_12_8_corrected_H_0001_1qav,406
complex.0_13_16_corrected_H_0001_1qav,498
complex.0_14_0_corrected_H_0001_1qav,456
complex.0_14_13_corrected_H_0001_1qav,482
complex.0_14_15_corrected_H_0001_1qav,545
complex.0_14_16_corrected_H_0001_1qav,537
complex.0_14_23_corrected_H_0001_1qav,405
complex.0_14_27_corrected_H_0001_1qav,412
complex.0_14_42_corrected_H_0001_1qav,532
complex.0_15_16_corrected_H_0001_1qav,518
complex.0_15_17_corrected_H_0001_1qav,482
complex.0_15_19_corrected_H_0001_1qav,457
complex.0_15_3_corrected_H_0001_1qav,523
complex.0_15_48_corrected_H_0001_1qav,517
complex.0_15_5_corrected_H_0001_1qav,524
complex.0_15_9_corrected_H_0001_1qav,454
complex.0_16_17_corrected_H_0001_1qav,484
complex.0_16_2_corrected_H_0001_1qav,531
complex.0_16_39_corrected_H_0001_1qav,525
complex.0_16_42_corrected_H_0001_1qav,482
complex.0_16_4_corrected_H_0001_1qav,490
complex.0_16_5_corrected_H_0001_1qav,428
complex.0_16_9_corrected_H_0001_1qav,515
complex.0_17_0_corrected_H_0001_1qav,565
complex.0_17_19_corrected_H_0001_1qav,534
complex.0_17_25_corrected_H_0001_1qav,467
complex.0_17_41_corrected_H_0001_1qav,528
complex.0_17_47_corrected_H_0001_1qav,522
complex.0_18_0_corrected_H_0001_1qav,514
complex.0_18_13_corrected_H_0001_1qav,538
complex.0_18_1_corrected_H_0001_1qav,565
complex.0_18_28_corrected_H_0001_1qav,551
complex.0_18_41_corrected_H_0001_1qav,493
complex.0_18_45_corrected_H_0001_1qav,558
complex.0_18_8_corrected_H_0001_1qav,561
complex.0_1_1_corrected_H_0001_1qav,250
complex.0_1_23_corrected_H_0001_1qav,263
complex.0_1_25_corrected_H_0001_1qav,258
complex.0_1_30_corrected_H_0001_1qav,212
complex.0_1_32_corrected_H_0001_1qav,278
complex.0_1_41_corrected_H_0001_1qav,236
complex.0_1_45_corrected_H_0001_1qav,206
complex.0_2_0_corrected_H_0001_1qav,303
complex.0_2_12_corrected_H_0001_1qav,343
complex.0_2_18_corrected_H_0001_1qav,359
complex.0_2_31_corrected_H_0001_1qav,219
complex.0_2_32_corrected_H_0001_1qav,142
complex.0_2_35_corrected_H_0001_1qav,195
complex.0_2_38_corrected_H_0001_1qav,73
complex.0_2_5_corrected_H_0001_1qav,269
complex.0_3_12_corrected_H_0001_1qav,182
complex.0_3_23_corrected_H_0001_1qav,203
complex.0_3_26_corrected_H_0001_1qav,180
complex.0_3_37_corrected_H_0001_1qav,294
complex.0_3_8_corrected_H_0001_1qav,146
complex.0_4_13_corrected_H_0001_1qav,150
complex.0_4_18_corrected_H_0001_1qav,307
complex.0_4_21_corrected_H_0001_1qav,142
complex.0_4_35_corrected_H_0001_1qav,236
complex.0_4_3_corrected_H_0001_1qav,351
complex.0_5_17_corrected_H_0001_1qav,206
complex.0_5_22_corrected_H_0001_1qav,224
complex.0_5_24_corrected_H_0001_1qav,321
complex.0_5_28_corrected_H_0001_1qav,151
complex.0_5_30_corrected_H_0001_1qav,245
complex.0_5_31_corrected_H_0001_1qav,203
complex.0_5_35_corrected_H_0001_1qav,111
complex.0_5_41_corrected_H_0001_1qav,287
complex.0_6_20_corrected_H_0001_1qav,390
complex.0_6_24_corrected_H_0001_1qav,345
complex.0_6_28_corrected_H_0001_1qav,415
complex.0_6_42_corrected_H_0001_1qav,206
complex.0_7_12_corrected_H_0001_1qav,282
complex.0_7_37_corrected_H_0001_1qav,212
complex.0_7_43_corrected_H_0001_1qav,243
complex.0_7_49_corrected_H_0001_1qav,281
complex.0_7_7_corrected_H_0001_1qav,258
complex.0_7_8_corrected_H_0001_1qav,247
complex.0_8_0_corrected_H_0001_1qav,222
complex.0_8_16_corrected_H_0001_1qav,338
complex.0_8_20_corrected_H_0001_1qav,318
complex.0_8_28_corrected_H_0001_1qav,338
complex.0_8_3_corrected_H_0001_1qav,208
complex.0_8_6_corrected_H_0001_1qav,317
complex.0_9_10_corrected_H_0001_1qav,386
complex.0_9_13_corrected_H_0001_1qav,377
complex.0_9_16_corrected_H_0001_1qav,213
complex.0_9_20_corrected_H_0001_1qav,328
complex.0_9_25_corrected_H_0001_1qav,256
complex.0_9_28_corrected_H_0001_1qav,431
complex.0_9_36_corrected_H_0001_1qav,448
complex.1_0_11_corrected_H_0001_1qav,319
complex.1_0_24_corrected_H_0001_1qav,252
complex.1_0_33_corrected_H_0001_1qav,290
complex.1_0_36_corrected_H_0001_1qav,140
complex.1_0_49_corrected_H_0001_1qav,271
complex.1_10_1_corrected_H_0001_1qav,449
complex.1_10_25_corrected_H_0001_1qav,356
complex.1_10_37_corrected_H_0001_1qav,291
complex.1_10_40_corrected_H_0001_1qav,414
complex.1_11_0_corrected_H_0001_1qav,399
complex.1_11_16_corrected_H_0001_1qav,273
complex.1_11_21_corrected_H_0001_1qav,370
complex.1_11_33_corrected_H_0001_1qav,469
complex.1_11_40_corrected_H_0001_1qav,479
complex.1_11_7_corrected_H_0001_1qav,329
complex.1_12_0_corrected_H_0001_1qav,517
complex.1_12_20_corrected_H_0001_1qav,477
complex.1_12_39_corrected_H_0001_1qav,532
complex.1_12_43_corrected_H_0001_1qav,459
complex.1_13_11_corrected_H_0001_1qav,451
complex.1_13_21_corrected_H_0001_1qav,456
complex.1_13_25_corrected_H_0001_1qav,493
complex.1_13_37_corrected_H_0001_1qav,418
complex.1_13_39_corrected_H_0001_1qav,456
complex.1_13_41_corrected_H_0001_1qav,456
complex.1_13_6_corrected_H_0001_1qav,493
complex.1_14_17_corrected_H_0001_1qav,464
complex.1_14_29_corrected_H_0001_1qav,504
complex.1_14_49_corrected_H_0001_1qav,446
complex.1_14_5_corrected_H_0001_1qav,534
complex.1_15_18_corrected_H_0001_1qav,457
complex.1_15_23_corrected_H_0001_1qav,460
complex.1_15_26_corrected_H_0001_1qav,455
complex.1_15_30_corrected_H_0001_1qav,483
complex.1_15_45_corrected_H_0001_1qav,462
complex.1_15_7_corrected_H_0001_1qav,483
complex.1_16_12_corrected_H_0001_1qav,494
complex.1_16_18_corrected_H_0001_1qav,463
complex.1_16_25_corrected_H_0001_1qav,529
complex.1_16_30_corrected_H_0001_1qav,482
complex.1_16_36_corrected_H_0001_1qav,512
complex.1_17_2_corrected_H_0001_1qav,490
complex.1_17_34_corrected_H_0001_1qav,531
complex.1_17_38_corrected_H_0001_1qav,532
complex.1_17_49_corrected_H_0001_1qav,536
complex.1_18_19_corrected_H_0001_1qav,564
complex.1_18_29_corrected_H_0001_1qav,517
complex.1_18_2_corrected_H_0001_1qav,512
complex.1_18_36_corrected_H_0001_1qav,547
complex.1_18_38_corrected_H_0001_1qav,520
complex.1_18_9_corrected_H_0001_1qav,537
complex.1_1_12_corrected_H_0001_1qav,224
complex.1_1_33_corrected_H_0001_1qav,214
complex.1_1_34_corrected_H_0001_1qav,150
complex.1_1_39_corrected_H_0001_1qav,284
complex.1_2_15_corrected_H_0001_1qav,211
complex.1_2_26_corrected_H_0001_1qav,199
complex.1_2_34_corrected_H_0001_1qav,144
complex.1_2_37_corrected_H_0001_1qav,158
complex.1_2_39_corrected_H_0001_1qav,412
complex.1_2_3_corrected_H_0001_1qav,199
complex.1_3_34_corrected_H_0001_1qav,113
complex.1_3_41_corrected_H_0001_1qav,113
complex.1_3_45_corrected_H_0001_1qav,138
complex.1_4_19_corrected_H_0001_1qav,186
complex.1_4_25_corrected_H_0001_1qav,268
complex.1_4_31_corrected_H_0001_1qav,237
complex.1_4_37_corrected_H_0001_1qav,182
complex.1_4_41_corrected_H_0001_1qav,231
complex.1_4_43_corrected_H_0001_1qav,221
complex.1_4_4_corrected_H_0001_1qav,300
complex.1_5_14_corrected_H_0001_1qav,191
complex.1_5_2_corrected_H_0001_1qav,151
complex.1_5_45_corrected_H_0001_1qav,136
complex.1_5_46_corrected_H_0001_1qav,311
complex.1_5_6_corrected_H_0001_1qav,179
complex.1_5_7_corrected_H_0001_1qav,366
complex.1_5_8_corrected_H_0001_1qav,260
complex.1_5_9_corrected_H_0001_1qav,353
complex.1_6_17_corrected_H_0001_1qav,241
complex.1_6_29_corrected_H_0001_1qav,215
complex.1_6_35_corrected_H_0001_1qav,210
complex.1_6_40_corrected_H_0001_1qav,396
complex.1_6_41_corrected_H_0001_1qav,166
complex.1_6_43_corrected_H_0001_1qav,235
complex.1_6_49_corrected_H_0001_1qav,175
complex.1_7_11_corrected_H_0001_1qav,280
complex.1_7_1_corrected_H_0001_1qav,310
complex.1_7_31_corrected_H_0001_1qav,237
complex.1_7_44_corrected_H_0001_1qav,227
complex.1_7_9_corrected_H_0001_1qav,231
complex.1_8_33_corrected_H_0001_1qav,236
complex.1_8_40_corrected_H_0001_1qav,319
complex.1_8_44_corrected_H_0001_1qav,226
complex.1_8_4_corrected_H_0001_1qav,268
complex.1_9_0_corrected_H_0001_1qav,495
complex.1_9_12_corrected_H_0001_1qav,323
complex.1_9_26_corrected_H_0001_1qav,350
complex.1_9_27_corrected_H_0001_1qav,215
complex.1_9_32_corrected_H_0001_1qav,304
complex.1_9_3_corrected_H_0001_1qav,389
complex.1_9_45_corrected_H_0001_1qav,226
complex.1_9_48_corrected_H_0001_1qav,362
complex.1_9_5_corrected_H_0001_1qav,369
complex.1_9_7_corrected_H_0001_1qav,349
complex.2_0_18_corrected_H_0001_1qav,204
complex.2_0_1_corrected_H_0001_1qav,261
complex.2_0_22_corrected_H_0001_1qav,216
complex.2_0_40_corrected_H_0001_1qav,372
complex.2_0_42_corrected_H_0001_1qav,245
complex.2_10_10_corrected_H_0001_1qav,425
complex.2_10_12_corrected_H_0001_1qav,410
complex.2_10_13_corrected_H_0001_1qav,305
complex.2_10_16_corrected_H_0001_1qav,304
complex.2_10_45_corrected_H_0001_1qav,308
complex.2_10_9_corrected_H_0001_1qav,225
complex.2_11_10_corrected_H_0001_1qav,394
complex.2_11_11_corrected_H_0001_1qav,400
complex.2_11_18_corrected_H_0001_1qav,491
complex.2_11_20_corrected_H_0001_1qav,424
complex.2_11_28_corrected_H_0001_1qav,418
complex.2_11_32_corrected_H_0001_1qav,265
complex.2_11_44_corrected_H_0001_1qav,335
complex.2_11_45_corrected_H_0001_1qav,344
complex.2_12_10_corrected_H_0001_1qav,424
complex.2_12_14_corrected_H_0001_1qav,407
complex.2_12_38_corrected_H_0001_1qav,487
complex.2_12_49_corrected_H_0001_1qav,478
complex.2_12_7_corrected_H_0001_1qav,463
complex.2_13_10_corrected_H_0001_1qav,492
complex.2_13_4_corrected_H_0001_1qav,395
complex.2_14_11_corrected_H_0001_1qav,496
complex.2_14_33_corrected_H_0001_1qav,345
complex.2_14_36_corrected_H_0001_1qav,512
complex.2_14_37_corrected_H_0001_1qav,517
complex.2_14_41_corrected_H_0001_1qav,409
complex.2_14_47_corrected_H_0001_1qav,424
complex.2_15_13_corrected_H_0001_1qav,474
complex.2_15_1_corrected_H_0001_1qav,480
complex.2_15_24_corrected_H_0001_1qav,519
complex.2_16_10_corrected_H_0001_1qav,453
complex.2_16_29_corrected_H_0001_1qav,539
complex.2_16_32_corrected_H_0001_1qav,477
complex.2_16_38_corrected_H_0001_1qav,519
complex.2_16_3_corrected_H_0001_1qav,506
complex.2_16_40_corrected_H_0001_1qav,524
complex.2_16_46_corrected_H_0001_1qav,463
