pdb_file,all_contacts
sampled_3gfk_model_1_3gfk,166
sampled_3gfk_model_10_3gfk,256
sampled_3gfk_model_100_3gfk,191
sampled_3gfk_model_101_3gfk,212
sampled_3gfk_model_102_3gfk,254
sampled_3gfk_model_103_3gfk,153
sampled_3gfk_model_104_3gfk,128
sampled_3gfk_model_105_3gfk,179
sampled_3gfk_model_106_3gfk,316
sampled_3gfk_model_107_3gfk,237
sampled_3gfk_model_108_3gfk,270
sampled_3gfk_model_109_3gfk,130
sampled_3gfk_model_11_3gfk,311
sampled_3gfk_model_110_3gfk,249
sampled_3gfk_model_111_3gfk,264
sampled_3gfk_model_112_3gfk,219
sampled_3gfk_model_113_3gfk,190
sampled_3gfk_model_114_3gfk,358
sampled_3gfk_model_115_3gfk,164
sampled_3gfk_model_116_3gfk,170
sampled_3gfk_model_117_3gfk,217
sampled_3gfk_model_118_3gfk,258
sampled_3gfk_model_119_3gfk,216
sampled_3gfk_model_12_3gfk,354
sampled_3gfk_model_120_3gfk,161
sampled_3gfk_model_121_3gfk,163
sampled_3gfk_model_122_3gfk,215
sampled_3gfk_model_123_3gfk,173
sampled_3gfk_model_124_3gfk,173
sampled_3gfk_model_125_3gfk,230
sampled_3gfk_model_126_3gfk,197
sampled_3gfk_model_127_3gfk,313
sampled_3gfk_model_128_3gfk,238
sampled_3gfk_model_129_3gfk,192
sampled_3gfk_model_13_3gfk,209
sampled_3gfk_model_130_3gfk,91
sampled_3gfk_model_131_3gfk,348
sampled_3gfk_model_132_3gfk,183
sampled_3gfk_model_133_3gfk,229
sampled_3gfk_model_134_3gfk,219
sampled_3gfk_model_135_3gfk,175
sampled_3gfk_model_136_3gfk,256
sampled_3gfk_model_137_3gfk,149
sampled_3gfk_model_138_3gfk,170
sampled_3gfk_model_139_3gfk,223
sampled_3gfk_model_14_3gfk,166
sampled_3gfk_model_140_3gfk,259
sampled_3gfk_model_141_3gfk,263
sampled_3gfk_model_142_3gfk,226
sampled_3gfk_model_143_3gfk,291
sampled_3gfk_model_144_3gfk,236
sampled_3gfk_model_145_3gfk,188
sampled_3gfk_model_146_3gfk,217
sampled_3gfk_model_147_3gfk,147
sampled_3gfk_model_148_3gfk,167
sampled_3gfk_model_149_3gfk,176
sampled_3gfk_model_15_3gfk,276
sampled_3gfk_model_150_3gfk,233
sampled_3gfk_model_151_3gfk,202
sampled_3gfk_model_152_3gfk,284
sampled_3gfk_model_153_3gfk,261
sampled_3gfk_model_154_3gfk,142
sampled_3gfk_model_155_3gfk,340
sampled_3gfk_model_156_3gfk,188
sampled_3gfk_model_157_3gfk,190
sampled_3gfk_model_158_3gfk,354
sampled_3gfk_model_159_3gfk,206
sampled_3gfk_model_16_3gfk,223
sampled_3gfk_model_160_3gfk,221
sampled_3gfk_model_161_3gfk,247
sampled_3gfk_model_162_3gfk,232
sampled_3gfk_model_163_3gfk,240
sampled_3gfk_model_164_3gfk,202
sampled_3gfk_model_165_3gfk,227
sampled_3gfk_model_166_3gfk,262
sampled_3gfk_model_167_3gfk,197
sampled_3gfk_model_168_3gfk,191
sampled_3gfk_model_169_3gfk,160
sampled_3gfk_model_17_3gfk,239
sampled_3gfk_model_170_3gfk,261
sampled_3gfk_model_171_3gfk,303
sampled_3gfk_model_172_3gfk,163
sampled_3gfk_model_173_3gfk,166
sampled_3gfk_model_174_3gfk,261
sampled_3gfk_model_175_3gfk,250
sampled_3gfk_model_176_3gfk,194
sampled_3gfk_model_177_3gfk,287
sampled_3gfk_model_178_3gfk,190
sampled_3gfk_model_179_3gfk,303
sampled_3gfk_model_18_3gfk,168
sampled_3gfk_model_180_3gfk,187
sampled_3gfk_model_181_3gfk,156
sampled_3gfk_model_182_3gfk,259
sampled_3gfk_model_183_3gfk,244
sampled_3gfk_model_184_3gfk,154
sampled_3gfk_model_185_3gfk,317
sampled_3gfk_model_186_3gfk,249
sampled_3gfk_model_187_3gfk,200
sampled_3gfk_model_188_3gfk,175
sampled_3gfk_model_189_3gfk,196
sampled_3gfk_model_19_3gfk,482
sampled_3gfk_model_190_3gfk,217
sampled_3gfk_model_191_3gfk,233
sampled_3gfk_model_192_3gfk,328
sampled_3gfk_model_193_3gfk,239
sampled_3gfk_model_194_3gfk,235
sampled_3gfk_model_195_3gfk,228
sampled_3gfk_model_196_3gfk,166
sampled_3gfk_model_197_3gfk,247
sampled_3gfk_model_198_3gfk,163
sampled_3gfk_model_199_3gfk,227
sampled_3gfk_model_2_3gfk,198
sampled_3gfk_model_20_3gfk,147
sampled_3gfk_model_200_3gfk,205
sampled_3gfk_model_201_3gfk,294
sampled_3gfk_model_202_3gfk,344
sampled_3gfk_model_203_3gfk,262
sampled_3gfk_model_204_3gfk,283
sampled_3gfk_model_205_3gfk,193
sampled_3gfk_model_206_3gfk,182
sampled_3gfk_model_207_3gfk,316
sampled_3gfk_model_208_3gfk,242
sampled_3gfk_model_209_3gfk,231
sampled_3gfk_model_21_3gfk,207
sampled_3gfk_model_210_3gfk,272
sampled_3gfk_model_211_3gfk,219
sampled_3gfk_model_212_3gfk,189
sampled_3gfk_model_213_3gfk,170
sampled_3gfk_model_214_3gfk,325
sampled_3gfk_model_215_3gfk,247
sampled_3gfk_model_216_3gfk,191
sampled_3gfk_model_217_3gfk,193
sampled_3gfk_model_218_3gfk,210
sampled_3gfk_model_219_3gfk,215
sampled_3gfk_model_22_3gfk,218
sampled_3gfk_model_220_3gfk,268
sampled_3gfk_model_221_3gfk,134
sampled_3gfk_model_222_3gfk,156
sampled_3gfk_model_223_3gfk,166
sampled_3gfk_model_224_3gfk,223
sampled_3gfk_model_225_3gfk,244
sampled_3gfk_model_226_3gfk,114
sampled_3gfk_model_227_3gfk,215
sampled_3gfk_model_228_3gfk,271
