pdb_file,hydrophobicity_contacts
sampled_2oul_model_1_2oul,16
sampled_2oul_model_10_2oul,10
sampled_2oul_model_100_2oul,17
sampled_2oul_model_101_2oul,30
sampled_2oul_model_102_2oul,34
sampled_2oul_model_103_2oul,45
sampled_2oul_model_104_2oul,20
sampled_2oul_model_105_2oul,16
sampled_2oul_model_106_2oul,18
sampled_2oul_model_107_2oul,23
sampled_2oul_model_108_2oul,28
sampled_2oul_model_109_2oul,21
sampled_2oul_model_11_2oul,17
sampled_2oul_model_110_2oul,18
sampled_2oul_model_111_2oul,20
sampled_2oul_model_112_2oul,25
sampled_2oul_model_113_2oul,25
sampled_2oul_model_114_2oul,17
sampled_2oul_model_115_2oul,19
sampled_2oul_model_116_2oul,18
sampled_2oul_model_117_2oul,29
sampled_2oul_model_118_2oul,19
sampled_2oul_model_119_2oul,16
sampled_2oul_model_12_2oul,11
sampled_2oul_model_120_2oul,14
sampled_2oul_model_121_2oul,32
sampled_2oul_model_122_2oul,28
sampled_2oul_model_123_2oul,14
sampled_2oul_model_124_2oul,29
sampled_2oul_model_125_2oul,26
sampled_2oul_model_126_2oul,17
sampled_2oul_model_127_2oul,13
sampled_2oul_model_128_2oul,22
sampled_2oul_model_129_2oul,19
sampled_2oul_model_13_2oul,23
sampled_2oul_model_130_2oul,31
sampled_2oul_model_131_2oul,39
sampled_2oul_model_132_2oul,21
sampled_2oul_model_133_2oul,22
sampled_2oul_model_134_2oul,17
sampled_2oul_model_135_2oul,13
sampled_2oul_model_136_2oul,18
sampled_2oul_model_137_2oul,54
sampled_2oul_model_138_2oul,26
sampled_2oul_model_139_2oul,18
sampled_2oul_model_14_2oul,9
sampled_2oul_model_140_2oul,16
sampled_2oul_model_141_2oul,22
sampled_2oul_model_142_2oul,15
sampled_2oul_model_143_2oul,14
sampled_2oul_model_144_2oul,12
sampled_2oul_model_145_2oul,13
sampled_2oul_model_146_2oul,17
sampled_2oul_model_147_2oul,13
sampled_2oul_model_148_2oul,27
sampled_2oul_model_149_2oul,24
sampled_2oul_model_15_2oul,21
sampled_2oul_model_150_2oul,8
sampled_2oul_model_151_2oul,14
sampled_2oul_model_152_2oul,18
sampled_2oul_model_153_2oul,27
sampled_2oul_model_154_2oul,14
sampled_2oul_model_155_2oul,37
sampled_2oul_model_156_2oul,16
sampled_2oul_model_157_2oul,21
sampled_2oul_model_158_2oul,12
sampled_2oul_model_159_2oul,25
sampled_2oul_model_16_2oul,12
sampled_2oul_model_160_2oul,20
sampled_2oul_model_161_2oul,25
sampled_2oul_model_162_2oul,15
sampled_2oul_model_163_2oul,21
sampled_2oul_model_164_2oul,22
sampled_2oul_model_165_2oul,17
sampled_2oul_model_166_2oul,34
sampled_2oul_model_167_2oul,12
sampled_2oul_model_168_2oul,30
sampled_2oul_model_169_2oul,37
sampled_2oul_model_17_2oul,21
sampled_2oul_model_170_2oul,25
sampled_2oul_model_171_2oul,25
sampled_2oul_model_172_2oul,26
sampled_2oul_model_173_2oul,24
sampled_2oul_model_174_2oul,34
sampled_2oul_model_175_2oul,30
sampled_2oul_model_176_2oul,48
sampled_2oul_model_177_2oul,13
sampled_2oul_model_178_2oul,34
sampled_2oul_model_179_2oul,29
sampled_2oul_model_18_2oul,24
sampled_2oul_model_180_2oul,17
sampled_2oul_model_181_2oul,26
sampled_2oul_model_182_2oul,14
sampled_2oul_model_183_2oul,30
sampled_2oul_model_184_2oul,20
sampled_2oul_model_185_2oul,18
sampled_2oul_model_186_2oul,32
sampled_2oul_model_187_2oul,45
sampled_2oul_model_188_2oul,23
sampled_2oul_model_189_2oul,18
sampled_2oul_model_19_2oul,22
sampled_2oul_model_190_2oul,33
sampled_2oul_model_191_2oul,31
sampled_2oul_model_192_2oul,26
sampled_2oul_model_193_2oul,47
sampled_2oul_model_194_2oul,23
sampled_2oul_model_195_2oul,25
sampled_2oul_model_196_2oul,14
sampled_2oul_model_197_2oul,29
sampled_2oul_model_198_2oul,24
sampled_2oul_model_199_2oul,18
sampled_2oul_model_2_2oul,24
sampled_2oul_model_20_2oul,10
