pdb_file,hydrophobicity_contacts
sampled_2pe6_model_1_2pe6,17
sampled_2pe6_model_10_2pe6,23
sampled_2pe6_model_100_2pe6,4
sampled_2pe6_model_101_2pe6,19
sampled_2pe6_model_102_2pe6,18
sampled_2pe6_model_103_2pe6,11
sampled_2pe6_model_104_2pe6,12
sampled_2pe6_model_105_2pe6,16
sampled_2pe6_model_106_2pe6,12
sampled_2pe6_model_107_2pe6,21
sampled_2pe6_model_108_2pe6,21
sampled_2pe6_model_109_2pe6,15
sampled_2pe6_model_11_2pe6,11
sampled_2pe6_model_110_2pe6,10
sampled_2pe6_model_111_2pe6,14
sampled_2pe6_model_112_2pe6,20
sampled_2pe6_model_113_2pe6,10
sampled_2pe6_model_114_2pe6,14
sampled_2pe6_model_115_2pe6,23
sampled_2pe6_model_116_2pe6,17
sampled_2pe6_model_117_2pe6,13
sampled_2pe6_model_118_2pe6,14
sampled_2pe6_model_119_2pe6,5
sampled_2pe6_model_12_2pe6,18
sampled_2pe6_model_120_2pe6,13
sampled_2pe6_model_121_2pe6,16
sampled_2pe6_model_122_2pe6,12
sampled_2pe6_model_123_2pe6,12
sampled_2pe6_model_124_2pe6,16
sampled_2pe6_model_125_2pe6,10
sampled_2pe6_model_126_2pe6,10
sampled_2pe6_model_127_2pe6,18
sampled_2pe6_model_128_2pe6,12
sampled_2pe6_model_129_2pe6,10
sampled_2pe6_model_13_2pe6,8
sampled_2pe6_model_130_2pe6,19
sampled_2pe6_model_131_2pe6,14
sampled_2pe6_model_132_2pe6,14
sampled_2pe6_model_133_2pe6,17
sampled_2pe6_model_134_2pe6,17
sampled_2pe6_model_135_2pe6,13
sampled_2pe6_model_136_2pe6,18
sampled_2pe6_model_137_2pe6,19
sampled_2pe6_model_138_2pe6,7
sampled_2pe6_model_139_2pe6,18
sampled_2pe6_model_14_2pe6,12
sampled_2pe6_model_140_2pe6,16
sampled_2pe6_model_141_2pe6,15
sampled_2pe6_model_142_2pe6,9
sampled_2pe6_model_143_2pe6,17
sampled_2pe6_model_144_2pe6,13
sampled_2pe6_model_145_2pe6,16
sampled_2pe6_model_146_2pe6,25
sampled_2pe6_model_147_2pe6,15
sampled_2pe6_model_148_2pe6,12
sampled_2pe6_model_149_2pe6,14
sampled_2pe6_model_15_2pe6,15
sampled_2pe6_model_150_2pe6,11
sampled_2pe6_model_151_2pe6,17
sampled_2pe6_model_152_2pe6,33
sampled_2pe6_model_153_2pe6,17
sampled_2pe6_model_154_2pe6,16
sampled_2pe6_model_155_2pe6,15
sampled_2pe6_model_156_2pe6,9
sampled_2pe6_model_157_2pe6,21
sampled_2pe6_model_158_2pe6,12
sampled_2pe6_model_159_2pe6,16
sampled_2pe6_model_16_2pe6,17
sampled_2pe6_model_160_2pe6,12
sampled_2pe6_model_161_2pe6,10
sampled_2pe6_model_162_2pe6,9
sampled_2pe6_model_163_2pe6,16
sampled_2pe6_model_164_2pe6,14
sampled_2pe6_model_165_2pe6,19
sampled_2pe6_model_166_2pe6,16
sampled_2pe6_model_167_2pe6,17
sampled_2pe6_model_168_2pe6,19
sampled_2pe6_model_169_2pe6,10
sampled_2pe6_model_17_2pe6,7
sampled_2pe6_model_170_2pe6,14
sampled_2pe6_model_171_2pe6,12
sampled_2pe6_model_172_2pe6,20
sampled_2pe6_model_173_2pe6,24
sampled_2pe6_model_174_2pe6,16
sampled_2pe6_model_175_2pe6,13
sampled_2pe6_model_176_2pe6,10
sampled_2pe6_model_177_2pe6,17
sampled_2pe6_model_178_2pe6,15
sampled_2pe6_model_179_2pe6,19
sampled_2pe6_model_18_2pe6,11
sampled_2pe6_model_180_2pe6,23
sampled_2pe6_model_181_2pe6,17
sampled_2pe6_model_182_2pe6,14
sampled_2pe6_model_183_2pe6,9
sampled_2pe6_model_184_2pe6,20
sampled_2pe6_model_185_2pe6,9
sampled_2pe6_model_186_2pe6,13
sampled_2pe6_model_187_2pe6,17
sampled_2pe6_model_188_2pe6,17
sampled_2pe6_model_189_2pe6,9
sampled_2pe6_model_19_2pe6,16
sampled_2pe6_model_190_2pe6,17
sampled_2pe6_model_191_2pe6,13
sampled_2pe6_model_192_2pe6,15
sampled_2pe6_model_193_2pe6,10
sampled_2pe6_model_194_2pe6,8
sampled_2pe6_model_195_2pe6,23
sampled_2pe6_model_196_2pe6,23
sampled_2pe6_model_197_2pe6,13
sampled_2pe6_model_198_2pe6,16
sampled_2pe6_model_199_2pe6,23
sampled_2pe6_model_2_2pe6,23
sampled_2pe6_model_20_2pe6,10
sampled_2pe6_model_200_2pe6,35
sampled_2pe6_model_201_2pe6,12
sampled_2pe6_model_202_2pe6,13
sampled_2pe6_model_203_2pe6,21
sampled_2pe6_model_204_2pe6,19
sampled_2pe6_model_205_2pe6,14
sampled_2pe6_model_206_2pe6,13
sampled_2pe6_model_207_2pe6,12
sampled_2pe6_model_208_2pe6,13
sampled_2pe6_model_209_2pe6,9
sampled_2pe6_model_21_2pe6,25
sampled_2pe6_model_210_2pe6,27
sampled_2pe6_model_211_2pe6,15
sampled_2pe6_model_212_2pe6,14
sampled_2pe6_model_213_2pe6,9
sampled_2pe6_model_214_2pe6,13
