pdb_file,all_contacts
complex.0_0_21_corrected_H_0001_1ugh,192
complex.0_0_22_corrected_H_0001_1ugh,227
complex.0_0_2_corrected_H_0001_1ugh,149
complex.0_0_30_corrected_H_0001_1ugh,344
complex.0_0_31_corrected_H_0001_1ugh,417
complex.0_0_35_corrected_H_0001_1ugh,346
complex.0_0_6_corrected_H_0001_1ugh,235
complex.0_0_9_corrected_H_0001_1ugh,212
complex.0_10_0_corrected_H_0001_1ugh,239
complex.0_10_14_corrected_H_0001_1ugh,275
complex.0_10_15_corrected_H_0001_1ugh,417
complex.0_10_25_corrected_H_0001_1ugh,406
complex.0_10_35_corrected_H_0001_1ugh,460
complex.0_11_17_corrected_H_0001_1ugh,359
complex.0_11_25_corrected_H_0001_1ugh,572
complex.0_11_36_corrected_H_0001_1ugh,349
complex.0_12_0_corrected_H_0001_1ugh,556
complex.0_12_11_corrected_H_0001_1ugh,508
complex.0_12_21_corrected_H_0001_1ugh,615
complex.0_12_33_corrected_H_0001_1ugh,525
complex.0_12_37_corrected_H_0001_1ugh,342
complex.0_12_42_corrected_H_0001_1ugh,470
complex.0_12_46_corrected_H_0001_1ugh,472
complex.0_13_14_corrected_H_0001_1ugh,426
complex.0_13_17_corrected_H_0001_1ugh,396
complex.0_14_12_corrected_H_0001_1ugh,472
complex.0_14_1_corrected_H_0001_1ugh,513
complex.0_14_27_corrected_H_0001_1ugh,555
complex.0_14_29_corrected_H_0001_1ugh,536
complex.0_15_10_corrected_H_0001_1ugh,542
complex.0_15_12_corrected_H_0001_1ugh,642
complex.0_15_26_corrected_H_0001_1ugh,493
complex.0_15_27_corrected_H_0001_1ugh,533
complex.0_15_2_corrected_H_0001_1ugh,519
complex.0_15_38_corrected_H_0001_1ugh,449
complex.0_15_46_corrected_H_0001_1ugh,529
complex.0_15_9_corrected_H_0001_1ugh,529
complex.0_16_27_corrected_H_0001_1ugh,575
complex.0_16_29_corrected_H_0001_1ugh,558
complex.0_16_32_corrected_H_0001_1ugh,602
complex.0_16_37_corrected_H_0001_1ugh,550
complex.0_16_44_corrected_H_0001_1ugh,567
complex.0_17_11_corrected_H_0001_1ugh,499
complex.0_17_15_corrected_H_0001_1ugh,552
complex.0_17_17_corrected_H_0001_1ugh,487
complex.0_17_31_corrected_H_0001_1ugh,511
complex.0_17_45_corrected_H_0001_1ugh,572
complex.0_17_4_corrected_H_0001_1ugh,532
complex.0_18_24_corrected_H_0001_1ugh,506
complex.0_18_9_corrected_H_0001_1ugh,503
complex.0_19_0_corrected_H_0001_1ugh,498
complex.0_19_2_corrected_H_0001_1ugh,539
complex.0_1_0_corrected_H_0001_1ugh,336
complex.0_1_13_corrected_H_0001_1ugh,239
complex.0_1_21_corrected_H_0001_1ugh,198
complex.0_1_34_corrected_H_0001_1ugh,366
complex.0_1_4_corrected_H_0001_1ugh,422
complex.0_2_10_corrected_H_0001_1ugh,227
complex.0_2_12_corrected_H_0001_1ugh,207
complex.0_2_14_corrected_H_0001_1ugh,260
complex.0_2_21_corrected_H_0001_1ugh,393
complex.0_2_23_corrected_H_0001_1ugh,215
complex.0_2_24_corrected_H_0001_1ugh,292
complex.0_2_38_corrected_H_0001_1ugh,264
complex.0_2_42_corrected_H_0001_1ugh,259
complex.0_2_49_corrected_H_0001_1ugh,185
complex.0_2_5_corrected_H_0001_1ugh,437
complex.0_2_9_corrected_H_0001_1ugh,293
complex.0_3_15_corrected_H_0001_1ugh,325
complex.0_3_18_corrected_H_0001_1ugh,307
complex.0_3_25_corrected_H_0001_1ugh,300
complex.0_3_26_corrected_H_0001_1ugh,372
complex.0_3_27_corrected_H_0001_1ugh,298
complex.0_3_30_corrected_H_0001_1ugh,287
complex.0_3_34_corrected_H_0001_1ugh,238
complex.0_3_37_corrected_H_0001_1ugh,289
complex.0_3_38_corrected_H_0001_1ugh,329
complex.0_3_3_corrected_H_0001_1ugh,361
complex.0_3_8_corrected_H_0001_1ugh,172
complex.0_4_13_corrected_H_0001_1ugh,397
