pdb_file,hydrophobicity_contacts
complex.0_0_10_corrected_H_0001_1n1j,28
complex.0_0_25_corrected_H_0001_1n1j,15
complex.0_0_27_corrected_H_0001_1n1j,20
complex.0_0_42_corrected_H_0001_1n1j,45
complex.0_0_4_corrected_H_0001_1n1j,26
complex.0_0_7_corrected_H_0001_1n1j,14
complex.0_10_17_corrected_H_0001_1n1j,78
complex.0_10_18_corrected_H_0001_1n1j,94
complex.0_10_29_corrected_H_0001_1n1j,93
complex.0_10_2_corrected_H_0001_1n1j,76
complex.0_10_34_corrected_H_0001_1n1j,83
complex.0_11_0_corrected_H_0001_1n1j,90
complex.0_11_11_corrected_H_0001_1n1j,85
complex.0_11_26_corrected_H_0001_1n1j,86
complex.0_11_3_corrected_H_0001_1n1j,95
complex.0_11_40_corrected_H_0001_1n1j,91
complex.0_11_5_corrected_H_0001_1n1j,94
complex.0_12_28_corrected_H_0001_1n1j,86
complex.0_12_29_corrected_H_0001_1n1j,99
complex.0_12_39_corrected_H_0001_1n1j,98
complex.0_12_42_corrected_H_0001_1n1j,100
complex.0_12_47_corrected_H_0001_1n1j,87
complex.0_13_14_corrected_H_0001_1n1j,99
complex.0_13_19_corrected_H_0001_1n1j,95
complex.0_13_23_corrected_H_0001_1n1j,94
complex.0_13_41_corrected_H_0001_1n1j,98
complex.0_13_6_corrected_H_0001_1n1j,98
complex.0_14_25_corrected_H_0001_1n1j,94
complex.0_14_44_corrected_H_0001_1n1j,100
complex.0_14_6_corrected_H_0001_1n1j,98
complex.0_14_8_corrected_H_0001_1n1j,97
complex.0_15_16_corrected_H_0001_1n1j,102
complex.0_15_20_corrected_H_0001_1n1j,105
complex.0_15_22_corrected_H_0001_1n1j,92
complex.0_15_42_corrected_H_0001_1n1j,95
complex.0_15_5_corrected_H_0001_1n1j,103
complex.0_15_6_corrected_H_0001_1n1j,103
complex.0_16_0_corrected_H_0001_1n1j,98
complex.0_16_40_corrected_H_0001_1n1j,96
complex.0_17_11_corrected_H_0001_1n1j,103
complex.0_17_1_corrected_H_0001_1n1j,99
complex.0_17_23_corrected_H_0001_1n1j,97
complex.0_17_24_corrected_H_0001_1n1j,104
complex.0_17_29_corrected_H_0001_1n1j,100
complex.0_17_30_corrected_H_0001_1n1j,106
complex.0_17_41_corrected_H_0001_1n1j,103
complex.0_18_0_corrected_H_0001_1n1j,101
complex.0_18_11_corrected_H_0001_1n1j,105
complex.0_18_2_corrected_H_0001_1n1j,105
complex.0_1_27_corrected_H_0001_1n1j,29
complex.0_1_34_corrected_H_0001_1n1j,25
complex.0_1_43_corrected_H_0001_1n1j,19
complex.0_2_19_corrected_H_0001_1n1j,29
complex.0_2_28_corrected_H_0001_1n1j,48
complex.0_2_6_corrected_H_0001_1n1j,41
complex.0_3_37_corrected_H_0001_1n1j,57
complex.0_3_40_corrected_H_0001_1n1j,64
complex.0_3_9_corrected_H_0001_1n1j,63
complex.0_4_10_corrected_H_0001_1n1j,61
complex.0_4_28_corrected_H_0001_1n1j,41
complex.0_4_46_corrected_H_0001_1n1j,53
complex.0_4_49_corrected_H_0001_1n1j,57
complex.0_4_4_corrected_H_0001_1n1j,59
complex.0_5_18_corrected_H_0001_1n1j,62
complex.0_5_20_corrected_H_0001_1n1j,71
complex.0_5_21_corrected_H_0001_1n1j,68
complex.0_5_24_corrected_H_0001_1n1j,59
complex.0_5_4_corrected_H_0001_1n1j,59
complex.0_5_5_corrected_H_0001_1n1j,65
complex.0_6_18_corrected_H_0001_1n1j,64
complex.0_6_28_corrected_H_0001_1n1j,69
complex.0_6_39_corrected_H_0001_1n1j,67
complex.0_6_45_corrected_H_0001_1n1j,65
complex.0_7_16_corrected_H_0001_1n1j,69
complex.0_7_23_corrected_H_0001_1n1j,76
complex.0_8_10_corrected_H_0001_1n1j,80
complex.0_8_14_corrected_H_0001_1n1j,82
complex.0_8_34_corrected_H_0001_1n1j,80
complex.0_8_40_corrected_H_0001_1n1j,83
complex.0_8_42_corrected_H_0001_1n1j,72
complex.0_8_43_corrected_H_0001_1n1j,67
complex.0_8_44_corrected_H_0001_1n1j,61
complex.0_9_23_corrected_H_0001_1n1j,83
complex.0_9_28_corrected_H_0001_1n1j,82
complex.0_9_29_corrected_H_0001_1n1j,76
complex.0_9_30_corrected_H_0001_1n1j,97
