pdb_file,all_contacts
complex.0_0_10_corrected_H_0001_1n1j,506
complex.0_0_25_corrected_H_0001_1n1j,295
complex.0_0_27_corrected_H_0001_1n1j,358
complex.0_0_42_corrected_H_0001_1n1j,589
complex.0_0_4_corrected_H_0001_1n1j,414
complex.0_0_7_corrected_H_0001_1n1j,255
complex.0_10_17_corrected_H_0001_1n1j,787
complex.0_10_18_corrected_H_0001_1n1j,1069
complex.0_10_29_corrected_H_0001_1n1j,997
complex.0_10_2_corrected_H_0001_1n1j,837
complex.0_10_34_corrected_H_0001_1n1j,931
complex.0_11_0_corrected_H_0001_1n1j,997
complex.0_11_11_corrected_H_0001_1n1j,1064
complex.0_11_26_corrected_H_0001_1n1j,1034
complex.0_11_3_corrected_H_0001_1n1j,978
complex.0_11_40_corrected_H_0001_1n1j,984
complex.0_11_5_corrected_H_0001_1n1j,1074
complex.0_12_28_corrected_H_0001_1n1j,1214
complex.0_12_29_corrected_H_0001_1n1j,1192
complex.0_12_39_corrected_H_0001_1n1j,1158
complex.0_12_42_corrected_H_0001_1n1j,1172
complex.0_12_47_corrected_H_0001_1n1j,1026
complex.0_13_14_corrected_H_0001_1n1j,1122
complex.0_13_19_corrected_H_0001_1n1j,1111
complex.0_13_23_corrected_H_0001_1n1j,1116
complex.0_13_41_corrected_H_0001_1n1j,1238
complex.0_13_6_corrected_H_0001_1n1j,1108
complex.0_14_25_corrected_H_0001_1n1j,1081
complex.0_14_44_corrected_H_0001_1n1j,1237
complex.0_14_6_corrected_H_0001_1n1j,1246
complex.0_14_8_corrected_H_0001_1n1j,1167
complex.0_15_16_corrected_H_0001_1n1j,1158
complex.0_15_20_corrected_H_0001_1n1j,1308
complex.0_15_22_corrected_H_0001_1n1j,1098
complex.0_15_42_corrected_H_0001_1n1j,1188
complex.0_15_5_corrected_H_0001_1n1j,1209
complex.0_15_6_corrected_H_0001_1n1j,1234
complex.0_16_0_corrected_H_0001_1n1j,1237
complex.0_16_40_corrected_H_0001_1n1j,1136
complex.0_17_11_corrected_H_0001_1n1j,1211
complex.0_17_1_corrected_H_0001_1n1j,1162
complex.0_17_23_corrected_H_0001_1n1j,1216
complex.0_17_24_corrected_H_0001_1n1j,1262
complex.0_17_29_corrected_H_0001_1n1j,1278
complex.0_17_30_corrected_H_0001_1n1j,1220
complex.0_17_41_corrected_H_0001_1n1j,1251
complex.0_18_0_corrected_H_0001_1n1j,1215
complex.0_18_11_corrected_H_0001_1n1j,1357
complex.0_18_2_corrected_H_0001_1n1j,1291
complex.0_1_27_corrected_H_0001_1n1j,578
complex.0_1_34_corrected_H_0001_1n1j,298
complex.0_1_43_corrected_H_0001_1n1j,362
complex.0_2_19_corrected_H_0001_1n1j,483
complex.0_2_28_corrected_H_0001_1n1j,591
complex.0_2_6_corrected_H_0001_1n1j,595
complex.0_3_37_corrected_H_0001_1n1j,691
complex.0_3_40_corrected_H_0001_1n1j,722
complex.0_3_9_corrected_H_0001_1n1j,659
complex.0_4_10_corrected_H_0001_1n1j,757
complex.0_4_28_corrected_H_0001_1n1j,512
complex.0_4_46_corrected_H_0001_1n1j,797
complex.0_4_49_corrected_H_0001_1n1j,743
complex.0_4_4_corrected_H_0001_1n1j,747
complex.0_5_18_corrected_H_0001_1n1j,692
complex.0_5_20_corrected_H_0001_1n1j,840
complex.0_5_21_corrected_H_0001_1n1j,878
complex.0_5_24_corrected_H_0001_1n1j,659
complex.0_5_4_corrected_H_0001_1n1j,707
complex.0_5_5_corrected_H_0001_1n1j,763
complex.0_6_18_corrected_H_0001_1n1j,907
complex.0_6_28_corrected_H_0001_1n1j,942
complex.0_6_39_corrected_H_0001_1n1j,816
complex.0_6_45_corrected_H_0001_1n1j,631
complex.0_7_16_corrected_H_0001_1n1j,757
complex.0_7_23_corrected_H_0001_1n1j,844
complex.0_8_10_corrected_H_0001_1n1j,763
complex.0_8_14_corrected_H_0001_1n1j,1041
complex.0_8_34_corrected_H_0001_1n1j,803
complex.0_8_40_corrected_H_0001_1n1j,890
complex.0_8_42_corrected_H_0001_1n1j,915
complex.0_8_43_corrected_H_0001_1n1j,742
complex.0_8_44_corrected_H_0001_1n1j,789
complex.0_9_23_corrected_H_0001_1n1j,954
complex.0_9_28_corrected_H_0001_1n1j,942
complex.0_9_29_corrected_H_0001_1n1j,862
complex.0_9_30_corrected_H_0001_1n1j,1084
complex.0_9_34_corrected_H_0001_1n1j,1196
complex.0_9_38_corrected_H_0001_1n1j,1089
complex.0_9_3_corrected_H_0001_1n1j,1047
complex.1_0_0_corrected_H_0001_1n1j,467
complex.1_0_28_corrected_H_0001_1n1j,334
complex.1_0_2_corrected_H_0001_1n1j,564
complex.1_0_40_corrected_H_0001_1n1j,433
complex.1_0_43_corrected_H_0001_1n1j,459
complex.1_10_20_corrected_H_0001_1n1j,1191
complex.1_10_30_corrected_H_0001_1n1j,934
complex.1_10_38_corrected_H_0001_1n1j,957
complex.1_10_48_corrected_H_0001_1n1j,972
complex.1_10_9_corrected_H_0001_1n1j,1073
complex.1_11_37_corrected_H_0001_1n1j,1053
complex.1_11_4_corrected_H_0001_1n1j,1234
complex.1_11_9_corrected_H_0001_1n1j,854
complex.1_12_13_corrected_H_0001_1n1j,1046
complex.1_12_21_corrected_H_0001_1n1j,1169
complex.1_12_31_corrected_H_0001_1n1j,1023
complex.1_12_40_corrected_H_0001_1n1j,1057
complex.1_12_45_corrected_H_0001_1n1j,967
complex.1_12_4_corrected_H_0001_1n1j,1145
complex.1_13_12_corrected_H_0001_1n1j,1179
complex.1_13_8_corrected_H_0001_1n1j,1113
complex.1_14_16_corrected_H_0001_1n1j,1187
complex.1_14_21_corrected_H_0001_1n1j,1187
complex.1_14_24_corrected_H_0001_1n1j,1190
complex.1_14_33_corrected_H_0001_1n1j,1241
complex.1_14_45_corrected_H_0001_1n1j,1094
complex.1_14_47_corrected_H_0001_1n1j,1229
complex.1_14_7_corrected_H_0001_1n1j,1235
complex.1_15_32_corrected_H_0001_1n1j,1211
complex.1_15_33_corrected_H_0001_1n1j,1228
complex.1_15_40_corrected_H_0001_1n1j,1244
complex.1_15_48_corrected_H_0001_1n1j,1277
complex.1_16_16_corrected_H_0001_1n1j,1232
complex.1_16_32_corrected_H_0001_1n1j,1186
complex.1_16_46_corrected_H_0001_1n1j,1265
complex.1_17_16_corrected_H_0001_1n1j,1203
complex.1_17_21_corrected_H_0001_1n1j,1235
complex.1_17_27_corrected_H_0001_1n1j,1244
complex.1_17_28_corrected_H_0001_1n1j,1264
complex.1_17_6_corrected_H_0001_1n1j,1329
complex.1_17_9_corrected_H_0001_1n1j,1248
complex.1_18_14_corrected_H_0001_1n1j,1206
complex.1_18_27_corrected_H_0001_1n1j,1286
complex.1_19_1_corrected_H_0001_1n1j,1263
complex.1_1_17_corrected_H_0001_1n1j,370
complex.1_2_18_corrected_H_0001_1n1j,461
complex.1_2_44_corrected_H_0001_1n1j,836
complex.1_2_47_corrected_H_0001_1n1j,511
complex.1_2_48_corrected_H_0001_1n1j,418
complex.1_3_13_corrected_H_0001_1n1j,715
complex.1_3_29_corrected_H_0001_1n1j,830
complex.1_3_31_corrected_H_0001_1n1j,691
complex.1_3_33_corrected_H_0001_1n1j,728
complex.1_3_36_corrected_H_0001_1n1j,662
complex.1_3_44_corrected_H_0001_1n1j,850
complex.1_3_4_corrected_H_0001_1n1j,854
complex.1_3_8_corrected_H_0001_1n1j,695
complex.1_4_18_corrected_H_0001_1n1j,619
complex.1_4_30_corrected_H_0001_1n1j,706
complex.1_4_33_corrected_H_0001_1n1j,684
complex.1_4_38_corrected_H_0001_1n1j,590
complex.1_4_3_corrected_H_0001_1n1j,777
complex.1_4_5_corrected_H_0001_1n1j,635
complex.1_5_28_corrected_H_0001_1n1j,900
complex.1_5_35_corrected_H_0001_1n1j,766
complex.1_5_42_corrected_H_0001_1n1j,695
complex.1_5_47_corrected_H_0001_1n1j,764
complex.1_5_7_corrected_H_0001_1n1j,910
complex.1_6_12_corrected_H_0001_1n1j,725
complex.1_6_27_corrected_H_0001_1n1j,766
complex.1_6_30_corrected_H_0001_1n1j,692
complex.1_6_32_corrected_H_0001_1n1j,530
complex.1_6_34_corrected_H_0001_1n1j,638
complex.1_6_46_corrected_H_0001_1n1j,752
complex.1_6_5_corrected_H_0001_1n1j,721
complex.1_6_9_corrected_H_0001_1n1j,753
complex.1_7_14_corrected_H_0001_1n1j,790
complex.1_7_18_corrected_H_0001_1n1j,883
