pdb_file,hydrophobicity_contacts
complex.0_0_26_corrected_H_0001_4hwi,21
complex.0_0_27_corrected_H_0001_4hwi,23
complex.0_0_8_corrected_H_0001_4hwi,18
complex.0_10_17_corrected_H_0001_4hwi,20
complex.0_10_22_corrected_H_0001_4hwi,13
complex.0_10_28_corrected_H_0001_4hwi,17
complex.0_10_39_corrected_H_0001_4hwi,14
complex.0_10_6_corrected_H_0001_4hwi,20
complex.0_10_7_corrected_H_0001_4hwi,13
complex.0_11_28_corrected_H_0001_4hwi,17
complex.0_11_38_corrected_H_0001_4hwi,15
complex.0_11_3_corrected_H_0001_4hwi,18
complex.0_11_42_corrected_H_0001_4hwi,17
complex.0_11_43_corrected_H_0001_4hwi,19
complex.0_11_45_corrected_H_0001_4hwi,16
complex.0_11_49_corrected_H_0001_4hwi,21
complex.0_12_0_corrected_H_0001_4hwi,17
complex.0_12_10_corrected_H_0001_4hwi,18
complex.0_12_13_corrected_H_0001_4hwi,18
complex.0_12_26_corrected_H_0001_4hwi,16
complex.0_12_9_corrected_H_0001_4hwi,18
complex.0_13_16_corrected_H_0001_4hwi,21
complex.0_13_33_corrected_H_0001_4hwi,21
complex.0_13_43_corrected_H_0001_4hwi,18
complex.0_14_1_corrected_H_0001_4hwi,12
complex.0_14_24_corrected_H_0001_4hwi,17
complex.0_14_39_corrected_H_0001_4hwi,24
complex.0_15_43_corrected_H_0001_4hwi,23
complex.0_15_47_corrected_H_0001_4hwi,17
complex.0_15_9_corrected_H_0001_4hwi,22
complex.0_16_13_corrected_H_0001_4hwi,20
complex.0_16_18_corrected_H_0001_4hwi,21
complex.0_16_31_corrected_H_0001_4hwi,19
complex.0_16_36_corrected_H_0001_4hwi,21
complex.0_16_42_corrected_H_0001_4hwi,19
complex.0_16_48_corrected_H_0001_4hwi,21
complex.0_16_6_corrected_H_0001_4hwi,23
complex.0_17_27_corrected_H_0001_4hwi,19
complex.0_17_6_corrected_H_0001_4hwi,20
complex.0_18_18_corrected_H_0001_4hwi,20
complex.0_18_19_corrected_H_0001_4hwi,21
complex.0_18_21_corrected_H_0001_4hwi,18
complex.0_18_28_corrected_H_0001_4hwi,22
complex.0_1_16_corrected_H_0001_4hwi,20
complex.0_1_22_corrected_H_0001_4hwi,18
complex.0_2_29_corrected_H_0001_4hwi,15
complex.0_2_32_corrected_H_0001_4hwi,14
complex.0_2_42_corrected_H_0001_4hwi,9
complex.0_2_46_corrected_H_0001_4hwi,16
complex.0_3_11_corrected_H_0001_4hwi,24
complex.0_3_16_corrected_H_0001_4hwi,21
complex.0_3_17_corrected_H_0001_4hwi,17
complex.0_3_23_corrected_H_0001_4hwi,17
complex.0_4_0_corrected_H_0001_4hwi,22
complex.0_4_30_corrected_H_0001_4hwi,12
complex.0_4_36_corrected_H_0001_4hwi,17
complex.0_5_16_corrected_H_0001_4hwi,16
complex.0_5_18_corrected_H_0001_4hwi,16
complex.0_5_20_corrected_H_0001_4hwi,10
complex.0_5_21_corrected_H_0001_4hwi,13
complex.0_5_29_corrected_H_0001_4hwi,15
complex.0_5_48_corrected_H_0001_4hwi,15
complex.0_5_6_corrected_H_0001_4hwi,15
complex.0_6_18_corrected_H_0001_4hwi,18
complex.0_6_25_corrected_H_0001_4hwi,14
complex.0_7_11_corrected_H_0001_4hwi,19
complex.0_7_15_corrected_H_0001_4hwi,23
complex.0_7_19_corrected_H_0001_4hwi,15
complex.0_7_20_corrected_H_0001_4hwi,13
complex.0_7_22_corrected_H_0001_4hwi,19
complex.0_7_23_corrected_H_0001_4hwi,18
complex.0_7_28_corrected_H_0001_4hwi,22
complex.0_7_29_corrected_H_0001_4hwi,20
complex.0_7_40_corrected_H_0001_4hwi,18
complex.0_7_41_corrected_H_0001_4hwi,19
complex.0_7_48_corrected_H_0001_4hwi,16
complex.0_7_7_corrected_H_0001_4hwi,14
complex.0_8_10_corrected_H_0001_4hwi,20
complex.0_8_12_corrected_H_0001_4hwi,20
complex.0_8_13_corrected_H_0001_4hwi,17
complex.0_8_15_corrected_H_0001_4hwi,20
complex.0_8_18_corrected_H_0001_4hwi,19
complex.0_8_33_corrected_H_0001_4hwi,13
complex.0_8_40_corrected_H_0001_4hwi,21
complex.0_8_9_corrected_H_0001_4hwi,18
complex.0_9_10_corrected_H_0001_4hwi,17
complex.0_9_22_corrected_H_0001_4hwi,21
complex.0_9_37_corrected_H_0001_4hwi,22
complex.1_0_0_corrected_H_0001_4hwi,17
complex.1_0_24_corrected_H_0001_4hwi,27
complex.1_0_30_corrected_H_0001_4hwi,21
complex.1_0_7_corrected_H_0001_4hwi,8
complex.1_10_14_corrected_H_0001_4hwi,16
complex.1_10_19_corrected_H_0001_4hwi,20
complex.1_10_31_corrected_H_0001_4hwi,18
complex.1_10_38_corrected_H_0001_4hwi,17
complex.1_10_4_corrected_H_0001_4hwi,21
complex.1_11_37_corrected_H_0001_4hwi,16
complex.1_11_39_corrected_H_0001_4hwi,17
complex.1_11_44_corrected_H_0001_4hwi,18
complex.1_11_4_corrected_H_0001_4hwi,19
complex.1_12_24_corrected_H_0001_4hwi,22
complex.1_12_27_corrected_H_0001_4hwi,18
complex.1_12_29_corrected_H_0001_4hwi,20
complex.1_12_45_corrected_H_0001_4hwi,19
complex.1_12_4_corrected_H_0001_4hwi,16
complex.1_12_8_corrected_H_0001_4hwi,15
complex.1_13_0_corrected_H_0001_4hwi,23
complex.1_13_10_corrected_H_0001_4hwi,21
complex.1_13_49_corrected_H_0001_4hwi,17
complex.1_13_4_corrected_H_0001_4hwi,20
complex.1_13_9_corrected_H_0001_4hwi,16
complex.1_14_12_corrected_H_0001_4hwi,21
complex.1_14_33_corrected_H_0001_4hwi,22
complex.1_14_40_corrected_H_0001_4hwi,22
complex.1_14_45_corrected_H_0001_4hwi,23
complex.1_15_12_corrected_H_0001_4hwi,16
complex.1_15_29_corrected_H_0001_4hwi,22
complex.1_15_31_corrected_H_0001_4hwi,15
complex.1_15_41_corrected_H_0001_4hwi,21
complex.1_15_5_corrected_H_0001_4hwi,21
complex.1_16_15_corrected_H_0001_4hwi,21
complex.1_16_19_corrected_H_0001_4hwi,20
complex.1_16_29_corrected_H_0001_4hwi,20
complex.1_16_2_corrected_H_0001_4hwi,20
complex.1_16_3_corrected_H_0001_4hwi,17
complex.1_16_49_corrected_H_0001_4hwi,13
complex.1_16_5_corrected_H_0001_4hwi,22
complex.1_17_1_corrected_H_0001_4hwi,19
