pdb_file,patch_alignment_score,chain_patch_consistency_score,avg_patch_score
sampled_2pe6_model_1,"(0.005434782608695652, 0.00390625, 0.004361979166666667)"
sampled_2pe6_model_10,"(0.006987577639751553, 0.00703125, 0.00703125)"
sampled_2pe6_model_100,"(0.0015527950310559005, 0.00156128024980484, 0.00156128024980484)"
sampled_2pe6_model_101,"(0.007763975155279503, 0.0078003120124804995, 0.0078003120124804995)"
sampled_2pe6_model_102,"(0.006211180124223602, 0.00625, 0.00625)"
sampled_2pe6_model_103,"(0.0038819875776397515, 0.0039001560062402497, 0.0039001560062402497)"
sampled_2pe6_model_104,"(0.0038819875776397515, 0.00390625, 0.00390625)"
sampled_2pe6_model_105,"(0.0038819875776397515, 0.00390625, 0.00390625)"
sampled_2pe6_model_106,"(0.004658385093167702, 0.0046875, 0.0046875)"
sampled_2pe6_model_107,"(0.009316770186335404, 0.009375, 0.009375)"
sampled_2pe6_model_108,"(0.004658385093167702, 0.00468384074941452, 0.00468384074941452)"
sampled_2pe6_model_109,"(0.006987577639751553, 0.00703125, 0.00703125)"
sampled_2pe6_model_11,"(0.005434782608695652, 0.00546875, 0.00546875)"
sampled_2pe6_model_110,"(0.0038819875776397515, 0.0039001560062402497, 0.0039001560062402497)"
sampled_2pe6_model_111,"(0.0038819875776397515, 0.00390625, 0.00390625)"
sampled_2pe6_model_112,"(0.007763975155279503, 0.0070202808112324495, 0.0074102964118564745)"
sampled_2pe6_model_113,"(0.0038819875776397515, 0.00390625, 0.00390625)"
sampled_2pe6_model_114,"(0.004658385093167702, 0.0046875, 0.0046875)"
sampled_2pe6_model_115,"(0.009316770186335404, 0.009375, 0.009375)"
sampled_2pe6_model_116,"(0.005434782608695652, 0.00546875, 0.00546875)"
sampled_2pe6_model_117,"(0.004658385093167702, 0.0046801872074883, 0.0046801872074883)"
sampled_2pe6_model_118,"(0.005434782608695652, 0.00546021840873635, 0.00546021840873635)"
sampled_2pe6_model_119,"(0.002329192546583851, 0.00234009360374415, 0.00234009360374415)"
sampled_2pe6_model_12,"(0.007763975155279503, 0.0078125, 0.0078125)"
sampled_2pe6_model_120,"(0.005434782608695652, 0.00546021840873635, 0.00546021840873635)"
sampled_2pe6_model_121,"(0.004658385093167702, 0.0046875, 0.0046875)"
sampled_2pe6_model_122,"(0.0038819875776397515, 0.0039001560062402497, 0.0039001560062402497)"
sampled_2pe6_model_123,"(0.003105590062111801, 0.003125, 0.003125)"
sampled_2pe6_model_124,"(0.004658385093167702, 0.0039001560062402497, 0.004290171606864275)"
sampled_2pe6_model_125,"(0.0038819875776397515, 0.0039001560062402497, 0.0039001560062402497)"
sampled_2pe6_model_126,"(0.0038819875776397515, 0.0039001560062402497, 0.0039001560062402497)"
sampled_2pe6_model_127,"(0.005434782608695652, 0.0046801872074883, 0.005070202808112325)"
sampled_2pe6_model_128,"(0.005434782608695652, 0.00546021840873635, 0.00546021840873635)"
sampled_2pe6_model_129,"(0.0038819875776397515, 0.0039032006245121, 0.0039032006245121)"
sampled_2pe6_model_13,"(0.0015527950310559005, 0.0015625, 0.0015625)"
sampled_2pe6_model_130,"(0.005434782608695652, 0.00546875, 0.00546875)"
sampled_2pe6_model_131,"(0.003105590062111801, 0.0031201248049922, 0.0031201248049922)"
sampled_2pe6_model_132,"(0.005434782608695652, 0.00546021840873635, 0.00546021840873635)"
sampled_2pe6_model_133,"(0.004658385093167702, 0.00468384074941452, 0.00468384074941452)"
sampled_2pe6_model_134,"(0.006987577639751553, 0.00702576112412178, 0.00702576112412178)"
sampled_2pe6_model_135,"(0.0038819875776397515, 0.00390625, 0.00390625)"
sampled_2pe6_model_136,"(0.006211180124223602, 0.00624512099921936, 0.00624512099921936)"
sampled_2pe6_model_137,"(0.003105590062111801, 0.003125, 0.003125)"
sampled_2pe6_model_138,"(0.0038819875776397515, 0.00390625, 0.00390625)"
sampled_2pe6_model_139,"(0.004658385093167702, 0.0046875, 0.0046875)"
sampled_2pe6_model_14,"(0.0038819875776397515, 0.00390625, 0.00390625)"
sampled_2pe6_model_140,"(0.004658385093167702, 0.0046801872074883, 0.0046801872074883)"
sampled_2pe6_model_141,"(0.006987577639751553, 0.00703125, 0.00703125)"
sampled_2pe6_model_142,"(0.0038819875776397515, 0.0039001560062402497, 0.0039001560062402497)"
sampled_2pe6_model_143,"(0.0038819875776397515, 0.0039032006245121, 0.0039032006245121)"
sampled_2pe6_model_144,"(0.005434782608695652, 0.00546021840873635, 0.00546021840873635)"
sampled_2pe6_model_145,"(0.006211180124223602, 0.00625, 0.00625)"
sampled_2pe6_model_146,"(0.007763975155279503, 0.00702576112412178, 0.00741608118657299)"
sampled_2pe6_model_147,"(0.004658385093167702, 0.0046801872074883, 0.0046801872074883)"
sampled_2pe6_model_148,"(0.0038819875776397515, 0.00390625, 0.00390625)"
sampled_2pe6_model_149,"(0.005434782608695652, 0.00546875, 0.00546875)"
sampled_2pe6_model_15,"(0.007763975155279503, 0.00547302580140735, 0.005929111284857962)"
sampled_2pe6_model_150,"(0.0038819875776397515, 0.0039001560062402497, 0.0039001560062402497)"
sampled_2pe6_model_151,"(0.0038819875776397515, 0.00390625, 0.00390625)"
sampled_2pe6_model_152,"(0.010869565217391304, 0.0109204368174727, 0.0109204368174727)"
sampled_2pe6_model_153,"(0.007763975155279503, 0.0078125, 0.0078125)"
sampled_2pe6_model_154,"(0.0038819875776397515, 0.0039001560062402497, 0.0039001560062402497)"
sampled_2pe6_model_155,"(0.006987577639751553, 0.0062402496099844, 0.006630265210608425)"
sampled_2pe6_model_156,"(0.003105590062111801, 0.003125, 0.003125)"
sampled_2pe6_model_157,"(0.007763975155279503, 0.0078003120124804995, 0.0078003120124804995)"
sampled_2pe6_model_158,"(0.004658385093167702, 0.0046875, 0.0046875)"
sampled_2pe6_model_159,"(0.006211180124223602, 0.00625, 0.00625)"
sampled_2pe6_model_16,"(0.008540372670807454, 0.00859375, 0.00859375)"
sampled_2pe6_model_160,"(0.004658385093167702, 0.0046801872074883, 0.0046801872074883)"
sampled_2pe6_model_161,"(0.0038819875776397515, 0.0039001560062402497, 0.0039001560062402497)"
sampled_2pe6_model_162,"(0.0038819875776397515, 0.00390625, 0.00390625)"
sampled_2pe6_model_163,"(0.005434782608695652, 0.00546875, 0.00546875)"
sampled_2pe6_model_164,"(0.003105590062111801, 0.003125, 0.003125)"
sampled_2pe6_model_165,"(0.007763975155279503, 0.0078003120124804995, 0.0078003120124804995)"
sampled_2pe6_model_166,"(0.0038819875776397515, 0.00390625, 0.00390625)"
sampled_2pe6_model_167,"(0.006987577639751553, 0.00702576112412178, 0.00702576112412178)"
sampled_2pe6_model_168,"(0.006987577639751553, 0.00703125, 0.00703125)"
sampled_2pe6_model_169,"(0.003105590062111801, 0.003125, 0.003125)"
sampled_2pe6_model_17,"(0.002329192546583851, 0.00234192037470726, 0.00234192037470726)"
sampled_2pe6_model_170,"(0.006211180124223602, 0.00625, 0.00625)"
sampled_2pe6_model_171,"(0.005434782608695652, 0.00546021840873635, 0.00546021840873635)"
sampled_2pe6_model_172,"(0.005434782608695652, 0.00546021840873635, 0.00546021840873635)"
sampled_2pe6_model_173,"(0.006211180124223602, 0.00624512099921936, 0.00624512099921936)"
sampled_2pe6_model_174,"(0.006211180124223602, 0.00625, 0.00625)"
sampled_2pe6_model_175,"(0.005434782608695652, 0.00546021840873635, 0.00546021840873635)"
sampled_2pe6_model_176,"(0.002329192546583851, 0.00234375, 0.00234375)"
sampled_2pe6_model_177,"(0.004658385093167702, 0.0046801872074883, 0.0046801872074883)"
sampled_2pe6_model_178,"(0.005434782608695652, 0.0046801872074883, 0.005070202808112325)"
sampled_2pe6_model_179,"(0.006211180124223602, 0.00625, 0.00625)"
sampled_2pe6_model_18,"(0.004658385093167702, 0.0046875, 0.0046875)"
sampled_2pe6_model_180,"(0.005434782608695652, 0.00546021840873635, 0.00546021840873635)"
sampled_2pe6_model_181,"(0.004658385093167702, 0.0046875, 0.0046875)"
sampled_2pe6_model_182,"(0.003105590062111801, 0.0031201248049922, 0.0031201248049922)"
sampled_2pe6_model_183,"(0.003105590062111801, 0.0031201248049922, 0.0031201248049922)"
sampled_2pe6_model_184,"(0.006211180124223602, 0.0062402496099844, 0.0062402496099844)"
sampled_2pe6_model_185,"(0.004658385093167702, 0.0046801872074883, 0.0046801872074883)"
sampled_2pe6_model_186,"(0.0038819875776397515, 0.0031201248049922, 0.0035101404056162248)"
sampled_2pe6_model_187,"(0.006987577639751553, 0.00703125, 0.00703125)"
sampled_2pe6_model_188,"(0.006987577639751553, 0.0062402496099844, 0.006630265210608425)"
sampled_2pe6_model_189,"(0.003105590062111801, 0.0031201248049922, 0.0031201248049922)"
sampled_2pe6_model_19,"(0.006211180124223602, 0.00546875, 0.0056640625)"
sampled_2pe6_model_190,"(0.005434782608695652, 0.00546021840873635, 0.00546021840873635)"
sampled_2pe6_model_191,"(0.006211180124223602, 0.0062402496099844, 0.0062402496099844)"
sampled_2pe6_model_192,"(0.0038819875776397515, 0.0039032006245121, 0.0039032006245121)"
sampled_2pe6_model_193,"(0.003105590062111801, 0.0031201248049922, 0.0031201248049922)"
sampled_2pe6_model_194,"(0.004658385093167702, 0.0046801872074883, 0.0046801872074883)"
sampled_2pe6_model_195,"(0.0038819875776397515, 0.0039001560062402497, 0.0039001560062402497)"
sampled_2pe6_model_196,"(0.006987577639751553, 0.0062402496099844, 0.006630265210608425)"
sampled_2pe6_model_197,"(0.006211180124223602, 0.00546021840873635, 0.005850234009360375)"
sampled_2pe6_model_198,"(0.006987577639751553, 0.00703125, 0.00703125)"
sampled_2pe6_model_199,"(0.0038819875776397515, 0.00390625, 0.00390625)"
sampled_2pe6_model_2,"(0.006987577639751553, 0.00703125, 0.00703125)"
sampled_2pe6_model_20,"(0.004658385093167702, 0.0046875, 0.0046875)"
sampled_2pe6_model_200,"(0.013198757763975156, 0.01328125, 0.01328125)"
sampled_2pe6_model_201,"(0.003105590062111801, 0.003125, 0.003125)"
