pdb_file,all_contacts
sampled_2wmp_model_1_2wmp,304
sampled_2wmp_model_10_2wmp,263
sampled_2wmp_model_100_2wmp,432
sampled_2wmp_model_101_2wmp,303
sampled_2wmp_model_102_2wmp,447
sampled_2wmp_model_103_2wmp,478
sampled_2wmp_model_104_2wmp,321
sampled_2wmp_model_105_2wmp,380
sampled_2wmp_model_106_2wmp,261
sampled_2wmp_model_107_2wmp,372
sampled_2wmp_model_108_2wmp,267
sampled_2wmp_model_109_2wmp,361
sampled_2wmp_model_11_2wmp,392
sampled_2wmp_model_110_2wmp,168
sampled_2wmp_model_111_2wmp,255
sampled_2wmp_model_112_2wmp,233
sampled_2wmp_model_113_2wmp,397
sampled_2wmp_model_114_2wmp,374
sampled_2wmp_model_115_2wmp,259
sampled_2wmp_model_116_2wmp,531
sampled_2wmp_model_117_2wmp,101
sampled_2wmp_model_118_2wmp,470
sampled_2wmp_model_119_2wmp,388
sampled_2wmp_model_12_2wmp,260
sampled_2wmp_model_120_2wmp,244
sampled_2wmp_model_121_2wmp,262
sampled_2wmp_model_122_2wmp,539
sampled_2wmp_model_123_2wmp,180
sampled_2wmp_model_124_2wmp,230
sampled_2wmp_model_125_2wmp,391
sampled_2wmp_model_126_2wmp,325
sampled_2wmp_model_127_2wmp,300
sampled_2wmp_model_128_2wmp,296
sampled_2wmp_model_129_2wmp,265
sampled_2wmp_model_13_2wmp,372
sampled_2wmp_model_130_2wmp,356
sampled_2wmp_model_131_2wmp,325
sampled_2wmp_model_132_2wmp,292
sampled_2wmp_model_133_2wmp,343
sampled_2wmp_model_134_2wmp,219
sampled_2wmp_model_135_2wmp,276
sampled_2wmp_model_136_2wmp,353
sampled_2wmp_model_137_2wmp,349
sampled_2wmp_model_138_2wmp,511
sampled_2wmp_model_139_2wmp,357
sampled_2wmp_model_14_2wmp,205
sampled_2wmp_model_140_2wmp,340
sampled_2wmp_model_141_2wmp,419
sampled_2wmp_model_142_2wmp,347
sampled_2wmp_model_143_2wmp,498
sampled_2wmp_model_144_2wmp,408
sampled_2wmp_model_145_2wmp,367
sampled_2wmp_model_146_2wmp,355
sampled_2wmp_model_147_2wmp,347
sampled_2wmp_model_148_2wmp,347
sampled_2wmp_model_149_2wmp,335
sampled_2wmp_model_15_2wmp,147
sampled_2wmp_model_150_2wmp,442
sampled_2wmp_model_151_2wmp,494
sampled_2wmp_model_152_2wmp,443
sampled_2wmp_model_153_2wmp,434
sampled_2wmp_model_154_2wmp,403
sampled_2wmp_model_155_2wmp,158
sampled_2wmp_model_156_2wmp,428
sampled_2wmp_model_157_2wmp,297
sampled_2wmp_model_158_2wmp,474
sampled_2wmp_model_159_2wmp,396
sampled_2wmp_model_16_2wmp,251
sampled_2wmp_model_160_2wmp,280
sampled_2wmp_model_161_2wmp,413
sampled_2wmp_model_162_2wmp,356
sampled_2wmp_model_163_2wmp,533
sampled_2wmp_model_164_2wmp,534
sampled_2wmp_model_165_2wmp,518
sampled_2wmp_model_166_2wmp,316
sampled_2wmp_model_167_2wmp,530
sampled_2wmp_model_168_2wmp,385
sampled_2wmp_model_169_2wmp,643
sampled_2wmp_model_17_2wmp,196
sampled_2wmp_model_170_2wmp,507
sampled_2wmp_model_171_2wmp,337
sampled_2wmp_model_172_2wmp,470
sampled_2wmp_model_173_2wmp,387
sampled_2wmp_model_174_2wmp,344
sampled_2wmp_model_175_2wmp,433
sampled_2wmp_model_176_2wmp,532
sampled_2wmp_model_177_2wmp,431
sampled_2wmp_model_178_2wmp,295
sampled_2wmp_model_179_2wmp,597
sampled_2wmp_model_18_2wmp,419
sampled_2wmp_model_180_2wmp,631
sampled_2wmp_model_181_2wmp,395
sampled_2wmp_model_182_2wmp,266
sampled_2wmp_model_183_2wmp,491
sampled_2wmp_model_184_2wmp,495
sampled_2wmp_model_185_2wmp,500
sampled_2wmp_model_186_2wmp,404
sampled_2wmp_model_187_2wmp,203
sampled_2wmp_model_188_2wmp,488
sampled_2wmp_model_189_2wmp,491
sampled_2wmp_model_19_2wmp,284
sampled_2wmp_model_190_2wmp,239
sampled_2wmp_model_191_2wmp,545
sampled_2wmp_model_192_2wmp,575
sampled_2wmp_model_193_2wmp,489
sampled_2wmp_model_194_2wmp,308
sampled_2wmp_model_195_2wmp,373
sampled_2wmp_model_196_2wmp,620
sampled_2wmp_model_197_2wmp,482
sampled_2wmp_model_198_2wmp,594
sampled_2wmp_model_199_2wmp,755
sampled_2wmp_model_2_2wmp,313
sampled_2wmp_model_20_2wmp,245
sampled_2wmp_model_200_2wmp,365
sampled_2wmp_model_201_2wmp,422
sampled_2wmp_model_202_2wmp,487
sampled_2wmp_model_203_2wmp,606
sampled_2wmp_model_204_2wmp,485
sampled_2wmp_model_205_2wmp,287
sampled_2wmp_model_206_2wmp,282
sampled_2wmp_model_207_2wmp,522
sampled_2wmp_model_208_2wmp,408
sampled_2wmp_model_209_2wmp,442
sampled_2wmp_model_21_2wmp,358
sampled_2wmp_model_210_2wmp,445
sampled_2wmp_model_211_2wmp,478
sampled_2wmp_model_212_2wmp,536
sampled_2wmp_model_213_2wmp,539
sampled_2wmp_model_214_2wmp,236
sampled_2wmp_model_215_2wmp,327
sampled_2wmp_model_216_2wmp,511
sampled_2wmp_model_217_2wmp,300
sampled_2wmp_model_218_2wmp,274
sampled_2wmp_model_219_2wmp,575
sampled_2wmp_model_22_2wmp,308
