pdb_file,all_contacts
relaxed_3k9p_model_1_corrected_H_0001_3k9p,162
relaxed_3k9p_model_10_corrected_H_0001_3k9p,201
relaxed_3k9p_model_100_corrected_H_0001_3k9p,125
relaxed_3k9p_model_101_corrected_H_0001_3k9p,173
relaxed_3k9p_model_102_corrected_H_0001_3k9p,240
relaxed_3k9p_model_103_corrected_H_0001_3k9p,150
relaxed_3k9p_model_104_corrected_H_0001_3k9p,101
relaxed_3k9p_model_105_corrected_H_0001_3k9p,245
relaxed_3k9p_model_106_corrected_H_0001_3k9p,208
relaxed_3k9p_model_107_corrected_H_0001_3k9p,268
relaxed_3k9p_model_108_corrected_H_0001_3k9p,202
relaxed_3k9p_model_109_corrected_H_0001_3k9p,143
relaxed_3k9p_model_11_corrected_H_0001_3k9p,138
relaxed_3k9p_model_110_corrected_H_0001_3k9p,253
relaxed_3k9p_model_111_corrected_H_0001_3k9p,235
relaxed_3k9p_model_112_corrected_H_0001_3k9p,95
relaxed_3k9p_model_113_corrected_H_0001_3k9p,135
relaxed_3k9p_model_114_corrected_H_0001_3k9p,237
relaxed_3k9p_model_115_corrected_H_0001_3k9p,156
relaxed_3k9p_model_116_corrected_H_0001_3k9p,175
relaxed_3k9p_model_117_corrected_H_0001_3k9p,289
relaxed_3k9p_model_118_corrected_H_0001_3k9p,238
relaxed_3k9p_model_119_corrected_H_0001_3k9p,154
relaxed_3k9p_model_12_corrected_H_0001_3k9p,196
relaxed_3k9p_model_120_corrected_H_0001_3k9p,124
relaxed_3k9p_model_121_corrected_H_0001_3k9p,207
relaxed_3k9p_model_122_corrected_H_0001_3k9p,211
relaxed_3k9p_model_123_corrected_H_0001_3k9p,186
relaxed_3k9p_model_124_corrected_H_0001_3k9p,140
relaxed_3k9p_model_125_corrected_H_0001_3k9p,232
relaxed_3k9p_model_126_corrected_H_0001_3k9p,190
relaxed_3k9p_model_127_corrected_H_0001_3k9p,207
relaxed_3k9p_model_128_corrected_H_0001_3k9p,196
relaxed_3k9p_model_129_corrected_H_0001_3k9p,125
relaxed_3k9p_model_13_corrected_H_0001_3k9p,187
