pdb_file,all_contacts
complex.0_0_10_corrected_H_0001_4uzz,459
complex.0_0_13_corrected_H_0001_4uzz,198
complex.0_0_31_corrected_H_0001_4uzz,162
complex.0_0_33_corrected_H_0001_4uzz,295
complex.0_0_37_corrected_H_0001_4uzz,410
complex.0_0_43_corrected_H_0001_4uzz,439
complex.0_0_45_corrected_H_0001_4uzz,439
complex.0_0_5_corrected_H_0001_4uzz,358
complex.0_0_7_corrected_H_0001_4uzz,379
complex.0_10_11_corrected_H_0001_4uzz,760
complex.0_10_17_corrected_H_0001_4uzz,872
complex.0_10_34_corrected_H_0001_4uzz,726
complex.0_10_49_corrected_H_0001_4uzz,757
complex.0_10_5_corrected_H_0001_4uzz,880
complex.0_10_6_corrected_H_0001_4uzz,704
complex.0_11_0_corrected_H_0001_4uzz,918
complex.0_11_26_corrected_H_0001_4uzz,687
complex.0_11_29_corrected_H_0001_4uzz,968
complex.0_11_2_corrected_H_0001_4uzz,866
complex.0_11_37_corrected_H_0001_4uzz,908
complex.0_12_13_corrected_H_0001_4uzz,1106
complex.0_12_17_corrected_H_0001_4uzz,936
complex.0_12_24_corrected_H_0001_4uzz,1111
complex.0_12_2_corrected_H_0001_4uzz,1042
complex.0_12_31_corrected_H_0001_4uzz,895
complex.0_12_32_corrected_H_0001_4uzz,790
complex.0_13_10_corrected_H_0001_4uzz,1129
complex.0_13_18_corrected_H_0001_4uzz,946
complex.0_13_25_corrected_H_0001_4uzz,1024
complex.0_13_36_corrected_H_0001_4uzz,1036
complex.0_13_44_corrected_H_0001_4uzz,914
complex.0_13_8_corrected_H_0001_4uzz,1006
complex.0_14_45_corrected_H_0001_4uzz,946
complex.0_15_2_corrected_H_0001_4uzz,1033
complex.0_15_33_corrected_H_0001_4uzz,1051
complex.0_15_35_corrected_H_0001_4uzz,998
complex.0_15_3_corrected_H_0001_4uzz,967
complex.0_15_5_corrected_H_0001_4uzz,1045
complex.0_16_16_corrected_H_0001_4uzz,987
complex.0_16_42_corrected_H_0001_4uzz,1149
complex.0_16_5_corrected_H_0001_4uzz,1085
complex.0_17_20_corrected_H_0001_4uzz,1130
complex.0_17_27_corrected_H_0001_4uzz,1100
complex.0_17_39_corrected_H_0001_4uzz,936
complex.0_17_42_corrected_H_0001_4uzz,1115
complex.0_17_44_corrected_H_0001_4uzz,1027
complex.0_18_12_corrected_H_0001_4uzz,1081
complex.0_18_16_corrected_H_0001_4uzz,1060
complex.0_18_4_corrected_H_0001_4uzz,1081
complex.0_1_11_corrected_H_0001_4uzz,561
complex.0_1_20_corrected_H_0001_4uzz,282
complex.0_1_23_corrected_H_0001_4uzz,447
complex.0_1_30_corrected_H_0001_4uzz,359
complex.0_2_14_corrected_H_0001_4uzz,486
complex.0_2_32_corrected_H_0001_4uzz,363
complex.0_2_33_corrected_H_0001_4uzz,575
complex.0_2_46_corrected_H_0001_4uzz,394
complex.0_2_48_corrected_H_0001_4uzz,599
complex.0_3_11_corrected_H_0001_4uzz,553
complex.0_3_1_corrected_H_0001_4uzz,585
complex.0_3_25_corrected_H_0001_4uzz,479
complex.0_3_30_corrected_H_0001_4uzz,362
complex.0_3_34_corrected_H_0001_4uzz,445
complex.0_3_35_corrected_H_0001_4uzz,395
complex.0_3_40_corrected_H_0001_4uzz,593
complex.0_3_49_corrected_H_0001_4uzz,520
complex.0_3_9_corrected_H_0001_4uzz,527
complex.0_4_11_corrected_H_0001_4uzz,484
complex.0_4_15_corrected_H_0001_4uzz,386
complex.0_4_18_corrected_H_0001_4uzz,534
complex.0_4_35_corrected_H_0001_4uzz,498
complex.0_4_46_corrected_H_0001_4uzz,522
complex.0_4_4_corrected_H_0001_4uzz,463
complex.0_4_8_corrected_H_0001_4uzz,569
complex.0_5_15_corrected_H_0001_4uzz,633
complex.0_5_19_corrected_H_0001_4uzz,665
complex.0_5_26_corrected_H_0001_4uzz,552
complex.0_5_27_corrected_H_0001_4uzz,446
complex.0_5_2_corrected_H_0001_4uzz,502
complex.0_5_30_corrected_H_0001_4uzz,675
complex.0_5_32_corrected_H_0001_4uzz,499
complex.0_6_16_corrected_H_0001_4uzz,626
complex.0_6_25_corrected_H_0001_4uzz,624
complex.0_6_30_corrected_H_0001_4uzz,531
complex.0_6_35_corrected_H_0001_4uzz,771
complex.0_6_36_corrected_H_0001_4uzz,798
complex.0_6_40_corrected_H_0001_4uzz,583
complex.0_6_46_corrected_H_0001_4uzz,531
complex.0_7_10_corrected_H_0001_4uzz,700
complex.0_7_11_corrected_H_0001_4uzz,552
complex.0_7_23_corrected_H_0001_4uzz,793
complex.0_7_24_corrected_H_0001_4uzz,596
complex.0_7_33_corrected_H_0001_4uzz,754
complex.0_7_42_corrected_H_0001_4uzz,643
complex.0_8_15_corrected_H_0001_4uzz,681
complex.0_8_18_corrected_H_0001_4uzz,835
complex.0_8_22_corrected_H_0001_4uzz,665
complex.0_8_3_corrected_H_0001_4uzz,618
complex.0_9_16_corrected_H_0001_4uzz,669
complex.0_9_29_corrected_H_0001_4uzz,766
complex.0_9_40_corrected_H_0001_4uzz,625
