pdb_file,score,weighted_avg,avg,standard_dev
sampled_2hsm_model_1,4993437.392857144,624179.674107143,1837270.0,0.0
sampled_2hsm_model_10,4511351.600000001,751891.9333333335,1841368.0,0.0
sampled_2hsm_model_100,5369302.592063493,536930.2592063493,1833172.0,0.0
sampled_2hsm_model_101,4993437.392857144,624179.674107143,1837270.0,0.0
sampled_2hsm_model_102,4497964.8,749660.7999999999,1835904.0,0.0
sampled_2hsm_model_103,4501311.500000001,750218.5833333335,1837270.0,0.0
sampled_2hsm_model_104,4997149.985714285,624643.7482142856,1838636.0,0.0
sampled_2hsm_model_105,5008287.764285714,626035.9705357143,1842734.0,0.0
sampled_2hsm_model_106,4997149.985714285,624643.7482142856,1838636.0,0.0
sampled_2hsm_model_107,4501311.500000001,750218.5833333335,1837270.0,0.0
sampled_2hsm_model_108,4993437.392857144,624179.674107143,1837270.0,0.0
sampled_2hsm_model_109,5201442.874603174,577938.0971781304,1838636.0,0.0
sampled_2hsm_model_11,5008287.764285714,626035.9705357143,1842734.0,0.0
sampled_2hsm_model_110,4997149.985714285,624643.7482142856,1838636.0,0.0
sampled_2hsm_model_111,4508004.9,751334.15,1840002.0,0.0
sampled_2hsm_model_112,5369302.592063493,536930.2592063493,1833172.0,0.0
sampled_2hsm_model_113,5201442.874603174,577938.0971781304,1838636.0,0.0
sampled_2hsm_model_114,4997149.985714285,624643.7482142856,1838636.0,0.0
sampled_2hsm_model_115,4508004.9,751334.15,1840002.0,0.0
sampled_2hsm_model_116,5000862.578571429,625107.8223214286,1840002.0,0.0
sampled_2hsm_model_117,4508004.9,751334.15,1840002.0,0.0
sampled_2hsm_model_118,4993437.392857144,624179.674107143,1837270.0,0.0
sampled_2hsm_model_119,4997149.985714285,624643.7482142856,1838636.0,0.0
sampled_2hsm_model_12,5201442.874603174,577938.0971781304,1838636.0,0.0
sampled_2hsm_model_120,4511351.600000001,751891.9333333335,1841368.0,0.0
sampled_2hsm_model_121,4504658.199999999,750776.3666666666,1838636.0,0.0
sampled_2hsm_model_122,4993437.392857144,624179.674107143,1837270.0,0.0
sampled_2hsm_model_123,4501311.500000001,750218.5833333335,1837270.0,0.0
sampled_2hsm_model_124,4504658.199999999,750776.3666666666,1838636.0,0.0
sampled_2hsm_model_125,4504658.199999999,750776.3666666666,1838636.0,0.0
sampled_2hsm_model_126,4993437.392857144,624179.674107143,1837270.0,0.0
sampled_2hsm_model_127,4989724.8,623715.6,1835904.0,0.0
sampled_2hsm_model_128,5000862.578571429,625107.8223214286,1840002.0,0.0
sampled_2hsm_model_129,5201442.874603174,577938.0971781304,1838636.0,0.0
sampled_2hsm_model_13,4504658.199999999,750776.3666666666,1838636.0,0.0
sampled_2hsm_model_130,4508004.9,751334.15,1840002.0,0.0
sampled_2hsm_model_131,4487924.7,747987.4500000001,1831806.0,0.0
sampled_2hsm_model_132,4511351.600000001,751891.9333333335,1841368.0,0.0
sampled_2hsm_model_133,5004575.171428572,625571.8964285715,1841368.0,0.0
sampled_2hsm_model_134,5197578.503968255,577508.7226631395,1837270.0,0.0
sampled_2hsm_model_135,4989724.8,623715.6,1835904.0,0.0
sampled_2hsm_model_136,4508004.9,751334.15,1840002.0,0.0
sampled_2hsm_model_137,5000862.578571429,625107.8223214286,1840002.0,0.0
sampled_2hsm_model_138,5201442.874603174,577938.0971781304,1838636.0,0.0
sampled_2hsm_model_139,4511351.600000001,751891.9333333335,1841368.0,0.0
sampled_2hsm_model_14,4989724.8,623715.6,1835904.0,0.0
