pdb_file,bsa
sampled_2dvw_model_1,778.2648968512513
sampled_2dvw_model_10,1560.9391147254428
sampled_2dvw_model_100,1466.413196848609
sampled_2dvw_model_101,1234.172197245296
sampled_2dvw_model_102,1940.7899699944865
sampled_2dvw_model_103,1063.65141514901
sampled_2dvw_model_104,975.4057482713779
sampled_2dvw_model_105,1342.6669338187821
sampled_2dvw_model_106,1143.1494849124774
sampled_2dvw_model_107,1223.9989590959813
sampled_2dvw_model_108,828.2934060943317
sampled_2dvw_model_109,895.1547095840342
sampled_2dvw_model_11,733.5639753877458
sampled_2dvw_model_110,649.8012517275747
sampled_2dvw_model_111,1233.1652071236986
sampled_2dvw_model_112,951.9011022649483
sampled_2dvw_model_113,1325.5536802569932
sampled_2dvw_model_114,1104.0310970218652
sampled_2dvw_model_115,1172.3362887360054
sampled_2dvw_model_116,1080.8580698098613
sampled_2dvw_model_117,1244.7371773717896
sampled_2dvw_model_118,1378.54216359593
sampled_2dvw_model_119,2253.826271330856
sampled_2dvw_model_12,943.8457668144747
sampled_2dvw_model_120,626.5572156060844
sampled_2dvw_model_121,1430.0013718128084
sampled_2dvw_model_122,1802.1102067263218
sampled_2dvw_model_123,1098.60392249705
sampled_2dvw_model_124,1370.411242634189
sampled_2dvw_model_125,1614.9376168948002
sampled_2dvw_model_126,813.5235744943566
sampled_2dvw_model_127,820.4107172518288
sampled_2dvw_model_128,1166.663177384131
sampled_2dvw_model_129,1365.0667454634095
sampled_2dvw_model_13,1004.8946106178391
sampled_2dvw_model_130,1259.662236789456
sampled_2dvw_model_131,1132.5662478730028
sampled_2dvw_model_132,1533.5112377876485
sampled_2dvw_model_133,1481.5888243551544
sampled_2dvw_model_134,1497.6430602469518
sampled_2dvw_model_135,1117.7702918760424
sampled_2dvw_model_136,1572.9855431369506
sampled_2dvw_model_137,1179.6389838004616
sampled_2dvw_model_138,1178.1755367719925
sampled_2dvw_model_139,539.7360339706865
sampled_2dvw_model_14,705.0496075193569
sampled_2dvw_model_140,1282.862807870726
sampled_2dvw_model_141,1146.978810965098
sampled_2dvw_model_142,942.0337868952683
sampled_2dvw_model_143,1598.5103483872408
sampled_2dvw_model_144,1457.9074044197132
sampled_2dvw_model_145,1307.9411819990455
sampled_2dvw_model_146,1472.4325167496754
sampled_2dvw_model_147,638.712440758869
sampled_2dvw_model_148,1215.948960609474
sampled_2dvw_model_149,1313.976415773608
sampled_2dvw_model_15,827.3926801461967
sampled_2dvw_model_150,1709.6139758893405
sampled_2dvw_model_151,1194.9224583718878
sampled_2dvw_model_152,1072.3661054696076
sampled_2dvw_model_153,1881.5361551897477
sampled_2dvw_model_154,1317.0675257664516
sampled_2dvw_model_155,1995.5191727744932
sampled_2dvw_model_156,689.3170359921205
sampled_2dvw_model_157,1069.512782787804
sampled_2dvw_model_158,934.9977020554688
sampled_2dvw_model_159,1865.5629904421949
sampled_2dvw_model_16,1352.4861834533604
sampled_2dvw_model_160,1261.576189074156
sampled_2dvw_model_161,1248.3722373973578
sampled_2dvw_model_162,997.2082733124298
sampled_2dvw_model_163,1550.511645353541
sampled_2dvw_model_164,1597.673497977361
sampled_2dvw_model_165,649.0982070441987
sampled_2dvw_model_166,1264.813296080887
sampled_2dvw_model_167,912.9169061245411
sampled_2dvw_model_168,1066.482641032835
sampled_2dvw_model_169,968.1099259901566
sampled_2dvw_model_17,634.0481221225818
sampled_2dvw_model_170,1839.5267565215436
sampled_2dvw_model_171,1647.717007816289
sampled_2dvw_model_172,1535.5908824323433
sampled_2dvw_model_173,1798.1729424639434
sampled_2dvw_model_174,1156.504915475116
sampled_2dvw_model_175,1018.3587161079358
sampled_2dvw_model_176,1201.8206786624596
sampled_2dvw_model_177,1139.6858628785085
sampled_2dvw_model_178,1111.2386293149702
sampled_2dvw_model_179,1649.7500493044026
sampled_2dvw_model_18,718.2130435954623
sampled_2dvw_model_180,1692.0242252103326
sampled_2dvw_model_181,1506.9862400083002
sampled_2dvw_model_182,1698.527518222667
sampled_2dvw_model_183,1533.3938846460042
sampled_2dvw_model_184,1285.989384149978
sampled_2dvw_model_185,1141.065573259868
sampled_2dvw_model_186,1135.277773628939
sampled_2dvw_model_187,1705.6101159301143
sampled_2dvw_model_188,988.083703732209
sampled_2dvw_model_189,990.5970319842891
sampled_2dvw_model_19,1194.786749370176
sampled_2dvw_model_190,937.1932317248466
sampled_2dvw_model_191,1446.8528185055748
sampled_2dvw_model_192,1022.0554276479379
sampled_2dvw_model_193,1993.6828063495323
sampled_2dvw_model_194,943.6182069178558
sampled_2dvw_model_195,1090.3106976460476
sampled_2dvw_model_196,1159.7237875367337
sampled_2dvw_model_197,1247.8714499715752
sampled_2dvw_model_198,1582.358144591186
sampled_2dvw_model_199,1549.4247452411291
sampled_2dvw_model_2,984.0419287495606
sampled_2dvw_model_20,1097.7725667939303
sampled_2dvw_model_200,1818.0331429724356
sampled_2dvw_model_201,1445.2677368118239
sampled_2dvw_model_202,1459.6686469225097
sampled_2dvw_model_203,1168.913288658412
sampled_2dvw_model_204,1097.3896275868847
sampled_2dvw_model_205,1155.7204415479464
sampled_2dvw_model_206,1976.9329623914018
sampled_2dvw_model_207,1117.3638794992257
sampled_2dvw_model_208,1671.3443764498188
sampled_2dvw_model_209,1383.4089544182916
sampled_2dvw_model_21,1035.8146012827492
sampled_2dvw_model_210,917.8656021511833
sampled_2dvw_model_211,1543.0791747023795
sampled_2dvw_model_212,1164.2424205539883
sampled_2dvw_model_213,1803.370205492176
sampled_2dvw_model_214,1300.4945760189057
sampled_2dvw_model_215,1208.252372851699
sampled_2dvw_model_216,1465.3949687113527
sampled_2dvw_model_217,1928.6653974127312
sampled_2dvw_model_218,1131.1383256471381
sampled_2dvw_model_219,1076.6834416333186
sampled_2dvw_model_22,1003.1004810224567
sampled_2dvw_model_220,1491.2107706146817
sampled_2dvw_model_221,1483.1505492163742
sampled_2dvw_model_222,931.915648270242
sampled_2dvw_model_223,954.1056097148576
sampled_2dvw_model_224,1913.4812699116246
sampled_2dvw_model_225,1213.5887980189564
sampled_2dvw_model_226,2039.1436502981833
sampled_2dvw_model_227,1310.0652966759626
sampled_2dvw_model_228,1343.7338894142758
sampled_2dvw_model_229,1249.0521936859186
sampled_2dvw_model_23,947.6921465895975
sampled_2dvw_model_230,958.5847201857359
sampled_2dvw_model_231,1662.062482402951
sampled_2dvw_model_232,1275.6472685517365
sampled_2dvw_model_233,1617.0953175853192
sampled_2dvw_model_234,1035.7180653648502
sampled_2dvw_model_235,1172.483166946211
sampled_2dvw_model_236,931.5640501876896
sampled_2dvw_model_237,2086.9218578927284
sampled_2dvw_model_238,1781.8355715374
sampled_2dvw_model_239,1842.7756520703897
sampled_2dvw_model_24,1445.6579905303643
sampled_2dvw_model_240,939.7330228264273
sampled_2dvw_model_241,1562.0833311024344
sampled_2dvw_model_242,1825.0429017558254
sampled_2dvw_model_243,1032.6448019815216
sampled_2dvw_model_244,1519.2115815213929
sampled_2dvw_model_245,1119.975337906404
sampled_2dvw_model_246,1481.6555751174565
sampled_2dvw_model_247,1982.044897575799
sampled_2dvw_model_248,1631.1526667078979
sampled_2dvw_model_249,999.0067024110904
sampled_2dvw_model_25,831.8464275883744
sampled_2dvw_model_250,1007.1582620378031
sampled_2dvw_model_251,1592.7194130437983
sampled_2dvw_model_252,1665.7856342157556
sampled_2dvw_model_253,1400.4477552799763
sampled_2dvw_model_254,1651.718711742773
sampled_2dvw_model_255,1269.1510320638135
sampled_2dvw_model_256,1356.0580990984945
sampled_2dvw_model_257,2135.503150939405
sampled_2dvw_model_258,1084.8674419238087
sampled_2dvw_model_259,1266.314606373462
sampled_2dvw_model_26,984.3572914529086
sampled_2dvw_model_260,1616.8365551302377
sampled_2dvw_model_261,1058.3991630068194
sampled_2dvw_model_262,2128.030212387899
sampled_2dvw_model_263,1606.678331628962
sampled_2dvw_model_264,1392.0559362294498
sampled_2dvw_model_265,1989.8903115358298
sampled_2dvw_model_266,1344.224359082089
sampled_2dvw_model_267,1406.0811392411288
sampled_2dvw_model_268,2046.2083987475453
sampled_2dvw_model_269,1346.706224260628
