pdb_file,all_contacts
relaxed_1kfu_model_1_corrected_H_0001_1kfu,406
relaxed_1kfu_model_10_corrected_H_0001_1kfu,267
relaxed_1kfu_model_100_corrected_H_0001_1kfu,414
relaxed_1kfu_model_101_corrected_H_0001_1kfu,602
relaxed_1kfu_model_102_corrected_H_0001_1kfu,366
relaxed_1kfu_model_103_corrected_H_0001_1kfu,522
relaxed_1kfu_model_104_corrected_H_0001_1kfu,659
relaxed_1kfu_model_105_corrected_H_0001_1kfu,378
relaxed_1kfu_model_106_corrected_H_0001_1kfu,486
relaxed_1kfu_model_107_corrected_H_0001_1kfu,467
relaxed_1kfu_model_108_corrected_H_0001_1kfu,423
relaxed_1kfu_model_109_corrected_H_0001_1kfu,356
relaxed_1kfu_model_11_corrected_H_0001_1kfu,338
relaxed_1kfu_model_110_corrected_H_0001_1kfu,576
relaxed_1kfu_model_111_corrected_H_0001_1kfu,371
relaxed_1kfu_model_112_corrected_H_0001_1kfu,773
relaxed_1kfu_model_113_corrected_H_0001_1kfu,585
relaxed_1kfu_model_114_corrected_H_0001_1kfu,293
relaxed_1kfu_model_115_corrected_H_0001_1kfu,694
relaxed_1kfu_model_116_corrected_H_0001_1kfu,677
relaxed_1kfu_model_117_corrected_H_0001_1kfu,457
relaxed_1kfu_model_118_corrected_H_0001_1kfu,628
relaxed_1kfu_model_119_corrected_H_0001_1kfu,776
relaxed_1kfu_model_12_corrected_H_0001_1kfu,316
relaxed_1kfu_model_120_corrected_H_0001_1kfu,741
relaxed_1kfu_model_121_corrected_H_0001_1kfu,809
relaxed_1kfu_model_122_corrected_H_0001_1kfu,723
relaxed_1kfu_model_123_corrected_H_0001_1kfu,783
relaxed_1kfu_model_124_corrected_H_0001_1kfu,411
relaxed_1kfu_model_125_corrected_H_0001_1kfu,493
relaxed_1kfu_model_126_corrected_H_0001_1kfu,353
relaxed_1kfu_model_127_corrected_H_0001_1kfu,588
relaxed_1kfu_model_128_corrected_H_0001_1kfu,838
relaxed_1kfu_model_129_corrected_H_0001_1kfu,487
