pdb_file,hydrophobicity_contacts
sampled_1kfu_model_1_1kfu,20
sampled_1kfu_model_10_1kfu,20
sampled_1kfu_model_100_1kfu,36
sampled_1kfu_model_101_1kfu,44
sampled_1kfu_model_102_1kfu,36
sampled_1kfu_model_103_1kfu,28
sampled_1kfu_model_104_1kfu,38
sampled_1kfu_model_105_1kfu,34
sampled_1kfu_model_106_1kfu,36
sampled_1kfu_model_107_1kfu,36
sampled_1kfu_model_108_1kfu,42
sampled_1kfu_model_109_1kfu,29
sampled_1kfu_model_11_1kfu,24
sampled_1kfu_model_110_1kfu,46
sampled_1kfu_model_111_1kfu,21
sampled_1kfu_model_112_1kfu,54
sampled_1kfu_model_113_1kfu,44
sampled_1kfu_model_114_1kfu,22
sampled_1kfu_model_115_1kfu,53
sampled_1kfu_model_116_1kfu,46
sampled_1kfu_model_117_1kfu,25
sampled_1kfu_model_118_1kfu,48
sampled_1kfu_model_119_1kfu,56
sampled_1kfu_model_12_1kfu,17
sampled_1kfu_model_120_1kfu,61
sampled_1kfu_model_121_1kfu,58
sampled_1kfu_model_122_1kfu,47
sampled_1kfu_model_123_1kfu,58
sampled_1kfu_model_124_1kfu,33
sampled_1kfu_model_125_1kfu,38
sampled_1kfu_model_126_1kfu,24
sampled_1kfu_model_127_1kfu,42
sampled_1kfu_model_128_1kfu,58
sampled_1kfu_model_129_1kfu,29
sampled_1kfu_model_13_1kfu,8
sampled_1kfu_model_130_1kfu,45
sampled_1kfu_model_131_1kfu,57
sampled_1kfu_model_132_1kfu,42
sampled_1kfu_model_133_1kfu,33
sampled_1kfu_model_134_1kfu,55
sampled_1kfu_model_135_1kfu,20
sampled_1kfu_model_136_1kfu,47
sampled_1kfu_model_137_1kfu,43
sampled_1kfu_model_138_1kfu,35
sampled_1kfu_model_139_1kfu,43
sampled_1kfu_model_14_1kfu,24
sampled_1kfu_model_140_1kfu,65
sampled_1kfu_model_141_1kfu,36
sampled_1kfu_model_142_1kfu,29
sampled_1kfu_model_143_1kfu,23
sampled_1kfu_model_144_1kfu,49
sampled_1kfu_model_145_1kfu,29
sampled_1kfu_model_146_1kfu,39
sampled_1kfu_model_147_1kfu,49
sampled_1kfu_model_148_1kfu,50
sampled_1kfu_model_149_1kfu,27
sampled_1kfu_model_15_1kfu,29
sampled_1kfu_model_150_1kfu,73
sampled_1kfu_model_151_1kfu,58
sampled_1kfu_model_152_1kfu,46
sampled_1kfu_model_153_1kfu,21
sampled_1kfu_model_154_1kfu,74
sampled_1kfu_model_155_1kfu,37
sampled_1kfu_model_156_1kfu,60
sampled_1kfu_model_157_1kfu,75
sampled_1kfu_model_158_1kfu,35
sampled_1kfu_model_159_1kfu,62
sampled_1kfu_model_16_1kfu,25
sampled_1kfu_model_160_1kfu,80
sampled_1kfu_model_161_1kfu,46
sampled_1kfu_model_162_1kfu,51
sampled_1kfu_model_163_1kfu,63
sampled_1kfu_model_164_1kfu,64
sampled_1kfu_model_165_1kfu,56
sampled_1kfu_model_166_1kfu,58
sampled_1kfu_model_167_1kfu,37
sampled_1kfu_model_168_1kfu,75
sampled_1kfu_model_169_1kfu,52
sampled_1kfu_model_17_1kfu,25
sampled_1kfu_model_170_1kfu,62
sampled_1kfu_model_171_1kfu,65
sampled_1kfu_model_172_1kfu,58
sampled_1kfu_model_173_1kfu,67
sampled_1kfu_model_174_1kfu,64
sampled_1kfu_model_175_1kfu,51
sampled_1kfu_model_176_1kfu,51
sampled_1kfu_model_177_1kfu,30
sampled_1kfu_model_178_1kfu,60
