pdb_file,all_contacts
complex.0_0_15_corrected_H_0001_5zrz,171
complex.0_0_17_corrected_H_0001_5zrz,121
complex.0_0_30_corrected_H_0001_5zrz,197
complex.0_0_5_corrected_H_0001_5zrz,246
complex.0_10_22_corrected_H_0001_5zrz,192
complex.0_10_42_corrected_H_0001_5zrz,194
complex.0_10_5_corrected_H_0001_5zrz,135
complex.0_11_19_corrected_H_0001_5zrz,163
complex.0_11_21_corrected_H_0001_5zrz,169
complex.0_11_35_corrected_H_0001_5zrz,158
complex.0_11_40_corrected_H_0001_5zrz,157
complex.0_11_46_corrected_H_0001_5zrz,176
complex.0_12_0_corrected_H_0001_5zrz,233
complex.0_12_25_corrected_H_0001_5zrz,134
complex.0_12_37_corrected_H_0001_5zrz,167
complex.0_12_42_corrected_H_0001_5zrz,231
complex.0_12_45_corrected_H_0001_5zrz,193
complex.0_12_46_corrected_H_0001_5zrz,154
complex.0_12_49_corrected_H_0001_5zrz,175
complex.0_13_11_corrected_H_0001_5zrz,162
complex.0_13_20_corrected_H_0001_5zrz,184
complex.0_13_28_corrected_H_0001_5zrz,169
complex.0_13_37_corrected_H_0001_5zrz,159
complex.0_13_43_corrected_H_0001_5zrz,222
complex.0_13_47_corrected_H_0001_5zrz,221
complex.0_13_7_corrected_H_0001_5zrz,123
complex.0_14_14_corrected_H_0001_5zrz,224
complex.0_14_17_corrected_H_0001_5zrz,201
complex.0_14_23_corrected_H_0001_5zrz,179
complex.0_14_29_corrected_H_0001_5zrz,217
complex.0_14_37_corrected_H_0001_5zrz,186
complex.0_14_45_corrected_H_0001_5zrz,184
complex.0_14_8_corrected_H_0001_5zrz,218
complex.0_15_17_corrected_H_0001_5zrz,221
complex.0_15_2_corrected_H_0001_5zrz,207
complex.0_15_43_corrected_H_0001_5zrz,212
complex.0_15_47_corrected_H_0001_5zrz,253
complex.0_15_9_corrected_H_0001_5zrz,183
complex.0_16_15_corrected_H_0001_5zrz,195
complex.0_16_25_corrected_H_0001_5zrz,253
complex.0_16_36_corrected_H_0001_5zrz,208
complex.0_16_39_corrected_H_0001_5zrz,232
complex.0_16_41_corrected_H_0001_5zrz,201
complex.0_16_6_corrected_H_0001_5zrz,203
complex.0_17_28_corrected_H_0001_5zrz,257
complex.0_17_44_corrected_H_0001_5zrz,223
complex.0_18_0_corrected_H_0001_5zrz,252
complex.0_18_11_corrected_H_0001_5zrz,253
complex.0_18_25_corrected_H_0001_5zrz,206
complex.0_18_30_corrected_H_0001_5zrz,236
complex.0_18_35_corrected_H_0001_5zrz,244
complex.0_19_7_corrected_H_0001_5zrz,200
complex.0_19_8_corrected_H_0001_5zrz,234
complex.0_1_11_corrected_H_0001_5zrz,148
complex.0_1_24_corrected_H_0001_5zrz,161
complex.0_1_28_corrected_H_0001_5zrz,149
complex.0_1_34_corrected_H_0001_5zrz,202
complex.0_2_12_corrected_H_0001_5zrz,156
complex.0_2_20_corrected_H_0001_5zrz,152
complex.0_2_26_corrected_H_0001_5zrz,124
complex.0_2_31_corrected_H_0001_5zrz,117
complex.0_3_21_corrected_H_0001_5zrz,145
complex.0_3_33_corrected_H_0001_5zrz,183
complex.0_3_46_corrected_H_0001_5zrz,127
complex.0_5_34_corrected_H_0001_5zrz,129
complex.0_6_10_corrected_H_0001_5zrz,191
complex.0_6_12_corrected_H_0001_5zrz,171
complex.0_6_14_corrected_H_0001_5zrz,158
complex.0_6_16_corrected_H_0001_5zrz,187
complex.0_6_18_corrected_H_0001_5zrz,90
complex.0_6_20_corrected_H_0001_5zrz,134
complex.0_6_23_corrected_H_0001_5zrz,178
