pdb_file,patch_alignment_score,chain_patch_consistency_score,avg_patch_score
complex.0_0_24_corrected_H_0001_4h5s,0.3963011889035667,0.4054054054054054,0.4054054054054054
complex.0_0_25_corrected_H_0001_4h5s,1.1889035667107,1.0810810810810811,1.097972972972973
complex.0_0_26_corrected_H_0001_4h5s,1.056803170409511,0.5405405405405406,0.5743243243243243
complex.0_0_34_corrected_H_0001_4h5s,0.9247027741083224,0.945945945945946,0.945945945945946
complex.0_0_36_corrected_H_0001_4h5s,0.9247027741083224,0.945945945945946,0.945945945945946
complex.0_0_40_corrected_H_0001_4h5s,0.9247027741083224,0.4048582995951417,0.4385964912280701
complex.0_0_47_corrected_H_0001_4h5s,0.7926023778071334,0.6756756756756757,0.7094594594594595
complex.0_10_0_corrected_H_0001_4h5s,1.5852047556142668,1.6194331983805668,1.6194331983805668
complex.0_10_16_corrected_H_0001_4h5s,1.056803170409511,1.0810810810810811,1.0810810810810811
complex.0_10_21_corrected_H_0001_4h5s,1.5852047556142668,1.3550135501355014,1.456639566395664
complex.0_10_22_corrected_H_0001_4h5s,1.8494055482166447,1.891891891891892,1.891891891891892
complex.0_10_36_corrected_H_0001_4h5s,1.5852047556142668,1.4884979702300407,1.5223274695534508
complex.0_10_7_corrected_H_0001_4h5s,0.9247027741083224,0.8108108108108109,0.8445945945945946
complex.0_11_19_corrected_H_0001_4h5s,1.321003963011889,1.351351351351351,1.351351351351351
complex.0_11_39_corrected_H_0001_4h5s,1.321003963011889,1.2162162162162162,1.25
complex.0_11_4_corrected_H_0001_4h5s,1.5852047556142668,1.4864864864864866,1.5202702702702704
complex.0_11_7_corrected_H_0001_4h5s,1.717305151915456,1.7567567567567568,1.7567567567567568
complex.0_12_11_corrected_H_0001_4h5s,1.5852047556142668,1.349527665317139,1.4507422402159245
complex.0_12_17_corrected_H_0001_4h5s,1.5852047556142668,1.4864864864864866,1.5202702702702704
complex.0_12_22_corrected_H_0001_4h5s,1.321003963011889,1.2162162162162162,1.25
complex.0_12_30_corrected_H_0001_4h5s,1.453104359313078,1.351351351351351,1.3851351351351353
complex.0_12_33_corrected_H_0001_4h5s,1.5852047556142668,1.3550135501355014,1.456639566395664
complex.0_12_36_corrected_H_0001_4h5s,1.453104359313078,1.3531799729364005,1.3870094722598103
complex.0_12_3_corrected_H_0001_4h5s,1.321003963011889,1.2178619756427604,1.2516914749661705
complex.0_13_26_corrected_H_0001_4h5s,1.453104359313078,1.349527665317139,1.3832658569500675
complex.0_13_30_corrected_H_0001_4h5s,1.453104359313078,1.351351351351351,1.3851351351351353
complex.0_13_31_corrected_H_0001_4h5s,1.453104359313078,1.351351351351351,1.3851351351351353
complex.0_13_39_corrected_H_0001_4h5s,1.5852047556142668,1.351351351351351,1.4527027027027029
complex.0_13_47_corrected_H_0001_4h5s,1.453104359313078,1.351351351351351,1.3851351351351353
complex.0_14_14_corrected_H_0001_4h5s,1.717305151915456,1.4864864864864866,1.587837837837838
complex.0_14_22_corrected_H_0001_4h5s,1.1889035667107,1.2162162162162162,1.2162162162162162
complex.0_14_49_corrected_H_0001_4h5s,1.5852047556142668,1.4864864864864866,1.5202702702702704
complex.0_15_27_corrected_H_0001_4h5s,1.321003963011889,1.351351351351351,1.351351351351351
complex.0_15_29_corrected_H_0001_4h5s,1.321003963011889,1.2162162162162162,1.25
complex.0_15_2_corrected_H_0001_4h5s,1.453104359313078,1.484480431848853,1.484480431848853
complex.0_15_48_corrected_H_0001_4h5s,1.717305151915456,1.4864864864864866,1.587837837837838
complex.0_16_25_corrected_H_0001_4h5s,1.5852047556142668,1.351351351351351,1.4527027027027029
complex.0_16_26_corrected_H_0001_4h5s,1.453104359313078,1.351351351351351,1.3851351351351353
complex.0_16_2_corrected_H_0001_4h5s,1.453104359313078,1.351351351351351,1.3851351351351353
complex.0_16_32_corrected_H_0001_4h5s,1.5852047556142668,1.4864864864864866,1.5202702702702704
complex.0_16_9_corrected_H_0001_4h5s,1.453104359313078,1.351351351351351,1.3851351351351353
complex.0_17_0_corrected_H_0001_4h5s,1.5852047556142668,1.4864864864864866,1.5202702702702704
complex.0_17_16_corrected_H_0001_4h5s,1.717305151915456,1.6238159675236803,1.6576454668470908
complex.0_17_22_corrected_H_0001_4h5s,1.453104359313078,1.2162162162162162,1.3175675675675675
complex.0_18_10_corrected_H_0001_4h5s,1.5852047556142668,1.4864864864864866,1.5202702702702704
complex.0_18_19_corrected_H_0001_4h5s,1.8494055482166447,1.7591339648173208,1.7929634641407306
complex.0_18_28_corrected_H_0001_4h5s,1.717305151915456,1.6216216216216215,1.6554054054054057
complex.0_18_34_corrected_H_0001_4h5s,1.717305151915456,1.6194331983805668,1.6531713900134952
complex.0_18_5_corrected_H_0001_4h5s,1.5852047556142668,1.4864864864864866,1.5202702702702704
complex.0_1_0_corrected_H_0001_4h5s,1.056803170409511,0.9446693657219972,0.9784075573549258
complex.0_1_34_corrected_H_0001_4h5s,1.056803170409511,1.0810810810810811,1.0810810810810811
complex.0_1_3_corrected_H_0001_4h5s,1.1889035667107,1.0810810810810811,1.148648648648649
complex.0_1_40_corrected_H_0001_4h5s,1.453104359313078,1.4864864864864866,1.4864864864864866
complex.0_1_45_corrected_H_0001_4h5s,0.5284015852047557,0.5405405405405406,0.5405405405405406
complex.0_1_48_corrected_H_0001_4h5s,0.5284015852047557,0.5405405405405406,0.5405405405405406
complex.0_1_7_corrected_H_0001_4h5s,0.7926023778071334,0.8108108108108109,0.8108108108108109
complex.0_2_24_corrected_H_0001_4h5s,1.5852047556142668,1.351351351351351,1.4527027027027029
complex.0_2_36_corrected_H_0001_4h5s,0.9247027741083224,0.9446693657219972,0.9446693657219972
complex.0_2_7_corrected_H_0001_4h5s,0.6605019815059445,0.6756756756756757,0.6756756756756757
complex.0_3_19_corrected_H_0001_4h5s,0.9247027741083224,0.8108108108108109,0.8277027027027027
