pdb_file,patch_alignment_score,chain_patch_consistency_score,avg_patch_score
complex.0_0_11_corrected_H_0001,"(0.009620826259196379, 0.005166475315729047, 0.0054535017221584384)"
complex.0_0_12_corrected_H_0001,"(0.003961516694963215, 0.004043905257076834, 0.004043905257076834)"
complex.0_0_23_corrected_H_0001,"(0.0050933786078098476, 0.002875215641173088, 0.0033726735854395433)"
complex.0_0_47_corrected_H_0001,"(0.006791171477079796, 0.004618937644341801, 0.004897998460354119)"
complex.0_0_48_corrected_H_0001,"(0.006791171477079796, 0.0063254744105807935, 0.006612995974698103)"
complex.0_0_4_corrected_H_0001,"(0.006791171477079796, 0.006347374495095211, 0.006635891517599538)"
complex.0_10_11_corrected_H_0001,"(0.006791171477079796, 0.00632183908045977, 0.006513409961685824)"
complex.0_10_28_corrected_H_0001,"(0.008488964346349746, 0.008078476630121177, 0.00827082131179073)"
complex.0_10_41_corrected_H_0001,"(0.008488964346349746, 0.00861573808156232, 0.00861573808156232)"
complex.0_10_8_corrected_H_0001,"(0.006791171477079796, 0.006904487917146145, 0.006904487917146145)"
complex.0_11_28_corrected_H_0001,"(0.00792303338992643, 0.007466973004020678, 0.0076584338502776175)"
complex.0_11_31_corrected_H_0001,"(0.009054895302773062, 0.008635578583765112, 0.008923431203223949)"
complex.0_11_32_corrected_H_0001,"(0.006791171477079796, 0.006904487917146145, 0.006904487917146145)"
complex.0_11_33_corrected_H_0001,"(0.006791171477079796, 0.0069164265129683, 0.0069164265129683)"
complex.0_11_41_corrected_H_0001,"(0.006791171477079796, 0.005753739930955121, 0.006233218258534715)"
complex.0_11_44_corrected_H_0001,"(0.006791171477079796, 0.0069084628670120895, 0.0069084628670120895)"
complex.0_11_5_corrected_H_0001,"(0.006791171477079796, 0.00632183908045977, 0.006513409961685824)"
complex.0_12_0_corrected_H_0001,"(0.008488964346349746, 0.008645533141210375, 0.008645533141210375)"
complex.0_12_28_corrected_H_0001,"(0.008488964346349746, 0.007523148148148148, 0.008005401234567902)"
complex.0_12_30_corrected_H_0001,"(0.009054895302773062, 0.008635578583765112, 0.008827480330071004)"
complex.0_12_32_corrected_H_0001,"(0.007357102433503113, 0.007479861910241657, 0.007479861910241657)"
complex.0_12_5_corrected_H_0001,"(0.008488964346349746, 0.007505773672055427, 0.007986913010007698)"
complex.0_13_18_corrected_H_0001,"(0.007357102433503113, 0.007466973004020678, 0.007466973004020678)"
complex.0_13_30_corrected_H_0001,"(0.00622524052065648, 0.006343713956170703, 0.006343713956170703)"
complex.0_13_40_corrected_H_0001,"(0.007357102433503113, 0.0069084628670120895, 0.007100364613317981)"
complex.0_13_7_corrected_H_0001,"(0.00622524052065648, 0.006336405529953917, 0.006336405529953917)"
complex.0_14_12_corrected_H_0001,"(0.00792303338992643, 0.007466973004020678, 0.0076584338502776175)"
complex.0_14_40_corrected_H_0001,"(0.007357102433503113, 0.006904487917146145, 0.007096279248177983)"
complex.0_14_41_corrected_H_0001,"(0.008488964346349746, 0.008655510675129832, 0.008655510675129832)"
complex.0_14_46_corrected_H_0001,"(0.009054895302773062, 0.00863060989643268, 0.008918296892980437)"
complex.0_14_49_corrected_H_0001,"(0.009620826259196379, 0.009211283822682787, 0.009403185568988679)"
complex.0_15_28_corrected_H_0001,"(0.009054895302773062, 0.00863060989643268, 0.008822401227464518)"
complex.0_15_45_corrected_H_0001,"(0.007357102433503113, 0.007471264367816092, 0.007471264367816092)"
complex.0_15_47_corrected_H_0001,"(0.008488964346349746, 0.00865051903114187, 0.00865051903114187)"
complex.0_15_4_corrected_H_0001,"(0.008488964346349746, 0.00863060989643268, 0.00863060989643268)"
complex.0_16_23_corrected_H_0001,"(0.008488964346349746, 0.008625646923519264, 0.008625646923519264)"
complex.0_16_24_corrected_H_0001,"(0.006791171477079796, 0.006924408540103866, 0.006924408540103866)"
complex.0_16_45_corrected_H_0001,"(0.008488964346349746, 0.008059873344847437, 0.008251775091153329)"
complex.0_16_47_corrected_H_0001,"(0.00792303338992643, 0.007488479262672811, 0.007680491551459293)"
complex.0_17_18_corrected_H_0001,"(0.00622524052065648, 0.006336405529953917, 0.006336405529953917)"
complex.0_17_1_corrected_H_0001,"(0.008488964346349746, 0.008655510675129832, 0.008655510675129832)"
complex.0_17_20_corrected_H_0001,"(0.008488964346349746, 0.008635578583765112, 0.008635578583765112)"
complex.0_17_27_corrected_H_0001,"(0.008488964346349746, 0.008640552995391706, 0.008640552995391706)"
complex.0_17_36_corrected_H_0001,"(0.00792303338992643, 0.008036739380022962, 0.008036739380022962)"
complex.0_18_13_corrected_H_0001,"(0.008488964346349746, 0.008059873344847437, 0.008251775091153329)"
complex.0_18_34_corrected_H_0001,"(0.007357102433503113, 0.007479861910241657, 0.007479861910241657)"
complex.0_18_35_corrected_H_0001,"(0.007357102433503113, 0.007479861910241657, 0.007479861910241657)"
complex.0_19_8_corrected_H_0001,"(0.00792303338992643, 0.007475560667050029, 0.007667241709794902)"
complex.0_19_9_corrected_H_0001,"(0.00792303338992643, 0.008050603795284647, 0.008050603795284647)"
complex.0_1_33_corrected_H_0001,"(0.003961516694963215, 0.0040253018976423235, 0.0040253018976423235)"
complex.0_1_36_corrected_H_0001,"(0.003395585738539898, 0.0023054755043227667, 0.002881844380403458)"
complex.0_1_40_corrected_H_0001,"(0.009054895302773062, 0.00805523590333717, 0.00863060989643268)"
complex.0_1_5_corrected_H_0001,"(0.006791171477079796, 0.006329113924050633, 0.00652090525508247)"
complex.0_2_21_corrected_H_0001,"(0.00792303338992643, 0.00632183908045977, 0.007088122605363985)"
complex.0_2_24_corrected_H_0001,"(0.0050933786078098476, 0.004050925925925926, 0.004629629629629629)"
complex.0_2_26_corrected_H_0001,"(0.0050933786078098476, 0.004605641911341394, 0.004797543657647284)"
complex.0_2_42_corrected_H_0001,"(0.0050933786078098476, 0.004608294930875576, 0.004896313364055299)"
complex.0_3_17_corrected_H_0001,"(0.00792303338992643, 0.006329113924050633, 0.007192174913693901)"
complex.0_3_2_corrected_H_0001,"(0.0050933786078098476, 0.004610951008645533, 0.004899135446685879)"
complex.0_3_3_corrected_H_0001,"(0.005659309564233163, 0.005750431282346176, 0.005750431282346176)"
complex.0_3_41_corrected_H_0001,"(0.007357102433503113, 0.0069124423963133645, 0.007200460829493088)"
complex.0_3_9_corrected_H_0001,"(0.004527447651386531, 0.004036908881199538, 0.004325259515570935)"
complex.0_4_18_corrected_H_0001,"(0.00792303338992643, 0.00632183908045977, 0.007183908045977011)"
complex.0_4_26_corrected_H_0001,"(0.007357102433503113, 0.006904487917146145, 0.007192174913693901)"
complex.0_4_8_corrected_H_0001,"(0.003961516694963215, 0.0040253018976423235, 0.0040253018976423235)"
complex.0_5_14_corrected_H_0001,"(0.005659309564233163, 0.0051933064050779, 0.00538565108674745)"
complex.0_5_18_corrected_H_0001,"(0.00792303338992643, 0.007466973004020678, 0.007754164273406089)"
complex.0_5_1_corrected_H_0001,"(0.005659309564233163, 0.0040253018976423235, 0.00488786658999425)"
complex.0_5_20_corrected_H_0001,"(0.006791171477079796, 0.0063254744105807935, 0.006517155453325666)"
complex.0_5_23_corrected_H_0001,"(0.0050933786078098476, 0.004597701149425287, 0.0047892720306513415)"
complex.0_5_24_corrected_H_0001,"(0.006791171477079796, 0.006314580941446613, 0.006601607347876005)"
complex.0_5_26_corrected_H_0001,"(0.008488964346349746, 0.008073817762399077, 0.008266051518646674)"
complex.0_5_28_corrected_H_0001,"(0.0050933786078098476, 0.005175388154111558, 0.005175388154111558)"
complex.0_5_30_corrected_H_0001,"(0.0050933786078098476, 0.004022988505747126, 0.004597701149425287)"
complex.0_5_32_corrected_H_0001,"(0.00622524052065648, 0.0063327576280944155, 0.0063327576280944155)"
complex.0_5_3_corrected_H_0001,"(0.004527447651386531, 0.004036908881199538, 0.004325259515570935)"
complex.0_5_45_corrected_H_0001,"(0.006791171477079796, 0.005743825387708214, 0.006318207926479035)"
complex.0_6_12_corrected_H_0001,"(0.007357102433503113, 0.0069124423963133645, 0.007104454685099845)"
complex.0_6_19_corrected_H_0001,"(0.005659309564233163, 0.005184331797235023, 0.005472350230414746)"
complex.0_6_1_corrected_H_0001,"(0.005659309564233163, 0.005172413793103448, 0.005459770114942529)"
complex.0_6_24_corrected_H_0001,"(0.007357102433503113, 0.0069164265129683, 0.0070605187319884724)"
complex.0_7_27_corrected_H_0001,"(0.006791171477079796, 0.005753739930955121, 0.006233218258534715)"
complex.0_7_39_corrected_H_0001,"(0.00622524052065648, 0.005753739930955121, 0.0060414269275028765)"
complex.0_7_40_corrected_H_0001,"(0.008488964346349746, 0.008036739380022962, 0.008228090317642557)"
complex.0_8_27_corrected_H_0001,"(0.007357102433503113, 0.007497116493656286, 0.007497116493656286)"
complex.0_8_49_corrected_H_0001,"(0.006791171477079796, 0.005202312138728324, 0.005973025048169556)"
complex.0_8_4_corrected_H_0001,"(0.00792303338992643, 0.007475560667050029, 0.007667241709794902)"
