pdb_file,all_contacts
complex.0_0_15_corrected_H_0001_2bkr,173
complex.0_0_19_corrected_H_0001_2bkr,276
complex.0_0_23_corrected_H_0001_2bkr,171
complex.0_0_48_corrected_H_0001_2bkr,247
complex.0_0_5_corrected_H_0001_2bkr,143
complex.0_0_6_corrected_H_0001_2bkr,201
complex.0_10_32_corrected_H_0001_2bkr,678
complex.0_10_35_corrected_H_0001_2bkr,555
complex.0_10_36_corrected_H_0001_2bkr,726
complex.0_10_43_corrected_H_0001_2bkr,542
complex.0_10_6_corrected_H_0001_2bkr,627
complex.0_11_16_corrected_H_0001_2bkr,557
complex.0_11_18_corrected_H_0001_2bkr,712
complex.0_11_19_corrected_H_0001_2bkr,907
complex.0_11_2_corrected_H_0001_2bkr,525
complex.0_11_31_corrected_H_0001_2bkr,512
complex.0_11_38_corrected_H_0001_2bkr,703
complex.0_12_10_corrected_H_0001_2bkr,588
complex.0_12_18_corrected_H_0001_2bkr,696
complex.0_12_42_corrected_H_0001_2bkr,650
complex.0_13_21_corrected_H_0001_2bkr,811
complex.0_13_22_corrected_H_0001_2bkr,835
complex.0_13_30_corrected_H_0001_2bkr,580
complex.0_13_34_corrected_H_0001_2bkr,806
complex.0_13_41_corrected_H_0001_2bkr,799
complex.0_13_44_corrected_H_0001_2bkr,838
complex.0_13_49_corrected_H_0001_2bkr,941
complex.0_13_7_corrected_H_0001_2bkr,959
complex.0_14_10_corrected_H_0001_2bkr,791
complex.0_14_15_corrected_H_0001_2bkr,908
complex.0_14_1_corrected_H_0001_2bkr,956
complex.0_14_23_corrected_H_0001_2bkr,682
complex.0_14_31_corrected_H_0001_2bkr,914
complex.0_14_40_corrected_H_0001_2bkr,1057
complex.0_15_30_corrected_H_0001_2bkr,917
complex.0_15_36_corrected_H_0001_2bkr,921
complex.0_15_41_corrected_H_0001_2bkr,871
complex.0_15_43_corrected_H_0001_2bkr,1033
complex.0_15_6_corrected_H_0001_2bkr,979
complex.0_16_14_corrected_H_0001_2bkr,897
complex.0_16_1_corrected_H_0001_2bkr,992
complex.0_16_25_corrected_H_0001_2bkr,989
complex.0_16_30_corrected_H_0001_2bkr,989
complex.0_16_6_corrected_H_0001_2bkr,1006
complex.0_17_13_corrected_H_0001_2bkr,954
complex.0_17_17_corrected_H_0001_2bkr,848
complex.0_17_21_corrected_H_0001_2bkr,918
complex.0_17_29_corrected_H_0001_2bkr,977
complex.0_17_45_corrected_H_0001_2bkr,1015
complex.0_17_4_corrected_H_0001_2bkr,1038
complex.0_18_14_corrected_H_0001_2bkr,977
complex.0_18_31_corrected_H_0001_2bkr,979
complex.0_18_32_corrected_H_0001_2bkr,959
complex.0_18_4_corrected_H_0001_2bkr,938
complex.0_19_2_corrected_H_0001_2bkr,990
complex.0_1_0_corrected_H_0001_2bkr,406
complex.0_1_36_corrected_H_0001_2bkr,332
complex.0_1_44_corrected_H_0001_2bkr,289
complex.0_1_46_corrected_H_0001_2bkr,359
complex.0_2_22_corrected_H_0001_2bkr,372
complex.0_2_23_corrected_H_0001_2bkr,383
complex.0_2_34_corrected_H_0001_2bkr,393
complex.0_2_37_corrected_H_0001_2bkr,358
complex.0_3_11_corrected_H_0001_2bkr,299
complex.0_3_1_corrected_H_0001_2bkr,345
complex.0_3_23_corrected_H_0001_2bkr,299
complex.0_3_30_corrected_H_0001_2bkr,247
complex.0_3_33_corrected_H_0001_2bkr,230
complex.0_3_4_corrected_H_0001_2bkr,260
complex.0_3_8_corrected_H_0001_2bkr,235
complex.0_4_0_corrected_H_0001_2bkr,436
complex.0_4_2_corrected_H_0001_2bkr,384
complex.0_4_48_corrected_H_0001_2bkr,343
complex.0_5_17_corrected_H_0001_2bkr,436
complex.0_5_19_corrected_H_0001_2bkr,395
complex.0_5_21_corrected_H_0001_2bkr,471
complex.0_5_40_corrected_H_0001_2bkr,372
complex.0_6_18_corrected_H_0001_2bkr,394
complex.0_6_22_corrected_H_0001_2bkr,651
complex.0_6_23_corrected_H_0001_2bkr,486
complex.0_6_31_corrected_H_0001_2bkr,388
complex.0_6_32_corrected_H_0001_2bkr,582
complex.0_6_39_corrected_H_0001_2bkr,370
complex.0_6_49_corrected_H_0001_2bkr,343
complex.0_6_9_corrected_H_0001_2bkr,666
complex.0_7_12_corrected_H_0001_2bkr,842
complex.0_7_14_corrected_H_0001_2bkr,412
complex.0_7_16_corrected_H_0001_2bkr,463
complex.0_7_19_corrected_H_0001_2bkr,611
complex.0_7_20_corrected_H_0001_2bkr,395
complex.0_7_23_corrected_H_0001_2bkr,528
complex.0_7_41_corrected_H_0001_2bkr,286
complex.0_7_43_corrected_H_0001_2bkr,465
complex.0_7_46_corrected_H_0001_2bkr,395
complex.0_7_49_corrected_H_0001_2bkr,288
