pdb_file,score,weighted_avg,avg,standard_dev
complex.0_0_12_corrected_H_0001,"(1838862.5, 459715.625, 882654.0, 0.0)"
complex.0_0_16_corrected_H_0001,"(1840825.0, 460206.25, 883596.0, 0.0)"
complex.0_0_33_corrected_H_0001,"(1836900.0, 459225.0, 881712.0, 0.0)"
complex.0_0_39_corrected_H_0001,"(2013242.4, 402648.48, 881712.0, 0.0)"
complex.0_0_41_corrected_H_0001,"(2013242.4, 402648.48, 881712.0, 0.0)"
complex.0_10_13_corrected_H_0001,"(1836900.0, 459225.0, 881712.0, 0.0)"
complex.0_10_23_corrected_H_0001,"(1838862.5, 459715.625, 882654.0, 0.0)"
complex.0_10_31_corrected_H_0001,"(1838862.5, 459715.625, 882654.0, 0.0)"
complex.0_10_37_corrected_H_0001,"(1836900.0, 459225.0, 881712.0, 0.0)"
complex.0_10_45_corrected_H_0001,"(1838862.5, 459715.625, 882654.0, 0.0)"
complex.0_11_16_corrected_H_0001,"(1838862.5, 459715.625, 882654.0, 0.0)"
complex.0_11_20_corrected_H_0001,"(1838862.5, 459715.625, 882654.0, 0.0)"
complex.0_11_25_corrected_H_0001,"(1838862.5, 459715.625, 882654.0, 0.0)"
complex.0_11_2_corrected_H_0001,"(1838862.5, 459715.625, 882654.0, 0.0)"
complex.0_11_39_corrected_H_0001,"(1840825.0, 460206.25, 883596.0, 0.0)"
complex.0_11_3_corrected_H_0001,"(1836900.0, 459225.0, 881712.0, 0.0)"
complex.0_11_9_corrected_H_0001,"(1840825.0, 460206.25, 883596.0, 0.0)"
complex.0_12_35_corrected_H_0001,"(1840825.0, 460206.25, 883596.0, 0.0)"
complex.0_12_46_corrected_H_0001,"(1836900.0, 459225.0, 881712.0, 0.0)"
complex.0_12_6_corrected_H_0001,"(1838862.5, 459715.625, 882654.0, 0.0)"
complex.0_13_12_corrected_H_0001,"(2011091.5, 402218.3, 880770.0, 0.0)"
complex.0_13_20_corrected_H_0001,"(1838862.5, 459715.625, 882654.0, 0.0)"
complex.0_13_38_corrected_H_0001,"(1836900.0, 459225.0, 881712.0, 0.0)"
complex.0_14_15_corrected_H_0001,"(1838862.5, 459715.625, 882654.0, 0.0)"
complex.0_14_30_corrected_H_0001,"(1838862.5, 459715.625, 882654.0, 0.0)"
complex.0_14_38_corrected_H_0001,"(1838862.5, 459715.625, 882654.0, 0.0)"
complex.0_14_46_corrected_H_0001,"(1838862.5, 459715.625, 882654.0, 0.0)"
complex.0_14_5_corrected_H_0001,"(1838862.5, 459715.625, 882654.0, 0.0)"
complex.0_14_9_corrected_H_0001,"(1838862.5, 459715.625, 882654.0, 0.0)"
complex.0_15_15_corrected_H_0001,"(1838862.5, 459715.625, 882654.0, 0.0)"
complex.0_15_16_corrected_H_0001,"(1838862.5, 459715.625, 882654.0, 0.0)"
complex.0_15_19_corrected_H_0001,"(1838862.5, 459715.625, 882654.0, 0.0)"
complex.0_15_39_corrected_H_0001,"(1836900.0, 459225.0, 881712.0, 0.0)"
complex.0_15_40_corrected_H_0001,"(2013242.4, 402648.48, 881712.0, 0.0)"
complex.0_15_49_corrected_H_0001,"(1838862.5, 459715.625, 882654.0, 0.0)"
complex.0_16_11_corrected_H_0001,"(1838862.5, 459715.625, 882654.0, 0.0)"
complex.0_16_12_corrected_H_0001,"(1838862.5, 459715.625, 882654.0, 0.0)"
complex.0_16_19_corrected_H_0001,"(1838862.5, 459715.625, 882654.0, 0.0)"
complex.0_16_21_corrected_H_0001,"(1838862.5, 459715.625, 882654.0, 0.0)"
complex.0_16_24_corrected_H_0001,"(1838862.5, 459715.625, 882654.0, 0.0)"
complex.0_17_28_corrected_H_0001,"(1838862.5, 459715.625, 882654.0, 0.0)"
complex.0_17_35_corrected_H_0001,"(1838862.5, 459715.625, 882654.0, 0.0)"
complex.0_18_25_corrected_H_0001,"(1838862.5, 459715.625, 882654.0, 0.0)"
complex.0_18_35_corrected_H_0001,"(1838862.5, 459715.625, 882654.0, 0.0)"
complex.0_18_39_corrected_H_0001,"(1838862.5, 459715.625, 882654.0, 0.0)"
complex.0_18_40_corrected_H_0001,"(1838862.5, 459715.625, 882654.0, 0.0)"
complex.0_19_3_corrected_H_0001,"(1838862.5, 459715.625, 882654.0, 0.0)"
complex.0_1_11_corrected_H_0001,"(1840825.0, 460206.25, 883596.0, 0.0)"
complex.0_1_14_corrected_H_0001,"(2013242.4, 402648.48, 881712.0, 0.0)"
complex.0_1_25_corrected_H_0001,"(1838862.5, 459715.625, 882654.0, 0.0)"
complex.0_1_29_corrected_H_0001,"(1838862.5, 459715.625, 882654.0, 0.0)"
complex.0_1_31_corrected_H_0001,"(1840825.0, 460206.25, 883596.0, 0.0)"
complex.0_1_38_corrected_H_0001,"(2013242.4, 402648.48, 881712.0, 0.0)"
complex.0_1_40_corrected_H_0001,"(2013242.4, 402648.48, 881712.0, 0.0)"
complex.0_2_11_corrected_H_0001,"(2013242.4, 402648.48, 881712.0, 0.0)"
complex.0_2_26_corrected_H_0001,"(2011091.5, 402218.3, 880770.0, 0.0)"
complex.0_2_31_corrected_H_0001,"(2013242.4, 402648.48, 881712.0, 0.0)"
complex.0_2_38_corrected_H_0001,"(1838862.5, 459715.625, 882654.0, 0.0)"
complex.0_2_46_corrected_H_0001,"(1838862.5, 459715.625, 882654.0, 0.0)"
complex.0_2_48_corrected_H_0001,"(1838862.5, 459715.625, 882654.0, 0.0)"
complex.0_2_5_corrected_H_0001,"(2013242.4, 402648.48, 881712.0, 0.0)"
complex.0_2_9_corrected_H_0001,"(2013242.4, 402648.48, 881712.0, 0.0)"
complex.0_3_31_corrected_H_0001,"(1838862.5, 459715.625, 882654.0, 0.0)"
complex.0_3_33_corrected_H_0001,"(1838862.5, 459715.625, 882654.0, 0.0)"
complex.0_3_47_corrected_H_0001,"(1838862.5, 459715.625, 882654.0, 0.0)"
complex.0_3_4_corrected_H_0001,"(2013242.4, 402648.48, 881712.0, 0.0)"
complex.0_4_10_corrected_H_0001,"(1836900.0, 459225.0, 881712.0, 0.0)"
complex.0_4_18_corrected_H_0001,"(1836900.0, 459225.0, 881712.0, 0.0)"
complex.0_4_21_corrected_H_0001,"(1836900.0, 459225.0, 881712.0, 0.0)"
