pdb_file,hydrophobicity_contacts
sampled_1pdk_model_1_1pdk,13
sampled_1pdk_model_10_1pdk,10
sampled_1pdk_model_100_1pdk,25
sampled_1pdk_model_101_1pdk,30
sampled_1pdk_model_102_1pdk,21
sampled_1pdk_model_103_1pdk,36
sampled_1pdk_model_104_1pdk,36
sampled_1pdk_model_105_1pdk,23
sampled_1pdk_model_106_1pdk,20
sampled_1pdk_model_107_1pdk,22
sampled_1pdk_model_108_1pdk,26
sampled_1pdk_model_109_1pdk,36
sampled_1pdk_model_11_1pdk,14
sampled_1pdk_model_110_1pdk,21
sampled_1pdk_model_111_1pdk,21
sampled_1pdk_model_112_1pdk,26
sampled_1pdk_model_113_1pdk,30
sampled_1pdk_model_114_1pdk,17
sampled_1pdk_model_115_1pdk,24
sampled_1pdk_model_116_1pdk,27
sampled_1pdk_model_117_1pdk,26
sampled_1pdk_model_118_1pdk,20
sampled_1pdk_model_119_1pdk,27
sampled_1pdk_model_12_1pdk,15
sampled_1pdk_model_120_1pdk,18
sampled_1pdk_model_121_1pdk,43
sampled_1pdk_model_122_1pdk,28
sampled_1pdk_model_123_1pdk,35
sampled_1pdk_model_124_1pdk,19
sampled_1pdk_model_125_1pdk,21
sampled_1pdk_model_126_1pdk,22
sampled_1pdk_model_127_1pdk,21
sampled_1pdk_model_128_1pdk,31
sampled_1pdk_model_129_1pdk,38
sampled_1pdk_model_13_1pdk,15
sampled_1pdk_model_130_1pdk,18
sampled_1pdk_model_131_1pdk,27
sampled_1pdk_model_132_1pdk,22
sampled_1pdk_model_133_1pdk,25
sampled_1pdk_model_134_1pdk,32
sampled_1pdk_model_135_1pdk,50
sampled_1pdk_model_136_1pdk,36
sampled_1pdk_model_137_1pdk,24
sampled_1pdk_model_138_1pdk,31
sampled_1pdk_model_139_1pdk,35
sampled_1pdk_model_14_1pdk,26
sampled_1pdk_model_140_1pdk,22
sampled_1pdk_model_141_1pdk,21
sampled_1pdk_model_142_1pdk,40
sampled_1pdk_model_143_1pdk,29
sampled_1pdk_model_144_1pdk,18
sampled_1pdk_model_145_1pdk,22
sampled_1pdk_model_146_1pdk,35
sampled_1pdk_model_147_1pdk,22
sampled_1pdk_model_148_1pdk,31
sampled_1pdk_model_149_1pdk,25
sampled_1pdk_model_15_1pdk,23
sampled_1pdk_model_150_1pdk,39
sampled_1pdk_model_151_1pdk,41
sampled_1pdk_model_152_1pdk,29
sampled_1pdk_model_153_1pdk,42
sampled_1pdk_model_154_1pdk,18
sampled_1pdk_model_155_1pdk,35
sampled_1pdk_model_156_1pdk,28
sampled_1pdk_model_157_1pdk,45
sampled_1pdk_model_158_1pdk,36
sampled_1pdk_model_159_1pdk,34
sampled_1pdk_model_16_1pdk,15
sampled_1pdk_model_160_1pdk,33
sampled_1pdk_model_161_1pdk,35
sampled_1pdk_model_162_1pdk,38
