pdb_file,score,weighted_avg,avg,standard_dev
sampled_2d5r_model_1,"(10922670.0, 1560381.4285714286, 4212600.0, 0.0)"
sampled_2d5r_model_10,"(11466082.125, 1433260.265625, 4218795.0, 0.0)"
sampled_2d5r_model_100,"(10954795.5, 1564970.7857142857, 4224990.0, 0.0)"
sampled_2d5r_model_101,"(10949441.250000002, 1564205.8928571432, 4222925.0, 0.0)"
sampled_2d5r_model_102,"(11477306.875000002, 1434663.3593750002, 4222925.0, 0.0)"
sampled_2d5r_model_103,"(10960149.749999998, 1565735.6785714284, 4227055.0, 0.0)"
sampled_2d5r_model_104,"(11443632.625000002, 1430454.0781250002, 4210535.0, 0.0)"
sampled_2d5r_model_105,"(11471694.499999998, 1433961.8124999998, 4220860.0, 0.0)"
sampled_2d5r_model_106,"(10954795.5, 1564970.7857142857, 4224990.0, 0.0)"
sampled_2d5r_model_107,"(10938732.75, 1562676.107142857, 4218795.0, 0.0)"
sampled_2d5r_model_108,"(10954795.5, 1564970.7857142857, 4224990.0, 0.0)"
sampled_2d5r_model_109,"(10965504.000000002, 1566500.5714285716, 4229120.0, 0.0)"
sampled_2d5r_model_11,"(11454857.374999998, 1431857.1718749998, 4214665.0, 0.0)"
sampled_2d5r_model_110,"(10949441.250000002, 1564205.8928571432, 4222925.0, 0.0)"
sampled_2d5r_model_111,"(11460469.750000002, 1432558.7187500002, 4216730.0, 0.0)"
sampled_2d5r_model_112,"(10922670.0, 1560381.4285714286, 4212600.0, 0.0)"
sampled_2d5r_model_113,"(10954795.5, 1564970.7857142857, 4224990.0, 0.0)"
sampled_2d5r_model_114,"(11466082.125, 1433260.265625, 4218795.0, 0.0)"
sampled_2d5r_model_115,"(10949441.250000002, 1564205.8928571432, 4222925.0, 0.0)"
sampled_2d5r_model_116,"(11471694.499999998, 1433961.8124999998, 4220860.0, 0.0)"
sampled_2d5r_model_117,"(11454857.374999998, 1431857.1718749998, 4214665.0, 0.0)"
sampled_2d5r_model_118,"(10954795.5, 1564970.7857142857, 4224990.0, 0.0)"
sampled_2d5r_model_119,"(11477306.875000002, 1434663.3593750002, 4222925.0, 0.0)"
sampled_2d5r_model_12,"(11454857.374999998, 1431857.1718749998, 4214665.0, 0.0)"
sampled_2d5r_model_120,"(11477306.875000002, 1434663.3593750002, 4222925.0, 0.0)"
sampled_2d5r_model_121,"(11449245.0, 1431155.625, 4212600.0, 0.0)"
sampled_2d5r_model_122,"(12344619.98611111, 1234461.998611111, 4214665.0, 0.0)"
sampled_2d5r_model_123,"(11443632.625000002, 1430454.0781250002, 4210535.0, 0.0)"
sampled_2d5r_model_124,"(10944086.999999998, 1563440.9999999998, 4220860.0, 0.0)"
sampled_2d5r_model_125,"(10366403.25, 1727733.875, 4231185.0, 0.0)"
sampled_2d5r_model_126,"(11466082.125, 1433260.265625, 4218795.0, 0.0)"
sampled_2d5r_model_127,"(11482919.25, 1435364.90625, 4224990.0, 0.0)"
sampled_2d5r_model_128,"(11449245.0, 1431155.625, 4212600.0, 0.0)"
sampled_2d5r_model_129,"(11460469.750000002, 1432558.7187500002, 4216730.0, 0.0)"
sampled_2d5r_model_13,"(10986921.0, 1569560.142857143, 4237380.0, 0.0)"
sampled_2d5r_model_130,"(11466082.125, 1433260.265625, 4218795.0, 0.0)"
sampled_2d5r_model_131,"(10944086.999999998, 1563440.9999999998, 4220860.0, 0.0)"
sampled_2d5r_model_132,"(11454857.374999998, 1431857.1718749998, 4214665.0, 0.0)"
sampled_2d5r_model_133,"(11471694.499999998, 1433961.8124999998, 4220860.0, 0.0)"
sampled_2d5r_model_134,"(11460469.750000002, 1432558.7187500002, 4216730.0, 0.0)"
sampled_2d5r_model_135,"(11460469.750000002, 1432558.7187500002, 4216730.0, 0.0)"
sampled_2d5r_model_136,"(10954795.5, 1564970.7857142857, 4224990.0, 0.0)"
sampled_2d5r_model_137,"(10949441.250000002, 1564205.8928571432, 4222925.0, 0.0)"
sampled_2d5r_model_138,"(11454857.374999998, 1431857.1718749998, 4214665.0, 0.0)"
sampled_2d5r_model_139,"(11460469.750000002, 1432558.7187500002, 4216730.0, 0.0)"
sampled_2d5r_model_14,"(10944086.999999998, 1563440.9999999998, 4220860.0, 0.0)"
sampled_2d5r_model_140,"(11443632.625000002, 1430454.0781250002, 4210535.0, 0.0)"
sampled_2d5r_model_141,"(11449245.0, 1431155.625, 4212600.0, 0.0)"
sampled_2d5r_model_142,"(11460469.750000002, 1432558.7187500002, 4216730.0, 0.0)"
sampled_2d5r_model_143,"(11460469.750000002, 1432558.7187500002, 4216730.0, 0.0)"
sampled_2d5r_model_144,"(10949441.250000002, 1564205.8928571432, 4222925.0, 0.0)"
sampled_2d5r_model_145,"(11443632.625000002, 1430454.0781250002, 4210535.0, 0.0)"
sampled_2d5r_model_146,"(11477306.875000002, 1434663.3593750002, 4222925.0, 0.0)"
sampled_2d5r_model_147,"(11438020.249999998, 1429752.5312499998, 4208470.0, 0.0)"
sampled_2d5r_model_148,"(10933378.500000002, 1561911.2142857146, 4216730.0, 0.0)"
sampled_2d5r_model_149,"(10954795.5, 1564970.7857142857, 4224990.0, 0.0)"
sampled_2d5r_model_15,"(10960149.749999998, 1565735.6785714284, 4227055.0, 0.0)"
sampled_2d5r_model_150,"(11454857.374999998, 1431857.1718749998, 4214665.0, 0.0)"
sampled_2d5r_model_151,"(11443632.625000002, 1430454.0781250002, 4210535.0, 0.0)"
sampled_2d5r_model_152,"(11477306.875000002, 1434663.3593750002, 4222925.0, 0.0)"
sampled_2d5r_model_153,"(10366403.25, 1727733.875, 4231185.0, 0.0)"
sampled_2d5r_model_154,"(10938732.75, 1562676.107142857, 4218795.0, 0.0)"
sampled_2d5r_model_155,"(11460469.750000002, 1432558.7187500002, 4216730.0, 0.0)"
sampled_2d5r_model_156,"(12350668.305555558, 1235066.8305555559, 4216730.0, 0.0)"
sampled_2d5r_model_157,"(10949441.250000002, 1564205.8928571432, 4222925.0, 0.0)"
sampled_2d5r_model_158,"(10928024.249999998, 1561146.3214285711, 4214665.0, 0.0)"
sampled_2d5r_model_159,"(10944086.999999998, 1563440.9999999998, 4220860.0, 0.0)"
sampled_2d5r_model_16,"(11454857.374999998, 1431857.1718749998, 4214665.0, 0.0)"
sampled_2d5r_model_160,"(10960149.749999998, 1565735.6785714284, 4227055.0, 0.0)"
sampled_2d5r_model_161,"(10960149.749999998, 1565735.6785714284, 4227055.0, 0.0)"
sampled_2d5r_model_162,"(10366403.25, 1727733.875, 4231185.0, 0.0)"
sampled_2d5r_model_163,"(10366403.25, 1727733.875, 4231185.0, 0.0)"
sampled_2d5r_model_164,"(10949441.250000002, 1564205.8928571432, 4222925.0, 0.0)"
sampled_2d5r_model_165,"(10933378.500000002, 1561911.2142857146, 4216730.0, 0.0)"
sampled_2d5r_model_166,"(10944086.999999998, 1563440.9999999998, 4220860.0, 0.0)"
sampled_2d5r_model_167,"(10371462.499999998, 1728577.083333333, 4233250.0, 0.0)"
sampled_2d5r_model_168,"(10944086.999999998, 1563440.9999999998, 4220860.0, 0.0)"
sampled_2d5r_model_169,"(10366403.25, 1727733.875, 4231185.0, 0.0)"
sampled_2d5r_model_17,"(10922670.0, 1560381.4285714286, 4212600.0, 0.0)"
sampled_2d5r_model_170,"(10970858.25, 1567265.4642857143, 4231185.0, 0.0)"
sampled_2d5r_model_171,"(10366403.25, 1727733.875, 4231185.0, 0.0)"
sampled_2d5r_model_172,"(11449245.0, 1431155.625, 4212600.0, 0.0)"
sampled_2d5r_model_173,"(11460469.750000002, 1432558.7187500002, 4216730.0, 0.0)"
sampled_2d5r_model_174,"(10366403.25, 1727733.875, 4231185.0, 0.0)"
sampled_2d5r_model_175,"(11471694.499999998, 1433961.8124999998, 4220860.0, 0.0)"
sampled_2d5r_model_176,"(11449245.0, 1431155.625, 4212600.0, 0.0)"
sampled_2d5r_model_177,"(10361344.000000002, 1726890.666666667, 4229120.0, 0.0)"
sampled_2d5r_model_178,"(11443632.625000002, 1430454.0781250002, 4210535.0, 0.0)"
sampled_2d5r_model_179,"(11477306.875000002, 1434663.3593750002, 4222925.0, 0.0)"
sampled_2d5r_model_18,"(10949441.250000002, 1564205.8928571432, 4222925.0, 0.0)"
sampled_2d5r_model_180,"(11454857.374999998, 1431857.1718749998, 4214665.0, 0.0)"
sampled_2d5r_model_181,"(11443632.625000002, 1430454.0781250002, 4210535.0, 0.0)"
sampled_2d5r_model_182,"(10949441.250000002, 1564205.8928571432, 4222925.0, 0.0)"
sampled_2d5r_model_183,"(11466082.125, 1433260.265625, 4218795.0, 0.0)"
sampled_2d5r_model_184,"(11471694.499999998, 1433961.8124999998, 4220860.0, 0.0)"
sampled_2d5r_model_185,"(12344619.98611111, 1234461.998611111, 4214665.0, 0.0)"
sampled_2d5r_model_186,"(11466082.125, 1433260.265625, 4218795.0, 0.0)"
sampled_2d5r_model_187,"(10371462.499999998, 1728577.083333333, 4233250.0, 0.0)"
sampled_2d5r_model_188,"(11454857.374999998, 1431857.1718749998, 4214665.0, 0.0)"
sampled_2d5r_model_189,"(11454857.374999998, 1431857.1718749998, 4214665.0, 0.0)"
sampled_2d5r_model_19,"(10361344.000000002, 1726890.666666667, 4229120.0, 0.0)"
sampled_2d5r_model_190,"(10970858.25, 1567265.4642857143, 4231185.0, 0.0)"
sampled_2d5r_model_191,"(11466082.125, 1433260.265625, 4218795.0, 0.0)"
sampled_2d5r_model_192,"(10954795.5, 1564970.7857142857, 4224990.0, 0.0)"
sampled_2d5r_model_193,"(10981566.750000002, 1568795.2500000002, 4235315.0, 0.0)"
sampled_2d5r_model_194,"(10361344.000000002, 1726890.666666667, 4229120.0, 0.0)"
sampled_2d5r_model_195,"(11482919.25, 1435364.90625, 4224990.0, 0.0)"
sampled_2d5r_model_196,"(11443632.625000002, 1430454.0781250002, 4210535.0, 0.0)"
sampled_2d5r_model_197,"(11454857.374999998, 1431857.1718749998, 4214665.0, 0.0)"
sampled_2d5r_model_198,"(10366403.25, 1727733.875, 4231185.0, 0.0)"
sampled_2d5r_model_199,"(10949441.250000002, 1564205.8928571432, 4222925.0, 0.0)"
sampled_2d5r_model_2,"(11449245.0, 1431155.625, 4212600.0, 0.0)"
sampled_2d5r_model_20,"(10949441.250000002, 1564205.8928571432, 4222925.0, 0.0)"
sampled_2d5r_model_200,"(11443632.625000002, 1430454.0781250002, 4210535.0, 0.0)"
sampled_2d5r_model_201,"(11449245.0, 1431155.625, 4212600.0, 0.0)"
sampled_2d5r_model_202,"(10361344.000000002, 1726890.666666667, 4229120.0, 0.0)"
sampled_2d5r_model_203,"(11454857.374999998, 1431857.1718749998, 4214665.0, 0.0)"
sampled_2d5r_model_204,"(10944086.999999998, 1563440.9999999998, 4220860.0, 0.0)"
sampled_2d5r_model_205,"(11454857.374999998, 1431857.1718749998, 4214665.0, 0.0)"
sampled_2d5r_model_206,"(12338571.666666666, 1233857.1666666665, 4212600.0, 0.0)"
sampled_2d5r_model_207,"(10366403.25, 1727733.875, 4231185.0, 0.0)"
sampled_2d5r_model_208,"(10970858.25, 1567265.4642857143, 4231185.0, 0.0)"
sampled_2d5r_model_209,"(11471694.499999998, 1433961.8124999998, 4220860.0, 0.0)"
sampled_2d5r_model_21,"(10949441.250000002, 1564205.8928571432, 4222925.0, 0.0)"
sampled_2d5r_model_210,"(10356284.749999998, 1726047.458333333, 4227055.0, 0.0)"
sampled_2d5r_model_211,"(11443632.625000002, 1430454.0781250002, 4210535.0, 0.0)"
sampled_2d5r_model_212,"(11454857.374999998, 1431857.1718749998, 4214665.0, 0.0)"
sampled_2d5r_model_213,"(11482919.25, 1435364.90625, 4224990.0, 0.0)"
sampled_2d5r_model_214,"(10944086.999999998, 1563440.9999999998, 4220860.0, 0.0)"
sampled_2d5r_model_215,"(10944086.999999998, 1563440.9999999998, 4220860.0, 0.0)"
sampled_2d5r_model_216,"(11454857.374999998, 1431857.1718749998, 4214665.0, 0.0)"
sampled_2d5r_model_217,"(11477306.875000002, 1434663.3593750002, 4222925.0, 0.0)"
sampled_2d5r_model_218,"(10366403.25, 1727733.875, 4231185.0, 0.0)"
sampled_2d5r_model_219,"(11460469.750000002, 1432558.7187500002, 4216730.0, 0.0)"
sampled_2d5r_model_22,"(12350668.305555558, 1235066.8305555559, 4216730.0, 0.0)"
sampled_2d5r_model_220,"(10361344.000000002, 1726890.666666667, 4229120.0, 0.0)"
sampled_2d5r_model_221,"(10366403.25, 1727733.875, 4231185.0, 0.0)"
sampled_2d5r_model_222,"(11454857.374999998, 1431857.1718749998, 4214665.0, 0.0)"
sampled_2d5r_model_223,"(10954795.5, 1564970.7857142857, 4224990.0, 0.0)"
sampled_2d5r_model_224,"(11471694.499999998, 1433961.8124999998, 4220860.0, 0.0)"
sampled_2d5r_model_225,"(11449245.0, 1431155.625, 4212600.0, 0.0)"
sampled_2d5r_model_226,"(10944086.999999998, 1563440.9999999998, 4220860.0, 0.0)"
sampled_2d5r_model_227,"(11471694.499999998, 1433961.8124999998, 4220860.0, 0.0)"
sampled_2d5r_model_228,"(11454857.374999998, 1431857.1718749998, 4214665.0, 0.0)"
sampled_2d5r_model_229,"(11460469.750000002, 1432558.7187500002, 4216730.0, 0.0)"
sampled_2d5r_model_23,"(12344619.98611111, 1234461.998611111, 4214665.0, 0.0)"
sampled_2d5r_model_230,"(10976212.499999998, 1568030.3571428568, 4233250.0, 0.0)"
sampled_2d5r_model_231,"(10366403.25, 1727733.875, 4231185.0, 0.0)"
sampled_2d5r_model_232,"(11460469.750000002, 1432558.7187500002, 4216730.0, 0.0)"
sampled_2d5r_model_233,"(10954795.5, 1564970.7857142857, 4224990.0, 0.0)"
sampled_2d5r_model_234,"(11443632.625000002, 1430454.0781250002, 4210535.0, 0.0)"
sampled_2d5r_model_235,"(11454857.374999998, 1431857.1718749998, 4214665.0, 0.0)"
sampled_2d5r_model_236,"(11482919.25, 1435364.90625, 4224990.0, 0.0)"
sampled_2d5r_model_237,"(11454857.374999998, 1431857.1718749998, 4214665.0, 0.0)"
sampled_2d5r_model_238,"(11454857.374999998, 1431857.1718749998, 4214665.0, 0.0)"
sampled_2d5r_model_239,"(11460469.750000002, 1432558.7187500002, 4216730.0, 0.0)"
sampled_2d5r_model_24,"(10922670.0, 1560381.4285714286, 4212600.0, 0.0)"
sampled_2d5r_model_240,"(10965504.000000002, 1566500.5714285716, 4229120.0, 0.0)"
sampled_2d5r_model_241,"(11454857.374999998, 1431857.1718749998, 4214665.0, 0.0)"
sampled_2d5r_model_242,"(11899786.208333334, 1322198.4675925926, 4206405.0, 0.0)"
sampled_2d5r_model_243,"(10954795.5, 1564970.7857142857, 4224990.0, 0.0)"
sampled_2d5r_model_244,"(10949441.250000002, 1564205.8928571432, 4222925.0, 0.0)"
sampled_2d5r_model_245,"(10954795.5, 1564970.7857142857, 4224990.0, 0.0)"
sampled_2d5r_model_246,"(10366403.25, 1727733.875, 4231185.0, 0.0)"
sampled_2d5r_model_247,"(10944086.999999998, 1563440.9999999998, 4220860.0, 0.0)"
