pdb_file,all_contacts
complex.0_0_17_corrected_H_0001_7jxv,182
complex.0_0_18_corrected_H_0001_7jxv,179
complex.0_0_1_corrected_H_0001_7jxv,187
complex.0_0_42_corrected_H_0001_7jxv,195
complex.0_0_8_corrected_H_0001_7jxv,167
complex.0_10_11_corrected_H_0001_7jxv,315
complex.0_10_15_corrected_H_0001_7jxv,276
complex.0_10_23_corrected_H_0001_7jxv,325
complex.0_10_33_corrected_H_0001_7jxv,234
complex.0_10_38_corrected_H_0001_7jxv,283
complex.0_11_19_corrected_H_0001_7jxv,255
complex.0_11_33_corrected_H_0001_7jxv,255
complex.0_11_39_corrected_H_0001_7jxv,175
complex.0_11_3_corrected_H_0001_7jxv,288
complex.0_12_11_corrected_H_0001_7jxv,206
complex.0_12_20_corrected_H_0001_7jxv,226
complex.0_12_21_corrected_H_0001_7jxv,250
complex.0_12_22_corrected_H_0001_7jxv,239
complex.0_12_39_corrected_H_0001_7jxv,229
complex.0_12_3_corrected_H_0001_7jxv,296
complex.0_13_11_corrected_H_0001_7jxv,242
complex.0_13_12_corrected_H_0001_7jxv,232
complex.0_13_27_corrected_H_0001_7jxv,272
complex.0_13_38_corrected_H_0001_7jxv,168
complex.0_14_47_corrected_H_0001_7jxv,242
complex.0_14_49_corrected_H_0001_7jxv,246
complex.0_14_8_corrected_H_0001_7jxv,274
complex.0_15_16_corrected_H_0001_7jxv,263
complex.0_15_38_corrected_H_0001_7jxv,266
complex.0_15_42_corrected_H_0001_7jxv,252
complex.0_15_49_corrected_H_0001_7jxv,182
complex.0_15_7_corrected_H_0001_7jxv,276
complex.0_16_19_corrected_H_0001_7jxv,274
complex.0_16_2_corrected_H_0001_7jxv,300
complex.0_16_36_corrected_H_0001_7jxv,281
complex.0_16_40_corrected_H_0001_7jxv,262
complex.0_16_43_corrected_H_0001_7jxv,335
complex.0_16_6_corrected_H_0001_7jxv,265
complex.0_17_21_corrected_H_0001_7jxv,303
complex.0_17_36_corrected_H_0001_7jxv,303
complex.0_17_49_corrected_H_0001_7jxv,282
complex.0_17_5_corrected_H_0001_7jxv,281
complex.0_18_10_corrected_H_0001_7jxv,277
complex.0_18_13_corrected_H_0001_7jxv,299
complex.0_18_25_corrected_H_0001_7jxv,325
complex.0_18_34_corrected_H_0001_7jxv,271
complex.0_18_45_corrected_H_0001_7jxv,293
complex.0_18_49_corrected_H_0001_7jxv,327
complex.0_19_1_corrected_H_0001_7jxv,271
complex.0_19_4_corrected_H_0001_7jxv,291
complex.0_1_12_corrected_H_0001_7jxv,170
