pdb_file,hydrophobicity_contacts
relaxed_2hth_model_1_corrected_H_0001_2hth,27
relaxed_2hth_model_10_corrected_H_0001_2hth,17
relaxed_2hth_model_100_corrected_H_0001_2hth,17
relaxed_2hth_model_101_corrected_H_0001_2hth,15
relaxed_2hth_model_102_corrected_H_0001_2hth,13
relaxed_2hth_model_103_corrected_H_0001_2hth,16
relaxed_2hth_model_104_corrected_H_0001_2hth,18
relaxed_2hth_model_105_corrected_H_0001_2hth,15
relaxed_2hth_model_106_corrected_H_0001_2hth,11
relaxed_2hth_model_107_corrected_H_0001_2hth,20
relaxed_2hth_model_108_corrected_H_0001_2hth,20
relaxed_2hth_model_109_corrected_H_0001_2hth,14
relaxed_2hth_model_11_corrected_H_0001_2hth,13
relaxed_2hth_model_110_corrected_H_0001_2hth,21
relaxed_2hth_model_111_corrected_H_0001_2hth,12
relaxed_2hth_model_112_corrected_H_0001_2hth,12
relaxed_2hth_model_113_corrected_H_0001_2hth,11
relaxed_2hth_model_114_corrected_H_0001_2hth,18
relaxed_2hth_model_115_corrected_H_0001_2hth,20
relaxed_2hth_model_116_corrected_H_0001_2hth,27
relaxed_2hth_model_117_corrected_H_0001_2hth,18
relaxed_2hth_model_118_corrected_H_0001_2hth,20
relaxed_2hth_model_119_corrected_H_0001_2hth,18
relaxed_2hth_model_12_corrected_H_0001_2hth,12
relaxed_2hth_model_120_corrected_H_0001_2hth,24
relaxed_2hth_model_121_corrected_H_0001_2hth,20
relaxed_2hth_model_122_corrected_H_0001_2hth,21
relaxed_2hth_model_123_corrected_H_0001_2hth,20
relaxed_2hth_model_124_corrected_H_0001_2hth,17
relaxed_2hth_model_125_corrected_H_0001_2hth,16
relaxed_2hth_model_126_corrected_H_0001_2hth,14
relaxed_2hth_model_127_corrected_H_0001_2hth,25
relaxed_2hth_model_128_corrected_H_0001_2hth,17
relaxed_2hth_model_129_corrected_H_0001_2hth,21
relaxed_2hth_model_13_corrected_H_0001_2hth,13
relaxed_2hth_model_130_corrected_H_0001_2hth,21
relaxed_2hth_model_131_corrected_H_0001_2hth,13
relaxed_2hth_model_132_corrected_H_0001_2hth,19
relaxed_2hth_model_133_corrected_H_0001_2hth,7
relaxed_2hth_model_134_corrected_H_0001_2hth,17
relaxed_2hth_model_135_corrected_H_0001_2hth,25
relaxed_2hth_model_136_corrected_H_0001_2hth,11
relaxed_2hth_model_137_corrected_H_0001_2hth,13
relaxed_2hth_model_138_corrected_H_0001_2hth,25
relaxed_2hth_model_139_corrected_H_0001_2hth,19
relaxed_2hth_model_14_corrected_H_0001_2hth,6
relaxed_2hth_model_140_corrected_H_0001_2hth,19
relaxed_2hth_model_141_corrected_H_0001_2hth,27
relaxed_2hth_model_142_corrected_H_0001_2hth,21
relaxed_2hth_model_143_corrected_H_0001_2hth,14
relaxed_2hth_model_144_corrected_H_0001_2hth,25
relaxed_2hth_model_145_corrected_H_0001_2hth,11
relaxed_2hth_model_146_corrected_H_0001_2hth,15
relaxed_2hth_model_147_corrected_H_0001_2hth,12
relaxed_2hth_model_148_corrected_H_0001_2hth,10
relaxed_2hth_model_149_corrected_H_0001_2hth,9
relaxed_2hth_model_15_corrected_H_0001_2hth,8
relaxed_2hth_model_150_corrected_H_0001_2hth,17
relaxed_2hth_model_151_corrected_H_0001_2hth,18
relaxed_2hth_model_152_corrected_H_0001_2hth,21
relaxed_2hth_model_153_corrected_H_0001_2hth,17
relaxed_2hth_model_154_corrected_H_0001_2hth,17
relaxed_2hth_model_155_corrected_H_0001_2hth,17
relaxed_2hth_model_156_corrected_H_0001_2hth,19
relaxed_2hth_model_157_corrected_H_0001_2hth,15
relaxed_2hth_model_158_corrected_H_0001_2hth,20
relaxed_2hth_model_159_corrected_H_0001_2hth,22
relaxed_2hth_model_16_corrected_H_0001_2hth,13
relaxed_2hth_model_160_corrected_H_0001_2hth,15
relaxed_2hth_model_161_corrected_H_0001_2hth,11
relaxed_2hth_model_162_corrected_H_0001_2hth,18
relaxed_2hth_model_163_corrected_H_0001_2hth,19
relaxed_2hth_model_164_corrected_H_0001_2hth,18
relaxed_2hth_model_165_corrected_H_0001_2hth,23
relaxed_2hth_model_166_corrected_H_0001_2hth,8
relaxed_2hth_model_167_corrected_H_0001_2hth,25
relaxed_2hth_model_168_corrected_H_0001_2hth,17
