pdb_file,patch_alignment_score,chain_patch_consistency_score,avg_patch_score
complex.0_0_24_corrected_H_0001_3fpn,0.6458557588805167,0.5405405405405406,0.5945945945945946
complex.0_10_31_corrected_H_0001_3fpn,1.5069967707212055,1.511879049676026,1.511879049676026
complex.0_10_3_corrected_H_0001_3fpn,0.9687836383207752,0.974025974025974,0.974025974025974
complex.0_10_42_corrected_H_0001_3fpn,0.8611410118406888,0.8667388949079089,0.8667388949079089
complex.0_11_20_corrected_H_0001_3fpn,1.0764262648008611,1.0834236186348862,1.0834236186348862
complex.0_11_39_corrected_H_0001_3fpn,1.3993541442411197,1.406926406926407,1.406926406926407
complex.0_11_49_corrected_H_0001_3fpn,1.1840688912809472,1.1904761904761905,1.1904761904761905
complex.0_11_9_corrected_H_0001_3fpn,0.8611410118406888,0.7592190889370932,0.8134490238611713
complex.0_12_27_corrected_H_0001_3fpn,1.6146393972012916,1.6216216216216215,1.6216216216216215
complex.0_13_14_corrected_H_0001_3fpn,1.2917115177610334,1.3015184381778742,1.3015184381778742
complex.0_13_16_corrected_H_0001_3fpn,1.3993541442411197,1.406926406926407,1.406926406926407
complex.0_13_33_corrected_H_0001_3fpn,1.1840688912809472,1.1891891891891893,1.1891891891891893
complex.0_13_7_corrected_H_0001_3fpn,1.1840688912809472,1.191765980498375,1.191765980498375
complex.0_13_9_corrected_H_0001_3fpn,1.2917115177610334,1.2987012987012987,1.2987012987012987
complex.0_14_1_corrected_H_0001_3fpn,1.5069967707212055,1.5151515151515151,1.5151515151515151
complex.0_14_41_corrected_H_0001_3fpn,1.2917115177610334,1.2972972972972971,1.2972972972972971
complex.0_14_44_corrected_H_0001_3fpn,1.829924650161464,1.8378378378378375,1.8378378378378375
complex.0_14_48_corrected_H_0001_3fpn,1.6146393972012916,1.6216216216216215,1.6216216216216215
complex.0_15_4_corrected_H_0001_3fpn,1.2917115177610334,1.2958963282937366,1.2958963282937366
complex.0_15_7_corrected_H_0001_3fpn,1.6146393972012916,1.6216216216216215,1.6216216216216215
complex.0_16_11_corrected_H_0001_3fpn,1.3993541442411197,1.406926406926407,1.406926406926407
complex.0_16_12_corrected_H_0001_3fpn,1.3993541442411197,1.4054054054054057,1.4054054054054057
complex.0_16_13_corrected_H_0001_3fpn,1.2917115177610334,1.3001083423618636,1.3001083423618636
complex.0_16_14_corrected_H_0001_3fpn,1.3993541442411197,1.4084507042253522,1.4084507042253522
complex.0_16_35_corrected_H_0001_3fpn,1.6146393972012916,1.6251354279523291,1.6251354279523291
complex.0_16_43_corrected_H_0001_3fpn,1.2917115177610334,1.2972972972972971,1.2972972972972971
complex.0_16_47_corrected_H_0001_3fpn,1.9375672766415504,1.9501625135427951,1.9501625135427951
complex.0_17_11_corrected_H_0001_3fpn,1.5069967707212055,1.5151515151515151,1.5151515151515151
complex.0_17_29_corrected_H_0001_3fpn,1.3993541442411197,1.4054054054054057,1.4054054054054057
complex.0_17_46_corrected_H_0001_3fpn,1.2917115177610334,1.2958963282937366,1.2958963282937366
complex.0_18_14_corrected_H_0001_3fpn,1.5069967707212055,1.5151515151515151,1.5151515151515151
complex.0_18_15_corrected_H_0001_3fpn,1.3993541442411197,1.4054054054054057,1.4054054054054057
complex.0_18_26_corrected_H_0001_3fpn,1.7222820236813776,1.7278617710583155,1.7278617710583155
complex.0_1_22_corrected_H_0001_3fpn,0.7534983853606028,0.7583965330444203,0.7583965330444203
complex.0_1_40_corrected_H_0001_3fpn,0.8611410118406888,0.8648648648648649,0.8648648648648649
complex.0_1_42_corrected_H_0001_3fpn,0.7534983853606028,0.7567567567567568,0.7567567567567568
complex.0_2_14_corrected_H_0001_3fpn,0.9687836383207752,0.9729729729729728,0.9729729729729728
complex.0_2_1_corrected_H_0001_3fpn,0.6458557588805167,0.6493506493506493,0.6493506493506493
complex.0_2_25_corrected_H_0001_3fpn,0.8611410118406888,0.8667388949079089,0.8667388949079089
complex.0_2_2_corrected_H_0001_3fpn,1.0764262648008611,1.079913606911447,1.079913606911447
complex.0_2_34_corrected_H_0001_3fpn,0.7534983853606028,0.7567567567567568,0.7567567567567568
complex.0_3_11_corrected_H_0001_3fpn,1.2917115177610334,1.2987012987012987,1.2987012987012987
complex.0_3_32_corrected_H_0001_3fpn,0.6458557588805167,0.6486486486486486,0.6486486486486486
complex.0_3_40_corrected_H_0001_3fpn,0.9687836383207752,0.974025974025974,0.974025974025974
complex.0_3_46_corrected_H_0001_3fpn,0.9687836383207752,0.974025974025974,0.974025974025974
complex.0_3_4_corrected_H_0001_3fpn,1.2917115177610334,1.3001083423618636,1.3001083423618636
complex.0_3_5_corrected_H_0001_3fpn,1.2917115177610334,1.2972972972972971,1.2972972972972971
complex.0_4_11_corrected_H_0001_3fpn,1.6146393972012916,1.6216216216216215,1.6216216216216215
complex.0_4_17_corrected_H_0001_3fpn,1.0764262648008611,1.0810810810810811,1.0810810810810811
complex.0_4_41_corrected_H_0001_3fpn,1.1840688912809472,1.1904761904761905,1.1904761904761905
complex.0_4_42_corrected_H_0001_3fpn,1.5069967707212055,1.516793066088841,1.516793066088841
complex.0_5_14_corrected_H_0001_3fpn,1.1840688912809472,1.1904761904761905,1.1904761904761905
