pdb_file,all_contacts
complex.0_0_33_corrected_H_0001_5mu7,364
complex.0_0_41_corrected_H_0001_5mu7,293
complex.0_0_44_corrected_H_0001_5mu7,206
complex.0_10_26_corrected_H_0001_5mu7,494
complex.0_10_30_corrected_H_0001_5mu7,751
complex.0_10_8_corrected_H_0001_5mu7,798
complex.0_10_9_corrected_H_0001_5mu7,797
complex.0_11_21_corrected_H_0001_5mu7,839
complex.0_11_22_corrected_H_0001_5mu7,718
complex.0_11_25_corrected_H_0001_5mu7,765
complex.0_11_29_corrected_H_0001_5mu7,796
complex.0_11_38_corrected_H_0001_5mu7,776
complex.0_11_45_corrected_H_0001_5mu7,767
complex.0_11_5_corrected_H_0001_5mu7,754
complex.0_12_12_corrected_H_0001_5mu7,692
complex.0_12_18_corrected_H_0001_5mu7,649
complex.0_12_1_corrected_H_0001_5mu7,832
complex.0_12_3_corrected_H_0001_5mu7,831
complex.0_13_33_corrected_H_0001_5mu7,827
complex.0_13_43_corrected_H_0001_5mu7,860
complex.0_13_49_corrected_H_0001_5mu7,602
complex.0_13_4_corrected_H_0001_5mu7,832
complex.0_13_6_corrected_H_0001_5mu7,846
complex.0_14_22_corrected_H_0001_5mu7,779
complex.0_14_41_corrected_H_0001_5mu7,754
complex.0_14_45_corrected_H_0001_5mu7,836
complex.0_14_9_corrected_H_0001_5mu7,821
complex.0_15_0_corrected_H_0001_5mu7,727
complex.0_15_1_corrected_H_0001_5mu7,893
complex.0_15_44_corrected_H_0001_5mu7,840
complex.0_15_45_corrected_H_0001_5mu7,835
complex.0_16_11_corrected_H_0001_5mu7,789
complex.0_16_34_corrected_H_0001_5mu7,827
complex.0_17_15_corrected_H_0001_5mu7,820
complex.0_17_19_corrected_H_0001_5mu7,855
complex.0_17_7_corrected_H_0001_5mu7,889
complex.0_18_4_corrected_H_0001_5mu7,896
complex.0_1_0_corrected_H_0001_5mu7,187
complex.0_1_11_corrected_H_0001_5mu7,307
complex.0_1_12_corrected_H_0001_5mu7,326
complex.0_1_28_corrected_H_0001_5mu7,197
complex.0_1_30_corrected_H_0001_5mu7,274
complex.0_1_36_corrected_H_0001_5mu7,557
complex.0_1_42_corrected_H_0001_5mu7,218
complex.0_1_46_corrected_H_0001_5mu7,596
complex.0_2_25_corrected_H_0001_5mu7,575
complex.0_2_28_corrected_H_0001_5mu7,369
complex.0_2_33_corrected_H_0001_5mu7,425
complex.0_2_35_corrected_H_0001_5mu7,326
complex.0_2_45_corrected_H_0001_5mu7,379
complex.0_2_48_corrected_H_0001_5mu7,633
complex.0_3_11_corrected_H_0001_5mu7,384
complex.0_3_19_corrected_H_0001_5mu7,436
complex.0_3_26_corrected_H_0001_5mu7,304
complex.0_3_30_corrected_H_0001_5mu7,375
complex.0_4_18_corrected_H_0001_5mu7,520
complex.0_4_48_corrected_H_0001_5mu7,696
complex.0_4_49_corrected_H_0001_5mu7,465
complex.0_4_8_corrected_H_0001_5mu7,752
complex.0_5_0_corrected_H_0001_5mu7,566
complex.0_5_14_corrected_H_0001_5mu7,305
complex.0_5_16_corrected_H_0001_5mu7,667
complex.0_5_17_corrected_H_0001_5mu7,478
complex.0_5_33_corrected_H_0001_5mu7,647
complex.0_5_34_corrected_H_0001_5mu7,743
complex.0_6_44_corrected_H_0001_5mu7,453
complex.0_6_45_corrected_H_0001_5mu7,461
complex.0_6_48_corrected_H_0001_5mu7,574
complex.0_6_6_corrected_H_0001_5mu7,513
complex.0_6_7_corrected_H_0001_5mu7,572
complex.0_7_12_corrected_H_0001_5mu7,537
complex.0_7_14_corrected_H_0001_5mu7,430
complex.0_7_19_corrected_H_0001_5mu7,557
complex.0_7_37_corrected_H_0001_5mu7,466
complex.0_7_47_corrected_H_0001_5mu7,734
complex.0_8_10_corrected_H_0001_5mu7,553
complex.0_8_14_corrected_H_0001_5mu7,649
complex.0_8_24_corrected_H_0001_5mu7,574
complex.0_8_29_corrected_H_0001_5mu7,630
complex.0_8_37_corrected_H_0001_5mu7,504
complex.0_8_39_corrected_H_0001_5mu7,616
complex.0_8_49_corrected_H_0001_5mu7,494
complex.0_8_4_corrected_H_0001_5mu7,483
complex.0_8_6_corrected_H_0001_5mu7,415
complex.0_8_9_corrected_H_0001_5mu7,679
complex.0_9_16_corrected_H_0001_5mu7,619
complex.0_9_32_corrected_H_0001_5mu7,403
complex.0_9_44_corrected_H_0001_5mu7,696
complex.0_9_46_corrected_H_0001_5mu7,756
complex.0_9_5_corrected_H_0001_5mu7,776
complex.1_0_14_corrected_H_0001_5mu7,225
complex.1_0_22_corrected_H_0001_5mu7,203
complex.1_0_34_corrected_H_0001_5mu7,323
complex.1_0_42_corrected_H_0001_5mu7,299
complex.1_10_11_corrected_H_0001_5mu7,801
complex.1_10_15_corrected_H_0001_5mu7,831
complex.1_10_20_corrected_H_0001_5mu7,524
complex.1_10_31_corrected_H_0001_5mu7,592
complex.1_11_13_corrected_H_0001_5mu7,740
complex.1_11_42_corrected_H_0001_5mu7,612
complex.1_11_47_corrected_H_0001_5mu7,628
complex.1_12_10_corrected_H_0001_5mu7,762
complex.1_12_21_corrected_H_0001_5mu7,919
complex.1_12_22_corrected_H_0001_5mu7,830
complex.1_12_27_corrected_H_0001_5mu7,752
complex.1_12_2_corrected_H_0001_5mu7,758
complex.1_12_6_corrected_H_0001_5mu7,876
complex.1_13_10_corrected_H_0001_5mu7,708
complex.1_13_11_corrected_H_0001_5mu7,757
complex.1_13_21_corrected_H_0001_5mu7,979
complex.1_13_38_corrected_H_0001_5mu7,724
complex.1_13_41_corrected_H_0001_5mu7,642
complex.1_13_42_corrected_H_0001_5mu7,703
complex.1_14_0_corrected_H_0001_5mu7,799
complex.1_14_24_corrected_H_0001_5mu7,649
complex.1_14_25_corrected_H_0001_5mu7,861
complex.1_14_2_corrected_H_0001_5mu7,758
complex.1_15_20_corrected_H_0001_5mu7,887
complex.1_15_25_corrected_H_0001_5mu7,744
complex.1_15_37_corrected_H_0001_5mu7,917
complex.1_15_38_corrected_H_0001_5mu7,641
complex.1_15_47_corrected_H_0001_5mu7,830
complex.1_16_15_corrected_H_0001_5mu7,914
complex.1_16_32_corrected_H_0001_5mu7,849
complex.1_16_38_corrected_H_0001_5mu7,760
complex.1_17_13_corrected_H_0001_5mu7,803
complex.1_17_3_corrected_H_0001_5mu7,831
complex.1_17_4_corrected_H_0001_5mu7,779
complex.1_18_6_corrected_H_0001_5mu7,835
complex.1_1_33_corrected_H_0001_5mu7,504
complex.1_1_37_corrected_H_0001_5mu7,396
complex.1_1_41_corrected_H_0001_5mu7,272
complex.1_1_47_corrected_H_0001_5mu7,378
complex.1_2_24_corrected_H_0001_5mu7,610
complex.1_2_26_corrected_H_0001_5mu7,369
complex.1_2_30_corrected_H_0001_5mu7,607
complex.1_3_17_corrected_H_0001_5mu7,502
complex.1_3_18_corrected_H_0001_5mu7,585
complex.1_3_20_corrected_H_0001_5mu7,275
complex.1_3_33_corrected_H_0001_5mu7,504
complex.1_3_38_corrected_H_0001_5mu7,565
complex.1_3_39_corrected_H_0001_5mu7,676
complex.1_3_46_corrected_H_0001_5mu7,356
complex.1_4_22_corrected_H_0001_5mu7,610
complex.1_4_30_corrected_H_0001_5mu7,502
complex.1_4_35_corrected_H_0001_5mu7,543
complex.1_4_41_corrected_H_0001_5mu7,605
complex.1_4_9_corrected_H_0001_5mu7,483
complex.1_5_18_corrected_H_0001_5mu7,675
complex.1_5_19_corrected_H_0001_5mu7,552
complex.1_5_25_corrected_H_0001_5mu7,526
