pdb_file,all_contacts
complex.0_0_19_corrected_H_0001_4dhi,185
complex.0_0_28_corrected_H_0001_4dhi,274
complex.0_0_3_corrected_H_0001_4dhi,296
complex.0_0_40_corrected_H_0001_4dhi,261
complex.0_0_6_corrected_H_0001_4dhi,259
complex.0_10_13_corrected_H_0001_4dhi,489
complex.0_10_29_corrected_H_0001_4dhi,229
complex.0_10_31_corrected_H_0001_4dhi,440
complex.0_10_40_corrected_H_0001_4dhi,393
complex.0_10_4_corrected_H_0001_4dhi,223
complex.0_11_19_corrected_H_0001_4dhi,242
complex.0_11_36_corrected_H_0001_4dhi,297
complex.0_11_45_corrected_H_0001_4dhi,343
complex.0_12_15_corrected_H_0001_4dhi,329
complex.0_12_19_corrected_H_0001_4dhi,275
complex.0_12_6_corrected_H_0001_4dhi,291
complex.0_12_7_corrected_H_0001_4dhi,371
complex.0_13_14_corrected_H_0001_4dhi,306
complex.0_13_19_corrected_H_0001_4dhi,342
complex.0_13_21_corrected_H_0001_4dhi,348
complex.0_13_2_corrected_H_0001_4dhi,323
complex.0_13_48_corrected_H_0001_4dhi,374
complex.0_14_30_corrected_H_0001_4dhi,382
complex.0_14_34_corrected_H_0001_4dhi,259
complex.0_14_4_corrected_H_0001_4dhi,373
complex.0_14_7_corrected_H_0001_4dhi,298
complex.0_14_8_corrected_H_0001_4dhi,349
complex.0_15_10_corrected_H_0001_4dhi,360
complex.0_15_15_corrected_H_0001_4dhi,330
complex.0_16_1_corrected_H_0001_4dhi,288
complex.0_16_28_corrected_H_0001_4dhi,382
complex.0_16_38_corrected_H_0001_4dhi,387
complex.0_16_39_corrected_H_0001_4dhi,376
complex.0_16_43_corrected_H_0001_4dhi,328
complex.0_16_44_corrected_H_0001_4dhi,358
complex.0_17_0_corrected_H_0001_4dhi,353
complex.0_17_22_corrected_H_0001_4dhi,442
complex.0_17_31_corrected_H_0001_4dhi,316
complex.0_17_44_corrected_H_0001_4dhi,378
complex.0_17_45_corrected_H_0001_4dhi,364
complex.0_17_4_corrected_H_0001_4dhi,365
complex.0_18_19_corrected_H_0001_4dhi,370
complex.0_18_2_corrected_H_0001_4dhi,367
complex.0_1_13_corrected_H_0001_4dhi,145
complex.0_1_32_corrected_H_0001_4dhi,252
complex.0_1_3_corrected_H_0001_4dhi,296
complex.0_1_43_corrected_H_0001_4dhi,350
complex.0_1_45_corrected_H_0001_4dhi,313
complex.0_1_4_corrected_H_0001_4dhi,170
complex.0_1_5_corrected_H_0001_4dhi,220
complex.0_2_2_corrected_H_0001_4dhi,336
complex.0_2_3_corrected_H_0001_4dhi,251
complex.0_3_11_corrected_H_0001_4dhi,288
complex.0_3_17_corrected_H_0001_4dhi,362
complex.0_3_26_corrected_H_0001_4dhi,178
complex.0_3_35_corrected_H_0001_4dhi,140
complex.0_3_4_corrected_H_0001_4dhi,258
complex.0_3_8_corrected_H_0001_4dhi,231
complex.0_4_1_corrected_H_0001_4dhi,208
complex.0_4_22_corrected_H_0001_4dhi,200
complex.0_4_31_corrected_H_0001_4dhi,238
complex.0_4_32_corrected_H_0001_4dhi,235
complex.0_4_45_corrected_H_0001_4dhi,276
complex.0_4_7_corrected_H_0001_4dhi,226
complex.0_5_2_corrected_H_0001_4dhi,291
complex.0_5_43_corrected_H_0001_4dhi,263
complex.0_6_34_corrected_H_0001_4dhi,332
complex.0_6_35_corrected_H_0001_4dhi,186
complex.0_6_37_corrected_H_0001_4dhi,296
complex.0_6_44_corrected_H_0001_4dhi,225
complex.0_7_12_corrected_H_0001_4dhi,232
complex.0_7_17_corrected_H_0001_4dhi,337
complex.0_7_38_corrected_H_0001_4dhi,255
complex.0_7_48_corrected_H_0001_4dhi,331
complex.0_7_5_corrected_H_0001_4dhi,306
complex.0_8_30_corrected_H_0001_4dhi,286
complex.0_8_3_corrected_H_0001_4dhi,307
complex.0_8_40_corrected_H_0001_4dhi,317
complex.0_8_41_corrected_H_0001_4dhi,434
complex.0_8_47_corrected_H_0001_4dhi,259
complex.0_9_7_corrected_H_0001_4dhi,308
complex.0_9_8_corrected_H_0001_4dhi,297
complex.1_0_16_corrected_H_0001_4dhi,336
complex.1_0_33_corrected_H_0001_4dhi,235
complex.1_0_36_corrected_H_0001_4dhi,203
complex.1_0_37_corrected_H_0001_4dhi,366
complex.1_0_5_corrected_H_0001_4dhi,238
complex.1_10_17_corrected_H_0001_4dhi,234
complex.1_10_26_corrected_H_0001_4dhi,291
complex.1_10_28_corrected_H_0001_4dhi,345
complex.1_10_30_corrected_H_0001_4dhi,265
complex.1_10_36_corrected_H_0001_4dhi,373
complex.1_10_41_corrected_H_0001_4dhi,325
complex.1_11_22_corrected_H_0001_4dhi,340
complex.1_11_26_corrected_H_0001_4dhi,319
complex.1_11_28_corrected_H_0001_4dhi,365
complex.1_11_31_corrected_H_0001_4dhi,314
complex.1_11_33_corrected_H_0001_4dhi,367
complex.1_11_43_corrected_H_0001_4dhi,276
complex.1_11_44_corrected_H_0001_4dhi,365
