pdb_file,all_contacts
complex.0_0_14_corrected_H_0001_4u1c,404
complex.0_0_26_corrected_H_0001_4u1c,489
complex.0_0_29_corrected_H_0001_4u1c,282
complex.0_0_31_corrected_H_0001_4u1c,348
complex.0_0_9_corrected_H_0001_4u1c,420
complex.0_10_19_corrected_H_0001_4u1c,664
complex.0_10_37_corrected_H_0001_4u1c,724
complex.0_10_42_corrected_H_0001_4u1c,486
complex.0_11_19_corrected_H_0001_4u1c,588
complex.0_11_33_corrected_H_0001_4u1c,444
complex.0_12_12_corrected_H_0001_4u1c,506
complex.0_12_30_corrected_H_0001_4u1c,601
complex.0_12_32_corrected_H_0001_4u1c,395
complex.0_13_28_corrected_H_0001_4u1c,714
complex.0_13_32_corrected_H_0001_4u1c,538
complex.0_13_36_corrected_H_0001_4u1c,703
complex.0_13_40_corrected_H_0001_4u1c,788
complex.0_14_13_corrected_H_0001_4u1c,564
complex.0_14_20_corrected_H_0001_4u1c,744
complex.0_14_30_corrected_H_0001_4u1c,519
complex.0_14_34_corrected_H_0001_4u1c,569
complex.0_14_3_corrected_H_0001_4u1c,760
complex.0_14_6_corrected_H_0001_4u1c,706
complex.0_15_11_corrected_H_0001_4u1c,761
complex.0_15_15_corrected_H_0001_4u1c,740
complex.0_15_16_corrected_H_0001_4u1c,605
complex.0_15_5_corrected_H_0001_4u1c,631
complex.0_15_7_corrected_H_0001_4u1c,680
complex.0_16_14_corrected_H_0001_4u1c,658
complex.0_16_29_corrected_H_0001_4u1c,600
complex.0_17_12_corrected_H_0001_4u1c,724
complex.0_17_1_corrected_H_0001_4u1c,593
complex.0_18_3_corrected_H_0001_4u1c,755
complex.0_1_16_corrected_H_0001_4u1c,250
complex.0_1_21_corrected_H_0001_4u1c,469
complex.0_1_39_corrected_H_0001_4u1c,502
complex.0_1_9_corrected_H_0001_4u1c,445
complex.0_2_21_corrected_H_0001_4u1c,340
complex.0_2_24_corrected_H_0001_4u1c,251
complex.0_2_32_corrected_H_0001_4u1c,262
complex.0_2_3_corrected_H_0001_4u1c,384
complex.0_2_6_corrected_H_0001_4u1c,429
complex.0_3_15_corrected_H_0001_4u1c,553
complex.0_3_20_corrected_H_0001_4u1c,336
complex.0_3_29_corrected_H_0001_4u1c,461
complex.0_3_5_corrected_H_0001_4u1c,401
complex.0_4_37_corrected_H_0001_4u1c,454
complex.0_4_38_corrected_H_0001_4u1c,402
complex.0_4_9_corrected_H_0001_4u1c,387
complex.0_5_28_corrected_H_0001_4u1c,401
complex.0_5_9_corrected_H_0001_4u1c,387
complex.0_6_10_corrected_H_0001_4u1c,504
complex.0_6_26_corrected_H_0001_4u1c,439
complex.0_6_31_corrected_H_0001_4u1c,492
complex.0_6_32_corrected_H_0001_4u1c,525
complex.0_6_34_corrected_H_0001_4u1c,613
complex.0_6_35_corrected_H_0001_4u1c,511
complex.0_7_5_corrected_H_0001_4u1c,636
complex.0_8_0_corrected_H_0001_4u1c,298
complex.0_8_14_corrected_H_0001_4u1c,626
complex.0_8_18_corrected_H_0001_4u1c,384
complex.0_8_22_corrected_H_0001_4u1c,584
complex.0_8_42_corrected_H_0001_4u1c,441
complex.0_9_27_corrected_H_0001_4u1c,620
complex.0_9_33_corrected_H_0001_4u1c,696
complex.0_9_37_corrected_H_0001_4u1c,421
complex.0_9_39_corrected_H_0001_4u1c,399
complex.0_9_6_corrected_H_0001_4u1c,506
complex.0_9_9_corrected_H_0001_4u1c,583
complex.1_0_33_corrected_H_0001_4u1c,310
complex.1_0_38_corrected_H_0001_4u1c,257
complex.1_0_45_corrected_H_0001_4u1c,252
complex.1_10_18_corrected_H_0001_4u1c,603
complex.1_10_21_corrected_H_0001_4u1c,451
complex.1_10_25_corrected_H_0001_4u1c,603
complex.1_10_28_corrected_H_0001_4u1c,503
complex.1_10_29_corrected_H_0001_4u1c,571
complex.1_10_2_corrected_H_0001_4u1c,547
complex.1_10_48_corrected_H_0001_4u1c,644
complex.1_10_6_corrected_H_0001_4u1c,646
complex.1_11_16_corrected_H_0001_4u1c,500
complex.1_11_21_corrected_H_0001_4u1c,461
complex.1_12_26_corrected_H_0001_4u1c,430
complex.1_12_27_corrected_H_0001_4u1c,537
complex.1_12_31_corrected_H_0001_4u1c,569
complex.1_12_36_corrected_H_0001_4u1c,544
complex.1_12_42_corrected_H_0001_4u1c,578
complex.1_13_10_corrected_H_0001_4u1c,738
complex.1_13_11_corrected_H_0001_4u1c,487
complex.1_13_19_corrected_H_0001_4u1c,476
complex.1_13_1_corrected_H_0001_4u1c,592
complex.1_13_26_corrected_H_0001_4u1c,550
complex.1_13_3_corrected_H_0001_4u1c,774
complex.1_13_5_corrected_H_0001_4u1c,566
complex.1_13_6_corrected_H_0001_4u1c,690
complex.1_14_21_corrected_H_0001_4u1c,706
complex.1_14_43_corrected_H_0001_4u1c,779
complex.1_14_47_corrected_H_0001_4u1c,656
complex.1_14_49_corrected_H_0001_4u1c,408
complex.1_15_18_corrected_H_0001_4u1c,543
complex.1_15_19_corrected_H_0001_4u1c,791
complex.1_15_25_corrected_H_0001_4u1c,708
complex.1_15_31_corrected_H_0001_4u1c,726
complex.1_15_37_corrected_H_0001_4u1c,677
complex.1_15_8_corrected_H_0001_4u1c,520
complex.1_16_6_corrected_H_0001_4u1c,746
complex.1_17_8_corrected_H_0001_4u1c,743
complex.1_18_0_corrected_H_0001_4u1c,777
complex.1_1_11_corrected_H_0001_4u1c,332
complex.1_1_37_corrected_H_0001_4u1c,306
complex.1_1_3_corrected_H_0001_4u1c,219
complex.1_2_0_corrected_H_0001_4u1c,487
complex.1_2_11_corrected_H_0001_4u1c,461
complex.1_2_12_corrected_H_0001_4u1c,227
complex.1_2_26_corrected_H_0001_4u1c,334
complex.1_2_27_corrected_H_0001_4u1c,647
complex.1_2_5_corrected_H_0001_4u1c,519
complex.1_3_11_corrected_H_0001_4u1c,439
complex.1_3_23_corrected_H_0001_4u1c,607
complex.1_3_25_corrected_H_0001_4u1c,261
complex.1_3_35_corrected_H_0001_4u1c,448
complex.1_3_40_corrected_H_0001_4u1c,432
complex.1_4_18_corrected_H_0001_4u1c,397
