pdb_file,all_contacts
sampled_2hth_model_1_2hth,349
sampled_2hth_model_10_2hth,190
sampled_2hth_model_100_2hth,296
sampled_2hth_model_101_2hth,209
sampled_2hth_model_102_2hth,185
sampled_2hth_model_103_2hth,203
sampled_2hth_model_104_2hth,287
sampled_2hth_model_105_2hth,180
sampled_2hth_model_106_2hth,159
sampled_2hth_model_107_2hth,315
sampled_2hth_model_108_2hth,279
sampled_2hth_model_109_2hth,168
sampled_2hth_model_11_2hth,285
sampled_2hth_model_110_2hth,212
sampled_2hth_model_111_2hth,173
sampled_2hth_model_112_2hth,162
sampled_2hth_model_113_2hth,160
sampled_2hth_model_114_2hth,215
sampled_2hth_model_115_2hth,310
sampled_2hth_model_116_2hth,371
sampled_2hth_model_117_2hth,265
sampled_2hth_model_118_2hth,200
sampled_2hth_model_119_2hth,206
sampled_2hth_model_12_2hth,159
sampled_2hth_model_120_2hth,220
sampled_2hth_model_121_2hth,254
sampled_2hth_model_122_2hth,205
sampled_2hth_model_123_2hth,289
sampled_2hth_model_124_2hth,310
sampled_2hth_model_125_2hth,261
sampled_2hth_model_126_2hth,164
sampled_2hth_model_127_2hth,277
sampled_2hth_model_128_2hth,253
sampled_2hth_model_129_2hth,327
sampled_2hth_model_13_2hth,193
sampled_2hth_model_130_2hth,309
sampled_2hth_model_131_2hth,220
sampled_2hth_model_132_2hth,298
sampled_2hth_model_133_2hth,171
sampled_2hth_model_134_2hth,240
sampled_2hth_model_135_2hth,391
sampled_2hth_model_136_2hth,241
sampled_2hth_model_137_2hth,255
sampled_2hth_model_138_2hth,315
sampled_2hth_model_139_2hth,262
sampled_2hth_model_14_2hth,116
sampled_2hth_model_140_2hth,263
sampled_2hth_model_141_2hth,416
sampled_2hth_model_142_2hth,286
sampled_2hth_model_143_2hth,210
sampled_2hth_model_144_2hth,334
sampled_2hth_model_145_2hth,187
sampled_2hth_model_146_2hth,209
sampled_2hth_model_147_2hth,207
sampled_2hth_model_148_2hth,237
sampled_2hth_model_149_2hth,166
sampled_2hth_model_15_2hth,132
sampled_2hth_model_150_2hth,347
sampled_2hth_model_151_2hth,255
sampled_2hth_model_152_2hth,289
sampled_2hth_model_153_2hth,199
sampled_2hth_model_154_2hth,231
sampled_2hth_model_155_2hth,269
sampled_2hth_model_156_2hth,261
sampled_2hth_model_157_2hth,191
sampled_2hth_model_158_2hth,265
sampled_2hth_model_159_2hth,323
sampled_2hth_model_16_2hth,330
sampled_2hth_model_160_2hth,245
sampled_2hth_model_161_2hth,192
sampled_2hth_model_162_2hth,154
sampled_2hth_model_163_2hth,263
sampled_2hth_model_164_2hth,192
sampled_2hth_model_165_2hth,287
sampled_2hth_model_166_2hth,102
sampled_2hth_model_167_2hth,270
sampled_2hth_model_168_2hth,229
sampled_2hth_model_169_2hth,157
sampled_2hth_model_17_2hth,150
sampled_2hth_model_170_2hth,230
sampled_2hth_model_171_2hth,258
sampled_2hth_model_172_2hth,514
sampled_2hth_model_173_2hth,270
sampled_2hth_model_174_2hth,361
sampled_2hth_model_175_2hth,348
sampled_2hth_model_176_2hth,322
sampled_2hth_model_177_2hth,164
sampled_2hth_model_178_2hth,289
sampled_2hth_model_179_2hth,195
sampled_2hth_model_18_2hth,173
sampled_2hth_model_180_2hth,253
sampled_2hth_model_181_2hth,232
sampled_2hth_model_182_2hth,183
sampled_2hth_model_183_2hth,315
sampled_2hth_model_184_2hth,241
sampled_2hth_model_185_2hth,240
sampled_2hth_model_186_2hth,372
sampled_2hth_model_187_2hth,189
sampled_2hth_model_188_2hth,231
sampled_2hth_model_189_2hth,367
sampled_2hth_model_19_2hth,120
sampled_2hth_model_190_2hth,193
sampled_2hth_model_191_2hth,273
sampled_2hth_model_192_2hth,196
sampled_2hth_model_193_2hth,171
sampled_2hth_model_194_2hth,236
sampled_2hth_model_195_2hth,218
sampled_2hth_model_196_2hth,206
sampled_2hth_model_197_2hth,111
sampled_2hth_model_198_2hth,221
sampled_2hth_model_199_2hth,234
sampled_2hth_model_2_2hth,116
sampled_2hth_model_20_2hth,142
sampled_2hth_model_200_2hth,150
sampled_2hth_model_201_2hth,271
sampled_2hth_model_202_2hth,244
sampled_2hth_model_203_2hth,349
sampled_2hth_model_204_2hth,224
sampled_2hth_model_205_2hth,277
sampled_2hth_model_206_2hth,240
sampled_2hth_model_207_2hth,262
sampled_2hth_model_208_2hth,216
sampled_2hth_model_209_2hth,257
sampled_2hth_model_21_2hth,140
sampled_2hth_model_210_2hth,216
sampled_2hth_model_211_2hth,127
sampled_2hth_model_212_2hth,234
sampled_2hth_model_213_2hth,367
sampled_2hth_model_214_2hth,226
sampled_2hth_model_215_2hth,346
sampled_2hth_model_216_2hth,138
sampled_2hth_model_217_2hth,167
sampled_2hth_model_218_2hth,220
sampled_2hth_model_219_2hth,372
sampled_2hth_model_22_2hth,183
sampled_2hth_model_220_2hth,274
sampled_2hth_model_221_2hth,215
sampled_2hth_model_222_2hth,249
sampled_2hth_model_223_2hth,243
sampled_2hth_model_224_2hth,261
sampled_2hth_model_225_2hth,406
sampled_2hth_model_226_2hth,324
sampled_2hth_model_227_2hth,268
sampled_2hth_model_228_2hth,179
sampled_2hth_model_229_2hth,203
sampled_2hth_model_23_2hth,191
sampled_2hth_model_230_2hth,257
sampled_2hth_model_231_2hth,370
sampled_2hth_model_232_2hth,205
sampled_2hth_model_233_2hth,259
sampled_2hth_model_234_2hth,235
sampled_2hth_model_235_2hth,188
sampled_2hth_model_236_2hth,269
sampled_2hth_model_237_2hth,142
sampled_2hth_model_238_2hth,240
sampled_2hth_model_239_2hth,232
sampled_2hth_model_24_2hth,231
sampled_2hth_model_240_2hth,248
sampled_2hth_model_241_2hth,273
sampled_2hth_model_242_2hth,195
sampled_2hth_model_243_2hth,297
sampled_2hth_model_244_2hth,184
sampled_2hth_model_245_2hth,247
sampled_2hth_model_246_2hth,236
sampled_2hth_model_247_2hth,267
sampled_2hth_model_248_2hth,231
sampled_2hth_model_249_2hth,254
sampled_2hth_model_25_2hth,202
sampled_2hth_model_250_2hth,203
sampled_2hth_model_251_2hth,249
sampled_2hth_model_252_2hth,276
sampled_2hth_model_253_2hth,254
sampled_2hth_model_254_2hth,290
sampled_2hth_model_255_2hth,178
sampled_2hth_model_256_2hth,252
sampled_2hth_model_257_2hth,192
sampled_2hth_model_258_2hth,201
sampled_2hth_model_259_2hth,160
sampled_2hth_model_26_2hth,155
sampled_2hth_model_260_2hth,278
sampled_2hth_model_261_2hth,234
sampled_2hth_model_262_2hth,183
sampled_2hth_model_263_2hth,303
sampled_2hth_model_264_2hth,285
sampled_2hth_model_265_2hth,247
sampled_2hth_model_266_2hth,214
sampled_2hth_model_267_2hth,208
sampled_2hth_model_268_2hth,147
sampled_2hth_model_269_2hth,243
sampled_2hth_model_27_2hth,131
sampled_2hth_model_270_2hth,136
sampled_2hth_model_271_2hth,144
sampled_2hth_model_272_2hth,171
sampled_2hth_model_273_2hth,183
sampled_2hth_model_274_2hth,192
sampled_2hth_model_275_2hth,268
sampled_2hth_model_276_2hth,240
sampled_2hth_model_277_2hth,181
sampled_2hth_model_278_2hth,251
sampled_2hth_model_279_2hth,224
sampled_2hth_model_28_2hth,224
sampled_2hth_model_280_2hth,233
sampled_2hth_model_281_2hth,268
sampled_2hth_model_282_2hth,180
sampled_2hth_model_283_2hth,265
sampled_2hth_model_284_2hth,243
sampled_2hth_model_285_2hth,232
sampled_2hth_model_286_2hth,178
sampled_2hth_model_287_2hth,193
sampled_2hth_model_288_2hth,294
sampled_2hth_model_289_2hth,150
sampled_2hth_model_29_2hth,274
sampled_2hth_model_290_2hth,219
sampled_2hth_model_291_2hth,151
sampled_2hth_model_292_2hth,250
sampled_2hth_model_293_2hth,253
sampled_2hth_model_294_2hth,207
sampled_2hth_model_295_2hth,294
sampled_2hth_model_296_2hth,252
sampled_2hth_model_297_2hth,192
sampled_2hth_model_298_2hth,159
sampled_2hth_model_299_2hth,189
sampled_2hth_model_3_2hth,274
sampled_2hth_model_30_2hth,179
sampled_2hth_model_300_2hth,144
sampled_2hth_model_301_2hth,221
sampled_2hth_model_302_2hth,211
sampled_2hth_model_303_2hth,184
sampled_2hth_model_304_2hth,322
sampled_2hth_model_305_2hth,221
sampled_2hth_model_306_2hth,197
sampled_2hth_model_307_2hth,258
sampled_2hth_model_308_2hth,207
sampled_2hth_model_309_2hth,132
sampled_2hth_model_31_2hth,174
sampled_2hth_model_310_2hth,245
sampled_2hth_model_311_2hth,164
sampled_2hth_model_312_2hth,147
sampled_2hth_model_313_2hth,317
sampled_2hth_model_314_2hth,139
sampled_2hth_model_315_2hth,277
sampled_2hth_model_316_2hth,219
sampled_2hth_model_317_2hth,243
sampled_2hth_model_318_2hth,329
sampled_2hth_model_319_2hth,224
sampled_2hth_model_32_2hth,285
sampled_2hth_model_320_2hth,264
sampled_2hth_model_321_2hth,292
sampled_2hth_model_322_2hth,261
sampled_2hth_model_323_2hth,263
sampled_2hth_model_324_2hth,272
sampled_2hth_model_325_2hth,361
sampled_2hth_model_326_2hth,169
sampled_2hth_model_327_2hth,233
sampled_2hth_model_328_2hth,211
sampled_2hth_model_329_2hth,277
sampled_2hth_model_33_2hth,123
sampled_2hth_model_330_2hth,307
sampled_2hth_model_331_2hth,243
sampled_2hth_model_332_2hth,290
sampled_2hth_model_333_2hth,241
sampled_2hth_model_334_2hth,189
sampled_2hth_model_335_2hth,277
sampled_2hth_model_336_2hth,277
sampled_2hth_model_337_2hth,243
sampled_2hth_model_338_2hth,295
sampled_2hth_model_339_2hth,307
sampled_2hth_model_34_2hth,155
sampled_2hth_model_340_2hth,238
