pdb_file,score,weighted_avg,avg,standard_dev
sampled_3k9p_model_1,"(6012079.5, 1002013.25, 2453910.0, 0.0)"
sampled_3k9p_model_10,"(6000540.0, 1000090.0, 2449200.0, 0.0)"
sampled_3k9p_model_100,"(6000540.0, 1000090.0, 2449200.0, 0.0)"
sampled_3k9p_model_101,"(6004386.5, 1000731.0833333334, 2450770.0, 0.0)"
sampled_3k9p_model_102,"(6000540.0, 1000090.0, 2449200.0, 0.0)"
sampled_3k9p_model_103,"(6004386.5, 1000731.0833333334, 2450770.0, 0.0)"
sampled_3k9p_model_104,"(5996693.5, 999448.9166666666, 2447630.0, 0.0)"
sampled_3k9p_model_105,"(5592340.0, 1118468.0, 2449200.0, 0.0)"
sampled_3k9p_model_106,"(6000540.0, 1000090.0, 2449200.0, 0.0)"
sampled_3k9p_model_107,"(6004386.5, 1000731.0833333334, 2450770.0, 0.0)"
sampled_3k9p_model_108,"(6000540.0, 1000090.0, 2449200.0, 0.0)"
sampled_3k9p_model_109,"(5996693.5, 999448.9166666666, 2447630.0, 0.0)"
sampled_3k9p_model_11,"(5599509.666666667, 1119901.9333333333, 2452340.0, 0.0)"
sampled_3k9p_model_110,"(6008233.0, 1001372.1666666666, 2452340.0, 0.0)"
sampled_3k9p_model_111,"(5996693.5, 999448.9166666666, 2447630.0, 0.0)"
sampled_3k9p_model_112,"(6000540.0, 1000090.0, 2449200.0, 0.0)"
sampled_3k9p_model_113,"(6000540.0, 1000090.0, 2449200.0, 0.0)"
sampled_3k9p_model_114,"(6008233.0, 1001372.1666666666, 2452340.0, 0.0)"
sampled_3k9p_model_115,"(5992847.0, 998807.8333333334, 2446060.0, 0.0)"
sampled_3k9p_model_116,"(6004386.5, 1000731.0833333334, 2450770.0, 0.0)"
sampled_3k9p_model_117,"(5595924.833333333, 1119184.9666666666, 2450770.0, 0.0)"
sampled_3k9p_model_118,"(6000540.0, 1000090.0, 2449200.0, 0.0)"
sampled_3k9p_model_119,"(6004386.5, 1000731.0833333334, 2450770.0, 0.0)"
sampled_3k9p_model_12,"(6000540.0, 1000090.0, 2449200.0, 0.0)"
sampled_3k9p_model_120,"(5996693.5, 999448.9166666666, 2447630.0, 0.0)"
sampled_3k9p_model_121,"(6004386.5, 1000731.0833333334, 2450770.0, 0.0)"
sampled_3k9p_model_122,"(6004386.5, 1000731.0833333334, 2450770.0, 0.0)"
sampled_3k9p_model_123,"(6008233.0, 1001372.1666666666, 2452340.0, 0.0)"
sampled_3k9p_model_124,"(6000540.0, 1000090.0, 2449200.0, 0.0)"
sampled_3k9p_model_125,"(5985154.0, 997525.6666666666, 2442920.0, 0.0)"
sampled_3k9p_model_126,"(6008233.0, 1001372.1666666666, 2452340.0, 0.0)"
sampled_3k9p_model_127,"(6000540.0, 1000090.0, 2449200.0, 0.0)"
sampled_3k9p_model_128,"(6004386.5, 1000731.0833333334, 2450770.0, 0.0)"
sampled_3k9p_model_129,"(6000540.0, 1000090.0, 2449200.0, 0.0)"
sampled_3k9p_model_13,"(6000540.0, 1000090.0, 2449200.0, 0.0)"
sampled_3k9p_model_130,"(5603094.5, 1120618.9, 2453910.0, 0.0)"
sampled_3k9p_model_131,"(5996693.5, 999448.9166666666, 2447630.0, 0.0)"
sampled_3k9p_model_132,"(6004386.5, 1000731.0833333334, 2450770.0, 0.0)"
sampled_3k9p_model_133,"(6004386.5, 1000731.0833333334, 2450770.0, 0.0)"
sampled_3k9p_model_134,"(5996693.5, 999448.9166666666, 2447630.0, 0.0)"
sampled_3k9p_model_135,"(5989000.5, 998166.75, 2444490.0, 0.0)"
sampled_3k9p_model_136,"(6004386.5, 1000731.0833333334, 2450770.0, 0.0)"
sampled_3k9p_model_137,"(5592340.0, 1118468.0, 2449200.0, 0.0)"
sampled_3k9p_model_138,"(6000540.0, 1000090.0, 2449200.0, 0.0)"
sampled_3k9p_model_139,"(6008233.0, 1001372.1666666666, 2452340.0, 0.0)"
sampled_3k9p_model_14,"(6012079.5, 1002013.25, 2453910.0, 0.0)"
sampled_3k9p_model_140,"(6004386.5, 1000731.0833333334, 2450770.0, 0.0)"
sampled_3k9p_model_141,"(6008233.0, 1001372.1666666666, 2452340.0, 0.0)"
sampled_3k9p_model_142,"(5603094.5, 1120618.9, 2453910.0, 0.0)"
sampled_3k9p_model_143,"(5996693.5, 999448.9166666666, 2447630.0, 0.0)"
sampled_3k9p_model_144,"(5996693.5, 999448.9166666666, 2447630.0, 0.0)"
