pdb_file,hydrophobicity_contacts
complex.0_0_25_corrected_H_0001_1f60,10
complex.0_0_2_corrected_H_0001_1f60,13
complex.0_0_30_corrected_H_0001_1f60,16
complex.0_0_5_corrected_H_0001_1f60,12
complex.0_10_0_corrected_H_0001_1f60,48
complex.0_10_17_corrected_H_0001_1f60,38
complex.0_10_21_corrected_H_0001_1f60,49
complex.0_10_33_corrected_H_0001_1f60,45
complex.0_10_44_corrected_H_0001_1f60,40
complex.0_10_9_corrected_H_0001_1f60,42
complex.0_11_18_corrected_H_0001_1f60,56
complex.0_11_7_corrected_H_0001_1f60,65
complex.0_12_11_corrected_H_0001_1f60,65
complex.0_12_13_corrected_H_0001_1f60,61
complex.0_12_15_corrected_H_0001_1f60,48
complex.0_12_17_corrected_H_0001_1f60,58
complex.0_12_27_corrected_H_0001_1f60,48
complex.0_12_40_corrected_H_0001_1f60,53
complex.0_12_41_corrected_H_0001_1f60,60
complex.0_13_11_corrected_H_0001_1f60,72
complex.0_13_29_corrected_H_0001_1f60,50
complex.0_13_35_corrected_H_0001_1f60,44
complex.0_13_44_corrected_H_0001_1f60,47
complex.0_14_0_corrected_H_0001_1f60,56
complex.0_14_11_corrected_H_0001_1f60,55
complex.0_14_14_corrected_H_0001_1f60,65
complex.0_14_15_corrected_H_0001_1f60,57
complex.0_14_18_corrected_H_0001_1f60,71
complex.0_14_19_corrected_H_0001_1f60,71
complex.0_14_27_corrected_H_0001_1f60,52
complex.0_14_31_corrected_H_0001_1f60,56
complex.0_14_6_corrected_H_0001_1f60,69
complex.0_14_9_corrected_H_0001_1f60,49
complex.0_15_1_corrected_H_0001_1f60,61
complex.0_15_20_corrected_H_0001_1f60,71
complex.0_15_27_corrected_H_0001_1f60,48
complex.0_15_37_corrected_H_0001_1f60,60
complex.0_15_48_corrected_H_0001_1f60,63
complex.0_16_10_corrected_H_0001_1f60,63
complex.0_16_30_corrected_H_0001_1f60,73
complex.0_16_31_corrected_H_0001_1f60,60
complex.0_16_35_corrected_H_0001_1f60,68
complex.0_16_44_corrected_H_0001_1f60,71
complex.0_16_7_corrected_H_0001_1f60,62
complex.0_17_44_corrected_H_0001_1f60,62
complex.0_18_10_corrected_H_0001_1f60,67
complex.0_18_11_corrected_H_0001_1f60,72
complex.0_18_12_corrected_H_0001_1f60,63
complex.0_18_18_corrected_H_0001_1f60,69
complex.0_1_10_corrected_H_0001_1f60,20
complex.0_1_1_corrected_H_0001_1f60,26
complex.0_1_26_corrected_H_0001_1f60,22
complex.0_1_41_corrected_H_0001_1f60,23
complex.0_1_46_corrected_H_0001_1f60,28
complex.0_1_4_corrected_H_0001_1f60,24
complex.0_1_9_corrected_H_0001_1f60,24
complex.0_2_18_corrected_H_0001_1f60,14
complex.0_2_21_corrected_H_0001_1f60,21
complex.0_2_3_corrected_H_0001_1f60,11
complex.0_2_47_corrected_H_0001_1f60,16
complex.0_2_5_corrected_H_0001_1f60,17
complex.0_3_17_corrected_H_0001_1f60,37
complex.0_3_25_corrected_H_0001_1f60,29
complex.0_3_42_corrected_H_0001_1f60,22
complex.0_3_47_corrected_H_0001_1f60,23
complex.0_4_23_corrected_H_0001_1f60,13
complex.0_4_24_corrected_H_0001_1f60,21
complex.0_4_27_corrected_H_0001_1f60,30
complex.0_4_29_corrected_H_0001_1f60,22
complex.0_4_36_corrected_H_0001_1f60,16
complex.0_4_4_corrected_H_0001_1f60,27
complex.0_5_28_corrected_H_0001_1f60,27
complex.0_6_26_corrected_H_0001_1f60,31
complex.0_6_34_corrected_H_0001_1f60,31
complex.0_6_5_corrected_H_0001_1f60,27
complex.0_7_44_corrected_H_0001_1f60,38
complex.0_7_46_corrected_H_0001_1f60,23
complex.0_7_9_corrected_H_0001_1f60,29
complex.0_8_17_corrected_H_0001_1f60,42
complex.0_8_18_corrected_H_0001_1f60,34
complex.0_8_21_corrected_H_0001_1f60,48
complex.0_8_24_corrected_H_0001_1f60,44
complex.0_8_26_corrected_H_0001_1f60,48
complex.0_8_27_corrected_H_0001_1f60,46
complex.0_8_29_corrected_H_0001_1f60,34
complex.0_8_2_corrected_H_0001_1f60,49
complex.0_8_47_corrected_H_0001_1f60,43
complex.0_9_12_corrected_H_0001_1f60,35
complex.0_9_16_corrected_H_0001_1f60,52
complex.0_9_23_corrected_H_0001_1f60,41
complex.1_0_14_corrected_H_0001_1f60,13
complex.1_0_18_corrected_H_0001_1f60,11
complex.1_10_12_corrected_H_0001_1f60,60
complex.1_10_27_corrected_H_0001_1f60,43
complex.1_10_2_corrected_H_0001_1f60,34
complex.1_10_3_corrected_H_0001_1f60,55
