pdb_file,patch_alignment_score,chain_patch_consistency_score,avg_patch_score
complex.0_0_8_corrected_H_0001,"(0.005122950819672131, 0.0051440329218107, 0.0051440329218107)"
complex.0_10_17_corrected_H_0001,"(0.01485655737704918, 0.014894709809964048, 0.014894709809964048)"
complex.0_10_22_corrected_H_0001,"(0.015368852459016393, 0.015416238437821172, 0.015416238437821172)"
complex.0_10_42_corrected_H_0001,"(0.012295081967213115, 0.012332990750256937, 0.012332990750256937)"
complex.0_10_46_corrected_H_0001,"(0.019979508196721313, 0.019023136246786632, 0.019383033419023137)"
complex.0_10_5_corrected_H_0001,"(0.017930327868852458, 0.017498713329902212, 0.017627380339680906)"
complex.0_11_10_corrected_H_0001,"(0.017418032786885244, 0.017507723995880537, 0.017507723995880537)"
complex.0_11_34_corrected_H_0001,"(0.015881147540983607, 0.01596292481977343, 0.01596292481977343)"
complex.0_11_38_corrected_H_0001,"(0.015881147540983607, 0.01594650205761317, 0.01594650205761317)"
complex.0_11_39_corrected_H_0001,"(0.014344262295081968, 0.01440329218106996, 0.01440329218106996)"
complex.0_11_43_corrected_H_0001,"(0.021004098360655737, 0.020554984583761562, 0.02081192189105858)"
complex.0_11_4_corrected_H_0001,"(0.017418032786885244, 0.01748971193415638, 0.01748971193415638)"
complex.0_12_12_corrected_H_0001,"(0.01639344262295082, 0.016452442159383032, 0.016452442159383032)"
complex.0_12_20_corrected_H_0001,"(0.0194672131147541, 0.01905252317198764, 0.019309989701338827)"
complex.0_12_26_corrected_H_0001,"(0.01485655737704918, 0.014925373134328358, 0.014925373134328358)"
complex.0_12_29_corrected_H_0001,"(0.018954918032786885, 0.019042717447246525, 0.019042717447246525)"
complex.0_12_30_corrected_H_0001,"(0.01639344262295082, 0.01594650205761317, 0.016203703703703703)"
complex.0_12_31_corrected_H_0001,"(0.017930327868852458, 0.01800411522633745, 0.01800411522633745)"
complex.0_12_41_corrected_H_0001,"(0.018442622950819672, 0.018528049408131755, 0.018528049408131755)"
complex.0_12_7_corrected_H_0001,"(0.018442622950819672, 0.018508997429305913, 0.018508997429305913)"
