pdb_file,hydrophobicity_contacts
relaxed_1c3a_model_1_corrected_H_0001_1c3a,11
relaxed_1c3a_model_10_corrected_H_0001_1c3a,24
relaxed_1c3a_model_100_corrected_H_0001_1c3a,21
relaxed_1c3a_model_101_corrected_H_0001_1c3a,26
relaxed_1c3a_model_102_corrected_H_0001_1c3a,41
relaxed_1c3a_model_103_corrected_H_0001_1c3a,18
relaxed_1c3a_model_104_corrected_H_0001_1c3a,21
relaxed_1c3a_model_105_corrected_H_0001_1c3a,15
relaxed_1c3a_model_106_corrected_H_0001_1c3a,19
relaxed_1c3a_model_107_corrected_H_0001_1c3a,16
relaxed_1c3a_model_108_corrected_H_0001_1c3a,21
relaxed_1c3a_model_109_corrected_H_0001_1c3a,22
relaxed_1c3a_model_11_corrected_H_0001_1c3a,17
relaxed_1c3a_model_110_corrected_H_0001_1c3a,29
relaxed_1c3a_model_111_corrected_H_0001_1c3a,22
relaxed_1c3a_model_112_corrected_H_0001_1c3a,19
relaxed_1c3a_model_113_corrected_H_0001_1c3a,40
relaxed_1c3a_model_114_corrected_H_0001_1c3a,36
relaxed_1c3a_model_115_corrected_H_0001_1c3a,16
relaxed_1c3a_model_116_corrected_H_0001_1c3a,19
relaxed_1c3a_model_117_corrected_H_0001_1c3a,24
relaxed_1c3a_model_118_corrected_H_0001_1c3a,27
relaxed_1c3a_model_119_corrected_H_0001_1c3a,23
relaxed_1c3a_model_12_corrected_H_0001_1c3a,24
relaxed_1c3a_model_120_corrected_H_0001_1c3a,33
relaxed_1c3a_model_121_corrected_H_0001_1c3a,32
relaxed_1c3a_model_122_corrected_H_0001_1c3a,21
relaxed_1c3a_model_123_corrected_H_0001_1c3a,28
relaxed_1c3a_model_124_corrected_H_0001_1c3a,33
relaxed_1c3a_model_125_corrected_H_0001_1c3a,34
relaxed_1c3a_model_126_corrected_H_0001_1c3a,36
relaxed_1c3a_model_127_corrected_H_0001_1c3a,19
relaxed_1c3a_model_128_corrected_H_0001_1c3a,23
relaxed_1c3a_model_129_corrected_H_0001_1c3a,20
relaxed_1c3a_model_13_corrected_H_0001_1c3a,21
relaxed_1c3a_model_130_corrected_H_0001_1c3a,44
relaxed_1c3a_model_131_corrected_H_0001_1c3a,32
relaxed_1c3a_model_132_corrected_H_0001_1c3a,19
relaxed_1c3a_model_133_corrected_H_0001_1c3a,23
relaxed_1c3a_model_134_corrected_H_0001_1c3a,31
relaxed_1c3a_model_135_corrected_H_0001_1c3a,17
relaxed_1c3a_model_136_corrected_H_0001_1c3a,41
relaxed_1c3a_model_137_corrected_H_0001_1c3a,22
relaxed_1c3a_model_138_corrected_H_0001_1c3a,29
relaxed_1c3a_model_139_corrected_H_0001_1c3a,33
relaxed_1c3a_model_14_corrected_H_0001_1c3a,13
relaxed_1c3a_model_140_corrected_H_0001_1c3a,24
relaxed_1c3a_model_141_corrected_H_0001_1c3a,24
relaxed_1c3a_model_142_corrected_H_0001_1c3a,16
relaxed_1c3a_model_143_corrected_H_0001_1c3a,17
relaxed_1c3a_model_144_corrected_H_0001_1c3a,30
relaxed_1c3a_model_145_corrected_H_0001_1c3a,28
relaxed_1c3a_model_146_corrected_H_0001_1c3a,17
relaxed_1c3a_model_147_corrected_H_0001_1c3a,23
relaxed_1c3a_model_148_corrected_H_0001_1c3a,25
relaxed_1c3a_model_149_corrected_H_0001_1c3a,28
relaxed_1c3a_model_15_corrected_H_0001_1c3a,19
relaxed_1c3a_model_150_corrected_H_0001_1c3a,25
relaxed_1c3a_model_151_corrected_H_0001_1c3a,22
relaxed_1c3a_model_152_corrected_H_0001_1c3a,21
relaxed_1c3a_model_153_corrected_H_0001_1c3a,26
relaxed_1c3a_model_154_corrected_H_0001_1c3a,44
relaxed_1c3a_model_155_corrected_H_0001_1c3a,18
relaxed_1c3a_model_156_corrected_H_0001_1c3a,26
relaxed_1c3a_model_157_corrected_H_0001_1c3a,25
relaxed_1c3a_model_158_corrected_H_0001_1c3a,23
relaxed_1c3a_model_159_corrected_H_0001_1c3a,21
relaxed_1c3a_model_16_corrected_H_0001_1c3a,28
relaxed_1c3a_model_160_corrected_H_0001_1c3a,30
relaxed_1c3a_model_161_corrected_H_0001_1c3a,30
relaxed_1c3a_model_162_corrected_H_0001_1c3a,33
relaxed_1c3a_model_163_corrected_H_0001_1c3a,31
relaxed_1c3a_model_164_corrected_H_0001_1c3a,31
relaxed_1c3a_model_165_corrected_H_0001_1c3a,32
relaxed_1c3a_model_166_corrected_H_0001_1c3a,27
relaxed_1c3a_model_167_corrected_H_0001_1c3a,28
relaxed_1c3a_model_168_corrected_H_0001_1c3a,24
relaxed_1c3a_model_169_corrected_H_0001_1c3a,28
relaxed_1c3a_model_17_corrected_H_0001_1c3a,14
relaxed_1c3a_model_170_corrected_H_0001_1c3a,21
relaxed_1c3a_model_171_corrected_H_0001_1c3a,27
relaxed_1c3a_model_172_corrected_H_0001_1c3a,25
relaxed_1c3a_model_173_corrected_H_0001_1c3a,30
relaxed_1c3a_model_174_corrected_H_0001_1c3a,25
