pdb_file,bsa
sampled_1pdk_model_1,964.4747353524835
sampled_1pdk_model_10,578.4921759494355
sampled_1pdk_model_100,1883.2550965508926
sampled_1pdk_model_101,1867.0972296735927
sampled_1pdk_model_102,1502.243276632409
sampled_1pdk_model_103,1870.487662042222
sampled_1pdk_model_104,1924.5665397871999
sampled_1pdk_model_105,1218.6193768872909
sampled_1pdk_model_106,1237.8773638724815
sampled_1pdk_model_107,1254.865191576071
sampled_1pdk_model_108,1376.177313824879
sampled_1pdk_model_109,2407.3319504944593
sampled_1pdk_model_11,794.568878540922
sampled_1pdk_model_110,1737.548092131714
sampled_1pdk_model_111,1246.6458015284952
sampled_1pdk_model_112,1472.2257576334414
sampled_1pdk_model_113,1709.7326238715796
sampled_1pdk_model_114,1380.6794974841541
sampled_1pdk_model_115,1327.5182957891266
sampled_1pdk_model_116,1221.1765194632462
sampled_1pdk_model_117,1453.7687190045217
sampled_1pdk_model_118,1574.7303946237407
sampled_1pdk_model_119,1695.4586831129745
sampled_1pdk_model_12,1065.3906163557585
sampled_1pdk_model_120,1247.7141994193007
sampled_1pdk_model_121,2476.251101079164
sampled_1pdk_model_122,1832.8776298684606
sampled_1pdk_model_123,2288.5172980663483
sampled_1pdk_model_124,1136.1713593469758
sampled_1pdk_model_125,1571.735690386944
sampled_1pdk_model_126,1588.284523147293
sampled_1pdk_model_127,1539.790823471525
sampled_1pdk_model_128,1880.0687537093654
sampled_1pdk_model_129,2608.48602593569
sampled_1pdk_model_13,1027.905648046777
sampled_1pdk_model_130,1256.6884165078227
sampled_1pdk_model_131,1408.5399902409263
sampled_1pdk_model_132,1278.7695547316107
sampled_1pdk_model_133,1430.0674036217897
sampled_1pdk_model_134,2175.3874429912976
sampled_1pdk_model_135,2553.8934121942475
sampled_1pdk_model_136,2253.8459630994657
sampled_1pdk_model_137,1316.3867077261639
sampled_1pdk_model_138,1486.0029517799048
sampled_1pdk_model_139,1797.3259187192998
sampled_1pdk_model_14,1272.0113710742844
sampled_1pdk_model_140,1655.2173543409554
sampled_1pdk_model_141,1354.8214385833235
sampled_1pdk_model_142,2641.9170085320256
sampled_1pdk_model_143,1797.1038424300132
sampled_1pdk_model_144,1208.4733226462922
sampled_1pdk_model_145,1742.5737825743236
sampled_1pdk_model_146,2354.727726044832
sampled_1pdk_model_147,1273.0027880080197
sampled_1pdk_model_148,2138.7269224295087
sampled_1pdk_model_149,1586.8625157749339
sampled_1pdk_model_15,1396.5638562179083
sampled_1pdk_model_150,2400.943673316684
sampled_1pdk_model_151,2293.4081563140244
sampled_1pdk_model_152,1513.9624544325343
sampled_1pdk_model_153,2404.73513256789
sampled_1pdk_model_154,1167.8638424448618
sampled_1pdk_model_155,2137.6290375606222
sampled_1pdk_model_156,1667.506892690144
sampled_1pdk_model_157,2174.2384227302864
sampled_1pdk_model_158,1943.9135845197488
sampled_1pdk_model_159,2013.8249534392016
sampled_1pdk_model_16,1057.8520053092907
sampled_1pdk_model_160,1748.0993938570973
sampled_1pdk_model_161,2140.622831601726
sampled_1pdk_model_162,1805.2439527711686
sampled_1pdk_model_163,1653.5729148822356
sampled_1pdk_model_164,1926.6699142730213
sampled_1pdk_model_165,1726.1995944702721
sampled_1pdk_model_166,2042.5251327440346
sampled_1pdk_model_167,2159.2048091231954
sampled_1pdk_model_168,1938.9184967364854
sampled_1pdk_model_169,1233.40104844097
sampled_1pdk_model_17,2110.5635979901526
sampled_1pdk_model_170,2820.7553626916997
sampled_1pdk_model_171,2147.6620684962945
sampled_1pdk_model_172,2501.1119192752594
sampled_1pdk_model_173,1610.0898305351948
sampled_1pdk_model_174,2080.9595582804614
sampled_1pdk_model_175,2049.321984415459
sampled_1pdk_model_176,1799.8007407030236
sampled_1pdk_model_177,1845.5108654591932
sampled_1pdk_model_178,2182.436886196894
sampled_1pdk_model_179,1993.9964168082042
sampled_1pdk_model_18,815.1221331307352
sampled_1pdk_model_180,2056.825628106086
sampled_1pdk_model_181,1464.8687575621952
sampled_1pdk_model_182,1475.1595287412747
sampled_1pdk_model_183,2082.3826872611753
sampled_1pdk_model_184,2080.2229496182517
sampled_1pdk_model_185,2057.9000094266703
sampled_1pdk_model_186,1984.6456509038799
sampled_1pdk_model_187,2110.021145043367
sampled_1pdk_model_188,1488.3453120761078
sampled_1pdk_model_189,2218.144773137723
sampled_1pdk_model_19,1027.6426194792111
sampled_1pdk_model_190,2166.3675893752443
sampled_1pdk_model_191,2090.8548254267007
sampled_1pdk_model_192,2046.2566879296173
sampled_1pdk_model_193,2517.803344601507
sampled_1pdk_model_194,1335.2683180179047
sampled_1pdk_model_195,1989.0465475755918
sampled_1pdk_model_196,2228.902911444882
sampled_1pdk_model_197,2315.506831668492
sampled_1pdk_model_198,1452.534294688241
sampled_1pdk_model_199,1662.8226652250814
sampled_1pdk_model_2,1078.9255493694654
sampled_1pdk_model_20,1888.0642445340527
sampled_1pdk_model_200,1909.987922694556
sampled_1pdk_model_201,2194.7690734057906
sampled_1pdk_model_202,1980.6209081981688
sampled_1pdk_model_203,1949.1363726742675
sampled_1pdk_model_204,2248.718306174742
sampled_1pdk_model_205,1891.7204610321132
sampled_1pdk_model_206,1173.692800858902
sampled_1pdk_model_207,1762.2078814527122
sampled_1pdk_model_208,1654.6093669363145
sampled_1pdk_model_209,2127.1935101379386
sampled_1pdk_model_21,843.8622910330341
sampled_1pdk_model_210,1946.9196621632182
sampled_1pdk_model_211,1973.7805317037564
sampled_1pdk_model_212,1917.3923843830853
sampled_1pdk_model_213,2036.0624342186857
sampled_1pdk_model_214,1281.0116358122723
sampled_1pdk_model_215,1601.6148576679952
sampled_1pdk_model_216,1965.3736183137735
sampled_1pdk_model_217,2163.599752658789
sampled_1pdk_model_218,2109.127147422445
