pdb_file,hydrophobicity_contacts
relaxed_2d5r_model_1_corrected_H_0001_2d5r,13
relaxed_2d5r_model_10_corrected_H_0001_2d5r,19
relaxed_2d5r_model_100_corrected_H_0001_2d5r,16
relaxed_2d5r_model_101_corrected_H_0001_2d5r,15
relaxed_2d5r_model_102_corrected_H_0001_2d5r,10
relaxed_2d5r_model_103_corrected_H_0001_2d5r,11
relaxed_2d5r_model_104_corrected_H_0001_2d5r,10
relaxed_2d5r_model_105_corrected_H_0001_2d5r,14
relaxed_2d5r_model_106_corrected_H_0001_2d5r,11
relaxed_2d5r_model_107_corrected_H_0001_2d5r,17
relaxed_2d5r_model_108_corrected_H_0001_2d5r,20
relaxed_2d5r_model_109_corrected_H_0001_2d5r,14
relaxed_2d5r_model_11_corrected_H_0001_2d5r,8
relaxed_2d5r_model_110_corrected_H_0001_2d5r,14
relaxed_2d5r_model_111_corrected_H_0001_2d5r,11
relaxed_2d5r_model_112_corrected_H_0001_2d5r,14
relaxed_2d5r_model_113_corrected_H_0001_2d5r,16
relaxed_2d5r_model_114_corrected_H_0001_2d5r,16
relaxed_2d5r_model_115_corrected_H_0001_2d5r,15
relaxed_2d5r_model_116_corrected_H_0001_2d5r,14
relaxed_2d5r_model_117_corrected_H_0001_2d5r,19
relaxed_2d5r_model_118_corrected_H_0001_2d5r,16
relaxed_2d5r_model_119_corrected_H_0001_2d5r,24
relaxed_2d5r_model_12_corrected_H_0001_2d5r,28
relaxed_2d5r_model_120_corrected_H_0001_2d5r,16
relaxed_2d5r_model_121_corrected_H_0001_2d5r,14
relaxed_2d5r_model_122_corrected_H_0001_2d5r,14
relaxed_2d5r_model_123_corrected_H_0001_2d5r,15
relaxed_2d5r_model_124_corrected_H_0001_2d5r,15
relaxed_2d5r_model_125_corrected_H_0001_2d5r,12
relaxed_2d5r_model_126_corrected_H_0001_2d5r,10
relaxed_2d5r_model_127_corrected_H_0001_2d5r,14
relaxed_2d5r_model_128_corrected_H_0001_2d5r,12
relaxed_2d5r_model_129_corrected_H_0001_2d5r,24
relaxed_2d5r_model_13_corrected_H_0001_2d5r,21
relaxed_2d5r_model_130_corrected_H_0001_2d5r,17
relaxed_2d5r_model_131_corrected_H_0001_2d5r,14
relaxed_2d5r_model_132_corrected_H_0001_2d5r,17
relaxed_2d5r_model_133_corrected_H_0001_2d5r,13
relaxed_2d5r_model_134_corrected_H_0001_2d5r,21
relaxed_2d5r_model_135_corrected_H_0001_2d5r,20
relaxed_2d5r_model_136_corrected_H_0001_2d5r,16
relaxed_2d5r_model_137_corrected_H_0001_2d5r,10
relaxed_2d5r_model_138_corrected_H_0001_2d5r,31
relaxed_2d5r_model_139_corrected_H_0001_2d5r,16
relaxed_2d5r_model_14_corrected_H_0001_2d5r,12
relaxed_2d5r_model_140_corrected_H_0001_2d5r,11
relaxed_2d5r_model_141_corrected_H_0001_2d5r,19
relaxed_2d5r_model_142_corrected_H_0001_2d5r,20
relaxed_2d5r_model_143_corrected_H_0001_2d5r,20
relaxed_2d5r_model_144_corrected_H_0001_2d5r,20
relaxed_2d5r_model_145_corrected_H_0001_2d5r,10
relaxed_2d5r_model_146_corrected_H_0001_2d5r,17
relaxed_2d5r_model_147_corrected_H_0001_2d5r,18
relaxed_2d5r_model_148_corrected_H_0001_2d5r,17
relaxed_2d5r_model_149_corrected_H_0001_2d5r,18
relaxed_2d5r_model_15_corrected_H_0001_2d5r,14
relaxed_2d5r_model_150_corrected_H_0001_2d5r,11
relaxed_2d5r_model_151_corrected_H_0001_2d5r,12
relaxed_2d5r_model_152_corrected_H_0001_2d5r,16
relaxed_2d5r_model_153_corrected_H_0001_2d5r,19
relaxed_2d5r_model_154_corrected_H_0001_2d5r,14
relaxed_2d5r_model_155_corrected_H_0001_2d5r,13
relaxed_2d5r_model_156_corrected_H_0001_2d5r,16
relaxed_2d5r_model_157_corrected_H_0001_2d5r,26
relaxed_2d5r_model_158_corrected_H_0001_2d5r,25
relaxed_2d5r_model_159_corrected_H_0001_2d5r,20
relaxed_2d5r_model_16_corrected_H_0001_2d5r,18
relaxed_2d5r_model_160_corrected_H_0001_2d5r,11
relaxed_2d5r_model_161_corrected_H_0001_2d5r,24
relaxed_2d5r_model_162_corrected_H_0001_2d5r,15
relaxed_2d5r_model_163_corrected_H_0001_2d5r,16
relaxed_2d5r_model_164_corrected_H_0001_2d5r,17
relaxed_2d5r_model_165_corrected_H_0001_2d5r,24
relaxed_2d5r_model_166_corrected_H_0001_2d5r,15
relaxed_2d5r_model_167_corrected_H_0001_2d5r,18
relaxed_2d5r_model_168_corrected_H_0001_2d5r,15
relaxed_2d5r_model_169_corrected_H_0001_2d5r,12
relaxed_2d5r_model_17_corrected_H_0001_2d5r,22
relaxed_2d5r_model_170_corrected_H_0001_2d5r,18
relaxed_2d5r_model_171_corrected_H_0001_2d5r,19
relaxed_2d5r_model_172_corrected_H_0001_2d5r,14
relaxed_2d5r_model_173_corrected_H_0001_2d5r,15
relaxed_2d5r_model_174_corrected_H_0001_2d5r,14
relaxed_2d5r_model_175_corrected_H_0001_2d5r,15
relaxed_2d5r_model_176_corrected_H_0001_2d5r,16
relaxed_2d5r_model_177_corrected_H_0001_2d5r,10
relaxed_2d5r_model_178_corrected_H_0001_2d5r,14
relaxed_2d5r_model_179_corrected_H_0001_2d5r,24
relaxed_2d5r_model_18_corrected_H_0001_2d5r,15
relaxed_2d5r_model_180_corrected_H_0001_2d5r,20
relaxed_2d5r_model_181_corrected_H_0001_2d5r,14
relaxed_2d5r_model_182_corrected_H_0001_2d5r,11
relaxed_2d5r_model_183_corrected_H_0001_2d5r,10
relaxed_2d5r_model_184_corrected_H_0001_2d5r,30
relaxed_2d5r_model_185_corrected_H_0001_2d5r,13
relaxed_2d5r_model_186_corrected_H_0001_2d5r,23
relaxed_2d5r_model_187_corrected_H_0001_2d5r,16
relaxed_2d5r_model_188_corrected_H_0001_2d5r,17
relaxed_2d5r_model_189_corrected_H_0001_2d5r,19
relaxed_2d5r_model_19_corrected_H_0001_2d5r,16
relaxed_2d5r_model_190_corrected_H_0001_2d5r,13
relaxed_2d5r_model_191_corrected_H_0001_2d5r,13
relaxed_2d5r_model_192_corrected_H_0001_2d5r,13
relaxed_2d5r_model_193_corrected_H_0001_2d5r,11
relaxed_2d5r_model_194_corrected_H_0001_2d5r,15
relaxed_2d5r_model_195_corrected_H_0001_2d5r,15
relaxed_2d5r_model_196_corrected_H_0001_2d5r,14
relaxed_2d5r_model_197_corrected_H_0001_2d5r,23
relaxed_2d5r_model_198_corrected_H_0001_2d5r,17
relaxed_2d5r_model_199_corrected_H_0001_2d5r,17
relaxed_2d5r_model_2_corrected_H_0001_2d5r,24
relaxed_2d5r_model_20_corrected_H_0001_2d5r,17
relaxed_2d5r_model_200_corrected_H_0001_2d5r,17
relaxed_2d5r_model_201_corrected_H_0001_2d5r,12
relaxed_2d5r_model_202_corrected_H_0001_2d5r,22
relaxed_2d5r_model_203_corrected_H_0001_2d5r,25
relaxed_2d5r_model_204_corrected_H_0001_2d5r,13
relaxed_2d5r_model_205_corrected_H_0001_2d5r,17
relaxed_2d5r_model_206_corrected_H_0001_2d5r,14
relaxed_2d5r_model_207_corrected_H_0001_2d5r,14
relaxed_2d5r_model_208_corrected_H_0001_2d5r,18
