pdb_file,all_contacts
sampled_3ona_model_1_3ona,124
sampled_3ona_model_10_3ona,334
sampled_3ona_model_100_3ona,296
sampled_3ona_model_101_3ona,214
sampled_3ona_model_102_3ona,369
sampled_3ona_model_103_3ona,321
sampled_3ona_model_104_3ona,219
sampled_3ona_model_105_3ona,215
sampled_3ona_model_106_3ona,335
sampled_3ona_model_107_3ona,230
sampled_3ona_model_108_3ona,337
sampled_3ona_model_109_3ona,379
sampled_3ona_model_11_3ona,217
sampled_3ona_model_110_3ona,283
sampled_3ona_model_111_3ona,341
sampled_3ona_model_112_3ona,344
sampled_3ona_model_113_3ona,188
sampled_3ona_model_114_3ona,154
sampled_3ona_model_115_3ona,217
sampled_3ona_model_116_3ona,249
sampled_3ona_model_117_3ona,190
sampled_3ona_model_118_3ona,324
sampled_3ona_model_119_3ona,305
sampled_3ona_model_12_3ona,379
sampled_3ona_model_120_3ona,300
sampled_3ona_model_121_3ona,489
sampled_3ona_model_122_3ona,273
sampled_3ona_model_123_3ona,224
sampled_3ona_model_124_3ona,232
sampled_3ona_model_125_3ona,167
sampled_3ona_model_126_3ona,373
sampled_3ona_model_127_3ona,320
sampled_3ona_model_128_3ona,221
sampled_3ona_model_129_3ona,317
sampled_3ona_model_13_3ona,283
sampled_3ona_model_130_3ona,288
sampled_3ona_model_131_3ona,192
sampled_3ona_model_132_3ona,245
sampled_3ona_model_133_3ona,216
sampled_3ona_model_134_3ona,311
sampled_3ona_model_135_3ona,327
sampled_3ona_model_136_3ona,231
sampled_3ona_model_137_3ona,201
sampled_3ona_model_138_3ona,362
sampled_3ona_model_139_3ona,286
sampled_3ona_model_14_3ona,344
sampled_3ona_model_140_3ona,257
sampled_3ona_model_141_3ona,278
sampled_3ona_model_142_3ona,288
sampled_3ona_model_143_3ona,210
sampled_3ona_model_144_3ona,270
sampled_3ona_model_145_3ona,295
sampled_3ona_model_146_3ona,243
sampled_3ona_model_147_3ona,355
sampled_3ona_model_148_3ona,300
sampled_3ona_model_149_3ona,235
sampled_3ona_model_15_3ona,363
sampled_3ona_model_150_3ona,340
sampled_3ona_model_151_3ona,326
sampled_3ona_model_152_3ona,183
sampled_3ona_model_153_3ona,420
sampled_3ona_model_154_3ona,353
sampled_3ona_model_155_3ona,258
sampled_3ona_model_156_3ona,171
sampled_3ona_model_157_3ona,325
sampled_3ona_model_158_3ona,170
sampled_3ona_model_159_3ona,293
sampled_3ona_model_16_3ona,198
sampled_3ona_model_160_3ona,300
sampled_3ona_model_161_3ona,330
sampled_3ona_model_162_3ona,243
sampled_3ona_model_163_3ona,249
sampled_3ona_model_164_3ona,269
sampled_3ona_model_165_3ona,320
sampled_3ona_model_166_3ona,249
sampled_3ona_model_167_3ona,201
sampled_3ona_model_168_3ona,171
sampled_3ona_model_169_3ona,258
sampled_3ona_model_17_3ona,96
sampled_3ona_model_170_3ona,412
sampled_3ona_model_171_3ona,250
sampled_3ona_model_172_3ona,297
sampled_3ona_model_173_3ona,251
sampled_3ona_model_174_3ona,376
sampled_3ona_model_175_3ona,292
sampled_3ona_model_176_3ona,351
sampled_3ona_model_177_3ona,297
sampled_3ona_model_178_3ona,230
sampled_3ona_model_179_3ona,371
sampled_3ona_model_18_3ona,170
sampled_3ona_model_180_3ona,285
sampled_3ona_model_181_3ona,281
sampled_3ona_model_182_3ona,344
sampled_3ona_model_183_3ona,261
sampled_3ona_model_184_3ona,271
sampled_3ona_model_185_3ona,328
sampled_3ona_model_186_3ona,381
sampled_3ona_model_187_3ona,290
sampled_3ona_model_188_3ona,178
sampled_3ona_model_189_3ona,272
sampled_3ona_model_19_3ona,244
sampled_3ona_model_190_3ona,438
sampled_3ona_model_191_3ona,321
sampled_3ona_model_192_3ona,276
sampled_3ona_model_193_3ona,326
sampled_3ona_model_194_3ona,379
sampled_3ona_model_195_3ona,317
sampled_3ona_model_196_3ona,253
sampled_3ona_model_197_3ona,209
sampled_3ona_model_198_3ona,380
sampled_3ona_model_199_3ona,445
sampled_3ona_model_2_3ona,219
sampled_3ona_model_20_3ona,183
sampled_3ona_model_200_3ona,283
