pdb_file,hydrophobicity_contacts
complex.0_0_17_corrected_H_0001_2g2u,19
complex.0_0_25_corrected_H_0001_2g2u,40
complex.0_0_28_corrected_H_0001_2g2u,26
complex.0_10_18_corrected_H_0001_2g2u,37
complex.0_10_19_corrected_H_0001_2g2u,33
complex.0_10_39_corrected_H_0001_2g2u,47
complex.0_10_40_corrected_H_0001_2g2u,47
complex.0_10_6_corrected_H_0001_2g2u,36
complex.0_11_16_corrected_H_0001_2g2u,50
complex.0_11_19_corrected_H_0001_2g2u,40
complex.0_11_20_corrected_H_0001_2g2u,39
complex.0_11_47_corrected_H_0001_2g2u,33
complex.0_11_48_corrected_H_0001_2g2u,36
complex.0_12_23_corrected_H_0001_2g2u,41
complex.0_12_48_corrected_H_0001_2g2u,41
complex.0_12_8_corrected_H_0001_2g2u,45
complex.0_13_11_corrected_H_0001_2g2u,47
complex.0_13_13_corrected_H_0001_2g2u,48
complex.0_13_15_corrected_H_0001_2g2u,41
complex.0_13_32_corrected_H_0001_2g2u,38
complex.0_13_35_corrected_H_0001_2g2u,35
complex.0_13_39_corrected_H_0001_2g2u,49
complex.0_14_0_corrected_H_0001_2g2u,43
complex.0_14_13_corrected_H_0001_2g2u,43
complex.0_14_1_corrected_H_0001_2g2u,47
complex.0_14_2_corrected_H_0001_2g2u,49
complex.0_14_40_corrected_H_0001_2g2u,41
complex.0_14_49_corrected_H_0001_2g2u,37
complex.0_15_24_corrected_H_0001_2g2u,52
complex.0_15_2_corrected_H_0001_2g2u,40
complex.0_15_33_corrected_H_0001_2g2u,44
complex.0_15_38_corrected_H_0001_2g2u,43
complex.0_15_41_corrected_H_0001_2g2u,41
complex.0_15_5_corrected_H_0001_2g2u,38
complex.0_16_29_corrected_H_0001_2g2u,52
complex.0_16_2_corrected_H_0001_2g2u,40
complex.0_17_10_corrected_H_0001_2g2u,43
complex.0_17_16_corrected_H_0001_2g2u,47
complex.0_17_24_corrected_H_0001_2g2u,41
complex.0_17_39_corrected_H_0001_2g2u,46
complex.0_17_46_corrected_H_0001_2g2u,48
complex.0_18_5_corrected_H_0001_2g2u,44
complex.0_1_24_corrected_H_0001_2g2u,30
complex.0_2_11_corrected_H_0001_2g2u,24
complex.0_2_2_corrected_H_0001_2g2u,32
complex.0_2_34_corrected_H_0001_2g2u,19
complex.0_2_36_corrected_H_0001_2g2u,24
complex.0_2_41_corrected_H_0001_2g2u,19
complex.0_2_45_corrected_H_0001_2g2u,26
complex.0_2_49_corrected_H_0001_2g2u,13
complex.0_3_2_corrected_H_0001_2g2u,23
complex.0_3_32_corrected_H_0001_2g2u,34
complex.0_4_12_corrected_H_0001_2g2u,26
complex.0_4_22_corrected_H_0001_2g2u,29
complex.0_4_29_corrected_H_0001_2g2u,31
complex.0_4_41_corrected_H_0001_2g2u,26
complex.0_5_15_corrected_H_0001_2g2u,23
complex.0_5_16_corrected_H_0001_2g2u,33
complex.0_5_22_corrected_H_0001_2g2u,41
complex.0_5_38_corrected_H_0001_2g2u,24
complex.0_6_17_corrected_H_0001_2g2u,26
complex.0_6_28_corrected_H_0001_2g2u,35
complex.0_6_37_corrected_H_0001_2g2u,44
complex.0_6_42_corrected_H_0001_2g2u,26
complex.0_7_10_corrected_H_0001_2g2u,32
complex.0_7_11_corrected_H_0001_2g2u,49
complex.0_7_15_corrected_H_0001_2g2u,27
complex.0_7_21_corrected_H_0001_2g2u,31
complex.0_7_33_corrected_H_0001_2g2u,24
complex.0_7_48_corrected_H_0001_2g2u,40
complex.0_8_16_corrected_H_0001_2g2u,23
complex.0_8_20_corrected_H_0001_2g2u,32
complex.0_8_25_corrected_H_0001_2g2u,30
complex.0_8_30_corrected_H_0001_2g2u,32
complex.0_8_32_corrected_H_0001_2g2u,26
complex.0_8_35_corrected_H_0001_2g2u,36
complex.0_8_40_corrected_H_0001_2g2u,33
complex.0_8_41_corrected_H_0001_2g2u,40
complex.0_9_13_corrected_H_0001_2g2u,42
complex.0_9_14_corrected_H_0001_2g2u,34
complex.0_9_16_corrected_H_0001_2g2u,37
complex.0_9_29_corrected_H_0001_2g2u,42
complex.0_9_31_corrected_H_0001_2g2u,31
complex.0_9_37_corrected_H_0001_2g2u,27
complex.1_0_12_corrected_H_0001_2g2u,26
complex.1_0_15_corrected_H_0001_2g2u,32
complex.1_0_31_corrected_H_0001_2g2u,15
complex.1_0_35_corrected_H_0001_2g2u,33
complex.1_0_6_corrected_H_0001_2g2u,8
complex.1_10_13_corrected_H_0001_2g2u,43
complex.1_10_33_corrected_H_0001_2g2u,40
complex.1_11_12_corrected_H_0001_2g2u,38
complex.1_11_26_corrected_H_0001_2g2u,32
complex.1_11_36_corrected_H_0001_2g2u,39
complex.1_11_41_corrected_H_0001_2g2u,38
complex.1_11_46_corrected_H_0001_2g2u,56
complex.1_12_10_corrected_H_0001_2g2u,39
complex.1_12_30_corrected_H_0001_2g2u,41
complex.1_12_35_corrected_H_0001_2g2u,42
complex.1_12_36_corrected_H_0001_2g2u,45
complex.1_12_49_corrected_H_0001_2g2u,52
complex.1_13_18_corrected_H_0001_2g2u,48
complex.1_13_41_corrected_H_0001_2g2u,44
complex.1_13_9_corrected_H_0001_2g2u,33
complex.1_14_21_corrected_H_0001_2g2u,41
complex.1_15_13_corrected_H_0001_2g2u,44
complex.1_15_17_corrected_H_0001_2g2u,41
complex.1_15_20_corrected_H_0001_2g2u,44
complex.1_15_28_corrected_H_0001_2g2u,39
complex.1_15_30_corrected_H_0001_2g2u,41
complex.1_15_36_corrected_H_0001_2g2u,52
complex.1_16_22_corrected_H_0001_2g2u,42
complex.1_16_47_corrected_H_0001_2g2u,38
complex.1_16_4_corrected_H_0001_2g2u,45
complex.1_16_8_corrected_H_0001_2g2u,39
complex.1_17_19_corrected_H_0001_2g2u,41
complex.1_17_1_corrected_H_0001_2g2u,42
complex.1_17_22_corrected_H_0001_2g2u,46
complex.1_17_9_corrected_H_0001_2g2u,46
complex.1_18_10_corrected_H_0001_2g2u,46
complex.1_1_36_corrected_H_0001_2g2u,16
complex.1_1_44_corrected_H_0001_2g2u,20
complex.1_1_47_corrected_H_0001_2g2u,22
complex.1_1_8_corrected_H_0001_2g2u,18
complex.1_2_10_corrected_H_0001_2g2u,23
complex.1_2_15_corrected_H_0001_2g2u,33
complex.1_2_16_corrected_H_0001_2g2u,28
complex.1_2_23_corrected_H_0001_2g2u,19
complex.1_2_40_corrected_H_0001_2g2u,51
complex.1_2_6_corrected_H_0001_2g2u,26
complex.1_3_0_corrected_H_0001_2g2u,22
complex.1_3_13_corrected_H_0001_2g2u,24
complex.1_3_17_corrected_H_0001_2g2u,25
complex.1_3_1_corrected_H_0001_2g2u,39
complex.1_3_34_corrected_H_0001_2g2u,24
complex.1_3_48_corrected_H_0001_2g2u,32
complex.1_3_5_corrected_H_0001_2g2u,32
complex.1_3_9_corrected_H_0001_2g2u,27
complex.1_4_26_corrected_H_0001_2g2u,26
complex.1_4_38_corrected_H_0001_2g2u,40
complex.1_4_7_corrected_H_0001_2g2u,33
complex.1_5_1_corrected_H_0001_2g2u,32
complex.1_5_24_corrected_H_0001_2g2u,36
complex.1_5_33_corrected_H_0001_2g2u,45
complex.1_5_43_corrected_H_0001_2g2u,28
complex.1_5_44_corrected_H_0001_2g2u,24
complex.1_6_10_corrected_H_0001_2g2u,27
complex.1_6_13_corrected_H_0001_2g2u,25
complex.1_6_24_corrected_H_0001_2g2u,25
complex.1_6_27_corrected_H_0001_2g2u,19
complex.1_6_32_corrected_H_0001_2g2u,27
complex.1_6_49_corrected_H_0001_2g2u,32
complex.1_7_12_corrected_H_0001_2g2u,53
complex.1_7_46_corrected_H_0001_2g2u,30
complex.1_7_7_corrected_H_0001_2g2u,23
complex.1_7_9_corrected_H_0001_2g2u,37
complex.1_8_10_corrected_H_0001_2g2u,24
complex.1_8_1_corrected_H_0001_2g2u,33
complex.1_8_42_corrected_H_0001_2g2u,29
complex.1_8_43_corrected_H_0001_2g2u,35
complex.1_8_6_corrected_H_0001_2g2u,33
complex.1_8_7_corrected_H_0001_2g2u,33
complex.1_9_0_corrected_H_0001_2g2u,37
complex.1_9_11_corrected_H_0001_2g2u,36
complex.1_9_24_corrected_H_0001_2g2u,39
complex.1_9_32_corrected_H_0001_2g2u,37
complex.1_9_36_corrected_H_0001_2g2u,31
complex.1_9_42_corrected_H_0001_2g2u,25
complex.1_9_49_corrected_H_0001_2g2u,40
complex.1_9_7_corrected_H_0001_2g2u,48
complex.2_0_19_corrected_H_0001_2g2u,25
complex.2_0_20_corrected_H_0001_2g2u,34
complex.2_0_27_corrected_H_0001_2g2u,18
complex.2_0_29_corrected_H_0001_2g2u,33
complex.2_0_37_corrected_H_0001_2g2u,26
complex.2_0_3_corrected_H_0001_2g2u,26
complex.2_0_45_corrected_H_0001_2g2u,43
complex.2_0_8_corrected_H_0001_2g2u,34
complex.2_10_15_corrected_H_0001_2g2u,47
complex.2_10_34_corrected_H_0001_2g2u,44
complex.2_10_4_corrected_H_0001_2g2u,46
complex.2_10_9_corrected_H_0001_2g2u,41
complex.2_11_24_corrected_H_0001_2g2u,38
complex.2_11_39_corrected_H_0001_2g2u,35
complex.2_11_7_corrected_H_0001_2g2u,41
complex.2_12_16_corrected_H_0001_2g2u,30
complex.2_12_19_corrected_H_0001_2g2u,44
complex.2_12_27_corrected_H_0001_2g2u,49
complex.2_12_32_corrected_H_0001_2g2u,34
complex.2_12_34_corrected_H_0001_2g2u,33
complex.2_12_44_corrected_H_0001_2g2u,37
complex.2_13_1_corrected_H_0001_2g2u,51
complex.2_13_27_corrected_H_0001_2g2u,43
complex.2_13_2_corrected_H_0001_2g2u,46
complex.2_13_36_corrected_H_0001_2g2u,42
complex.2_13_38_corrected_H_0001_2g2u,44
complex.2_14_25_corrected_H_0001_2g2u,37
complex.2_15_18_corrected_H_0001_2g2u,46
complex.2_15_31_corrected_H_0001_2g2u,47
complex.2_15_34_corrected_H_0001_2g2u,44
complex.2_15_39_corrected_H_0001_2g2u,50
complex.2_15_42_corrected_H_0001_2g2u,46
complex.2_15_4_corrected_H_0001_2g2u,51
complex.2_16_10_corrected_H_0001_2g2u,42
complex.2_16_14_corrected_H_0001_2g2u,49
complex.2_16_15_corrected_H_0001_2g2u,44
complex.2_16_26_corrected_H_0001_2g2u,49
complex.2_16_3_corrected_H_0001_2g2u,43
complex.2_16_40_corrected_H_0001_2g2u,45
complex.2_16_42_corrected_H_0001_2g2u,41
complex.2_17_15_corrected_H_0001_2g2u,41
complex.2_17_26_corrected_H_0001_2g2u,45
complex.2_17_36_corrected_H_0001_2g2u,51
complex.2_17_37_corrected_H_0001_2g2u,43
complex.2_17_43_corrected_H_0001_2g2u,44
complex.2_18_13_corrected_H_0001_2g2u,46
complex.2_18_9_corrected_H_0001_2g2u,46
complex.2_1_32_corrected_H_0001_2g2u,15
complex.2_1_34_corrected_H_0001_2g2u,20
complex.2_1_43_corrected_H_0001_2g2u,11
complex.2_2_0_corrected_H_0001_2g2u,25
complex.2_2_19_corrected_H_0001_2g2u,28
complex.2_2_24_corrected_H_0001_2g2u,15
complex.2_2_26_corrected_H_0001_2g2u,18
complex.2_2_29_corrected_H_0001_2g2u,26
complex.2_2_33_corrected_H_0001_2g2u,24
complex.2_2_35_corrected_H_0001_2g2u,22
complex.2_2_42_corrected_H_0001_2g2u,22
complex.2_2_47_corrected_H_0001_2g2u,27
complex.2_2_48_corrected_H_0001_2g2u,34
complex.2_3_25_corrected_H_0001_2g2u,29
complex.2_3_29_corrected_H_0001_2g2u,34
complex.2_3_39_corrected_H_0001_2g2u,29
complex.2_3_45_corrected_H_0001_2g2u,33
complex.2_3_6_corrected_H_0001_2g2u,32
complex.2_4_17_corrected_H_0001_2g2u,21
complex.2_4_42_corrected_H_0001_2g2u,33
complex.2_4_8_corrected_H_0001_2g2u,23
complex.2_5_0_corrected_H_0001_2g2u,23
complex.2_5_25_corrected_H_0001_2g2u,32
complex.2_5_32_corrected_H_0001_2g2u,19
complex.2_5_34_corrected_H_0001_2g2u,35
complex.2_5_42_corrected_H_0001_2g2u,35
complex.2_5_4_corrected_H_0001_2g2u,21
complex.2_6_1_corrected_H_0001_2g2u,24
complex.2_6_43_corrected_H_0001_2g2u,36
complex.2_6_4_corrected_H_0001_2g2u,32
complex.2_6_6_corrected_H_0001_2g2u,36
complex.2_6_8_corrected_H_0001_2g2u,29
complex.2_7_34_corrected_H_0001_2g2u,30
complex.2_7_43_corrected_H_0001_2g2u,33
complex.2_9_22_corrected_H_0001_2g2u,34
complex.2_9_35_corrected_H_0001_2g2u,31
complex.2_9_39_corrected_H_0001_2g2u,33
complex.2_9_3_corrected_H_0001_2g2u,41
complex.2_9_45_corrected_H_0001_2g2u,30
complex.3_0_22_corrected_H_0001_2g2u,16
complex.3_0_33_corrected_H_0001_2g2u,35
complex.3_0_43_corrected_H_0001_2g2u,19
complex.3_0_47_corrected_H_0001_2g2u,17
complex.3_10_20_corrected_H_0001_2g2u,43
complex.3_10_28_corrected_H_0001_2g2u,47
complex.3_10_29_corrected_H_0001_2g2u,35
complex.3_10_30_corrected_H_0001_2g2u,38
complex.3_10_41_corrected_H_0001_2g2u,37
complex.3_10_42_corrected_H_0001_2g2u,31
complex.3_10_45_corrected_H_0001_2g2u,30
complex.3_10_8_corrected_H_0001_2g2u,42
complex.3_11_10_corrected_H_0001_2g2u,36
complex.3_11_22_corrected_H_0001_2g2u,35
